Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : 5BF6F10	1E5CD960	25D3C3C	
DEC 1 : 96431888.000000	509401440.000000	39664700.000000	
HEX 2 : 72E2788	1EF87C40	14687900	
DEC 2 : 120465288.000000	519601216.000000	342391040.000000	
HEX 3 : 1AD11E20	8FE7780	123CAE20	
DEC 3 : 449912352.000000	150894464.000000	305966624.000000	
HEX 4 : FA81E20	1D9571E0	193C26A0	
DEC 4 : 262676000.000000	496333280.000000	423372448.000000	
HEX 5 : 1BB3D880	10C66780	19A0E960	
DEC 5 : 464771200.000000	281438080.000000	429975904.000000	
HEX 6 : 18C994C0	1DECA6A0	1A43FF00	
DEC 6 : 415864000.000000	502048416.000000	440663808.000000	
HEX 7 : 1ED794C0	D56F880	6427968	
DEC 7 : 517444800.000000	223803520.000000	105019752.000000	
HEX 8 : 1CF9C2E0	1350878	1BBE74C0	
DEC 8 : 486130400.000000	20252792.000000	465466560.000000	
HEX 9 : 14B4BD20	FF0A000	3F83968	
DEC 9 : 347389216.000000	267427840.000000	66599272.000000	
HEX 10 : 16C25780	AB445A0	1D2726A0	
DEC 10 : 381835136.000000	179586464.000000	489105056.000000	
HEX 11 : 1074D2E0	160B2E20	525D968	
DEC 11 : 276091616.000000	369831456.000000	86366568.000000	
HEX 12 : 14948F00	116CA960	B59A3C0	
DEC 12 : 345280256.000000	292333920.000000	190424000.000000	
HEX 13 : 1401F2E0	B7AC2D0	10335260	
DEC 13 : 335672032.000000	192594640.000000	271798880.000000	
HEX 14 : 19F13F00	10F3C3C	13DFE000	
DEC 14 : 435240704.000000	17775676.000000	333438976.000000	
HEX 15 : 9B78970	B293970	578BBC0	
DEC 15 : 163023216.000000	187251056.000000	91798464.000000	
HEX 16 : 1AB5E3C0	36C1000	BE2E8F0	
DEC 16 : 448127936.000000	57413632.000000	199420144.000000	
HEX 17 : 292E1E	11827F00	14940900	
DEC 17 : 2698782.000000	293764864.000000	345245952.000000	
HEX 18 : 10D62780	1012F6A0	1EF102E0	
DEC 18 : 282470272.000000	269678240.000000	519111392.000000	
HEX 19 : 3DBFA5C	23231E0	C3CC5A0	
DEC 19 : 64748124.000000	36844000.000000	205309344.000000	
HEX 20 : 1AC55100	17649E20	15657D20	
DEC 20 : 449138944.000000	392470048.000000	358972704.000000	
HEX 21 : AED4880	1862B880	159E74C0	
DEC 21 : 183322752.000000	409122944.000000	362706112.000000	
HEX 22 : 89800F0	19A4E100	781AAD0	
DEC 22 : 144179440.000000	430235904.000000	125938384.000000	
HEX 23 : DBC6000	8DE1F10	13723BC0	
DEC 23 : 230449152.000000	148774672.000000	326253504.000000	
HEX 24 : AD00E20	4B12F10	1C7234C	
DEC 24 : 181407264.000000	78720784.000000	29827916.000000	
HEX 25 : 1C996E20	1FC8BF00	133C23C0	
DEC 25 : 479817248.000000	533249792.000000	322708416.000000	
HEX 26 : 6C7EA58	D0BE780	1BF33100	
DEC 26 : 113764952.000000	218883968.000000	468922624.000000	
HEX 27 : 1AC50F0	C06DE20	FA4F8F0	
DEC 27 : 28070128.000000	201776672.000000	262469872.000000	
HEX 28 : 11ACAE20	1AC2D2E	27A44B4	
DEC 28 : 296529440.000000	28060974.000000	41567412.000000	
HEX 29 : D97F780	17618B40	1D5A0F00	
DEC 29 : 228063104.000000	392268608.000000	492441344.000000	
HEX 30 : E8A80F0	277D878	17F07800	
DEC 30 : 243958000.000000	41408632.000000	401635328.000000	
HEX 31 : 10839E20	9A312D0	1C7DE1E	
DEC 31 : 277061152.000000	161682128.000000	29875742.000000	
HEX 32 : 18F8CD20	B5CBF10	A8A6530	
