Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 68
HEX 1 : 17928B40	9704D30	E946D30	
DEC 1 : 395479872.000000	158354736.000000	244608304.000000	
HEX 2 : 31B25A4	18C4C100	10307960	
DEC 2 : 52110756.000000	415547648.000000	271612256.000000	
HEX 3 : C097690	CBDA780	109F6520	
DEC 3 : 201946768.000000	213755776.000000	278881568.000000	
HEX 4 : C8213C0	15055E20	1E2063C0	
DEC 4 : 209851328.000000	352673312.000000	505439168.000000	
HEX 5 : 43B3D30	37EBB4C	4958BC0	
DEC 5 : 70991152.000000	58637132.000000	76909504.000000	
HEX 6 : 187E7100	174941E0	1E590C40	
DEC 6 : 410939648.000000	390676960.000000	509152320.000000	
HEX 7 : 8ED3970	E8E7690	173C1780	
DEC 7 : 149764464.000000	244217488.000000	389814144.000000	
HEX 8 : 6DAFF10	16BBAE20	19642960	
DEC 8 : 115015440.000000	381398560.000000	425994592.000000	
HEX 9 : DC08E20	16E92A60	AF858F0	
DEC 9 : 230723104.000000	384379488.000000	184047856.000000	
HEX 10 : 1438BB40	15947E20	17307160	
DEC 10 : 339262272.000000	362053152.000000	389050720.000000	
HEX 11 : 53932D0	AD231E0	3283698	
DEC 11 : 87634640.000000	181547488.000000	52967064.000000	
HEX 12 : 11C7DE20	F5F2690	1F69A880	
DEC 12 : 298311200.000000	257894032.000000	527018112.000000	
HEX 13 : FBC62D0	3103C3C	1B7D34C0	
DEC 13 : 264004304.000000	51395644.000000	461190336.000000	
HEX 14 : 15A1B1E0	7B64C40	1C0E5B40	
DEC 14 : 362918368.000000	129387584.000000	470702912.000000	
HEX 15 : 148BC3C0	477A5A8	15596620	
DEC 15 : 344703936.000000	74950056.000000	358180384.000000	
HEX 16 : 187E7780	C6F697	1CB16880	
DEC 16 : 410941312.000000	13039255.000000	481388672.000000	
HEX 17 : 187E83C0	13DBC3C0	1059B700	
DEC 17 : 410944448.000000	333169600.000000	274315008.000000	
HEX 18 : A950C40	FF67690	465B710	
DEC 18 : 177540160.000000	267810448.000000	73774864.000000	
HEX 19 : 1072EC40	14AE6880	44D9A58	
DEC 19 : 275967040.000000	346974336.000000	72194648.000000	
HEX 20 : 27AC4B4	12BC15A0	1E08BB40	
DEC 20 : 41600180.000000	314316192.000000	503888704.000000	
HEX 21 : DDA969	3E781E0	12BE7080	
DEC 21 : 14526825.000000	65503712.000000	314470528.000000	
HEX 22 : 5F12C40	D43BA60	C3BAE90	
DEC 22 : 99691584.000000	222542432.000000	205237904.000000	
HEX 23 : 117B1100	D6172D0	2C705A4	
DEC 23 : 293277952.000000	224490192.000000	46597540.000000	
HEX 24 : F547000	1C9BD3C0	FF86F10	
DEC 24 : 257191936.000000	479974336.000000	267939600.000000	
HEX 25 : 133816A0	EAE3000	11C885A0	
DEC 25 : 322442912.000000	246296576.000000	298354080.000000	
HEX 26 : 10FB45A0	1DF173C0	1D30C000	
DEC 26 : 284902816.000000	502363072.000000	489734144.000000	
HEX 27 : 926DD30	7729E20	8B0A3C0	
DEC 27 : 153541936.000000	124952096.000000	145793984.000000	
HEX 28 : EDD0C40	1DF68F00	89424B0	
DEC 28 : 249367616.000000	502697728.000000	143926448.000000	
HEX 29 : 155B64C0	1A500880	53F12D0	
DEC 29 : 358311104.000000	441452672.000000	88019664.000000	
HEX 30 : 112B4D20	4494D30	9E94440	
DEC 30 : 288050464.000000	71912752.000000	166282304.000000	
HEX 31 : 764F968	19C3E3C0	4A10968	
DEC 31 : 124057960.000000	432268224.000000	77662568.000000	
HEX 32 : 15BDD2E	1371BF00	156F0100	
DEC 32 : 22797614.000000	326221568.000000	359596288.000000	
HEX 33 : 40BBD30	A1085A0	1B112880	
DEC 33 : 67878192.000000	168854944.000000	454109312.000000	
HEX 34 : 8EA3970	1FF23F00	1A7B72E0	
DEC 34 : 149567856.000000	535969536.000000	444297952.000000	
HEX 35 : 187E7000	53303C0	86D0970	
DEC 35 : 410939392.000000	87229376.000000	141363568.000000	
HEX 36 : 2BD0878	13FCD780	35A1D2C	
DEC 36 : 45942904.000000	335337344.000000	56237356.000000	
HEX 37 : 42D64B8	2B904B4	196702E0	
DEC 37 : 70083768.000000	45679796.000000	426181344.000000	
HEX 38 : 21642D4	1D2E3C4	B9B0620	
DEC 38 : 35013332.000000	30598084.000000	194709024.000000	
HEX 39 : 73E15A8	1E51E100	1352C800	
DEC 39 : 121509288.000000	508682496.000000	324192256.000000	
HEX 40 : 2CC1E2	1A50A3C0	6B1D800	
DEC 40 : 2933218.000000	441492416.000000	112318464.000000	
HEX 41 : 180D15A0	1DB96A60	1A781A60	
DEC 41 : 403510688.000000	498690656.000000	444078688.000000	
HEX 42 : 73C6D30	6F5E968	10244B40	
DEC 42 : 121400624.000000	116779368.000000	270814016.000000	
HEX 43 : 28A30F0	B8EC5A0	13D7AE20	
DEC 43 : 42610928.000000	193906080.000000	332901920.000000	
HEX 44 : 1583D2E0	19C3A4C0	CC10DA0	
DEC 44 : 360960736.000000	432252096.000000	213978528.000000	
HEX 45 : 1876FC40	1FDF788	F3EEAD0	
DEC 45 : 410451008.000000	33421192.000000	255781584.000000	
HEX 46 : 6C38968	14599A60	9D28080	
DEC 46 : 113477992.000000	341416544.000000	164790400.000000	
