Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
HEX 1 : 6F0C7C0	76D9698	1B60FC40	
DEC 1 : 116443072.000000	124622488.000000	459340864.000000	
HEX 2 : 1D16FC20	833F0F	CA37AD0	
DEC 2 : 488045600.000000	8601359.000000	212040400.000000	
HEX 3 : 15B2ED40	1C9BB4C	1C7ABE20	
DEC 3 : 364047680.000000	29997900.000000	477806112.000000	
HEX 4 : 196AE900	11EEB960	5A4A1E0	
DEC 4 : 426436864.000000	300857696.000000	94675424.000000	
HEX 5 : 6E61D80	BD4A880	15455E20	
DEC 5 : 115744128.000000	198486144.000000	356867616.000000	
HEX 6 : 5E928	A207970	17D2A340	
DEC 6 : 387368.000000	169900400.000000	399680320.000000	
HEX 7 : 184A31C0	76BAD30	5EFA788	
DEC 7 : 407515584.000000	124497200.000000	99592072.000000	
HEX 8 : 801A1F0	B9703C0	AD62D30	
DEC 8 : 134324720.000000	194446272.000000	181808432.000000	
HEX 9 : 5F6BA	13A4A780	1F858A60	
DEC 9 : 390842.000000	329557888.000000	528845408.000000	
HEX 10 : 4DCC970	69085A8	104A3000	
DEC 10 : 81578352.000000	110134696.000000	273297408.000000	
HEX 11 : 14453240	2F563C4	B7F40F0	
DEC 11 : 340079168.000000	49636292.000000	192889072.000000	
HEX 12 : F5E8B70	1879E3C0	A8ACD30	
DEC 12 : 257854320.000000	410641344.000000	176868656.000000	
HEX 13 : 317D380	11370780	BCA3800	
DEC 13 : 51893120.000000	288819072.000000	197801984.000000	
HEX 14 : 1422F1C0	11833B40	1442ABC0	
DEC 14 : 337834432.000000	293813056.000000	339913664.000000	
HEX 15 : 3EE0168	1879F000	132EBAE0	
DEC 15 : 65929576.000000	410644480.000000	321829600.000000	
HEX 16 : DF26930	E06C970	16C16DA0	
DEC 16 : 233990448.000000	235325808.000000	381775264.000000	
HEX 17 : 96C635	8C2F3C0	9319710	
DEC 17 : 9881141.000000	146994112.000000	154244880.000000	
HEX 18 : 1ACC7EE0	13673E20	17371700	
DEC 18 : 449609440.000000	325533216.000000	389486336.000000	
HEX 19 : 112B5820	4B485A8	4220D30	
DEC 19 : 288053280.000000	78939560.000000	69340464.000000	
HEX 20 : 1BE940A0	AF453C0	B831080	
DEC 20 : 468271264.000000	183784384.000000	193138816.000000	
HEX 21 : 132B8540	98015A0	103C9DA0	
DEC 21 : 321619264.000000	159389088.000000	272407968.000000	
HEX 22 : 16A834C0	CC6A690	E6D43C	
DEC 22 : 380122304.000000	214345360.000000	15127612.000000	
HEX 23 : 4F684F8	10CA5C40	1A9B63C0	
DEC 23 : 83264760.000000	281697344.000000	446391232.000000	
HEX 24 : 1B7CABE0	5CFEB48	1806DDA0	
DEC 24 : 461155296.000000	97512264.000000	403103136.000000	
HEX 25 : 15F506A0	C55C780	1A1692E0	
