Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 71
HEX 1 : 17BCCF00	DF02F10	1072CF00	
DEC 1 : 398249728.000000	233844496.000000	275959552.000000	
HEX 2 : FA42D3	635A3C0	12E35C40	
DEC 2 : 16401107.000000	104178624.000000	316890176.000000	
HEX 3 : 120CDD20	E5A14B0	B882E20	
DEC 3 : 302832928.000000	240784560.000000	193474080.000000	
HEX 4 : 7A27078	118EF100	15556260	
DEC 4 : 128086136.000000	294580480.000000	357917280.000000	
HEX 5 : FEF2A90	1879EB40	2F73BC4	
DEC 5 : 267332240.000000	410643264.000000	49757124.000000	
HEX 6 : 1659B2E0	15415880	B2A000	
DEC 6 : 374977248.000000	356604032.000000	11706368.000000	
HEX 7 : DC256D0	1151E100	10F5E2E0	
DEC 7 : 230840016.000000	290578688.000000	284549856.000000	
HEX 8 : 72CD2D0	14F3B2E0	1EEF8B40	
DEC 8 : 120378064.000000	351515360.000000	519015232.000000	
HEX 9 : 19E6BA20	5B0CD30	81ABA60	
DEC 9 : 434551328.000000	95472944.000000	135969376.000000	
HEX 10 : 4A7C5A8	17A5F5A0	537B710	
DEC 10 : 78103976.000000	396752288.000000	87537424.000000	
HEX 11 : 16282440	1879E6A0	18E99A60	
DEC 11 : 371729472.000000	410642080.000000	417962592.000000	
HEX 12 : 90A0480	5E77D30	97A6880	
DEC 12 : 151651456.000000	99056944.000000	159017088.000000	
HEX 13 : 3B39DA4	108191E0	C1D969	
DEC 13 : 62102948.000000	276926944.000000	12704105.000000	
HEX 14 : 2AC3F88	82AC880	1C2D8780	
DEC 14 : 44842888.000000	137021568.000000	472745856.000000	
HEX 15 : 7C29130	A0EF0F0	14AE5780	
DEC 15 : 130191664.000000	168751344.000000	346969984.000000	
HEX 16 : 15006620	AAF3A60	18B6696	
DEC 16 : 352347680.000000	179255904.000000	25912982.000000	
HEX 17 : 19BAAAE0	581F000	1C022960	
DEC 17 : 431663840.000000	92401664.000000	469903712.000000	
HEX 18 : E732970	123A7000	1E9895A0	
DEC 18 : 242428272.000000	305819648.000000	513316256.000000	
HEX 19 : 1F1E4C40	CA1F1E0	11299D20	
DEC 19 : 522079296.000000	211939808.000000	287939872.000000	
HEX 20 : 19B0CE20	B7FD3C0	1772ECC0	
DEC 20 : 431017504.000000	192926656.000000	393407680.000000	
HEX 21 : 1213C620	7FF1F10	1821DEA0	
DEC 21 : 303285792.000000	134160144.000000	404872864.000000	
HEX 22 : 1E3344C0	5A8A698	15F37C40	
DEC 22 : 506676416.000000	94938776.000000	368278592.000000	
HEX 23 : 19B7BC80	1824B880	6C8B4B8	
DEC 23 : 431471744.000000	405059712.000000	113816760.000000	
HEX 24 : EF5BF10	16652880	18292160	
DEC 24 : 250986256.000000	375728256.000000	405348704.000000	
HEX 25 : CCE3000	A0F2000	F178970	
