Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 73
HEX 1 : 1D29F960	91972D0	1033E3C0	
DEC 1 : 489290080.000000	152662736.000000	271836096.000000	
HEX 2 : 1F5533C0	57DC0F0	1671F2E0	
DEC 2 : 525677504.000000	92127472.000000	376566496.000000	
HEX 3 : 1EB72C40	CDE5000	191445A0	
DEC 3 : 515320896.000000	215896064.000000	420758944.000000	
HEX 4 : 1168F960	75F9D30	1764D160	
DEC 4 : 292092256.000000	123706672.000000	392483168.000000	
HEX 5 : 1D2EC3C0	159AC5A0	1A2F8780	
DEC 5 : 489604032.000000	362464672.000000	439322496.000000	
HEX 6 : 3C082D4	557F968	1B071100	
DEC 6 : 62948052.000000	89651560.000000	453447936.000000	
HEX 7 : A267350	14163E20	183CCDA0	
DEC 7 : 170292048.000000	337002016.000000	406637984.000000	
HEX 8 : 81D9710	F26EA60	3D52968	
DEC 8 : 136156944.000000	254208608.000000	64301416.000000	
HEX 9 : 12589260	11469100	CA83AD0	
DEC 9 : 307794528.000000	289837312.000000	212351696.000000	
HEX 10 : D7AE4B0	A76E780	1654CB4	
DEC 10 : 226157744.000000	175564672.000000	23415988.000000	
HEX 11 : 18A68EA0	73855A8	19741B40	
DEC 11 : 413568672.000000	121132456.000000	427039552.000000	
HEX 12 : 142CF340	DE890F0	161B078	
DEC 12 : 338490176.000000	233345264.000000	23179384.000000	
HEX 13 : AB89690	D1040F0	C306970	
DEC 13 : 179869328.000000	219169008.000000	204499312.000000	
HEX 14 : FD9F970	1879E4C0	444FB48	
DEC 14 : 265943408.000000	410641600.000000	71629640.000000	
HEX 15 : 1CCFDCC0	17006000	5CAD4B8	
DEC 15 : 483384512.000000	385900544.000000	97178808.000000	
HEX 16 : 1A0BCB40	F4611E0	132D6800	
DEC 16 : 436980544.000000	256250336.000000	321742848.000000	
HEX 17 : 6B17F88	73A93C0	FDE800	
DEC 17 : 112295816.000000	121279424.000000	16640000.000000	
HEX 18 : 1CC56000	1879F4C0	133C5BC0	
DEC 18 : 482697216.000000	410645696.000000	322722752.000000	
HEX 19 : 4DC1348	9B114B0	7DDDA58	
DEC 19 : 81531720.000000	162600112.000000	131979864.000000	
HEX 20 : 175E71E0	E9A4970	1A312D20	
DEC 20 : 392065504.000000	244992368.000000	439430432.000000	
HEX 21 : 18D37800	118DE1E	461AF10	
DEC 21 : 416512000.000000	18406942.000000	73510672.000000	
HEX 22 : B7475A0	8E6E5A0	1DFF6100	
DEC 22 : 192181664.000000	149349792.000000	503275776.000000	
HEX 23 : 16AEB100	155E1A60	1664B100	
DEC 23 : 380547328.000000	358488672.000000	375697664.000000	
HEX 24 : 12AC6880	A9242D0	1F5694C0	
DEC 24 : 313288832.000000	177357520.000000	525767872.000000	
HEX 25 : 16BDAB40	18574B40	1D4F72E0	
DEC 25 : 381528896.000000	408374080.000000	491746016.000000	
HEX 26 : 18DB7000	D907C40	BEF9CB0	
DEC 26 : 417034240.000000	227572800.000000	200252592.000000	
HEX 27 : 3F0CAD4	1040A5A0	B71D4B0	
DEC 27 : 66112212.000000	272672160.000000	192009392.000000	
HEX 28 : 68FBCB8	7295968	F9D4C40	
DEC 28 : 110083256.000000	120150376.000000	261966912.000000	
HEX 29 : 1AD8A520	AA1E1E	12CD8EA0	
DEC 29 : 450405664.000000	11148830.000000	315461280.000000	
HEX 30 : 178F5CC0	4FD8B48	B103800	
DEC 30 : 395271360.000000	83725128.000000	185612288.000000	
HEX 31 : 703B788	179BA000	1E31D100	
DEC 31 : 117684104.000000	396075008.000000	506581248.000000	
HEX 32 : 10631960	1879EC40	13AC6CC0	
DEC 32 : 274930016.000000	410643520.000000	330067136.000000	
HEX 33 : BC1EA60	6ADEF10	7AC22D0	
DEC 33 : 197257824.000000	112062224.000000	128721616.000000	
HEX 34 : F7CE800	11ED878	1B1F2780	
DEC 34 : 259844096.000000	18798712.000000	455026560.000000	
HEX 35 : A76D710	15425E20	1B8CB4	
DEC 35 : 175560464.000000	356671008.000000	1805492.000000	
HEX 36 : 1A545DA0	AA60880	1FF172E0	
DEC 36 : 441736608.000000	178653312.000000	535917280.000000	
HEX 37 : 15C2F160	148FB880	6CE81E0	
DEC 37 : 365097312.000000	344963200.000000	114196960.000000	
HEX 38 : 1395B3C0	1D91A5A	1133D900	
DEC 38 : 328577984.000000	31005274.000000	288610560.000000	
HEX 39 : C858710	1279FE20	11466E20	
DEC 39 : 210077456.000000	309984800.000000	289828384.000000	
HEX 40 : 1D45A9E0	5DEB968	9EE8F1	
DEC 40 : 491104736.000000	98482536.000000	10414321.000000	
HEX 41 : 41AA1E0	1879E2E0	174DFCC0	
DEC 41 : 68854240.000000	410641120.000000	390986944.000000	
HEX 42 : 6660168	E353880	12433B40	
DEC 42 : 107348328.000000	238368896.000000	306395968.000000	
HEX 43 : 1D40BA60	139EC3C0	CC564B0	
DEC 43 : 490781280.000000	329171904.000000	214262960.000000	
HEX 44 : E16D5A0	6A51D30	F564780	
DEC 44 : 236377504.000000	111484208.000000	257312640.000000	
HEX 45 : 18FE93C0	9C6B780	56E3000	
DEC 45 : 419337152.000000	164018048.000000	91107328.000000	
HEX 46 : 9B3E170	E92000	C79ADA0	
DEC 46 : 162783600.000000	15278080.000000	209300896.000000	
HEX 47 : 17964620	1879E2E0	DC671E0	
DEC 47 : 395724320.000000	410641120.000000	231109088.000000	
HEX 48 : 15081E20	9392A60	10C0F880	
DEC 48 : 352853536.000000	154741344.000000	281081984.000000	
HEX 49 : 1BDC5880	108AA4C0	20B0F88	
DEC 49 : 467425408.000000	277521600.000000	34279304.000000	
HEX 50 : 1E0E696	142F9000	1187FEA0	
DEC 50 : 31516310.000000	338661376.000000	294125216.000000	
HEX 51 : 11FC7880	AAEFC40	9097000	
DEC 51 : 301758592.000000	179240000.000000	151613440.000000	
HEX 52 : 108FBDA0	11189C40	1C3AFA60	
DEC 52 : 277855648.000000	286825536.000000	473627232.000000	
HEX 53 : 536F2D0	E753780	19B1B6A0	
DEC 53 : 87487184.000000	242562944.000000	431077024.000000	
HEX 54 : 7FFF968	1871E880	107B2EA0	
DEC 54 : 134216040.000000	410118272.000000	276508320.000000	
HEX 55 : 431B3C0	15439960	5D26788	
DEC 55 : 70366144.000000	356751712.000000	97675144.000000	
HEX 56 : 1F8F4A60	9EEB1E0	91D0880	
DEC 56 : 529484384.000000	166638048.000000	152897664.000000	
HEX 57 : 1EAD8960	2978D2C	A89F710	
DEC 57 : 514689376.000000	43486508.000000	176813840.000000	
HEX 58 : F148440	1128E960	5DF0000	
DEC 58 : 253002816.000000	287893856.000000	98500608.000000	
HEX 59 : 17F6CF00	1879F000	3938F1	
DEC 59 : 402050816.000000	410644480.000000	3750129.000000	
HEX 60 : 129DFA60	F59FB50	146685A0	
DEC 60 : 312343136.000000	257555280.000000	342263200.000000	
HEX 61 : 449C9E0	18F21E2	141A1100	
DEC 61 : 71944672.000000	26157538.000000	337252608.000000	
HEX 62 : 12F709E0	5BAA788	370E1E0	
DEC 62 : 318179808.000000	96118664.000000	57729504.000000	
HEX 63 : 73743C	1879DD20	B82B690	
DEC 63 : 7566396.000000	410639648.000000	193115792.000000	
HEX 64 : 9EB5800	5CF0B48	16BBCC40	
DEC 64 : 166418432.000000	97454920.000000	381406272.000000	
HEX 65 : 1CF5C440	3913F10	1FACE3C0	
DEC 65 : 485868608.000000	59850512.000000	531424192.000000	
HEX 66 : 105364C0	1879E6A0	BC8ACB0	
DEC 66 : 273900736.000000	410642080.000000	197700784.000000	
HEX 67 : C4B9080	CE45D30	17AAFCC0	
DEC 67 : 206278784.000000	216292656.000000	397081792.000000	
HEX 68 : 926F88	4D3DC40	BB1A0F0	
DEC 68 : 9596808.000000	80993344.000000	196190448.000000	
HEX 69 : A17A3C0	147981E0	A6F4260	
DEC 69 : 169321408.000000	343507424.000000	175063648.000000	
HEX 70 : 13CC800	3451788	4588C40	
DEC 70 : 20760576.000000	54859656.000000	72911936.000000	
HEX 71 : F8735A0	1879E1E0	1B275880	
DEC 71 : 260519328.000000	410640864.000000	455563392.000000	
HEX 72 : 10D51E20	1B8F878	A320080	
DEC 72 : 282402336.000000	28899448.000000	171049088.000000	
HEX 73 : C3DE880	8313C4	3616788	
DEC 73 : 205383808.000000	8590276.000000	56715144.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
