Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 71
HEX 1 : FD99F10	13174960	12F55080	
DEC 1 : 265920272.000000	320293216.000000	318066816.000000	
HEX 2 : 15FFEEA0	E64E780	2921A5C	
DEC 2 : 369094304.000000	241493888.000000	43129436.000000	
HEX 3 : 1B63BF00	13F29E20	1B5F83C0	
DEC 3 : 459521792.000000	334667296.000000	459244480.000000	
HEX 4 : 1D5F7C40	187A3D20	9519780	
DEC 4 : 492796992.000000	410664224.000000	156342144.000000	
HEX 5 : DFA6800	C0AF880	14D50340	
DEC 5 : 234514432.000000	202045568.000000	349504320.000000	
HEX 6 : 15D3F880	168963C0	1701FB40	
DEC 6 : 366213248.000000	378102720.000000	386005824.000000	
HEX 7 : 1707D520	11088960	1202B4C0	
DEC 7 : 386389280.000000	285772128.000000	302167232.000000	
HEX 8 : 135E5340	1B67696	4CB7C40	
DEC 8 : 324948800.000000	28735126.000000	80444480.000000	
HEX 9 : 52A9B48	6468788	C8FA5A0	
DEC 9 : 86678344.000000	105285512.000000	210740640.000000	
HEX 10 : 67AEBC0	326FF10	16CFDEA0	
DEC 10 : 108719040.000000	52887312.000000	382721696.000000	
HEX 11 : 1E08ED20	22C9968	B0CD1E0	
DEC 11 : 503901472.000000	36477288.000000	185389536.000000	
HEX 12 : 39B7AD4	1879FC40	17823520	
DEC 12 : 60521172.000000	410647616.000000	394409248.000000	
HEX 13 : 1795D960	1879EA60	88552D	
DEC 13 : 395696480.000000	410643040.000000	8934701.000000	
HEX 14 : 227AF10	1040878	11074A60	
DEC 14 : 36155152.000000	17041528.000000	285690464.000000	
HEX 15 : 1E00FB40	A47E000	D6D1170	
DEC 15 : 503380800.000000	172482560.000000	225251696.000000	
HEX 16 : 1EE5C2E0	113A56A0	AA9E880	
DEC 16 : 518374112.000000	289035936.000000	178907264.000000	
HEX 17 : 1E0F3F00	C300000	4FD0968	
DEC 17 : 504315648.000000	204472320.000000	83691880.000000	
HEX 18 : 9471D30	CB91000	55E0F1	
DEC 18 : 155655472.000000	213454848.000000	5628145.000000	
HEX 19 : 2F9E078	DA50B50	EB3CF80	
DEC 19 : 49930360.000000	228920144.000000	246665088.000000	
HEX 20 : 16C6BF80	14E31780	9DA0880	
DEC 20 : 382123904.000000	350427008.000000	165283968.000000	
HEX 21 : 1EBCD100	1765C3C	1F2C54C0	
DEC 21 : 515690752.000000	24534076.000000	522998976.000000	
HEX 22 : 1F7F74C0	31855A4	3536F88	
DEC 22 : 528446656.000000	51926436.000000	55799688.000000	
HEX 23 : 18091BC0	86AF0F	1BDF41E0	
DEC 23 : 403250112.000000	8826639.000000	467616224.000000	
HEX 24 : DFDB4B	123FF3C0	1446B260	
DEC 24 : 14670667.000000	306181056.000000	340177504.000000	
HEX 25 : 1A415B40	59ED878	11FFF780	
DEC 25 : 440490816.000000	94296184.000000	301987712.000000	
HEX 26 : 10461800	513A878	132179E0	
DEC 26 : 273029120.000000	85174392.000000	320960992.000000	
HEX 27 : 14D3BAE0	1879E100	1E36BA60	
DEC 27 : 349420256.000000	410640640.000000	506903136.000000	
HEX 28 : BEA5710	99F0F10	E01F530	
DEC 28 : 199907088.000000	161419024.000000	235009328.000000	
HEX 29 : 13D02080	6C001E0	1B857A60	
DEC 29 : 332406912.000000	113246688.000000	461732448.000000	
HEX 30 : 98AAB50	109BAE20	C82C880	
DEC 30 : 160082768.000000	278638112.000000	209897600.000000	
HEX 31 : D865260	16386E20	1F260F00	
DEC 31 : 226906720.000000	372796960.000000	522587904.000000	
HEX 32 : 1978CE20	68DC698	6F70258	
DEC 32 : 427347488.000000	109954712.000000	116851288.000000	
HEX 33 : 2B4FAD4	1879E5A0	E9AD8F0	
DEC 33 : 45415124.000000	410641824.000000	245029104.000000	
HEX 34 : 1B84CD20	133C54C0	43DD710	
DEC 34 : 461688096.000000	322720960.000000	71161616.000000	
HEX 35 : DE4D260	F0C5690	5CF8348	
DEC 35 : 233099872.000000	252466832.000000	97485640.000000	
HEX 36 : 8476BC0	2BAE4B4	1EB51960	
DEC 36 : 138898368.000000	45802676.000000	515184992.000000	
HEX 37 : 10593A60	1879E2E0	29C62D4	
DEC 37 : 274283104.000000	410641120.000000	43803348.000000	
HEX 38 : 1F8B1100	A5EA970	1E14D100	
DEC 38 : 529207552.000000	173975920.000000	504680704.000000	
HEX 39 : 184F73C0	D7B33C0	9AE1350	
DEC 39 : 407860160.000000	226177984.000000	162403152.000000	
HEX 40 : CD13DA0	1879E6A0	E3A65A0	
DEC 40 : 215039392.000000	410642080.000000	238708128.000000	
HEX 41 : F6AC1E0	3BCCC3C	AE03800	
DEC 41 : 258654688.000000	62704700.000000	182466560.000000	
HEX 42 : 1269F620	1102D880	1B30CE20	
DEC 42 : 308934176.000000	285399168.000000	456183328.000000	
HEX 43 : B0E24B0	11C7C000	18BC0E20	
DEC 43 : 185476272.000000	298303488.000000	414977568.000000	
HEX 44 : 11944AE0	1005A2E0	C4DC000	
DEC 44 : 294931168.000000	268804832.000000	206422016.000000	
HEX 45 : 6780530	B879E20	150749E0	
DEC 45 : 108528944.000000	193437216.000000	352799200.000000	
HEX 46 : 61CC800	135D32E0	1F00D2E	
DEC 46 : 102549504.000000	324874976.000000	32509230.000000	
HEX 47 : 40F5E20	1879E3C0	732B788	
DEC 47 : 68116000.000000	410641344.000000	120764296.000000	
HEX 48 : 3AB3CB4	58BA5A8	49434B8	
DEC 48 : 61553844.000000	93037992.000000	76821688.000000	
HEX 49 : 1426D6A0	1879CC40	FED95A0	
DEC 49 : 338089632.000000	410635328.000000	267228576.000000	
HEX 50 : C7CA5A0	693E1E0	19CAA3C0	
DEC 50 : 209495456.000000	110354912.000000	432710592.000000	
HEX 51 : FDCEA60	5A0E1E	1C589780	
DEC 51 : 266136160.000000	5901854.000000	475568000.000000	
HEX 52 : 1E8836A0	106A3C40	1233E780	
DEC 52 : 512243360.000000	275397696.000000	305391488.000000	
HEX 53 : 13E3EF80	90585A0	DD5ADA0	
DEC 53 : 333705088.000000	151356832.000000	232107424.000000	
HEX 54 : 18389DA0	BEA0A60	1EE9DE20	
DEC 54 : 406363552.000000	199887456.000000	518643232.000000	
HEX 55 : B1F9080	15DFC4C0	75DF9E0	
DEC 55 : 186617984.000000	366986432.000000	123599328.000000	
HEX 56 : 3D642D4	81C9D30	1BE13A60	
DEC 56 : 64373460.000000	136092976.000000	467745376.000000	
HEX 57 : E6BFCB0	187A2E20	18059100	
DEC 57 : 241958064.000000	410660384.000000	403017984.000000	
HEX 58 : 155154C0	A626B50	1519CEA0	
DEC 58 : 357651648.000000	174222160.000000	354012832.000000	
HEX 59 : 169FC5A0	2289788	C617780	
DEC 59 : 379569568.000000	36214664.000000	207714176.000000	
HEX 60 : ACA80F0	32230F0	4F732D0	
DEC 60 : 181043440.000000	52572400.000000	83309264.000000	
HEX 61 : 24C4D2C	10D80D20	7EB9800	
DEC 61 : 38554924.000000	282594592.000000	132880384.000000	
HEX 62 : 7EAC0F0	14C3B5A0	129343C0	
DEC 62 : 132825328.000000	348370336.000000	311641024.000000	
HEX 63 : 1CFD8C40	56C1968	19031960	
DEC 63 : 486378560.000000	90970472.000000	419633504.000000	
HEX 64 : A0C9E90	1EDA878	104BD620	
DEC 64 : 168599184.000000	32352376.000000	273405472.000000	
HEX 65 : 65858F0	1879E4C0	1EE8EB40	
DEC 65 : 106453232.000000	410641600.000000	518581056.000000	
HEX 66 : 7755788	B5F8C40	78420F0	
DEC 66 : 125130632.000000	190811200.000000	126099696.000000	
HEX 67 : 1B95E3C0	D15ED30	1847C620	
DEC 67 : 462808000.000000	219540784.000000	407356960.000000	
HEX 68 : 9C2E5A0	C5930F0	1DC914C0	
DEC 68 : 163767712.000000	207171824.000000	499717312.000000	
HEX 69 : 1B5544C0	17388F00	11CF9620	
DEC 69 : 458572992.000000	389582592.000000	298817056.000000	
HEX 70 : 1260C700	902EB50	6643348	
DEC 70 : 308332288.000000	151186256.000000	107230024.000000	
HEX 71 : 3ECCF88	11E4F6A0	1B26A1E0	
DEC 71 : 65851272.000000	300218016.000000	455516640.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
