Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 71
HEX 1 : 848DC40	1879E2E0	2692710	
DEC 1 : 138992704.000000	410641120.000000	40445712.000000	
HEX 2 : F33C880	12DFE1E	116175A0	
DEC 2 : 255051904.000000	19791390.000000	291599776.000000	
HEX 3 : 10BA72E0	1879EA60	88E7CB0	
DEC 3 : 280654560.000000	410643040.000000	143555760.000000	
HEX 4 : 3C815A4	936E3C0	11A196A	
DEC 4 : 63444388.000000	154592192.000000	18487658.000000	
HEX 5 : 1ECE7F00	155281E0	7B5C9E0	
DEC 5 : 516849408.000000	357728736.000000	129354208.000000	
HEX 6 : A953C40	167B61E0	C6C4B50	
DEC 6 : 177552448.000000	377184736.000000	208423760.000000	
HEX 7 : 44C1698	11B034C0	1F98BC4	
DEC 7 : 72095384.000000	296760512.000000	33131460.000000	
HEX 8 : 19D1A4C0	B7252D0	10A0BC4	
DEC 8 : 433169600.000000	192041680.000000	17435588.000000	
HEX 9 : 24BDF10	1879E4C0	F03F170	
DEC 9 : 38526736.000000	410641600.000000	251916656.000000	
HEX 10 : 116312E0	1874D5A0	1AEA4A60	
DEC 10 : 291705568.000000	410310048.000000	451562080.000000	
HEX 11 : 103CFF00	9CDB970	142BB100	
DEC 11 : 272432896.000000	164477296.000000	338407680.000000	
HEX 12 : 174ACB40	1743DD20	1F6E9A60	
DEC 12 : 390777664.000000	390323488.000000	527342176.000000	
HEX 13 : 7A51B48	F11F690	83088F0	
DEC 13 : 128260936.000000	252835472.000000	137398512.000000	
HEX 14 : 1929B6A0	6783878	12CD4D20	
DEC 14 : 422164128.000000	108542072.000000	315444512.000000	
HEX 15 : 33E44B4	80462D0	8841350	
DEC 15 : 54412468.000000	134505168.000000	142873424.000000	
HEX 16 : 30C84B4	3D645A4	106A56A0	
DEC 16 : 51152052.000000	64374180.000000	275404448.000000	
HEX 17 : E46DC40	CCA01E0	D4A1080	
DEC 17 : 239524928.000000	214565344.000000	222957696.000000	
HEX 18 : 1AC026A0	684B3C0	6A7ACB8	
DEC 18 : 448800416.000000	109360064.000000	111652024.000000	
HEX 19 : 6EE0F10	9879000	1F690880	
DEC 19 : 116264720.000000	159879168.000000	526977152.000000	
HEX 20 : 1A7075A0	CDA5D30	1B689960	
DEC 20 : 443577760.000000	215637296.000000	459839840.000000	
HEX 21 : 13B15A60	3D80878	17429440	
DEC 21 : 330390112.000000	64489592.000000	390239296.000000	
HEX 22 : 1F064F00	10CB5E20	AEAD2	
DEC 22 : 520507136.000000	281763360.000000	715474.000000	
HEX 23 : 15193C4	9CEB780	14AA0100	
DEC 23 : 22123460.000000	164542336.000000	346685696.000000	
HEX 24 : FDC45A0	1879E4C0	12C60800	
DEC 24 : 266093984.000000	410641600.000000	314968064.000000	
HEX 25 : 4246B48	147E42E0	1521F5A0	
DEC 25 : 69495624.000000	343818976.000000	354547104.000000	
HEX 26 : 1368E6A0	A27E690	1B5AF3C0	
DEC 26 : 325641888.000000	170387088.000000	458945472.000000	
HEX 27 : 155315A0	2E41B4C	1EDB6880	
DEC 27 : 357766560.000000	48503628.000000	517695616.000000	
HEX 28 : 1713B000	15EAF6A0	15436DA0	
DEC 28 : 387166208.000000	367720096.000000	356740512.000000	
HEX 29 : 406F2D0	2ED2E20	19FC55A0	
DEC 29 : 67564240.000000	49098272.000000	435967392.000000	
HEX 30 : 53FF4B8	BF45690	E9CABC0	
DEC 30 : 88077496.000000	200562320.000000	245148608.000000	
HEX 31 : 1ABF1880	56A23C0	1A4853C0	
DEC 31 : 448731264.000000	90842048.000000	440947648.000000	
HEX 32 : 12F8C960	6AEA788	DE339E0	
DEC 32 : 318294368.000000	112109448.000000	232995296.000000	
HEX 33 : 5B32698	102DF10	9C47620	
DEC 33 : 95626904.000000	16965392.000000	163870240.000000	
HEX 34 : A66D880	CC7DD30	17C1696	
DEC 34 : 174512256.000000	214424880.000000	24909462.000000	
HEX 35 : CF5DD30	5A2F0F0	9B634B	
DEC 35 : 217439536.000000	94564592.000000	10183499.000000	
HEX 36 : C4032D0	E16BD30	1ACAC780	
DEC 36 : 205533904.000000	236371248.000000	449496960.000000	
HEX 37 : 129C7B40	1379E5A0	DDCA1E0	
DEC 37 : 312245056.000000	326755744.000000	232563168.000000	
HEX 38 : E2AD2D0	53AA698	1EEF4A60	
DEC 38 : 237687504.000000	87729816.000000	518998624.000000	
HEX 39 : 165C13C0	1122D960	6C122D0	
DEC 39 : 375133120.000000	287496544.000000	113320656.000000	
HEX 40 : 4580000	15D63F00	8421BC0	
DEC 40 : 72876032.000000	366362368.000000	138550208.000000	
HEX 41 : 131561E0	18791C40	1054078	
DEC 41 : 320168416.000000	410590272.000000	17121400.000000	
HEX 42 : 1496F4C0	11979A60	1B48B4C0	
DEC 42 : 345437376.000000	295148128.000000	457749696.000000	
HEX 43 : 1DD75D20	87272D0	D3E7440	
DEC 43 : 500653344.000000	141718224.000000	222196800.000000	
HEX 44 : 1911B960	1C5C878	C40C880	
DEC 44 : 420591968.000000	29739128.000000	205572224.000000	
HEX 45 : 18099A60	1879E780	6BFB878	
DEC 45 : 403282528.000000	410642304.000000	113227896.000000	
HEX 46 : 124F53C0	AEA9880	57CD620	
DEC 46 : 307188672.000000	183146624.000000	92067360.000000	
HEX 47 : 1EA7FE20	D5CE000	141FD260	
DEC 47 : 514326048.000000	224190464.000000	337629792.000000	
HEX 48 : 53785A8	13990780	1F2A6A60	
DEC 48 : 87524776.000000	328796032.000000	522873440.000000	
HEX 49 : 917F0F	1878C5A0	24ACD2C	
DEC 49 : 9535247.000000	410568096.000000	38456620.000000	
HEX 50 : A216880	63D3788	F0FF260	
DEC 50 : 169961600.000000	104675208.000000	252703328.000000	
HEX 51 : 162DE1E	1879E6A0	1AE5B780	
DEC 51 : 23256606.000000	410642080.000000	451262336.000000	
HEX 52 : 1EB08960	128551E0	1DF564C0	
DEC 52 : 514885984.000000	310727136.000000	502621376.000000	
HEX 53 : B60E970	40EC698	180A2440	
DEC 53 : 190900592.000000	68077208.000000	403317824.000000	
HEX 54 : 1725B4C0	D7B0690	14AA8960	
DEC 54 : 388347072.000000	226166416.000000	346720608.000000	
HEX 55 : 10A7B780	1149E000	14DF22E0	
DEC 55 : 279426944.000000	290054144.000000	350167776.000000	
HEX 56 : 1F3E5960	1879F4C0	1100BF80	
DEC 56 : 524179808.000000	410645696.000000	285261696.000000	
HEX 57 : 1C55B960	11F3A100	E9FBE20	
DEC 57 : 475380064.000000	301179136.000000	245349920.000000	
HEX 58 : 1839B3C0	1879EF00	E469A60	
