Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 59
HEX 1 : B2572D0	1132B4C0	1A4181E0	
DEC 1 : 187003600.000000	288535744.000000	440500704.000000	
HEX 2 : 155A3C4	13EFDD20	16A25000	
DEC 2 : 22389700.000000	334486816.000000	379736064.000000	
HEX 3 : 7DF03C0	3C5A968	D70D170	
DEC 3 : 132056000.000000	63285608.000000	225497456.000000	
HEX 4 : 28D3D2C	45CFC40	14275520	
DEC 4 : 42810668.000000	73202752.000000	338122016.000000	
HEX 5 : 166B1D20	DFC73C0	15DADEA0	
DEC 5 : 376118560.000000	234648512.000000	366665376.000000	
HEX 6 : 89FED30	728DC40	21D0BC4	
DEC 6 : 144698672.000000	120118336.000000	35457988.000000	
HEX 7 : 3CA42D4	CD8B4B0	EA3C780	
DEC 7 : 63587028.000000	215528624.000000	245614464.000000	
HEX 8 : 16F30C40	6F723C0	1885E780	
DEC 8 : 385027136.000000	116859840.000000	411428736.000000	
HEX 9 : 187E81E0	3A4C968	1F19E6A0	
DEC 9 : 410943968.000000	61131112.000000	521791136.000000	
HEX 10 : 8BA03C0	6EE3B48	179CFD20	
DEC 10 : 146408384.000000	116276040.000000	396164384.000000	
HEX 11 : 5F63878	16923100	1C1E0E20	
DEC 11 : 100022392.000000	378679552.000000	471731744.000000	
HEX 12 : 187F94C0	11770100	1C334A60	
DEC 12 : 411014336.000000	293011712.000000	473123424.000000	
HEX 13 : 11F1ED20	8A6A2D0	FDD4260	
DEC 13 : 301067552.000000	145138384.000000	266158688.000000	
HEX 14 : F6A35A0	B493C40	1672ABC0	
DEC 14 : 258618784.000000	189348928.000000	376613824.000000	
HEX 15 : 13DB86A0	72CC3C	14D72780	
DEC 15 : 333153952.000000	7523388.000000	349644672.000000	
HEX 16 : 187E8880	C55B970	ECEEC40	
DEC 16 : 410945664.000000	206944624.000000	248441920.000000	
HEX 17 : 187E8C40	53FF2D0	115B3AE0	
DEC 17 : 410946624.000000	88077008.000000	291191520.000000	
HEX 18 : F4E3780	79A2D30	8E42970	
DEC 18 : 256784256.000000	127544624.000000	149170544.000000	
HEX 19 : B54F2D0	A6BA880	1DC156A0	
DEC 19 : 190116560.000000	174827648.000000	499209888.000000	
HEX 20 : 2DA4D2C	1715F1E0	19C2BC4	
DEC 20 : 47861036.000000	387314144.000000	27012036.000000	
HEX 21 : 7F21E20	9EA44B0	91669E0	
DEC 21 : 133307936.000000	166347952.000000	152463840.000000	
HEX 22 : 16983C4	22FCC3C	1BA3A960	
DEC 22 : 23692228.000000	36686908.000000	463710560.000000	
HEX 23 : 53B90F0	ECE9F10	1E4165A0	
DEC 23 : 87789808.000000	248422160.000000	507602336.000000	
HEX 24 : 146E1B40	135B0F0	C78FB50	
DEC 24 : 342760256.000000	20295920.000000	209255248.000000	
HEX 25 : 11A29880	E736F10	1CE8B6A0	
DEC 25 : 295868544.000000	242446096.000000	485013152.000000	
HEX 26 : BAA41E0	175742E0	D5AA710	
DEC 26 : 195707360.000000	391594720.000000	224044816.000000	
HEX 27 : 12C4DB40	142A96A0	182154C0	
DEC 27 : 314891072.000000	338335392.000000	404837568.000000	
HEX 28 : 1605C880	187A4D20	1D601780	
DEC 28 : 369477760.000000	410668320.000000	492836736.000000	
HEX 29 : 187E71E0	13F2B100	74032D0	
DEC 29 : 410939872.000000	334672128.000000	121647824.000000	
HEX 30 : D0EA880	187A4C40	1A7896A0	
DEC 30 : 219064448.000000	410668096.000000	444110496.000000	
HEX 31 : E252000	11B45960	12B8CF80	
DEC 31 : 237314048.000000	297032032.000000	314101632.000000	
HEX 32 : C8F9B50	F363E20	BCBC1E0	
DEC 32 : 210738000.000000	255213088.000000	197902816.000000	
HEX 33 : A6BE880	A036690	10CE0620	
DEC 33 : 174844032.000000	167995024.000000	281937440.000000	
HEX 34 : 14EBFD20	FA7C5A0	21CD1E0	
DEC 34 : 351010080.000000	262653344.000000	35443168.000000	
HEX 35 : 12C47D20	18353D20	9A89800	
DEC 35 : 314866976.000000	406142240.000000	162043904.000000	
HEX 36 : 4D524B8	144A26A0	E300E90	
DEC 36 : 81077432.000000	340403872.000000	238030480.000000	
HEX 37 : 65E1F10	187A0960	81F28F0	
DEC 37 : 106831632.000000	410650976.000000	136259824.000000	
HEX 38 : F713C4	9E66780	34DA620	
DEC 38 : 16192452.000000	166094720.000000	55420448.000000	
HEX 39 : 8510880	1031C3C	67323C0	
DEC 39 : 139528320.000000	16981052.000000	108209088.000000	
HEX 40 : 183EF4C0	11A55A6	3C00F10	
DEC 40 : 406779072.000000	18503078.000000	62918416.000000	
HEX 41 : 160BB5A0	1373E000	EFDB080	
DEC 41 : 369866144.000000	326361088.000000	251506816.000000	
HEX 42 : 8998690	16814880	146C7F00	
DEC 42 : 144279184.000000	377571456.000000	342654720.000000	
HEX 43 : 13B15780	E964690	976B620	
DEC 43 : 330389376.000000	244729488.000000	158774816.000000	
HEX 44 : 18800780	17DA5000	76E61E	
DEC 44 : 411043712.000000	400183296.000000	7792158.000000	
HEX 45 : C88F970	148002E0	66FB440	
DEC 45 : 210303344.000000	343933664.000000	107983936.000000	
HEX 46 : 1090F10	2952968	55992D0	
DEC 46 : 17370896.000000	43329896.000000	89756368.000000	
HEX 47 : 5CC9878	1138BE20	5AE3698	
DEC 47 : 97294456.000000	288931360.000000	95303320.000000	
HEX 48 : FC725A0	4810F10	19B2C880	
DEC 48 : 264709536.000000	75566864.000000	431147136.000000	
HEX 49 : 5FE01E0	E171F10	15BB4B40	
DEC 49 : 100532704.000000	236396304.000000	364596032.000000	
HEX 50 : 112946A0	187A82E0	2066E98	
DEC 50 : 287917728.000000	410682080.000000	33975960.000000	
HEX 51 : C5D8F10	D8412D0	3A0E710	
DEC 51 : 207458064.000000	226759376.000000	60876560.000000	
HEX 52 : 187E71E0	6DF84B8	9A04440	
DEC 52 : 410939872.000000	115311800.000000	161498176.000000	
HEX 53 : 1AB5F10	97E2970	19D69F00	
DEC 53 : 28008208.000000	159263088.000000	433495808.000000	
HEX 54 : D36A4B0	34A0B4C	12B96620	
DEC 54 : 221684912.000000	55184204.000000	314140192.000000	
HEX 55 : EAB55A0	2B6EF10	2BDBD2C	
DEC 55 : 246109600.000000	45543184.000000	45989164.000000	
HEX 56 : 1465FA60	78FF0F0	3587E98	
DEC 56 : 342227552.000000	126873840.000000	56131224.000000	
HEX 57 : 11633E20	187A13C0	121D1780	
DEC 57 : 291716640.000000	410653632.000000	303896448.000000	
HEX 58 : 187E7100	17EEB5A0	148AB520	
DEC 58 : 410939648.000000	401520032.000000	344634656.000000	
HEX 59 : B432D3	17BD4B4	D27E260	
DEC 59 : 11809491.000000	24892596.000000	220717664.000000	
60 : 0.000000	0.000000	0.000000	
61 : 0.000000	0.000000	0.000000	
62 : 0.000000	0.000000	0.000000	
63 : 0.000000	0.000000	0.000000	
64 : 0.000000	0.000000	0.000000	
65 : 0.000000	0.000000	0.000000	
66 : 0.000000	0.000000	0.000000	
67 : 0.000000	0.000000	0.000000	
68 : 0.000000	0.000000	0.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
