Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 96
HEX 1 : D88E690	112A8C60	B01C000	
DEC 1 : 227075728.000000	288001120.000000	184664064.000000	
HEX 2 : 12496B20	16309	1137E880	
DEC 2 : 306801440.000000	90889.000000	288876672.000000	
HEX 3 : 14F9FB00	1651EF20	DDFDF10	
DEC 3 : 351927040.000000	374468384.000000	232775440.000000	
HEX 4 : CD03F60	5226710	11DE8D20	
DEC 4 : 214974304.000000	86140688.000000	299797792.000000	
HEX 5 : 13F0ED40	E6069C0	120C44C0	
DEC 5 : 334556480.000000	241199552.000000	302793920.000000	
HEX 6 : 162EE3E0	1A7C00C0	5EF1E2	
DEC 6 : 372171744.000000	444334272.000000	6222306.000000	
HEX 7 : 4C81BC0	E162F90	173E02E0	
DEC 7 : 80223168.000000	236334992.000000	389939936.000000	
HEX 8 : 593A988	1D28D	9B820F0	
DEC 8 : 93563272.000000	119437.000000	163062000.000000	
HEX 9 : 11775D20	1658E6A0	736AA58	
DEC 9 : 293035296.000000	374924960.000000	121023064.000000	
HEX 10 : 6601CC0	6E81490	15783C40	
DEC 10 : 106962112.000000	115872912.000000	360201280.000000	
HEX 11 : 1FF68440	DCC8680	14F21000	
DEC 11 : 536249408.000000	231507584.000000	351408128.000000	
HEX 12 : 5F481	2AE67E0	168D22E0	
DEC 12 : 390273.000000	44984288.000000	378348256.000000	
HEX 13 : 5F67A	6814610	C4E0F1	
DEC 13 : 390778.000000	109135376.000000	12902641.000000	
HEX 14 : 1DB991A0	179DCFC0	18AFD4C0	
DEC 14 : 498700704.000000	396218304.000000	414176448.000000	
HEX 15 : 12A7F400	672EA20	1844C2E0	
DEC 15 : 312996864.000000	108194336.000000	407159520.000000	
HEX 16 : 1688F7A0	1BBDE080	89723C0	
DEC 16 : 378075040.000000	465428608.000000	144122816.000000	
HEX 17 : 12846FC0	15907440	1E231880	
DEC 17 : 310669248.000000	361788480.000000	505616512.000000	
HEX 18 : 14164EC0	5F16EC0	1FF29A60	
DEC 18 : 337006272.000000	99708608.000000	535992928.000000	
HEX 19 : 46C2FC0	6519000	E2EB5A0	
DEC 19 : 74198976.000000	106008576.000000	237942176.000000	
HEX 20 : 5C5E0	E04FDC0	3D44E20	
DEC 20 : 378336.000000	235208128.000000	64245280.000000	
HEX 21 : 8A916F0	12E01FA0	12E58780	
DEC 21 : 145299184.000000	316678048.000000	317032320.000000	
HEX 22 : 691E740	D887EC0	E052000	
DEC 22 : 110225216.000000	227049152.000000	235216896.000000	
HEX 23 : AE498A0	54F4FA8	A776D30	
DEC 23 : 182753440.000000	89083816.000000	175598896.000000	
HEX 24 : 1E3E2DE0	C395FB0	1C1ACC40	
DEC 24 : 507391456.000000	205086640.000000	471518272.000000	
HEX 25 : 48FCB30	13D58C60	2520B4C	
DEC 25 : 76532528.000000	332762208.000000	38931276.000000	
HEX 26 : 18EF8C40	B459080	55F50F0	
DEC 26 : 418352192.000000	189108352.000000	90132720.000000	
HEX 27 : 5F4C0	1889AA00	60EDF10	
DEC 27 : 390336.000000	411675136.000000	101637904.000000	
HEX 28 : 153B3580	6EF66E8	1135C880	
DEC 28 : 356201856.000000	116352744.000000	288737408.000000	
HEX 29 : 18CC8700	B5F40B0	16F41960	
DEC 29 : 416057088.000000	190791856.000000	385096032.000000	
HEX 30 : 9455510	1BA5C920	B6DE690	
DEC 30 : 155538704.000000	463849760.000000	191751824.000000	
HEX 31 : 4B8D6A8	1CB561E0	1AAF56A0	
DEC 31 : 79222440.000000	481649120.000000	447698592.000000	
HEX 32 : CE9CF30	1B264320	1BD30780	
DEC 32 : 216649520.000000	455492384.000000	466814848.000000	
HEX 33 : 3FBDB98	17B616C0	F83D3C0	
DEC 33 : 66837400.000000	397809344.000000	260297664.000000	
HEX 34 : 15057EE0	EFF0980	A9DB780	
DEC 34 : 352681696.000000	251595136.000000	178108288.000000	
HEX 35 : 19A15260	15A66	F8E3A60	
DEC 35 : 430002784.000000	88678.000000	260979296.000000	
HEX 36 : 17E7EFC0	5042E08	A359C40	
DEC 36 : 401076160.000000	84160008.000000	171285568.000000	
HEX 37 : FF7A2F0	14A8B680	133EA6A0	
DEC 37 : 267887344.000000	346601088.000000	322872992.000000	
HEX 38 : 47A5F80	1F910B40	1153A880	
DEC 38 : 75128704.000000	529599296.000000	290695296.000000	
HEX 39 : 1C71CB00	5FD6A48	132781E0	
DEC 39 : 477219584.000000	100493896.000000	321356256.000000	
HEX 40 : 85A1210	DCB6950	6B59878	
DEC 40 : 140120592.000000	231434576.000000	112564344.000000	
HEX 41 : 1B1ABF80	526FEB0	1A841100	
DEC 41 : 454737792.000000	86441648.000000	444862720.000000	
HEX 42 : A942430	143B1080	1DA92780	
DEC 42 : 177480752.000000	339415168.000000	497624960.000000	
HEX 43 : 1C14FEA0	17F6C900	C00ED30	
DEC 43 : 471137952.000000	402049280.000000	201387312.000000	
HEX 44 : 290D2B0	13EB1420	1FA55A60	
DEC 44 : 43045552.000000	334173216.000000	530930272.000000	
HEX 45 : FBDE5C0	A560360	D47C000	
DEC 45 : 264103360.000000	173409120.000000	222806016.000000	
HEX 46 : F7205E0	105DF980	1968B4C0	
DEC 46 : 259130848.000000	274594176.000000	426292416.000000	
HEX 47 : 5F345	1AD24F40	151CC960	
DEC 47 : 389957.000000	449990464.000000	354208096.000000	
HEX 48 : B5A8800	17096740	2DF3A5C	
DEC 48 : 190482432.000000	386492224.000000	48183900.000000	
HEX 49 : B999990	1667D	17434F00	
DEC 49 : 194615696.000000	91773.000000	390287104.000000	
HEX 50 : B9372C0	C561	52B5878	
DEC 50 : 194212544.000000	50529.000000	86726776.000000	
HEX 51 : 474E368	73FA7A0	1D2FCB40	
DEC 51 : 74769256.000000	121612192.000000	489671488.000000	
HEX 52 : 122B0380	82B2320	67D91E0	
DEC 52 : 304808832.000000	137044768.000000	108892640.000000	
HEX 53 : 14D6C860	111DEBC0	2F9D1E0	
DEC 53 : 349620320.000000	287173568.000000	49926624.000000	
HEX 54 : 1A0BFA00	4334638	3099698	
DEC 54 : 436992512.000000	70469176.000000	50960024.000000	
HEX 55 : 53B99A8	1618E	1B488A60	
DEC 55 : 87792040.000000	90510.000000	457738848.000000	
HEX 56 : 114E7D00	15349DE	9DEE5A0	
DEC 56 : 290356480.000000	22235614.000000	165602720.000000	
HEX 57 : 5E72E	13023100	B2B3880	
DEC 57 : 386862.000000	318910720.000000	187381888.000000	
HEX 58 : 7227E	21A99	4934F10	
DEC 58 : 467582.000000	137881.000000	76762896.000000	
HEX 59 : 1A054CC0	1ABA90A0	12B263C0	
DEC 59 : 436554944.000000	448434336.000000	313680832.000000	
HEX 60 : 16592820	15D21EC0	1711B1E0	
DEC 60 : 374941728.000000	366091968.000000	387035616.000000	
HEX 61 : 10A441A0	16502	1CDAF1E0	
DEC 61 : 279200160.000000	91394.000000	484110816.000000	
HEX 62 : 5E8E9	A186FF0	12FC5880	
DEC 62 : 387305.000000	169373680.000000	318527616.000000	
HEX 63 : B97C980	733CF60	2F44968	
DEC 63 : 194496896.000000	120835936.000000	49564008.000000	
HEX 64 : 5B31F	B7BC580	AEB32D0	
DEC 64 : 373535.000000	192660864.000000	183186128.000000	
HEX 65 : 75DBDD0	E927	11096100	
DEC 65 : 123583952.000000	59687.000000	285827328.000000	
HEX 66 : 167889C0	1793D	177A6A60	
DEC 66 : 376998336.000000	96573.000000	393898592.000000	
HEX 67 : 464F350	1580EA40	188423C0	
DEC 67 : 73724752.000000	360770112.000000	411313088.000000	
HEX 68 : 13CBD160	159A8	2E371E0	
DEC 68 : 332124512.000000	88488.000000	48460256.000000	
HEX 69 : 1F78F340	1E296780	E9BB970	
DEC 69 : 528020288.000000	506029952.000000	245086576.000000	
HEX 70 : 1A9B86E0	11E9C900	103C46A0	
DEC 70 : 446400224.000000	300534016.000000	272385696.000000	
HEX 71 : 18B0B900	168B5	1F73EF00	
DEC 71 : 414234880.000000	92341.000000	527691520.000000	
HEX 72 : 615D0	538BFD	F65EE20	
DEC 72 : 398800.000000	5475325.000000	258338336.000000	
HEX 73 : 8448CF0	D4F3AF0	1F8481E0	
DEC 73 : 138710256.000000	223296240.000000	528777696.000000	
HEX 74 : 61A6B70	1CAF2820	47772D0	
DEC 74 : 102394736.000000	481241120.000000	74937040.000000	
HEX 75 : 71EA610	14BD7E60	95803C0	
DEC 75 : 119449104.000000	347962976.000000	156763072.000000	
HEX 76 : 1DFE5560	18F85CC0	39DBF10	
DEC 76 : 503207264.000000	418929856.000000	60669712.000000	
HEX 77 : 16B3DA60	1C1516E0	1B3C4960	
DEC 77 : 380885600.000000	471144160.000000	456935776.000000	
HEX 78 : 1D559340	FB633A0	99235A0	
DEC 78 : 492147520.000000	263599008.000000	160576928.000000	
HEX 79 : C570D	119CF440	12915960	
DEC 79 : 808717.000000	295498816.000000	311515488.000000	
HEX 80 : A461E70	19F573E0	14DFBB40	
DEC 80 : 172367472.000000	435516384.000000	350206784.000000	
HEX 81 : 14E3B4C0	CF5E750	1D56DF00	
DEC 81 : 350467264.000000	217442128.000000	492232448.000000	
HEX 82 : 1A05DC20	126E6DE0	1CB311E0	
DEC 82 : 436591648.000000	309226976.000000	481497568.000000	
HEX 83 : 5F7B6	1DAE6EA0	B8E85A0	
DEC 83 : 391094.000000	497970848.000000	193889696.000000	
HEX 84 : 1E15D700	8C07050	C57E5A0	
DEC 84 : 504747776.000000	146829392.000000	207087008.000000	
HEX 85 : 1FF24040	16BEA	1D6FAB40	
DEC 85 : 535969856.000000	93162.000000	493857600.000000	
HEX 86 : 1B51C2A0	1FF17B00	4928000	
DEC 86 : 458343072.000000	535919360.000000	76709888.000000	
HEX 87 : 12879E40	1C709F20	13169F00	
DEC 87 : 310877760.000000	477142816.000000	320249600.000000	
HEX 88 : 1C51F3E0	11BB7EE0	263A5A4	
DEC 88 : 475132896.000000	297500384.000000	40084900.000000	
HEX 89 : 4992B10	7350878	6B52D30	
DEC 89 : 77146896.000000	120916088.000000	112536880.000000	
HEX 90 : C6C7A80	C695ED0	13C294C0	
DEC 90 : 208435840.000000	208232144.000000	331519168.000000	
HEX 91 : 5E998E8	B370D90	11D3C3	
DEC 91 : 99195112.000000	188157328.000000	1168323.000000	
HEX 92 : 1DC69F80	1E9D0EE0	1BBD1E20	
DEC 92 : 499556224.000000	513609440.000000	465378848.000000	
HEX 93 : 5F6BA	1DEEA180	344878	
DEC 93 : 390842.000000	502178176.000000	3426424.000000	
HEX 94 : 5F5BD	D550B30	1D074100	
DEC 94 : 390589.000000	223677232.000000	487014656.000000	
HEX 95 : EB94630	1D500880	54F82D0	
DEC 95 : 247023152.000000	491784320.000000	89096912.000000	
HEX 96 : B990610	69B3328	1AE2A1E0	
DEC 96 : 194577936.000000	110834472.000000	451060192.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
