Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : E319E20	B7CC590	133483C0	
DEC 1 : 238132768.000000	192726416.000000	322208704.000000	
HEX 2 : 13909B80	135757E0	3DB0C3C	
DEC 2 : 328244096.000000	324491232.000000	64687164.000000	
HEX 3 : 1E355A60	162C9720	FA6FB50	
DEC 3 : 506813024.000000	372021024.000000	262601552.000000	
HEX 4 : BAB50F0	1D3EFEA0	1AF2A5A	
DEC 4 : 195776752.000000	490667680.000000	28256858.000000	
HEX 5 : 1C52E440	1BC98	1DA513C0	
DEC 5 : 475194432.000000	113816.000000	497357760.000000	
HEX 6 : 17D0DFC0	4284698	12C31880	
DEC 6 : 399564736.000000	69748376.000000	314775680.000000	
HEX 7 : B3229E0	16244320	1613F100	
DEC 7 : 187836896.000000	371475232.000000	370405632.000000	
HEX 8 : 156D86E0	167B9	18925A60	
DEC 8 : 359499488.000000	92089.000000	412244576.000000	
HEX 9 : AFB6B80	18BCC840	7ACDB48	
DEC 9 : 184249216.000000	415025216.000000	128768840.000000	
HEX 10 : CE8B8F0	48F8268	1C5ABC40	
DEC 10 : 216578288.000000	76513896.000000	475708480.000000	
HEX 11 : C468880	127005A0	2334A5C	
DEC 11 : 205949056.000000	309331360.000000	36915804.000000	
HEX 12 : 1E2E6100	E1B80C0	E78B780	
DEC 12 : 506355968.000000	236683456.000000	242792320.000000	
HEX 13 : 4A50298	13B7C8C0	18E356A0	
DEC 13 : 77922968.000000	330811584.000000	417552032.000000	
HEX 14 : 28A7310	65278A8	1A43AB40	
DEC 14 : 42627856.000000	106068136.000000	440642368.000000	
HEX 15 : 919E840	140C7520	EFCF2D0	
DEC 15 : 152692800.000000	336360736.000000	251458256.000000	
HEX 16 : 1AFBBA60	13812300	2940698	
DEC 16 : 452704864.000000	327230208.000000	43255448.000000	
HEX 17 : A923040	71659C0	E4904B0	
DEC 17 : 177352768.000000	118905280.000000	239666352.000000	
HEX 18 : 4169A5	173D0	15E9C4C0	
DEC 18 : 4286885.000000	95184.000000	367641792.000000	
HEX 19 : 570E5A8	1894BE20	2946C3C	
DEC 19 : 91284904.000000	412401184.000000	43281468.000000	
HEX 20 : ADAC7C0	1ADC86E0	1C9804C0	
DEC 20 : 182110144.000000	450660064.000000	479724736.000000	
HEX 21 : 15F4F6A0	19B80D80	CCC2970	
DEC 21 : 368375456.000000	431492480.000000	214706544.000000	
HEX 22 : 1D701800	19652000	1F1FDA60	
DEC 22 : 493885440.000000	426057728.000000	522181216.000000	
HEX 23 : 1B561C80	A7983F0	14DB82E0	
DEC 23 : 458628224.000000	175735792.000000	349930208.000000	
HEX 24 : 75C2D68	7E42C	18681000	
DEC 24 : 123481448.000000	517164.000000	409473024.000000	
HEX 25 : 10ABEEA0	14CDFB00	AA6B2D0	
DEC 25 : 279703200.000000	349043456.000000	178696912.000000	
