Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 9A2F8F0	16C30640	B147F10	
DEC 1 : 161675504.000000	381879872.000000	185892624.000000	
HEX 2 : 1C866A60	8B8FA30	5B2F878	
DEC 2 : 478571104.000000	146340400.000000	95615096.000000	
HEX 3 : 1B8982E0	1ABE56	5B14D30	
DEC 3 : 461996768.000000	1752662.000000	95505712.000000	
HEX 4 : 8481260	1B21DCA0	353AC3C	
DEC 4 : 138941024.000000	455204000.000000	55815228.000000	
HEX 5 : 17AD53C0	6F968E8	FA10970	
DEC 5 : 397235136.000000	117008616.000000	262211952.000000	
HEX 6 : 6617F88	16B2D	19233D20	
DEC 6 : 107052936.000000	92973.000000	421739808.000000	
HEX 7 : C3D3CB0	169B2	10F55C40	
DEC 7 : 205339824.000000	92594.000000	284515392.000000	
HEX 8 : 94DA5	4C8520	263B698	
DEC 8 : 609701.000000	5014816.000000	40089240.000000	
HEX 9 : A1F0260	1E3AAE20	12D38C40	
DEC 9 : 169804384.000000	507162144.000000	315853888.000000	
HEX 10 : 1AB19CC0	189A0280	19FC55A0	
DEC 10 : 447847616.000000	412746368.000000	435967392.000000	
HEX 11 : 1DE4B160	1BC91240	B268B50	
DEC 11 : 501526880.000000	466162240.000000	187075408.000000	
HEX 12 : 1BAD7000	D61CA10	103D8B40	
DEC 12 : 464351232.000000	224512528.000000	272468800.000000	
HEX 13 : BBEFBC0	16F1F	5355B48	
DEC 13 : 197065664.000000	93983.000000	87382856.000000	
HEX 14 : 11BEA160	A280D90	19680F00	
DEC 14 : 297705824.000000	170397072.000000	426249984.000000	
HEX 15 : 1F245160	10125F00	A1ECE20	
DEC 15 : 522473824.000000	269639424.000000	169791008.000000	
HEX 16 : C66D080	CEDFD80	1DEF96A0	
DEC 16 : 208064640.000000	216923520.000000	502240928.000000	
HEX 17 : 1F3042E0	F124A60	2A6DA5C	
DEC 17 : 523256544.000000	252856928.000000	44489308.000000	
HEX 18 : 1B210EA0	16B3A060	65550F0	
DEC 18 : 455151264.000000	380870752.000000	106254576.000000	
HEX 19 : 1659A620	55CA7C0	8651E20	
DEC 19 : 374973984.000000	89958336.000000	140844576.000000	
HEX 20 : 104FD000	14039D00	8F06000	
DEC 20 : 273666048.000000	335781120.000000	149970944.000000	
HEX 21 : 1EECD520	6D84AF8	12165D20	
DEC 21 : 518837536.000000	114838264.000000	303455520.000000	
HEX 22 : 346225C	E00D99	B833880	
DEC 22 : 54927964.000000	14683545.000000	193149056.000000	
HEX 23 : F3463C0	1AF8C3A0	6486B48	
DEC 23 : 255091648.000000	452510624.000000	105409352.000000	
HEX 24 : DD35170	174B1340	15A673C0	
DEC 24 : 231952752.000000	390796096.000000	363230144.000000	
HEX 25 : 88CB620	7362040	18E2C880	
DEC 25 : 143439392.000000	120987712.000000	417515648.000000	
HEX 26 : EC9B800	12499360	101B86A0	
