Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 1029D3C0	17B728A0	15DC6780	
DEC 1 : 271176640.000000	397879456.000000	366765952.000000	
HEX 2 : 51A9CB8	21BC7D0	161081E0	
DEC 2 : 85630136.000000	35375056.000000	370180576.000000	
HEX 3 : 17EE59E0	81A20F0	FA1D4B0	
DEC 3 : 401496544.000000	135930096.000000	262263984.000000	
HEX 4 : 3679C3C	16837	7B1AA58	
DEC 4 : 57121852.000000	92215.000000	129083992.000000	
HEX 5 : 33221E0	1F7A3220	F043880	
DEC 5 : 53617120.000000	528101920.000000	251934848.000000	
HEX 6 : 995EE90	639F2C0	1D444880	
DEC 6 : 160820880.000000	104460992.000000	491014272.000000	
HEX 7 : 1DB90C40	1561A780	19001000	
DEC 7 : 498666560.000000	358721408.000000	419434496.000000	
HEX 8 : 95532D0	16DC3B40	12CF8960	
DEC 8 : 156578512.000000	383531840.000000	315591008.000000	
HEX 9 : 8FFB260	15A89AE0	1A3C7000	
DEC 9 : 150975072.000000	363371232.000000	440168448.000000	
HEX 10 : 1C9EF3C0	17E253E0	4545E20	
DEC 10 : 480179136.000000	400708576.000000	72637984.000000	
HEX 11 : C2DFE90	A3CCC50	883B4B0	
DEC 11 : 204340880.000000	171756624.000000	142849200.000000	
HEX 12 : 1F729A60	5CF91E0	17E2F4C0	
DEC 12 : 527604320.000000	97489376.000000	400749760.000000	
HEX 13 : 13B3A700	E34C790	4285C40	
DEC 13 : 330540800.000000	238339984.000000	69753920.000000	
HEX 14 : 1F669B40	B50F6C0	D2D84B0	
DEC 14 : 526818112.000000	189855424.000000	221086896.000000	
HEX 15 : F1E61E	17FE6	1BFBB1E0	
DEC 15 : 15853086.000000	98278.000000	469479904.000000	
HEX 16 : 1478C700	24813BC	1AD74B40	
DEC 16 : 343459584.000000	38278076.000000	450317120.000000	
HEX 17 : 1450E2E0	1CA00440	115B1000	
DEC 17 : 340845280.000000	480248896.000000	291180544.000000	
HEX 18 : 1A5773C0	F05E0C0	115BEE20	
DEC 18 : 441938880.000000	252043456.000000	291237408.000000	
HEX 19 : 1E2A4780	4038DE8	10B025A0	
DEC 19 : 506087296.000000	67341800.000000	279979424.000000	
HEX 20 : 93B3780	3F71DB4	EFF4D30	
DEC 20 : 154875776.000000	66526644.000000	251612464.000000	
HEX 21 : 54B2A58	A5E8A90	101CD880	
DEC 21 : 88812120.000000	173968016.000000	270325888.000000	
HEX 22 : FF2A1E0	855A460	19D5F960	
DEC 22 : 267559392.000000	139830368.000000	433453408.000000	
HEX 23 : 1CE675A0	DE6C110	18BF6F00	
DEC 23 : 484865440.000000	233226512.000000	415198976.000000	
HEX 24 : 8FF54B0	10914360	1E404B4	
DEC 24 : 150951088.000000	277955424.000000	31720628.000000	
HEX 25 : 1BD9DB40	448AF	3C375A4	
DEC 25 : 467262272.000000	280751.000000	63141284.000000	
HEX 26 : 15CA39E0	14BD82E0	E6F9C40	
DEC 26 : 365574624.000000	347964128.000000	242195520.000000	
HEX 27 : 6A56348	1D828500	16977780	
DEC 27 : 111502152.000000	495092992.000000	379025280.000000	
HEX 28 : 5CC69E0	13FE1F00	7D30878	
DEC 28 : 97282528.000000	335421184.000000	131270776.000000	
HEX 29 : 8F4CAD0	1BD79B40	A24FC40	
DEC 29 : 150260432.000000	467114816.000000	170196032.000000	
HEX 30 : 1B994960	237BC88	1D44CA60	
DEC 30 : 463030624.000000	37207176.000000	491047520.000000	
HEX 31 : AE0A2D0	988488	866CD30	
DEC 31 : 182493904.000000	9995400.000000	140954928.000000	
HEX 32 : F47F3C0	10811DE0	19DABD20	
DEC 32 : 256373696.000000	276897248.000000	433765664.000000	
HEX 33 : 27C5A5C	11398A60	117546A0	
DEC 33 : 41704028.000000	288983648.000000	292898464.000000	
HEX 34 : A93E0F0	17C8E2E0	36930F0	
DEC 34 : 177463536.000000	399041248.000000	57225456.000000	
HEX 35 : 1054CBC0	1978FBC0	B1E1F10	
DEC 35 : 273992640.000000	427359168.000000	186523408.000000	
HEX 36 : 1CA79880	9B4F030	1EFEE960	
DEC 36 : 480745600.000000	162852912.000000	520022368.000000	
HEX 37 : 8F029E0	FB59FE0	15228B40	
DEC 37 : 149957088.000000	263561184.000000	354585408.000000	
HEX 38 : 1CBE43C0	13842640	B2154B0	
DEC 38 : 482231232.000000	327427648.000000	186733744.000000	
HEX 39 : 13541B40	C615BC0	1418B960	
DEC 39 : 324279104.000000	207707072.000000	337164640.000000	
HEX 40 : E8DF710	1244D6C0	7DBA878	
DEC 40 : 244184848.000000	306501312.000000	131836024.000000	
HEX 41 : A8DF88	17F88860	14D214C0	
DEC 41 : 11067272.000000	402163808.000000	349312192.000000	
HEX 42 : 1D5B6E20	107E3BE0	31873C4	
DEC 42 : 492531232.000000	276708320.000000	51934148.000000	
HEX 43 : 11ECFA60	6339760	B457880	
DEC 43 : 300743264.000000	104044384.000000	189102208.000000	
HEX 44 : F91AF10	1E768160	194E82E0	
DEC 44 : 261205776.000000	511082848.000000	424575712.000000	
HEX 45 : B331DA0	1F1CB6A0	1CB54B4	
DEC 45 : 187899296.000000	521975456.000000	30102708.000000	
HEX 46 : C564AD0	576AD	1632A100	
DEC 46 : 206981840.000000	358061.000000	372416768.000000	
HEX 47 : 11835F00	1ACF7340	30A1E20	
DEC 47 : 293822208.000000	449803072.000000	50994720.000000	
HEX 48 : 1FAA5E20	16AAF	A7E4F10	
DEC 48 : 531258912.000000	92847.000000	176049936.000000	
HEX 49 : 19925000	139D6D80	1F0741E0	
DEC 49 : 429019136.000000	329084288.000000	520569312.000000	
HEX 50 : 6002E98	5D24AE0	3AD9B4C	
DEC 50 : 100675224.000000	97667808.000000	61709132.000000	
HEX 51 : 1D395B40	1F34E5E0	5F9EC40	
DEC 51 : 490298176.000000	523560416.000000	100265024.000000	
HEX 52 : 17F7A100	16B6C	EC4C4B0	
DEC 52 : 402104576.000000	93036.000000	247776432.000000	
HEX 53 : 1AB4EB40	5816C48	921EA60	
DEC 53 : 448064320.000000	92367944.000000	153217632.000000	
HEX 54 : F47C440	11FCFCC0	110DB780	
DEC 54 : 256361536.000000	301792448.000000	286111616.000000	
HEX 55 : 132804C0	D8C5AA0	C5E31E0	
DEC 55 : 321389760.000000	227302048.000000	207499744.000000	
HEX 56 : 12C5C5A0	4A8E948	13E6F000	
DEC 56 : 314951072.000000	78178632.000000	333901824.000000	
HEX 57 : 15190340	16B6C	717C968	
DEC 57 : 353960768.000000	93036.000000	118999400.000000	
HEX 58 : 167B5260	1A77C660	195C03C0	
DEC 58 : 377180768.000000	444057184.000000	425460672.000000	
