Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 18250D20	1662B2C0	1DAB696	
DEC 1 : 405081376.000000	375567040.000000	31110806.000000	
HEX 2 : 679C698	1E76FB00	1C01D2E0	
DEC 2 : 108643992.000000	511113984.000000	469881568.000000	
HEX 3 : 7D4A968	67B2DC0	126C12E0	
DEC 3 : 131377512.000000	108735936.000000	309072608.000000	
HEX 4 : 59BFB48	E7277E0	1A3DC6A0	
DEC 4 : 94108488.000000	242382816.000000	440256160.000000	
HEX 5 : 1BA9C960	16BAB	961B4B0	
DEC 5 : 464111968.000000	93099.000000	157398192.000000	
HEX 6 : F987C40	12C4BD60	1EA814C0	
DEC 6 : 261651520.000000	314883424.000000	514331840.000000	
HEX 7 : 3B5DD2C	74EB9A0	1DE8F000	
DEC 7 : 62250284.000000	122599840.000000	501805056.000000	
HEX 8 : 14F5AB40	1D3E0620	17D27780	
DEC 8 : 351644480.000000	490604064.000000	399669120.000000	
HEX 9 : 1247FC40	B8C8F30	1F2AF960	
DEC 9 : 306707520.000000	193761072.000000	522910048.000000	
HEX 10 : D38FF10	16AEE	2A6CA5C	
DEC 10 : 221839120.000000	92910.000000	44485212.000000	
HEX 11 : FBE3A60	1EC357C0	7A5FF10	
DEC 11 : 264125024.000000	516118464.000000	128319248.000000	
HEX 12 : 18065A6	9B8AF70	58E2D30	
DEC 12 : 25191846.000000	163098480.000000	93203760.000000	
HEX 13 : 18093C4	1D9B2980	11CA32E0	
DEC 13 : 25203652.000000	496707968.000000	298463968.000000	
HEX 14 : 15221D20	113C4FC0	19CA6A60	
DEC 14 : 354557216.000000	289165248.000000	432695904.000000	
HEX 15 : 9EB8780	FF1C46	1CD035A0	
DEC 15 : 166430592.000000	16718918.000000	483407264.000000	
HEX 16 : 1EC16960	17B8C4A0	EA14C40	
DEC 16 : 515991904.000000	397984928.000000	245451840.000000	
HEX 17 : EC812D0	197ADAE0	14576780	
DEC 17 : 247993040.000000	427481824.000000	341272448.000000	
HEX 18 : CF7F0F	FED4280	1FD9FC40	
DEC 18 : 13598479.000000	267207296.000000	534379584.000000	
HEX 19 : 15808780	AF0F960	1153B3C0	
DEC 19 : 360744832.000000	183564640.000000	290698176.000000	
HEX 20 : 39A7000	10EB5440	96E52D0	
DEC 20 : 60452864.000000	283857984.000000	158225104.000000	
HEX 21 : 2841000	26154E0	12D8878	
DEC 21 : 42209280.000000	39933152.000000	19761272.000000	
HEX 22 : 17C8E880	4AB4680	DD7BF10	
DEC 22 : 399042688.000000	78333568.000000	232242960.000000	
HEX 23 : 12355D20	102B97C	83411E0	
DEC 23 : 305487136.000000	16955772.000000	137630176.000000	
HEX 24 : 66B1968	16D65	729C5A8	
DEC 24 : 107682152.000000	93541.000000	120178088.000000	
HEX 25 : EB0B4B0	DF8AB30	10376960	
DEC 25 : 246461616.000000	234400560.000000	272066912.000000	
HEX 26 : 1DCD1C40	19894E40	6B6A0F0	
DEC 26 : 499981376.000000	428428864.000000	112632048.000000	
HEX 27 : 19C15F00	13BB5300	949C5A0	
DEC 27 : 432103168.000000	331043584.000000	155829664.000000	
HEX 28 : 12EAF6A0	8A2BFC0	9AFE4B0	
DEC 28 : 317388448.000000	144883648.000000	162522288.000000	
HEX 29 : BA780F0	78F6700	B5A74B0	
DEC 29 : 195526896.000000	126838528.000000	190477488.000000	
HEX 30 : 36CE1E0	17FC81A0	C0A0F10	
DEC 30 : 57467360.000000	402424224.000000	201985808.000000	
HEX 31 : 414D4B8	1596FF60	38B71E0	
DEC 31 : 68474040.000000	362217312.000000	59470304.000000	
HEX 32 : C6341E0	144A05A0	6BED000	
DEC 32 : 207831520.000000	340395424.000000	113168384.000000	
HEX 33 : 1BDCE960	AF28880	D0A72D0	
DEC 33 : 467462496.000000	183666816.000000	218788560.000000	
HEX 34 : 1232DD20	16AEE	FC6B970	
DEC 34 : 305323296.000000	92910.000000	264681840.000000	
HEX 35 : 77752D0	1ADB5AE0	15791A60	
DEC 35 : 125260496.000000	450583264.000000	360258144.000000	
HEX 36 : 1A098880	11690880	1071F960	
DEC 36 : 436832384.000000	292096128.000000	275904864.000000	
HEX 37 : 1F3BDC40	1D397480	13BF3F00	
DEC 37 : 524016704.000000	490304640.000000	331300608.000000	
HEX 38 : 1498C2E0	16BAB	1214D2E	
DEC 38 : 345555680.000000	93099.000000	18959662.000000	
HEX 39 : 1C528A60	7634CF0	13A8E880	
DEC 39 : 475171424.000000	123948272.000000	329836672.000000	
HEX 40 : 1E29D100	CDFCFA0	2A42878	
DEC 40 : 506056960.000000	215994272.000000	44312696.000000	
HEX 41 : 12E451E0	11014300	AC11690	
DEC 41 : 316953056.000000	285295360.000000	180426384.000000	
HEX 42 : 1B465100	1663E	129D26A0	
DEC 42 : 457593088.000000	91710.000000	312288928.000000	
HEX 43 : 43DE878	16B2D	17F80E20	
DEC 43 : 71166072.000000	92973.000000	402132512.000000	
HEX 44 : 1C6D2A60	1C0CD460	1B952E20	
DEC 44 : 476916320.000000	470602848.000000	462761504.000000	
HEX 45 : 143566A0	1EA0AE60	14D7878	
DEC 45 : 339044000.000000	513846880.000000	21854328.000000	
HEX 46 : 151E34C0	232FFE0	165C63C0	
DEC 46 : 354301120.000000	36896736.000000	375153600.000000	
HEX 47 : 1C8DFD20	14203D6	19ED5E20	
DEC 47 : 479067424.000000	21103574.000000	434986528.000000	
HEX 48 : F5645A0	6A6CCC0	11DB96A0	
DEC 48 : 257312160.000000	111594688.000000	299603616.000000	
HEX 49 : 1B9E0F00	1CDF06A0	406B4B	
DEC 49 : 463343360.000000	484378272.000000	4221771.000000	
HEX 50 : C947970	11C66020	172644C0	
DEC 50 : 211057008.000000	298213408.000000	388383936.000000	
HEX 51 : 50C9968	15F1E720	1AA495A0	
DEC 51 : 84711784.000000	368174880.000000	446993824.000000	
HEX 52 : 35F8788	1FD1C0C0	A472B50	
DEC 52 : 56592264.000000	533840064.000000	172436304.000000	
HEX 53 : 17484E20	19DFC5C0	E8794B0	
DEC 53 : 390614560.000000	434095552.000000	243766448.000000	
HEX 54 : 8FD8970	1AFE7280	7301878	
DEC 54 : 150833520.000000	452883072.000000	120592504.000000	
HEX 55 : B36B780	1C426F	CF793C0	
DEC 55 : 188135296.000000	1852015.000000	217551808.000000	
HEX 56 : 1B609100	E0BBE10	170BE780	
DEC 56 : 459313408.000000	235650576.000000	386656128.000000	
HEX 57 : 48964B8	16BEA	107201E0	
DEC 57 : 76113080.000000	93162.000000	275907040.000000	
HEX 58 : 97F6690	1CC8B000	E7BDA60	
DEC 58 : 159344272.000000	482914304.000000	242997856.000000	
HEX 59 : 106CFE20	4C7E7B0	1BFE84C0	
DEC 59 : 275578400.000000	80209840.000000	469664960.000000	
HEX 60 : 10E3FE20	B368670	17A4AB40	
DEC 60 : 283377184.000000	188122736.000000	396667712.000000	
HEX 61 : 11406000	1F2B28C0	F9B8880	
DEC 61 : 289431552.000000	522922176.000000	261851264.000000	
HEX 62 : 160C5000	16B2D	1D80DA60	
DEC 62 : 369905664.000000	92973.000000	494983776.000000	
HEX 63 : 18BB0C40	1EED2300	81A3E20	
DEC 63 : 414911552.000000	518857472.000000	135937568.000000	
HEX 64 : 158336A0	182B9FA0	1E0C3960	
DEC 64 : 360920736.000000	405512096.000000	504117600.000000	
HEX 65 : 105284C0	E282D30	392ED2C	
DEC 65 : 273843392.000000	237514032.000000	59960620.000000	
HEX 66 : 1CBC5960	1C4A54	1EE05A6	
DEC 66 : 482105696.000000	1854036.000000	32376230.000000	
HEX 67 : 18F80880	17573140	156A9F00	
DEC 67 : 418908288.000000	391590208.000000	359309056.000000	
HEX 68 : 141FA1E0	18A42180	7CE9878	
DEC 68 : 337617376.000000	413409664.000000	130979960.000000	
HEX 69 : 13209E20	13A11100	12736E20	
DEC 69 : 320904736.000000	329322752.000000	309554720.000000	
HEX 70 : 44AE698	5E06960	B658A60	
DEC 70 : 72017560.000000	98593120.000000	191203936.000000	
HEX 71 : ECDB000	17A3EE80	D0A4D30	
DEC 71 : 248360960.000000	396619392.000000	218778928.000000	
HEX 72 : C4D7D30	16B6C	14E1DF00	
DEC 72 : 206404912.000000	93036.000000	350347008.000000	
HEX 73 : 1659878	12BF2000	11F64780	
DEC 73 : 23435384.000000	314515456.000000	301352832.000000	
HEX 74 : 9643A60	648D728	442AC40	
DEC 74 : 157563488.000000	105436968.000000	71478336.000000	
HEX 75 : 190A5B40	5F64E70	5988E20	
DEC 75 : 420109120.000000	100028016.000000	93883936.000000	
HEX 76 : 28131E0	16A6F	1F4B93C0	
DEC 76 : 42021344.000000	92783.000000	525046720.000000	
HEX 77 : 27C1698	B878060	140B1880	
DEC 77 : 41686680.000000	193429600.000000	336271488.000000	
HEX 78 : 1C35AA60	1379E220	1C320960	
DEC 78 : 473279072.000000	326754848.000000	473041248.000000	
HEX 79 : E9D52D0	1A724020	1BCE82E0	
DEC 79 : 245191376.000000	443695136.000000	466518752.000000	
HEX 80 : 8FE0780	DBD2060	53E5698	
DEC 80 : 150865792.000000	230498400.000000	87971480.000000	
HEX 81 : 380CA5C	1D042420	271FF10	
DEC 81 : 58772060.000000	486810656.000000	41025296.000000	
HEX 82 : 176C0E20	D60C580	5F4F788	
DEC 82 : 392957472.000000	224445824.000000	99940232.000000	
HEX 83 : 1FBE91E0	1F0E7DE0	C41B2D0	
DEC 83 : 532582880.000000	521043424.000000	205632208.000000	
HEX 84 : A2FFE20	8187270	19637C40	
DEC 84 : 170917408.000000	135819888.000000	425950272.000000	
HEX 85 : 17CD1C40	8244DD0	1A205100	
DEC 85 : 399318080.000000	136596944.000000	438325504.000000	
HEX 86 : 76D51E0	CEACA90	E890880	
DEC 86 : 124604896.000000	216713872.000000	243861632.000000	
HEX 87 : 90FEF10	140D8020	1055F100	
DEC 87 : 152039184.000000	336429088.000000	274067712.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
