Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 75
HEX 1 : 4AA64B8	E028C90	64383C0	
DEC 1 : 78275768.000000	235048080.000000	105087936.000000	
HEX 2 : 12F666A0	43C4F40	1F50E4C0	
DEC 2 : 318138016.000000	71061312.000000	525395136.000000	
HEX 3 : 2268E20	DEF2900	1B291880	
DEC 3 : 36081184.000000	233777408.000000	455678080.000000	
HEX 4 : 563696	164CAE60	1690FB40	
DEC 4 : 5650070.000000	374124128.000000	378600256.000000	
HEX 5 : BED6A60	1DA20840	672E698	
DEC 5 : 200108640.000000	497158208.000000	108193432.000000	
HEX 6 : 999FE20	38CDEA0	D53B4B	
DEC 6 : 161087008.000000	59563680.000000	13974347.000000	
HEX 7 : 1877AE20	1AAFD540	1157E2E0	
DEC 7 : 410496544.000000	447731008.000000	290972384.000000	
HEX 8 : C268000	76190D0	1EB0A1E0	
DEC 8 : 203849728.000000	123834576.000000	514892256.000000	
HEX 9 : 2EACB4C	16B2D	75D1878	
DEC 9 : 48941900.000000	92973.000000	123541624.000000	
HEX 10 : 116366A0	4E39458	10A87960	
DEC 10 : 291727008.000000	82023512.000000	279476576.000000	
HEX 11 : 78A1000	12A0F420	186C6780	
DEC 11 : 126488576.000000	312538144.000000	409757568.000000	
HEX 12 : 187E7780	6F25DD8	1AFC8E20	
DEC 12 : 410941312.000000	116547032.000000	452759072.000000	
HEX 13 : 17B7B4C0	1BFD2AA0	5DF2C40	
DEC 13 : 397915328.000000	469576352.000000	98511936.000000	
HEX 14 : E3E95A0	DDF8770	14AE21E0	
DEC 14 : 238982560.000000	232753008.000000	346956256.000000	
HEX 15 : 187E7000	E47E030	EA0EA60	
DEC 15 : 410939392.000000	239591472.000000	245426784.000000	
HEX 16 : 4175878	13A2D500	B3C0A60	
DEC 16 : 68638840.000000	329438464.000000	188484192.000000	
HEX 17 : 11E942E0	17B42320	E899D30	
DEC 17 : 300499680.000000	397681440.000000	243899696.000000	
HEX 18 : 3E3F000	B2741D0	D2FDB50	
DEC 18 : 65269760.000000	187122128.000000	221240144.000000	
HEX 19 : 16FF788	10B48F00	11A46F00	
DEC 19 : 24115080.000000	280268544.000000	295988992.000000	
HEX 20 : 17DBF2E0	1EC662	110653C0	
DEC 20 : 400290528.000000	2016866.000000	285627328.000000	
HEX 21 : 16144D20	26DBE	195522E0	
DEC 21 : 370429216.000000	159166.000000	425009888.000000	
HEX 22 : C769880	16690A20	1429E2E0	
DEC 22 : 209098880.000000	375982624.000000	338289376.000000	
HEX 23 : FD2D2	7A82AD0	7BA2968	
DEC 23 : 1037010.000000	128461520.000000	129640808.000000	
HEX 24 : 14531B40	A052BF	A16A2D0	
DEC 24 : 340990784.000000	10506943.000000	169255632.000000	
HEX 25 : 3C5FF10	A368A20	14A80F00	
DEC 25 : 63307536.000000	171346464.000000	346558208.000000	
HEX 26 : 65440F0	16BEA	FE1B5A0	
DEC 26 : 106184944.000000	93162.000000	266450336.000000	
HEX 27 : A3A7690	1AD4C	16752F00	
DEC 27 : 171603600.000000	109900.000000	376778496.000000	
HEX 28 : 102A0C40	6DFC610	97FC1E0	
DEC 28 : 271191104.000000	115328528.000000	159367648.000000	
HEX 29 : 2B12000	2DAF960	15D58780	
DEC 29 : 45162496.000000	47905120.000000	366315392.000000	
HEX 30 : 20CAE20	1752B120	E783C4	
DEC 30 : 34385440.000000	391295264.000000	15172548.000000	
HEX 31 : CE8C780	1A3B9D40	1C178100	
DEC 31 : 216582016.000000	440114496.000000	471302400.000000	
HEX 32 : 5E344B8	19C577C0	1201CE20	
DEC 32 : 98780344.000000	432371648.000000	302108192.000000	
HEX 33 : 17241960	7379E70	C650780	
DEC 33 : 388241760.000000	121085552.000000	207947648.000000	
HEX 34 : 37FAE20	15323060	1FDFFD20	
DEC 34 : 58699296.000000	355610720.000000	534773024.000000	
HEX 35 : 187E7100	10002440	74C5878	
DEC 35 : 410939648.000000	268444736.000000	122443896.000000	
HEX 36 : B5DC0F0	1009D2E0	908E690	
DEC 36 : 190693616.000000	269079264.000000	151578256.000000	
HEX 37 : BD4B4	3CB6B3C	E30C1E0	
DEC 37 : 775348.000000	63662908.000000	238076384.000000	
HEX 38 : CA1AA60	E672E00	1C0404C0	
DEC 38 : 211921504.000000	241643008.000000	470025408.000000	
