Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 5F6BA	DDCA97	1ED8E5A0	
DEC 1 : 390842.000000	14535319.000000	517531040.000000	
HEX 2 : 5A35E60	19302780	AA3AC40	
DEC 2 : 94592608.000000	422586240.000000	178498624.000000	
HEX 3 : B1FED40	1EFF8000	54F3D30	
DEC 3 : 186641728.000000	520060928.000000	89079088.000000	
HEX 4 : 7B9C8B	1007E160	17F5E3C0	
DEC 4 : 8101003.000000	268951904.000000	401990592.000000	
HEX 5 : 90017B0	226B788	17B976A0	
DEC 5 : 151001008.000000	36091784.000000	398030496.000000	
HEX 6 : 7D63E78	63C58B8	105C3E20	
DEC 6 : 131481208.000000	104618168.000000	274480672.000000	
HEX 7 : 12D5BFA0	8679170	1ADBF3C0	
DEC 7 : 315998112.000000	141005168.000000	450622400.000000	
HEX 8 : D0A4BC0	45E4CB8	7543E20	
DEC 8 : 218778560.000000	73288888.000000	122961440.000000	
HEX 9 : 5E06B98	15BE0480	12FC8B40	
DEC 9 : 98593688.000000	364774528.000000	318540608.000000	
HEX 10 : 1F6EFA60	11F01F00	80493C0	
DEC 10 : 527366752.000000	300949248.000000	134517696.000000	
HEX 11 : FDB5280	B4DB1A0	5C80F10	
DEC 11 : 266031744.000000	189641120.000000	96997136.000000	
HEX 12 : 1B25E860	DB00660	13C895A0	
DEC 12 : 455469152.000000	229639776.000000	331912608.000000	
HEX 13 : 375C524	1E926520	2AAFE20	
DEC 13 : 58049828.000000	512910624.000000	44760608.000000	
HEX 14 : 5F3C4	1785F300	175FD780	
DEC 14 : 390084.000000	394654464.000000	392157056.000000	
HEX 15 : 10E904E0	157AC78	19182E20	
DEC 15 : 283706592.000000	22523000.000000	421015072.000000	
HEX 16 : 168504E0	1C3796A0	1FC4F10	
DEC 16 : 377816288.000000	473405088.000000	33312528.000000	
HEX 17 : 118A9900	59B0F1	BD542D0	
DEC 17 : 294295808.000000	5878001.000000	198525648.000000	
HEX 18 : 8BD50B0	996C080	4058C40	
DEC 18 : 146624688.000000	160874624.000000	67472448.000000	
HEX 19 : 178FF6A0	31DCF10	1DC893C0	
DEC 19 : 395310752.000000	52285200.000000	499684288.000000	
HEX 20 : 18A839E0	1735B10	15F18880	
DEC 20 : 413678048.000000	24337168.000000	368150656.000000	
HEX 21 : 7EF8248	1888E500	32195A4	
DEC 21 : 133136968.000000	411624704.000000	52532644.000000	
HEX 22 : 61C18F8	1177F7C0	4FB8788	
DEC 22 : 102504696.000000	293074880.000000	83593096.000000	
HEX 23 : D523A40	1672B040	121B9780	
