Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 1644A1A0	E82F840	1C9743C0	
DEC 1 : 373596576.000000	243464256.000000	479675328.000000	
HEX 2 : E66F1E0	1419800	108812E0	
DEC 2 : 241627616.000000	21075968.000000	277353184.000000	
HEX 3 : CFE8750	1C8EE440	12D54B4	
DEC 3 : 218007376.000000	479126592.000000	19748020.000000	
HEX 4 : 11CBDE2	1507710	153F12E0	
DEC 4 : 18660834.000000	22050576.000000	356455136.000000	
HEX 5 : 7E48C40	F211C40	C819C40	
DEC 5 : 132418624.000000	253828160.000000	209820736.000000	
HEX 6 : 21912D4	8772970	176303C0	
DEC 6 : 35197652.000000	142027120.000000	392364992.000000	
HEX 7 : 1F26BC4	1E9A0800	19DD2000	
DEC 7 : 32664516.000000	513411072.000000	433922048.000000	
HEX 8 : 1A00AEE0	68350F0	CC6BC40	
DEC 8 : 436252384.000000	109269232.000000	214350912.000000	
HEX 9 : A508B80	82FB750	AE35A60	
DEC 9 : 173050752.000000	137344848.000000	182671968.000000	
HEX 10 : C1E5A20	EFCCA20	1F99C3C0	
DEC 10 : 203315744.000000	251447840.000000	530170816.000000	
HEX 11 : 18D07160	1BF899E0	8CEC0F0	
DEC 11 : 416313696.000000	469277152.000000	147767536.000000	
HEX 12 : 13DC7C40	13636CC0	1062E1E0	
DEC 12 : 333216832.000000	325283008.000000	274915808.000000	
HEX 13 : 899CF80	1E121CC0	71B61E0	
DEC 13 : 144297856.000000	504503488.000000	119235040.000000	
HEX 14 : DB9D660	7DFA748	140F2F00	
DEC 14 : 230282848.000000	132097864.000000	336539392.000000	
HEX 15 : 75DABC0	1AABE100	166AC3C0	
DEC 15 : 123579328.000000	447471872.000000	376095680.000000	
HEX 16 : 14D55380	907A290	5459E20	
DEC 16 : 349524864.000000	151495312.000000	88448544.000000	
HEX 17 : 10F7E880	DCE96D0	47B787	
DEC 17 : 284682368.000000	231642832.000000	4700039.000000	
HEX 18 : 1B9474C0	BC48290	730B000	
DEC 18 : 462714048.000000	197427856.000000	120631296.000000	
HEX 19 : 5996DE0	1F7B0800	58DF0F	
DEC 19 : 93941216.000000	528156672.000000	5824271.000000	
HEX 20 : 18F1E9A0	10F85A60	1562E1E0	
DEC 20 : 418507168.000000	284711520.000000	358801888.000000	
HEX 21 : F3C9480	14933CC0	1B87B5A0	
