Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 1 : 10FE5BC0	B603D30	1C4AC880	
DEC 1 : 285105088.000000	190856496.000000	474663040.000000	
HEX 2 : 1971E1	2A9C74C	131ABC40	
DEC 2 : 1667553.000000	44681036.000000	320519232.000000	
HEX 3 : E6D8880	1FD62080	13E54B40	
DEC 3 : 242059392.000000	534126720.000000	333794112.000000	
HEX 4 : 1B6C7620	2F21B4C	9E46E20	
DEC 4 : 460092960.000000	49421132.000000	165965344.000000	
HEX 5 : 116612E0	72E52D	19AFE1E	
DEC 5 : 291902176.000000	7529773.000000	26934814.000000	
HEX 6 : 18E1C6A0	CFE9E20	2458E20	
DEC 6 : 417449632.000000	218013216.000000	38112800.000000	
HEX 7 : 3937F10	E8C3380	15472C40	
DEC 7 : 59997968.000000	244069248.000000	356985920.000000	
HEX 8 : 121CC900	18DEB400	3232E20	
DEC 8 : 303876352.000000	417248256.000000	52637216.000000	
HEX 9 : 1078EB40	A343E60	3D8F0F	
DEC 9 : 276360000.000000	171196000.000000	4034319.000000	
HEX 10 : 1C065260	19FCC520	1EB286A0	
DEC 10 : 470176352.000000	435995936.000000	515016352.000000	
HEX 11 : C03DD30	BC4F0	AD71F10	
DEC 11 : 201579824.000000	771312.000000	181870352.000000	
HEX 12 : 67D9698	1A4C7780	17DA788	
DEC 12 : 108893848.000000	441218944.000000	25012104.000000	
HEX 13 : 15491E20	1DA872E0	1E8B6E20	
DEC 13 : 357113376.000000	497578720.000000	512454176.000000	
HEX 14 : 1BE3E100	C588A60	10756D20	
DEC 14 : 467919104.000000	207129184.000000	276131104.000000	
HEX 15 : 9257F80	1EACD620	DF34880	
DEC 15 : 153452416.000000	514643488.000000	234047616.000000	
HEX 16 : 6F02F10	73D3BC0	148A84C0	
DEC 16 : 116403984.000000	121453504.000000	344622272.000000	
HEX 17 : 191D9800	1443A6E0	4C9A788	
DEC 17 : 421369856.000000	339977952.000000	80324488.000000	
HEX 18 : 1E304EA0	134627C0	137E11E0	
DEC 18 : 506482336.000000	323364800.000000	327029216.000000	
HEX 19 : 2EEABC4	1A82E740	1B02C100	
DEC 19 : 49195972.000000	444786496.000000	453165312.000000	
HEX 20 : 16C4788	193B4160	10270E20	
DEC 20 : 23873416.000000	423313760.000000	270994976.000000	
HEX 21 : 1701FDA0	112A56A0	B54A0F0	
DEC 21 : 386006432.000000	287987360.000000	190095600.000000	
HEX 22 : 16883440	95BB1A0	93281E0	
DEC 22 : 378025024.000000	157004192.000000	154304992.000000	
HEX 23 : 4034000	25F8A20	19DC73C0	
DEC 23 : 67321856.000000	39815712.000000	433877952.000000	
HEX 24 : 139EE000	1FE18DA0	5FB5000	
DEC 24 : 329179136.000000	534875552.000000	100356096.000000	
