Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : 1A7BBD20	50C67C0	218B3C4	
DEC 1 : 444316960.000000	84699072.000000	35173316.000000	
HEX 2 : 1EE9C880	B3F85A0	EC72C40	
DEC 2 : 518637696.000000	188712352.000000	247934016.000000	
HEX 3 : 175FC440	125EA520	503F2D0	
DEC 3 : 392152128.000000	308192544.000000	84144848.000000	
HEX 4 : 9074440	303DCF0	7DB1F10	
DEC 4 : 151471168.000000	50584816.000000	131800848.000000	
HEX 5 : 965C2D0	947CA60	3B25000	
DEC 5 : 157663952.000000	155699808.000000	62017536.000000	
HEX 6 : 771B168	12BCC380	1360D880	
DEC 6 : 124891496.000000	314360704.000000	325113984.000000	
HEX 7 : 11BDB4C	1F8A5CC0	1E9F41E0	
DEC 7 : 18602828.000000	529161408.000000	513753568.000000	
HEX 8 : 5456530	1541BC40	98C6000	
DEC 8 : 88433968.000000	356629568.000000	160194560.000000	
HEX 9 : 17536620	1747D6A	1DBF5F00	
DEC 9 : 391341600.000000	24411498.000000	499080960.000000	
HEX 10 : E97A3C0	12FA6DA0	1A10F100	
DEC 10 : 244818880.000000	318401952.000000	437317888.000000	
HEX 11 : 925C350	41F3620	F4D71E0	
DEC 11 : 153469776.000000	69154336.000000	256733664.000000	
HEX 12 : 336134C	1CE0800	1CA75780	
DEC 12 : 53875532.000000	30279680.000000	480728960.000000	
HEX 13 : 147EA000	181B29E0	920B0F0	
DEC 13 : 343842816.000000	404433376.000000	153137392.000000	
HEX 14 : 1C1C03C0	B74EB50	5B315A8	
DEC 14 : 471598016.000000	192211792.000000	95622568.000000	
HEX 15 : 291A2D4	FCBED70	E738A60	
DEC 15 : 43098836.000000	265022832.000000	242453088.000000	
HEX 16 : C4B5350	C46CCB0	1FE633C0	
DEC 16 : 206263120.000000	205966512.000000	535180224.000000	
HEX 17 : 3704878	18FAAB00	100D8E20	
DEC 17 : 57690232.000000	419080960.000000	269323808.000000	
HEX 18 : 14E96C40	EC8F5A0	16075B40	
DEC 18 : 350841920.000000	248051104.000000	369580864.000000	
HEX 19 : E2A31E0	1A5C37C0	1D5F1880	
DEC 19 : 237646304.000000	442251200.000000	492771456.000000	
HEX 20 : 1868C780	8901A60	197CB000	
DEC 20 : 409520000.000000	143661664.000000	427601920.000000	
HEX 21 : 1410E260	403A348	1549A880	
DEC 21 : 336650848.000000	67347272.000000	357148800.000000	
HEX 22 : 164453C0	13E35400	10A926A0	
DEC 22 : 373576640.000000	333665280.000000	279520928.000000	
HEX 23 : 47425A	CDB45A0	1E0A51E0	
DEC 23 : 4670042.000000	215696800.000000	503992800.000000	
HEX 24 : 4B62440	DC29440	786B1E0	
DEC 24 : 79045696.000000	230855744.000000	126267872.000000	
HEX 25 : D668880	165B8740	74F12D0	
DEC 25 : 224823424.000000	375097152.000000	122622672.000000	
HEX 26 : C493BC0	10357000	31BCF10	
DEC 26 : 206126016.000000	271937536.000000	52154128.000000	
HEX 27 : 1F3D2A60	57A3478	1CC7EE20	
DEC 27 : 524102240.000000	91894904.000000	482864672.000000	
HEX 28 : 65D5E98	1E8439E0	17754100	
DEC 28 : 106782360.000000	511982048.000000	393560320.000000	
HEX 29 : B3628F0	18D2B500	15B72B40	
DEC 29 : 188098800.000000	416462080.000000	364325696.000000	
HEX 30 : 16665F80	872E880	A030970	
DEC 30 : 375807872.000000	141748352.000000	167971184.000000	
HEX 31 : 1973AE20	F548880	B957970	
DEC 31 : 427011616.000000	257198208.000000	194345328.000000	
HEX 32 : 1F6AB4C0	14636100	108E5C40	
DEC 32 : 527086784.000000	342057216.000000	277765184.000000	
HEX 33 : 5B56788	1903D880	1C8E7B40	
DEC 33 : 95774600.000000	419682432.000000	479099712.000000	
HEX 34 : 85E25A	197A2900	1D96B4C	
DEC 34 : 8774234.000000	427436288.000000	31025996.000000	
HEX 35 : 1344FDA0	B55CE20	2D72B4C	
DEC 35 : 323288480.000000	190172704.000000	47655756.000000	
HEX 36 : 1973C3	116B16E0	2D4E878	
DEC 36 : 1668035.000000	292230880.000000	47507576.000000	
HEX 37 : 18DD64C0	2813BC4	E60A690	
DEC 37 : 417162432.000000	42023876.000000	241215120.000000	
HEX 38 : 1E44C100	1666DEA0	2681788	
DEC 38 : 507822336.000000	375840416.000000	40376200.000000	
HEX 39 : 496078	13E643C0	1AB53C40	
DEC 39 : 4808824.000000	333857728.000000	448085056.000000	
HEX 40 : 1A0E13C0	18592F40	15660F00	
DEC 40 : 437130176.000000	408497984.000000	359010048.000000	
HEX 41 : A3E4880	10947B80	CBAD4B0	
DEC 41 : 171853952.000000	278166400.000000	213570736.000000	
HEX 42 : 18211080	99C7D30	119AC3C0	
DEC 42 : 404820096.000000	161250608.000000	295355328.000000	
HEX 43 : 36C125C	5055620	141BF4C0	
DEC 43 : 57414236.000000	84235808.000000	337376448.000000	
HEX 44 : 881AE90	B14BC80	121ACF00	
DEC 44 : 142716560.000000	185908352.000000	303746816.000000	
HEX 45 : EADB710	1DE1AE20	1098FC40	
DEC 45 : 246265616.000000	501329440.000000	278461504.000000	
HEX 46 : 15E60A60	14BC8FC0	1A88B1E0	
DEC 46 : 367397472.000000	347901888.000000	445166048.000000	
HEX 47 : 1A398F0	7D96A98	C81CC40	
DEC 47 : 27498736.000000	131689112.000000	209833024.000000	
HEX 48 : 825EBC0	1F340100	D169B50	
DEC 48 : 136702912.000000	523501824.000000	219585360.000000	
HEX 49 : AD3F080	3C7BB10	1D9606A0	
DEC 49 : 181661824.000000	63421200.000000	496371360.000000	
HEX 50 : 134A710	1E8723C0	A40C780	
DEC 50 : 20227856.000000	512172992.000000	172017536.000000	
