Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 1 : 797F878	11245840	3C02C3C	
DEC 1 : 127400056.000000	287594560.000000	62925884.000000	
HEX 2 : 1469EC40	13416DE0	1EF69E20	
DEC 2 : 342486080.000000	323055072.000000	519478816.000000	
HEX 3 : 14E878	1D9B4260	12ED0F0	
DEC 3 : 1370232.000000	496714336.000000	19845360.000000	
HEX 4 : F1655A0	1F76BE20	3AD24B4	
DEC 4 : 253121952.000000	527875616.000000	61678772.000000	
HEX 5 : 14560960	CEA85A0	1AE6D100	
DEC 5 : 341182816.000000	216696224.000000	451334400.000000	
HEX 6 : 95671E0	96EB000	19DFF10	
DEC 6 : 156660192.000000	158248960.000000	27131664.000000	
HEX 7 : 221A878	6AE9840	2A72C3C	
DEC 7 : 35760248.000000	112105536.000000	44510268.000000	
HEX 8 : 1C860B40	11B6E440	1A9D7100	
DEC 8 : 478546752.000000	297198656.000000	446525696.000000	
HEX 9 : 561AC40	1B8A6C80	1F80AB40	
DEC 9 : 90287168.000000	462056576.000000	528526144.000000	
HEX 10 : 143C2960	4E69478	8FD6F10	
DEC 10 : 339487072.000000	82220152.000000	150826768.000000	
HEX 11 : 1171F000	74F7CB8	F8E1C40	
DEC 11 : 292679680.000000	122649784.000000	260971584.000000	
HEX 12 : 64B0D30	9DC9B80	19091E20	
DEC 12 : 105581872.000000	165452672.000000	420027936.000000	
HEX 13 : 1AAEB780	17D826E0	349E1E0	
DEC 13 : 447657856.000000	400041696.000000	55173600.000000	
HEX 14 : BA5DA60	2D84800	13CAB780	
DEC 14 : 195418720.000000	47728640.000000	332052352.000000	
HEX 15 : 189886A0	49D8130	290A698	
DEC 15 : 412649120.000000	77431088.000000	43034264.000000	
HEX 16 : 135E5100	10657B40	144B9100	
DEC 16 : 324948224.000000	275086144.000000	340496640.000000	
HEX 17 : D08BB50	1092AAA0	19DDDF00	
DEC 17 : 218676048.000000	278047392.000000	433970944.000000	
HEX 18 : C01FC40	39211A4	1C2533C0	
DEC 18 : 201456704.000000	59904420.000000	472200128.000000	
HEX 19 : A2263C0	F9C7000	AABD4B0	
DEC 19 : 170025920.000000	261910528.000000	179033264.000000	
HEX 20 : 1ADE12E0	194AEA60	1CFA13C0	
DEC 20 : 450761440.000000	424340064.000000	486151104.000000	
HEX 21 : 28D5788	B949AD0	1FEB6A60	
DEC 21 : 42817416.000000	194288336.000000	535521888.000000	
HEX 22 : 9F631E0	A4831A0	1F98F100	
DEC 22 : 167129568.000000	172503456.000000	530116864.000000	
HEX 23 : 9C6E970	18515EE0	317FE20	
DEC 23 : 164030832.000000	407985888.000000	51904032.000000	
HEX 24 : 14CA1F00	4ACC9A8	15C3CB40	
DEC 24 : 348790528.000000	78432680.000000	365153088.000000	
HEX 25 : 1AB33E20	1281B000	EE48780	
DEC 25 : 447954464.000000	310489088.000000	249857920.000000	
HEX 26 : 1CEADE20	11660300	1A5F0F	
DEC 26 : 485154336.000000	291898112.000000	1728271.000000	
HEX 27 : B3920F0	388265C	B9FA690	
DEC 27 : 188293360.000000	59254364.000000	195012240.000000	
HEX 28 : 2554A5C	19F21520	7A95000	
DEC 28 : 39144028.000000	435295520.000000	128536576.000000	
HEX 29 : 1A2BB3C0	7761788	1FC54B40	
DEC 29 : 439071680.000000	125179784.000000	533023552.000000	
HEX 30 : 1222ED20	EFC8530	CA402D0	
DEC 30 : 304278816.000000	251430192.000000	212075216.000000	
HEX 31 : 11DD8C40	174D3000	16E75960	
DEC 31 : 299732032.000000	390934528.000000	384260448.000000	
HEX 32 : 34BE878	19B6DF00	159BA6A0	
DEC 32 : 55306360.000000	431415040.000000	362522272.000000	
HEX 33 : 1F1122E0	6469310	10045000	
DEC 33 : 521216736.000000	105288464.000000	268718080.000000	
HEX 34 : BF58E20	18584F40	1DAFA4C0	
DEC 34 : 200642080.000000	408440640.000000	498050240.000000	
HEX 35 : E5F2880	96004F0	17F8FA60	
DEC 35 : 241117312.000000	157287664.000000	402192992.000000	
HEX 36 : 1DA1D1E0	1EC59960	35270F0	
DEC 36 : 497144288.000000	516266336.000000	55734512.000000	
HEX 37 : 1F9FE5A0	34AE3C4	5F2D0F0	
DEC 37 : 530572704.000000	55239620.000000	99799280.000000	
HEX 38 : 13D8DD20	2CC4388	1CFECE20	
DEC 38 : 332979488.000000	46941064.000000	486460960.000000	
HEX 39 : 1E452100	A395380	27E74B4	
DEC 39 : 507846912.000000	171529088.000000	41841844.000000	
HEX 40 : 48E3F10	30BE878	1658FA60	
DEC 40 : 76431120.000000	51112056.000000	374930016.000000	
HEX 41 : 18FDA5A0	177B25A	F7B8A60	
DEC 41 : 419276192.000000	24621658.000000	259754592.000000	
HEX 42 : 6AB7000	1202FD20	1EEE96A0	
DEC 42 : 111898624.000000	302185760.000000	518952608.000000	
HEX 43 : 1B8AA000	1007BCC0	762E968	
DEC 43 : 462069760.000000	268942528.000000	123922792.000000	
HEX 44 : CDEAD30	127D2480	111EB6A0	
DEC 44 : 215919920.000000	310191232.000000	287225504.000000	
