Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
HEX 1 : 102226A0	3632310	1B41EA60	
DEC 1 : 270673568.000000	56828688.000000	457304672.000000	
HEX 2 : 128EF6A0	1576CDA0	CE19B50	
DEC 2 : 311359136.000000	360107424.000000	216111952.000000	
HEX 3 : A7C74B0	1731AD20	1B6DEC40	
DEC 3 : 175928496.000000	389131552.000000	460188736.000000	
HEX 4 : 12717A60	158414C0	3CFC968	
DEC 4 : 309426784.000000	360977600.000000	63949160.000000	
HEX 5 : 1717B5A0	ACBA690	1042B000	
DEC 5 : 387429792.000000	181118608.000000	272805888.000000	
HEX 6 : 511E968	70EE930	A5440F0	
DEC 6 : 85059944.000000	118417712.000000	173293808.000000	
HEX 7 : 17D90A60	16BD6700	16413B40	
DEC 7 : 400099936.000000	381511424.000000	373373760.000000	
HEX 8 : 6442698	1BC4A2A0	4D861E0	
DEC 8 : 105129624.000000	465871520.000000	81289696.000000	
HEX 9 : 7978E20	182310C0	148AED20	
DEC 9 : 127372832.000000	404951232.000000	344648992.000000	
HEX 10 : BDBE0F0	988F620	7D6FB48	
DEC 10 : 198959344.000000	159970848.000000	131529544.000000	
HEX 11 : E553B50	1B2183C0	7D90698	
DEC 11 : 240466768.000000	455181248.000000	131663512.000000	
HEX 12 : 147736A0	9B89310	7262968	
DEC 12 : 343357088.000000	163091216.000000	119941480.000000	
HEX 13 : 11D75C40	F094400	1398D1E0	
DEC 13 : 299326528.000000	252265472.000000	328782304.000000	
HEX 14 : 124E1960	18E7C2E0	1E9366A0	
DEC 14 : 307108192.000000	417841888.000000	512976544.000000	
HEX 15 : 717D2D	CFB5CF0	13F04960	
DEC 15 : 7437613.000000	217799920.000000	334514528.000000	
HEX 16 : 2B5D698	13918220	111485A0	
DEC 16 : 45471384.000000	328303136.000000	286557600.000000	
HEX 17 : 3435B4C	16880B4	1ABEEB40	
DEC 17 : 54745932.000000	23625908.000000	448719680.000000	
HEX 18 : BD14880	8E56ED0	1E090880	
DEC 18 : 198264960.000000	149253840.000000	503908480.000000	
HEX 19 : ACACD30	6DDED3	16D9EF00	
DEC 19 : 181062960.000000	7200467.000000	383381248.000000	
HEX 20 : 96F1B50	1296478	1F0D8A60	
DEC 20 : 158276432.000000	19489912.000000	520981088.000000	
HEX 21 : 5AFBC40	A36E530	131D0F0	
DEC 21 : 95403072.000000	171369776.000000	20041968.000000	
HEX 22 : 7D025A8	14EF3900	79A24B8	
DEC 22 : 131081640.000000	351222016.000000	127542456.000000	
HEX 23 : 114CC100	2BD8400	13D8E000	
DEC 23 : 290242816.000000	45974528.000000	332980224.000000	
HEX 24 : B86E000	FC0CAD0	1AF03B40	
DEC 24 : 193388544.000000	264293072.000000	451951424.000000	
HEX 25 : A303C4	D58A220	C6BA690	
DEC 25 : 10683332.000000	223912480.000000	208381584.000000	
HEX 26 : 135D4A60	51E9B10	D022780	
DEC 26 : 324880992.000000	85891856.000000	218244992.000000	
HEX 27 : 12323960	103A51A0	1E668C40	
DEC 27 : 305281376.000000	272257440.000000	510037056.000000	
HEX 28 : 10F2A000	14B3B780	18798C40	
DEC 28 : 284336128.000000	347322240.000000	410618944.000000	
HEX 29 : 9AD3970	1F51E1E0	C06DA60	
DEC 29 : 162347376.000000	525459936.000000	201775712.000000	
HEX 30 : 187E7000	235565C	11B09780	
DEC 30 : 410939392.000000	37049948.000000	296785792.000000	
HEX 31 : A6DA880	10A86400	138B71E0	
DEC 31 : 174958720.000000	279471104.000000	327905760.000000	
HEX 32 : 187E7000	1BFF8440	1B9AE6A0	
DEC 32 : 410939392.000000	469730368.000000	463136416.000000	
HEX 33 : 24EFA5C	168DFFC0	11FB3C4	
DEC 33 : 38730332.000000	378404800.000000	18854852.000000	
HEX 34 : 3EC3C	B2D00F0	1CB865A0	
DEC 34 : 257084.000000	187498736.000000	481846688.000000	
HEX 35 : BF5E970	535DF88	E608970	
DEC 35 : 200665456.000000	87416712.000000	241207664.000000	
HEX 36 : D1523C0	1053C620	4D3E3C0	
DEC 36 : 219489216.000000	273925664.000000	80995264.000000	
HEX 37 : 6B912D0	9B676D0	11600F00	
DEC 37 : 112792272.000000	162952912.000000	291507968.000000	
HEX 38 : 187E7000	F49AC80	171DA100	
DEC 38 : 410939392.000000	256486528.000000	387817728.000000	
HEX 39 : 187E7000	12315440	102994C0	
DEC 39 : 410939392.000000	305222720.000000	271160512.000000	
HEX 40 : D713780	8629A90	874B4B	
DEC 40 : 225523584.000000	140679824.000000	8866635.000000	
HEX 41 : 853BA60	3E4C310	451D5A8	
DEC 41 : 139704928.000000	65323792.000000	72471976.000000	
HEX 42 : AFB03C0	18007900	5761E2	
DEC 42 : 184222656.000000	402684160.000000	5726690.000000	
HEX 43 : 8784A60	EE413C0	C321F10	
DEC 43 : 142101088.000000	249828288.000000	204611344.000000	
HEX 44 : 187E7000	1A6ED620	FB9A880	
DEC 44 : 410939392.000000	443471392.000000	263825536.000000	
HEX 45 : 4874E20	1A2ECA60	DF9D780	
DEC 45 : 75976224.000000	439274080.000000	234477440.000000	
HEX 46 : D8FB0F0	1E0E6DA0	1BCF1780	
DEC 46 : 227520752.000000	504262048.000000	466556800.000000	
HEX 47 : 187565A0	1462F3C0	1EDCCC40	
DEC 47 : 410346912.000000	342029248.000000	517786688.000000	
HEX 48 : 10161100	19801F40	12BCA000	
DEC 48 : 269881600.000000	427827008.000000	314351616.000000	
HEX 49 : 2DC6000	FA0E1E0	59945A8	
DEC 49 : 47996928.000000	262201824.000000	93930920.000000	
HEX 50 : B5B4B	165B9100	94A61E0	
DEC 50 : 744267.000000	375099648.000000	155869664.000000	
HEX 51 : 2C2878	18820500	1776AD20	
DEC 51 : 2893944.000000	411174144.000000	393653536.000000	
HEX 52 : 1726B960	1085F300	8F1B970	
DEC 52 : 388413792.000000	277213952.000000	150059376.000000	
HEX 53 : 4D99A58	1E77D000	1ACA75A0	
DEC 53 : 81369688.000000	511168512.000000	449476000.000000	
HEX 54 : 12CE23C0	1F61E1E0	169235A0	
DEC 54 : 315499456.000000	526508512.000000	378680736.000000	
HEX 55 : 13E91B40	97FC9E0	18975B40	
DEC 55 : 334043968.000000	159369696.000000	412572480.000000	
HEX 56 : 36D0A5C	168BC700	1DF6D6A0	
DEC 56 : 57477724.000000	378259200.000000	502716064.000000	
HEX 57 : 10599C40	E6BB040	B658A60	
DEC 57 : 274308160.000000	241938496.000000	191203936.000000	
HEX 58 : 187B13C0	11979780	19C51E2	
DEC 58 : 410719168.000000	295147392.000000	27021794.000000	
HEX 59 : 14F8C000	1D428880	3EEDA5C	
DEC 59 : 351846400.000000	490899584.000000	65985116.000000	
HEX 60 : 11B04A60	2D84800	359C968	
DEC 60 : 296766048.000000	47728640.000000	56215912.000000	
HEX 61 : 1A3878	1F9A5100	B30B780	
DEC 61 : 1718392.000000	530206976.000000	187742080.000000	
HEX 62 : B272000	15FB0160	E44CC40	
DEC 62 : 187113472.000000	368771424.000000	239389760.000000	
HEX 63 : 187E7000	C1FFA90	1DF4F960	
DEC 63 : 410939392.000000	203422352.000000	502593888.000000	
HEX 64 : D50FB50	92D3C40	14F8A880	
DEC 64 : 223411024.000000	153959488.000000	351840384.000000	
HEX 65 : 4CEE5A8	228C0B4	129F1F00	
DEC 65 : 80668072.000000	36225204.000000	312418048.000000	
HEX 66 : 45112D0	10E17780	1915D3C0	
DEC 66 : 72422096.000000	283211648.000000	420860864.000000	
HEX 67 : 18721960	356CF4C	7BEB698	
DEC 67 : 410130784.000000	56020812.000000	129939096.000000	
HEX 68 : 1814CB40	18308160	88CB780	
DEC 68 : 404015936.000000	405832032.000000	143439744.000000	
HEX 69 : 66BCF10	7FAC258	18DD7A60	
DEC 69 : 107728656.000000	133874264.000000	417167968.000000	
HEX 70 : 181AE000	66D46D0	E24878	
DEC 70 : 404414464.000000	107824848.000000	14829688.000000	
HEX 71 : 187E7000	3E27C3C	1AA1AB40	
DEC 71 : 410939392.000000	65174588.000000	446802752.000000	
HEX 72 : 9846F10	1F678160	14F4C960	
DEC 72 : 159674128.000000	526877024.000000	351586656.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
