Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 578FFB0	E69D1E0	5786E20	
DEC 1 : 91815856.000000	241816032.000000	91778592.000000	
HEX 2 : 5CA38D0	17DE1AE0	1FD196A	
DEC 2 : 97138896.000000	400431840.000000	33364330.000000	
HEX 3 : 14E925E0	1E830440	1D577000	
DEC 3 : 350823904.000000	511902784.000000	492269568.000000	
HEX 4 : 11E71D40	4A0696	1C3E1780	
DEC 4 : 300358976.000000	4851350.000000	473831296.000000	
HEX 5 : 468B318	950E1E0	1DD415A0	
DEC 5 : 73970456.000000	156295648.000000	500438432.000000	
HEX 6 : 16F8DCC0	9465440	165ABA60	
DEC 6 : 385408192.000000	155604032.000000	375044704.000000	
HEX 7 : 39E5448	52F5878	F849690	
DEC 7 : 60707912.000000	86988920.000000	260347536.000000	
HEX 8 : 13184F60	1EF1E080	41443C0	
DEC 8 : 320360288.000000	519168128.000000	68436928.000000	
HEX 9 : 1D7F7EA0	15B721E0	16DC22E0	
DEC 9 : 494894752.000000	364323296.000000	383525600.000000	
HEX 10 : 1A1F1A80	3557D2C	3147D2C	
DEC 10 : 438246016.000000	55934252.000000	51674412.000000	
HEX 11 : 18EB5900	CDBEBC0	1FF46100	
DEC 11 : 418076928.000000	215739328.000000	536109312.000000	
HEX 12 : 515F558	1D57CB4	1D53BB40	
DEC 12 : 85325144.000000	30768308.000000	492026688.000000	
HEX 13 : 10111680	1D45DDA0	17ADA6A0	
DEC 13 : 269555328.000000	491117984.000000	397256352.000000	
HEX 14 : 1E620FC0	1FA8FB40	17A20B40	
DEC 14 : 509743040.000000	531168064.000000	396495680.000000	
HEX 15 : 11056CE0	10E414C0	1B0222E0	
DEC 15 : 285568224.000000	283382976.000000	453124832.000000	
HEX 16 : 1865D500	14E05000	10EDBC40	
DEC 16 : 409326848.000000	350244864.000000	284015680.000000	
HEX 17 : 7A89668	A7B6440	B835F10	
DEC 17 : 128489064.000000	175858752.000000	193158928.000000	
HEX 18 : C306180	181C9B40	13B9A1E0	
DEC 18 : 204497280.000000	404527936.000000	330932704.000000	
HEX 19 : 5F4FF	1D5934C0	1482FE20	
DEC 19 : 390399.000000	492385472.000000	344129056.000000	
HEX 20 : E54A0D	1FB3FE20	1B9C2880	
DEC 20 : 15026701.000000	531889696.000000	463218816.000000	
HEX 21 : 15867DC0	127B1F00	A64D4B0	
DEC 21 : 361135552.000000	310058752.000000	174380208.000000	
HEX 22 : 12E063C0	1A2AFD20	10F166A0	
DEC 22 : 316695488.000000	439024928.000000	284255904.000000	
HEX 23 : D585CA0	EFF9690	2E41878	
DEC 23 : 223894688.000000	251631248.000000	48502904.000000	
HEX 24 : D778280	7AA1698	57262D0	
DEC 24 : 225936000.000000	128587416.000000	91382480.000000	
HEX 25 : 6F85510	1367A080	108B5880	
DEC 25 : 116938000.000000	325558400.000000	277567616.000000	
HEX 26 : 1D066700	1ACD7900	11544B40	
DEC 26 : 486958848.000000	449673472.000000	290736960.000000	
HEX 27 : 5F04F	86200F0	17C7A4C0	
DEC 27 : 389199.000000	140640496.000000	398959808.000000	
HEX 28 : 19086760	14452800	1DC77780	
DEC 28 : 419981152.000000	340076544.000000	499611520.000000	
HEX 29 : 18148BA0	1E9AE700	D1CC000	
DEC 29 : 403999648.000000	513468160.000000	219987968.000000	
HEX 30 : 14A33620	10BAD440	22C6A5C	
DEC 30 : 346240544.000000	280679488.000000	36465244.000000	
HEX 31 : 1A81AB00	1DA09960	43C32D0	
DEC 31 : 444705536.000000	497064288.000000	71054032.000000	
HEX 32 : 66FE230	4A8E0F0	167AE5A0	
DEC 32 : 107995696.000000	78176496.000000	377152928.000000	
HEX 33 : CCA3BC0	17B53B40	4C1E4B8	
DEC 33 : 214580160.000000	397753152.000000	79815864.000000	
HEX 34 : 83126	C63D530	F6A5A	
DEC 34 : 536870.000000	207869232.000000	1010266.000000	
HEX 35 : 5F67A	1386FE20	48D6788	
DEC 35 : 390778.000000	327613984.000000	76375944.000000	
HEX 36 : 14CDE2A0	729EAD0	1D3FC100	
DEC 36 : 349037216.000000	120187600.000000	490717440.000000	
HEX 37 : 1357A580	BCB2710	7B5A5A8	
DEC 37 : 324511104.000000	197863184.000000	129344936.000000	
HEX 38 : 5FA6D	DF2C350	AA53C40	
DEC 38 : 391789.000000	234013520.000000	178601024.000000	
HEX 39 : 174E5BE0	1DF1BAE0	15B801E0	
DEC 39 : 391011296.000000	502381280.000000	364380640.000000	
HEX 40 : 5F5BD	1AF7B6A0	5B504B8	
DEC 40 : 390589.000000	452441760.000000	95749304.000000	
HEX 41 : 4A95F4	14B33F80	13EC9F00	
DEC 41 : 4888052.000000	347291520.000000	334274304.000000	
HEX 42 : 37FF584	F01BF80	18A20D20	
DEC 42 : 58717572.000000	251772800.000000	413273376.000000	
HEX 43 : E921A20	2A0DA5C	AEF22D0	
DEC 43 : 244455968.000000	44096092.000000	183444176.000000	
HEX 44 : 87B7780	9E330F0	428C3C	
DEC 44 : 142309248.000000	165884144.000000	4361276.000000	
HEX 45 : 68DB940	1C517A60	933F780	
DEC 45 : 109951296.000000	475101792.000000	154400640.000000	
HEX 46 : D7D5F10	1DAB4340	1FF413C0	
DEC 46 : 226320144.000000	497763136.000000	536089536.000000	
HEX 47 : 701F848	14CD8780	9255D30	
DEC 47 : 117569608.000000	349013888.000000	153443632.000000	
HEX 48 : 1C6E4080	CD83DA0	1297B4C0	
DEC 48 : 476987520.000000	215498144.000000	311932096.000000	
HEX 49 : 103B18E0	C5CB970	150B9A60	
DEC 49 : 272308448.000000	207403376.000000	353081952.000000	
HEX 50 : 1BE987A0	1133EBC0	40E8A58	
DEC 50 : 468289440.000000	288615360.000000	68061784.000000	
HEX 51 : 1C9240E0	104C16A0	BE725A0	
DEC 51 : 479346912.000000	273421984.000000	199697824.000000	
HEX 52 : 5F777	145F21E0	1C9C6780	
DEC 52 : 391031.000000	341778912.000000	480012160.000000	
HEX 53 : 1068E4C0	1297E800	10D292E0	
DEC 53 : 275309760.000000	311945216.000000	282235616.000000	
HEX 54 : 1AEC9720	17BAA2E0	A6F4A60	
DEC 54 : 451712800.000000	398107360.000000	175065696.000000	
HEX 55 : D60B700	1BE5BC4	16673960	
DEC 55 : 224442112.000000	29252548.000000	375863648.000000	
HEX 56 : 11B69D00	1E720F0	31BED2C	
DEC 56 : 297180416.000000	31924464.000000	52161836.000000	
HEX 57 : 14BC90C0	176B1DA0	187524C0	
DEC 57 : 347902144.000000	392895904.000000	410330304.000000	
HEX 58 : EC1D7D0	BD07350	DAE91E0	
DEC 58 : 247584720.000000	198210384.000000	229544416.000000	
HEX 59 : 1A8BD1A0	A237620	64674B8	
DEC 59 : 445370784.000000	170096160.000000	105280696.000000	
HEX 60 : 2F83BA	1E4F3000	D041780	
DEC 60 : 3113914.000000	508506112.000000	218371968.000000	
HEX 61 : 16DD4340	1C1FB4C	16C5D2E0	
DEC 61 : 383599424.000000	29489996.000000	382063328.000000	
HEX 62 : 19420840	732AD3	1DD83880	
DEC 62 : 423757888.000000	7547603.000000	500709504.000000	
HEX 63 : 14D69B60	875B880	12050F0	
DEC 63 : 349608800.000000	141932672.000000	18895088.000000	
HEX 64 : 1BBD2480	1B462160	1D26EB40	
DEC 64 : 465380480.000000	457580896.000000	489089856.000000	
HEX 65 : 6762FC0	4E7C440	58803C0	
DEC 65 : 108408768.000000	82297920.000000	92799936.000000	
HEX 66 : C1F0EF0	17F2D5A0	1B40B3C0	
DEC 66 : 203362032.000000	401790368.000000	457225152.000000	
HEX 67 : AE27F	4DDA348	5825A5	
DEC 67 : 713343.000000	81634120.000000	5776805.000000	
HEX 68 : 16346B40	B4951E0	EA7B880	
DEC 68 : 372534080.000000	189354464.000000	245872768.000000	
HEX 69 : 13A97760	19B79960	977DE20	
DEC 69 : 329873248.000000	431462752.000000	158850592.000000	
HEX 70 : 7474F98	12D46880	1DE7CA60	
DEC 70 : 122113944.000000	315910272.000000	501729888.000000	
HEX 71 : 5131560	18471440	189EF780	
DEC 71 : 85136736.000000	407311424.000000	413071232.000000	
HEX 72 : CB36670	1944B880	C4D6780	
DEC 72 : 213083760.000000	423934080.000000	206399360.000000	
HEX 73 : 5F9AF	D6305A0	122763C0	
DEC 73 : 391599.000000	224593312.000000	304571328.000000	
HEX 74 : 13549EA0	180EF000	10B3D2E	
DEC 74 : 324312736.000000	403632128.000000	17513774.000000	
HEX 75 : E093180	12286340	9B0C1E0	
DEC 75 : 235483520.000000	304636736.000000	162578912.000000	
HEX 76 : C01BFD0	1FBCE080	11A146A0	
DEC 76 : 201441232.000000	532471936.000000	295782048.000000	
HEX 77 : 17E4C1E0	10B2F9E0	1733CB40	
DEC 77 : 400867808.000000	280164832.000000	389270336.000000	
HEX 78 : 1AADCDA0	53ABF10	E6F6F10	
DEC 78 : 447597984.000000	87736080.000000	242183952.000000	
HEX 79 : 15891800	4B34D30	8F644B0	
DEC 79 : 361306112.000000	78859568.000000	150357168.000000	
HEX 80 : 5EF0770	1ADD09E0	10907A60	
DEC 80 : 99551088.000000	450693600.000000	277903968.000000	
HEX 81 : 5FA6D	15685800	BE484B0	
DEC 81 : 391789.000000	359159808.000000	199525552.000000	
HEX 82 : 5F4C0	696D5A8	90D9E20	
DEC 82 : 390336.000000	110548392.000000	151887392.000000	
HEX 83 : A67CA30	11A70160	17288880	
DEC 83 : 174574128.000000	296157536.000000	388532352.000000	
HEX 84 : 76F4A70	C3F73C0	12D623C0	
DEC 84 : 124734064.000000	205484992.000000	316023744.000000	
HEX 85 : B0469C0	5FEB788	10A7B1E0	
DEC 85 : 184838592.000000	100579208.000000	279425504.000000	
HEX 86 : 1E0242E0	569B530	1A2013C0	
DEC 86 : 503464672.000000	90813744.000000	438309824.000000	
HEX 87 : 122906E0	16C1C440	1F96C4C0	
DEC 87 : 304678624.000000	381797440.000000	529974464.000000	
HEX 88 : EE88360	B40DF10	1F87B000	
DEC 88 : 250119008.000000	188800784.000000	528986112.000000	
HEX 89 : A759AF0	A7D7D30	1980F000	
DEC 89 : 175479536.000000	175996208.000000	427880448.000000	
HEX 90 : 12F6B7C0	4CA72D0	10A76780	
DEC 90 : 318158784.000000	80376528.000000	279406464.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
