Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 15599500	187DFB40	71CE3C0	
DEC 1 : 358192384.000000	410909504.000000	119333824.000000	
HEX 2 : BDAD5E0	138882E0	11FB4960	
DEC 2 : 198890976.000000	327713504.000000	301680992.000000	
HEX 3 : 8351440	13BD31E0	F0B3C4	
DEC 3 : 137696320.000000	331166176.000000	15774660.000000	
HEX 4 : 907E400	1B8763C0	67A83C0	
DEC 4 : 151512064.000000	461857728.000000	108692416.000000	
HEX 5 : C642170	1E412520	132042E0	
DEC 5 : 207888752.000000	507585824.000000	320881376.000000	
HEX 6 : 110A3480	B0C7170	6D37B48	
DEC 6 : 285881472.000000	185364848.000000	114522952.000000	
HEX 7 : 103055A0	12F01260	4B192D0	
DEC 7 : 271603104.000000	317723232.000000	78746320.000000	
HEX 8 : 346F968	E5E61E	12D14F00	
DEC 8 : 54983016.000000	15066654.000000	315707136.000000	
HEX 9 : 1B80C700	15722A60	37C9B4C	
DEC 9 : 461424384.000000	359803488.000000	58497868.000000	
HEX 10 : B519C80	1B2B3AE0	1A3D2780	
DEC 10 : 189897856.000000	455817952.000000	440215424.000000	
HEX 11 : 1619F220	10D24440	1A82AD20	
DEC 11 : 370799136.000000	282215488.000000	444771616.000000	
HEX 12 : 1C5742E0	19BCDA60	99DC3C0	
DEC 12 : 475480800.000000	431807072.000000	161334208.000000	
HEX 13 : 11F085A0	1A77E4C0	FB97000	
DEC 13 : 300975520.000000	444064960.000000	263811072.000000	
HEX 14 : 18D17AE0	6E54DA8	11C09F00	
DEC 14 : 416381664.000000	115690920.000000	297836288.000000	
HEX 15 : 1E5BAF00	BC272D0	EF7D4B0	
DEC 15 : 509325056.000000	197292752.000000	251122864.000000	
HEX 16 : 18DDC520	17BE63C0	10DBFE20	
DEC 16 : 417187104.000000	398353344.000000	282852896.000000	
HEX 17 : 2166FC4	16989EA0	CB7BA60	
DEC 17 : 35024836.000000	379100832.000000	213367392.000000	
HEX 18 : 9B1A4B0	D44A800	5A0B4B8	
DEC 18 : 162636976.000000	222603264.000000	94418104.000000	
HEX 19 : 3CCBDE0	1AD7FBC0	1A767960	
DEC 19 : 63749600.000000	450362304.000000	443971936.000000	
HEX 20 : 4882C00	7F66788	1DA762E0	
DEC 20 : 76033024.000000	133588872.000000	497509088.000000	
HEX 21 : D23AB50	50B3A58	1FCD2000	
DEC 21 : 220441424.000000	84621912.000000	533536768.000000	
HEX 22 : 17F39620	1E6FC1E0	D889780	
DEC 22 : 401839648.000000	510640608.000000	227055488.000000	
HEX 23 : DDABB10	C5E9350	13274780	
DEC 23 : 232438544.000000	207524688.000000	321341312.000000	
HEX 24 : 34725A	1CEDEC40	91B61E0	
DEC 24 : 3437146.000000	485354560.000000	152789472.000000	
HEX 25 : 7023BC0	C894CB0	1005DF00	
DEC 25 : 117586880.000000	210324656.000000	268820224.000000	
HEX 26 : E9AF8F0	3A7AAD4	4C26878	
DEC 26 : 245037296.000000	61319892.000000	79849592.000000	
HEX 27 : 22652D4	11BD9800	1278CB40	
DEC 27 : 36066004.000000	297637888.000000	309906240.000000	
HEX 28 : 1F12C960	F269DA0	5770F1	
DEC 28 : 521324896.000000	254188960.000000	5730545.000000	
HEX 29 : 1DAC5CC0	9F92620	1EE1E2E0	
DEC 29 : 497835200.000000	167323168.000000	518120160.000000	
HEX 30 : 9E5F130	15985260	1F18F2E0	
DEC 30 : 166064432.000000	362304096.000000	521728736.000000	
HEX 31 : 16DF1700	1FCF3F80	63361E0	
DEC 31 : 383719168.000000	533675904.000000	104030688.000000	
HEX 32 : 175C2260	F5C04B0	50FD0F0	
DEC 32 : 391914080.000000	257688752.000000	84922608.000000	
HEX 33 : 23F6DA4	150F96A0	55922D0	
DEC 33 : 37711268.000000	353343136.000000	89727696.000000	
HEX 34 : 14606FC0	AAD7690	168366A0	
DEC 34 : 341864384.000000	179140240.000000	377710240.000000	
HEX 35 : A4CFF10	4BEAD3	1AAEAB40	
DEC 35 : 172818192.000000	4975315.000000	447654720.000000	
HEX 36 : 1BD08BC0	AF2E4B0	17A6C880	
