Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : 2EBC698	1E2B2F00	1E8784C0	
DEC 1 : 49006232.000000	506146560.000000	512197824.000000	
HEX 2 : 1C865620	D6E169	4D3BD30	
DEC 2 : 478565920.000000	14082409.000000	80985392.000000	
HEX 3 : 99B9800	1625BBC0	661A000	
DEC 3 : 161191936.000000	371571648.000000	107061248.000000	
HEX 4 : 13A80E20	F96CF80	D391D30	
DEC 4 : 329780768.000000	261541760.000000	221846832.000000	
HEX 5 : 1B418260	116E9EA0	CCF3780	
DEC 5 : 457278048.000000	292462240.000000	214906752.000000	
HEX 6 : 19622E20	100BB780	13F825A0	
DEC 6 : 425864736.000000	269203328.000000	335029664.000000	
HEX 7 : 21215A4	1555E5A0	748F4B8	
DEC 7 : 34739620.000000	357950880.000000	122221752.000000	
HEX 8 : 25B696	58AB530	12D21000	
DEC 8 : 2471574.000000	92976432.000000	315756544.000000	
HEX 9 : 12AA4F00	8BD39E0	8A210F0	
DEC 9 : 313151232.000000	146618848.000000	144838896.000000	
HEX 10 : 1319F10	16DF4960	E9BF5A0	
DEC 10 : 20029200.000000	383732064.000000	245101984.000000	
HEX 11 : 927788	108B04C0	14B7CB40	
DEC 11 : 9598856.000000	277546176.000000	347589440.000000	
HEX 12 : 98F6D30	7393CB8	68BB698	
DEC 12 : 160394544.000000	121191608.000000	109819544.000000	
HEX 13 : 12741340	17893440	1E0B7A60	
DEC 13 : 309596992.000000	394867776.000000	504068704.000000	
HEX 14 : 252734C	169B0F00	1AD94000	
DEC 14 : 38957900.000000	379260672.000000	450445312.000000	
HEX 15 : 196A14C0	1F718880	B7AB000	
DEC 15 : 426382528.000000	527534208.000000	192589824.000000	
HEX 16 : 1BC47160	18F2E620	1545ED20	
DEC 16 : 465858912.000000	418571808.000000	356904224.000000	
HEX 17 : 1A386E20	B3D93C0	8A6E970	
DEC 17 : 439905824.000000	188584896.000000	145156464.000000	
HEX 18 : 61BE710	998078	5985698	
DEC 18 : 102491920.000000	10059896.000000	93869720.000000	
HEX 19 : 1409E000	A941000	1939B5A0	
DEC 19 : 336191488.000000	177475584.000000	423212448.000000	
HEX 20 : E6989E0	1092E800	17BB1100	
DEC 20 : 241797600.000000	278063104.000000	398135552.000000	
HEX 21 : 13393800	14537260	135101E0	
DEC 21 : 322516992.000000	341013088.000000	324076000.000000	
HEX 22 : 1AFE1A60	16ADB960	1C6903C0	
DEC 22 : 452860512.000000	380483936.000000	476644288.000000	
HEX 23 : 3A0D9E0	801B9E0	B1DDC40	
DEC 23 : 60873184.000000	134330848.000000	186506304.000000	
HEX 24 : 1792E700	171B4AE0	980B1E0	
DEC 24 : 395503360.000000	387664608.000000	159429088.000000	
HEX 25 : 1ED2F880	7386000	D0C9690	
DEC 25 : 517142656.000000	121135104.000000	218928784.000000	
HEX 26 : 5FE3168	22D22D4	1BDD9000	
DEC 26 : 100544872.000000	36512468.000000	467505152.000000	
HEX 27 : D14F780	18AC3E20	139844C0	
DEC 27 : 219477888.000000	413941280.000000	328746176.000000	
HEX 28 : 6A48258	1C375B40	184832E0	
DEC 28 : 111444568.000000	473389888.000000	407384800.000000	
HEX 29 : 188F5DA0	3F2DC3C	A735D30	
DEC 29 : 412048800.000000	66247740.000000	175332656.000000	
HEX 30 : 2FD9E2	1DFD4520	2FFA1E0	
DEC 30 : 3135970.000000	503137568.000000	50307552.000000	
HEX 31 : 1A6FA960	2C59698	11A5BA60	
DEC 31 : 443525472.000000	46503576.000000	296073824.000000	
HEX 32 : 1D7CADA0	18881260	DF462D0	
DEC 32 : 494710176.000000	411570784.000000	234119888.000000	
HEX 33 : 152A43C0	1012B100	5DCBD30	
DEC 33 : 355091392.000000	269660416.000000	98352432.000000	
HEX 34 : DEBA530	1C2ACBC0	1A3615A0	
DEC 34 : 233547056.000000	472566720.000000	439752096.000000	
HEX 35 : 3657800	1C5EB000	99EBB50	
DEC 35 : 56981504.000000	475967488.000000	161397584.000000	
HEX 36 : F060CB0	102962E0	181DB4C	
DEC 36 : 252054704.000000	271147744.000000	25287500.000000	
HEX 37 : 14206BC0	344C34C	176C1100	
DEC 37 : 337669056.000000	54838092.000000	392958208.000000	
HEX 38 : DEBB620	1A53710	1C5B73C0	
DEC 38 : 233551392.000000	27604752.000000	475755456.000000	
HEX 39 : 161AE080	1A7AAA60	10127000	
DEC 39 : 370860160.000000	444246624.000000	269643776.000000	
HEX 40 : E511530	2DBA800	A6B84B0	
DEC 40 : 240194864.000000	47949824.000000	174818480.000000	
HEX 41 : D82A2D0	1036E4C0	8E200F0	
DEC 41 : 226665168.000000	272032960.000000	149029104.000000	
HEX 42 : B757C40	B6E2E90	1C5E7B40	
DEC 42 : 192248896.000000	191770256.000000	475953984.000000	
HEX 43 : 18B1E9E0	1FC05F00	1B5314C0	
DEC 43 : 414312928.000000	532700928.000000	458429632.000000	
HEX 44 : 174F8E20	60BAF10	3470E20	
DEC 44 : 391089696.000000	101429008.000000	54988320.000000	
HEX 45 : 1D6CA160	1B0D8D20	6DC3878	
DEC 45 : 493658464.000000	453872928.000000	115095672.000000	
HEX 46 : 11E73100	1FF72E20	B79A780	
DEC 46 : 300364032.000000	536292896.000000	192522112.000000	
HEX 47 : 1F5B84C0	1F3B74C0	175A0D20	
DEC 47 : 526091456.000000	523990208.000000	391777568.000000	
HEX 48 : 5AC4348	FBB2780	1A326E20	
DEC 48 : 95175496.000000	263923584.000000	439512608.000000	
HEX 49 : 17E33160	15FA3700	210A878	
DEC 49 : 400765280.000000	368719616.000000	34646136.000000	
HEX 50 : 5667A58	1CB181E0	10DEAA60	
DEC 50 : 90602072.000000	481395168.000000	283028064.000000	
HEX 51 : 1DAFC780	E722620	19EFEA60	
DEC 51 : 498059136.000000	242361888.000000	435153504.000000	
HEX 52 : 3BA5BC4	89D93C0	18B00D20	
DEC 52 : 62544836.000000	144544704.000000	414190880.000000	
HEX 53 : 4DAF800	1033AF80	CFD1000	
DEC 53 : 81459200.000000	271822720.000000	217911296.000000	
HEX 54 : 10E4BF80	1F20AAE0	12E3B1E0	
DEC 54 : 283426688.000000	522234592.000000	316912096.000000	
HEX 55 : 1AC70100	83FB690	16CD7E20	
DEC 55 : 449249536.000000	138393232.000000	382565920.000000	
HEX 56 : 6A4F5A8	14FDE080	14E603C0	
DEC 56 : 111474088.000000	352182400.000000	350618560.000000	
HEX 57 : 17FA0A60	9F76F80	FC171E0	
DEC 57 : 402262624.000000	167210880.000000	264335840.000000	
HEX 58 : 10E16880	AE02620	12659D20	
DEC 58 : 283207808.000000	182461984.000000	308649248.000000	
HEX 59 : B3543C0	1CFD61E0	915E5A0	
DEC 59 : 188040128.000000	486367712.000000	152429984.000000	
HEX 60 : 1D354B4	798B348	3A6A000	
DEC 60 : 30626996.000000	127447880.000000	61251584.000000	
HEX 61 : 2004BC4	7DCDA5	C6BE5A0	
DEC 61 : 33573828.000000	8244645.000000	208397728.000000	
HEX 62 : 1F4D1BC0	7D54620	4433788	
DEC 62 : 525147072.000000	131417632.000000	71513992.000000	
HEX 63 : 133816A0	422ACB8	FFD7D30	
DEC 63 : 322442912.000000	69381304.000000	268270896.000000	
HEX 64 : 72CF000	CA79AD0	13362960	
DEC 64 : 120385536.000000	212310736.000000	322316640.000000	
HEX 65 : 8AE0350	16A1C2E0	DD661E0	
DEC 65 : 145621840.000000	379699936.000000	232153568.000000	
HEX 66 : 1DCECB40	117F4D20	5B9D878	
DEC 66 : 500091712.000000	293555488.000000	96065656.000000	
HEX 67 : C2EF350	66ABA58	16CC66A0	
DEC 67 : 204403536.000000	107657816.000000	382494368.000000	
HEX 68 : 1ADECB40	8034170	1F4BA3C0	
DEC 68 : 450808640.000000	134431088.000000	525050816.000000	
HEX 69 : 1F3C9C40	16FE8780	C870F1	
DEC 69 : 524065856.000000	385779584.000000	13136113.000000	
HEX 70 : 1B556EA0	C3D878	19F28B40	
DEC 70 : 458583712.000000	12834936.000000	435325760.000000	
HEX 71 : B89B080	A4FF260	D1F1780	
DEC 71 : 193572992.000000	173011552.000000	220141440.000000	
HEX 72 : 13B71960	5B1CF88	1EF26780	
DEC 72 : 330766688.000000	95539080.000000	519202688.000000	
HEX 73 : FDAD530	562CE20	2763878	
DEC 73 : 265999664.000000	90361376.000000	41302136.000000	
HEX 74 : B5D11E0	157C0CC0	1C8E4E20	
DEC 74 : 190648800.000000	360451264.000000	479088160.000000	
HEX 75 : 11356B40	16783340	581A5A8	
DEC 75 : 288713536.000000	376976192.000000	92382632.000000	
HEX 76 : 159FAE20	11DEA340	1A3B8E20	
DEC 76 : 362786336.000000	299803456.000000	440110624.000000	
HEX 77 : 14C3A9E0	1A9911E0	177E2100	
DEC 77 : 348367328.000000	446239200.000000	394141952.000000	
HEX 78 : 5662BC0	1332FF80	E0C4B5	
DEC 78 : 90581952.000000	322109312.000000	14730421.000000	
HEX 79 : 1A14B700	CBDE1E0	13BA2D2	
DEC 79 : 437565184.000000	213770720.000000	20685522.000000	
HEX 80 : 7766000	555AA58	11089E20	
DEC 80 : 125198336.000000	89500248.000000	285777440.000000	
HEX 81 : 6F5ED30	1C739F80	BE878	
DEC 81 : 116780336.000000	477339520.000000	780408.000000	
HEX 82 : 157BBD20	1D203EA0	57D81E0	
DEC 82 : 360430880.000000	488652448.000000	92111328.000000	
HEX 83 : 5AC5710	DA51530	5F43968	
DEC 83 : 95180560.000000	228922672.000000	99891560.000000	
HEX 84 : CF2E8F0	10F6BD20	105AEE20	
DEC 84 : 217245936.000000	284605728.000000	274394656.000000	
HEX 85 : 1EE20780	1CCA7EA0	1E7562E0	
DEC 85 : 518129536.000000	483032736.000000	511009504.000000	
HEX 86 : 1026C340	16EA55A0	CF2A970	
DEC 86 : 270975808.000000	384456096.000000	217229680.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
