Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 76
HEX 1 : 73C5698	9AAA710	19367780	
DEC 1 : 121394840.000000	162178832.000000	422999936.000000	
HEX 2 : 19D67F00	1A3D5620	11F2EE20	
DEC 2 : 433487616.000000	440227360.000000	301133344.000000	
HEX 3 : 73D8AD0	3DE3788	1E0404C0	
DEC 3 : 121473744.000000	64894856.000000	503579840.000000	
HEX 4 : 14BCE1E0	26BC3	AC9DE20	
DEC 4 : 347922912.000000	158659.000000	181001760.000000	
HEX 5 : 19F80000	5CB4F88	1540FD20	
DEC 5 : 435683328.000000	97210248.000000	356580640.000000	
HEX 6 : 16B232E0	1252BAE0	4611A58	
DEC 6 : 380777184.000000	307411680.000000	73472600.000000	
HEX 7 : 155866A0	107EE080	1DDA95A0	
DEC 7 : 358114976.000000	276750464.000000	500864416.000000	
HEX 8 : DD312D0	68A5168	1B15C780	
DEC 8 : 231936720.000000	109728104.000000	454412160.000000	
HEX 9 : 17F94160	6235968	7B00878	
DEC 9 : 402211168.000000	102979944.000000	128977016.000000	
HEX 10 : F137F10	11291CC0	478D698	
DEC 10 : 252935952.000000	287907008.000000	75028120.000000	
HEX 11 : 1486A780	DC50260	16E21C40	
DEC 11 : 344369024.000000	231015008.000000	383917120.000000	
HEX 12 : DF24080	1386D700	10D8D960	
DEC 12 : 233980032.000000	327603968.000000	282646880.000000	
HEX 13 : A0C4170	21B78F0	3B1F5A4	
DEC 13 : 168575344.000000	35354864.000000	61994404.000000	
HEX 14 : 10994DA0	5685E98	E043B50	
DEC 14 : 278482336.000000	90726040.000000	235158352.000000	
HEX 15 : E2D2D3	5D2A9E0	1A7A5F00	
DEC 15 : 14865107.000000	97692128.000000	444227328.000000	
HEX 16 : 11D4C800	19F4E6A0	10576880	
DEC 16 : 299157504.000000	435480224.000000	274163840.000000	
HEX 17 : 123311E0	14E20620	17B52B40	
DEC 17 : 305336800.000000	350357024.000000	397749056.000000	
HEX 18 : C0668F0	19D14EA0	154633C0	
DEC 18 : 201746672.000000	433147552.000000	356922304.000000	
HEX 19 : 246F710	15FD5960	18606960	
DEC 19 : 38205200.000000	368925024.000000	408971616.000000	
HEX 20 : 9035F80	FAA6530	15062F00	
DEC 20 : 151216000.000000	262825264.000000	352726784.000000	
HEX 21 : 50978F0	552F9E0	93DE0F0	
DEC 21 : 84506864.000000	89324000.000000	155050224.000000	
HEX 22 : 66999E0	1B629440	39A6F10	
DEC 22 : 107583968.000000	459445312.000000	60452624.000000	
HEX 23 : A27AF80	44E5F10	12CB4A60	
DEC 23 : 170372992.000000	72245008.000000	315312736.000000	
HEX 24 : 7ABC698	B1F00F0	ED3A0F0	
DEC 24 : 128698008.000000	186581232.000000	248750320.000000	
HEX 25 : 7DE7620	137839E0	4285A58	
DEC 25 : 132019744.000000	326646240.000000	69753432.000000	
HEX 26 : 4081078	1AC29520	12D25960	
DEC 26 : 67637368.000000	448959776.000000	315775328.000000	
HEX 27 : 1770E9E0	93BAF80	E87E1E0	
