Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 28320F0	10A34800	4A08878	
DEC 1 : 42148080.000000	279136256.000000	77629560.000000	
HEX 2 : 18B8CF00	46D9530	1CFC8B40	
DEC 2 : 414764800.000000	74290480.000000	486312768.000000	
HEX 3 : 1225C3C	ACBB710	FB1C2D0	
DEC 3 : 19029052.000000	181122832.000000	263307984.000000	
HEX 4 : BA4E1E0	1E334B4	D901000	
DEC 4 : 195355104.000000	31667380.000000	227545088.000000	
HEX 5 : 9E0B880	C595AD0	1D0453C0	
DEC 5 : 165722240.000000	207182544.000000	486822848.000000	
HEX 6 : A77E880	13399E20	E9A82D0	
DEC 6 : 175630464.000000	322543136.000000	245007056.000000	
HEX 7 : 1C7CF5A0	106CD780	1D713E20	
DEC 7 : 477951392.000000	275568512.000000	493960736.000000	
HEX 8 : 182B01E0	21DB968	D190C40	
DEC 8 : 405471712.000000	35502440.000000	219745344.000000	
HEX 9 : 1F7EB4C0	6989530	5DB35A8	
DEC 9 : 528397504.000000	110662960.000000	98252200.000000	
HEX 10 : 191A54C0	B374E20	193026A0	
DEC 10 : 421156032.000000	188173856.000000	422586016.000000	
HEX 11 : 214D5A4	69818F0	166363C0	
DEC 11 : 34919844.000000	110631152.000000	375612352.000000	
HEX 12 : 10E44100	E3AFB50	1B06F5A0	
DEC 12 : 283394304.000000	238746448.000000	453440928.000000	
HEX 13 : 1A1074C0	189E2E20	8B342D0	
DEC 13 : 437286080.000000	413019680.000000	145965776.000000	
HEX 14 : F7BE0F0	17E3E4C0	121A76A0	
DEC 14 : 259776752.000000	400811200.000000	303724192.000000	
HEX 15 : 10B72D2	1A1FD3C0	144C84C0	
DEC 15 : 17527506.000000	438293440.000000	340559040.000000	
HEX 16 : 7A234B8	19F67880	10706960	
DEC 16 : 128070840.000000	435583104.000000	275802464.000000	
HEX 17 : 37B8968	1BFA5080	1B2D6A60	
DEC 17 : 58427752.000000	469389440.000000	455961184.000000	
HEX 18 : 2B4D1E0	1A304D20	1AB62D2	
DEC 18 : 45404640.000000	439373088.000000	28009170.000000	
HEX 19 : 3678F10	147AD160	1A7EBC40	
DEC 19 : 57118480.000000	343593312.000000	444513344.000000	
HEX 20 : 11B51880	6C3B078	1B8FBE20	
DEC 20 : 297080960.000000	113487992.000000	462405152.000000	
HEX 21 : 124A54C0	102D9800	F2FE780	
DEC 21 : 306861248.000000	271423488.000000	254797696.000000	
HEX 22 : 1E8BB000	19F5A520	1DF1EC40	
DEC 22 : 512471040.000000	435528992.000000	502393920.000000	
HEX 23 : 65F02D0	9D5DE20	A107970	
DEC 23 : 106889936.000000	165010976.000000	168851824.000000	
HEX 24 : 4973E20	D8D7F10	17CAF960	
DEC 24 : 77020704.000000	227376912.000000	399178080.000000	
HEX 25 : 129C5F00	1E181000	DC6A780	
DEC 25 : 312237824.000000	504893440.000000	231122816.000000	
HEX 26 : 1784CD20	1BFD89E0	1FBB2E20	
DEC 26 : 394579232.000000	469600736.000000	532360736.000000	
HEX 27 : 10D8AD20	37DD788	12C3A100	
DEC 27 : 282635552.000000	58578824.000000	314810624.000000	
HEX 28 : 1D2462E0	11F4CD20	635C968	
DEC 28 : 488923872.000000	301255968.000000	104188264.000000	
HEX 29 : 45DB5A8	991EBC0	2CF63C4	
DEC 29 : 73250216.000000	160558016.000000	47145924.000000	
HEX 30 : B1692D0	53450F0	675A0F0	
DEC 30 : 186028752.000000	87314672.000000	108372208.000000	
HEX 31 : 19D26960	1090A340	CD2BB50	
DEC 31 : 433219936.000000	277914432.000000	215137104.000000	
HEX 32 : 1B29CE20	1801D520	1781F3C0	
DEC 32 : 455724576.000000	402773280.000000	394392512.000000	
HEX 33 : 6A38E20	1FC491E0	157D06A0	
DEC 33 : 111382048.000000	532976096.000000	360515232.000000	
HEX 34 : 171BC000	1D1B4620	13BBB5A0	
DEC 34 : 387694592.000000	488326688.000000	331068832.000000	
HEX 35 : 7644878	54521E0	1DA5F880	
DEC 35 : 124012664.000000	88416736.000000	497416320.000000	
HEX 36 : 1031F960	1FD1EF00	1D930B40	
DEC 36 : 271710560.000000	533851904.000000	496175936.000000	
HEX 37 : FDDC2D0	147C9960	98212D0	
DEC 37 : 266191568.000000	343710048.000000	159519440.000000	
HEX 38 : 19D76960	1C755000	1A405A6	
DEC 38 : 433547616.000000	477450240.000000	27526566.000000	
HEX 39 : 119A72E0	5669F10	A3A8690	
DEC 39 : 295334624.000000	90611472.000000	171607696.000000	
HEX 40 : 12077D20	19B15B40	19350C40	
DEC 40 : 302480672.000000	431053632.000000	422906944.000000	
HEX 41 : 17E6FD20	55A5F10	149E86A0	
DEC 41 : 401014048.000000	89808656.000000	345933472.000000	
HEX 42 : 109AC100	16616000	2421968	
DEC 42 : 278577408.000000	375480320.000000	37886312.000000	
HEX 43 : 9FA00F0	18E69DA0	183B1100	
DEC 43 : 167379184.000000	417766816.000000	406524160.000000	
HEX 44 : C5B8970	109E3160	157E8B40	
DEC 44 : 207325552.000000	278802784.000000	360614720.000000	
HEX 45 : D9F3000	14B8BC40	1DFBFC40	
DEC 45 : 228536320.000000	347651136.000000	503053376.000000	
HEX 46 : 1428F000	3F6800	18B23F00	
