Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 67
HEX 1 : BF6F970	D5C1000	A5A8E20	
DEC 1 : 200735088.000000	224137216.000000	173706784.000000	
HEX 2 : 19695A6	1B70A4C0	159A5960	
DEC 2 : 26645926.000000	460367040.000000	362436960.000000	
HEX 3 : 96A969	17F306A0	33A2A5C	
DEC 3 : 9873769.000000	401802912.000000	54143580.000000	
HEX 4 : 61FA788	318B5A4	6913E20	
DEC 4 : 102737800.000000	51951012.000000	110181920.000000	
HEX 5 : B3DF970	1499A620	86B3A60	
DEC 5 : 188610928.000000	345613856.000000	141245024.000000	
HEX 6 : 5937E20	15ADA3C0	191411E0	
DEC 6 : 93552160.000000	363701184.000000	420745696.000000	
HEX 7 : 24ABA5C	2E01E2	12FBAF00	
DEC 7 : 38451804.000000	3015138.000000	318484224.000000	
HEX 8 : C14BF10	1BB4A780	D1E11E0	
DEC 8 : 202686224.000000	464824192.000000	220074464.000000	
HEX 9 : 1CB0F10	BAF7C40	1AF9CF00	
DEC 9 : 30084880.000000	196049984.000000	452579072.000000	
HEX 10 : 15AE12E0	147CB340	1854EA60	
DEC 10 : 363729632.000000	343716672.000000	408218208.000000	
HEX 11 : 8AD1000	6F0E8F0	C8453C0	
DEC 11 : 145559552.000000	116451568.000000	209998784.000000	
HEX 12 : 45835A8	76ADAD0	12A84000	
DEC 12 : 72889768.000000	124443344.000000	313016320.000000	
HEX 13 : 14D213C0	94A9E20	1C3E2F00	
DEC 13 : 349311936.000000	155885088.000000	473837312.000000	
HEX 14 : 653DA58	1A4C3520	823DA60	
DEC 14 : 106158680.000000	441201952.000000	136567392.000000	
HEX 15 : 187E7000	34575A4	199AF780	
DEC 15 : 410939392.000000	54883748.000000	429586304.000000	
HEX 16 : 60663C0	1E104960	1A0896A	
DEC 16 : 101082048.000000	504383840.000000	27298154.000000	
HEX 17 : 116C8A60	C8B9440	42E20F0	
DEC 17 : 292325984.000000	210474048.000000	70131952.000000	
HEX 18 : 6E6696	1EEE4D20	77651E0	
DEC 18 : 7235222.000000	518933792.000000	125194720.000000	
HEX 19 : 8CED780	17117880	1BC2000	
DEC 19 : 147773312.000000	387020928.000000	29106176.000000	
HEX 20 : 821AD30	147316A0	F5B5780	
DEC 20 : 136424752.000000	343086752.000000	257644416.000000	
HEX 21 : C5EEC40	7418620	5F6B4B8	
DEC 21 : 207547456.000000	121734688.000000	100054200.000000	
HEX 22 : EDF9780	53FCB48	1A02BF00	
DEC 22 : 249534336.000000	88066888.000000	436387584.000000	
HEX 23 : 18388C40	DA80880	1670C000	
DEC 23 : 406359104.000000	229116032.000000	376487936.000000	
HEX 24 : 4B40698	1DEDB780	E8874B0	
DEC 24 : 78907032.000000	502118272.000000	243823792.000000	
HEX 25 : 10416000	5278F1	F8C9C40	
DEC 25 : 272719872.000000	5404913.000000	260873280.000000	
HEX 26 : 10715780	1AA2B960	146C96A0	
DEC 26 : 275863424.000000	446871904.000000	342660768.000000	
HEX 27 : FD6A690	14202080	E5D13C0	
DEC 27 : 265725584.000000	337649792.000000	240980928.000000	
HEX 28 : 2BB9698	D21FBC0	BB202D0	
DEC 28 : 45848216.000000	220330944.000000	196215504.000000	
HEX 29 : 183896A0	8C8C080	C29B4B0	
DEC 29 : 406361760.000000	147374208.000000	204059824.000000	
HEX 30 : 16619000	1E8BF2E0	185C3000	
DEC 30 : 375492608.000000	512488160.000000	408694784.000000	
HEX 31 : 14DEBB40	112152E	1FD3DE20	
DEC 31 : 350141248.000000	17962286.000000	533978656.000000	
HEX 32 : 187E7100	1E886100	11221B40	
DEC 32 : 410939648.000000	512254208.000000	287447872.000000	
HEX 33 : 17480D20	15DE16A	D0D6000	
DEC 33 : 390597920.000000	22929770.000000	218980352.000000	
HEX 34 : 187E7000	13ACA3C0	B1981E0	
DEC 34 : 410939392.000000	330081216.000000	186221024.000000	
HEX 35 : 1E47D2E	150649E0	B2E5F10	
DEC 35 : 31751470.000000	352733664.000000	187588368.000000	
HEX 36 : 187E7000	18F18F00	5B89F10	
DEC 36 : 410939392.000000	418483968.000000	95985424.000000	
HEX 37 : 10BC35A0	824B440	CF274B0	
DEC 37 : 280769952.000000	136623168.000000	217216176.000000	
HEX 38 : FE99880	11235D20	1BD38B40	
DEC 38 : 266967168.000000	287530272.000000	466848576.000000	
HEX 39 : 187E7000	398E4B4	5F6B968	
DEC 39 : 410939392.000000	60351668.000000	100055400.000000	
HEX 40 : 47073C0	FCC2710	14841780	
