Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : 1DE109C	1C8B92E0	1435BD20	
DEC 1 : 31330460.000000	478909152.000000	339066144.000000	
HEX 2 : 1456CFE0	15BB5780	10E93000	
DEC 2 : 341233632.000000	364599168.000000	283717632.000000	
HEX 3 : 1B717540	15A64100	1D21F780	
DEC 3 : 460420416.000000	363217152.000000	488765312.000000	
HEX 4 : BBB5CD0	1A2F6F00	1749FE20	
DEC 4 : 196828368.000000	439316224.000000	390725152.000000	
HEX 5 : 1CAAEDE0	62DFF10	CD6F000	
DEC 5 : 480964064.000000	103677712.000000	215412736.000000	
HEX 6 : 5F777	1EE3AD2	2D78C3C	
DEC 6 : 391031.000000	32389842.000000	47680572.000000	
HEX 7 : 19DC75C0	40A4CB8	1C1174C0	
DEC 7 : 433878464.000000	67783864.000000	470906048.000000	
HEX 8 : 10E16B20	15BA5CC0	6B3F5A8	
DEC 8 : 283208480.000000	364534976.000000	112457128.000000	
HEX 9 : 1766ADA0	4742CB8	11EFA880	
DEC 9 : 392605088.000000	74722488.000000	300918912.000000	
HEX 10 : F188D10	C348F80	13609F00	
DEC 10 : 253267216.000000	204771200.000000	325099264.000000	
HEX 11 : D62F220	1C612100	1E9A7F00	
DEC 11 : 224588320.000000	476127488.000000	513441536.000000	
HEX 12 : 1A3AB520	115184C0	F524E20	
DEC 12 : 440055072.000000	290555072.000000	257052192.000000	
HEX 13 : FE323A0	1A645A60	D049A60	
DEC 13 : 266544032.000000	442784352.000000	218405472.000000	
HEX 14 : 17FAF000	1BFF5E20	12F443C0	
DEC 14 : 402321408.000000	469720608.000000	317998016.000000	
HEX 15 : 12B68680	69D6530	1CF102E0	
DEC 15 : 313951872.000000	110978352.000000	485556960.000000	
HEX 16 : B44B3F0	97CA000	1E2B1880	
DEC 16 : 189051888.000000	159162368.000000	506140800.000000	
HEX 17 : 11879700	1731B900	1B0C56A0	
DEC 17 : 294098688.000000	389134592.000000	453793440.000000	
HEX 18 : 63186E0	532BE98	5A91000	
DEC 18 : 103909088.000000	87211672.000000	94965760.000000	
HEX 19 : A3E2970	7AD60F0	16EE94C0	
DEC 19 : 171846000.000000	128803056.000000	384734400.000000	
HEX 20 : 1049C520	1093F6A0	D34F4B0	
DEC 20 : 273270048.000000	278132384.000000	221574320.000000	
HEX 21 : 16A466E0	1932B000	3518F10	
DEC 21 : 379872992.000000	422752256.000000	55676688.000000	
HEX 22 : B7D5ED0	E299C40	7EE6878	
DEC 22 : 192765648.000000	237608000.000000	133064824.000000	
HEX 23 : 90BC880	20EE1E	1A650D20	
DEC 23 : 151767168.000000	2158110.000000	442830112.000000	
HEX 24 : A53A230	160B8000	A655F10	
DEC 24 : 173253168.000000	369852416.000000	174415632.000000	
HEX 25 : 2100CF0	EA8D690	1A324880	
DEC 25 : 34606320.000000	245946000.000000	439502976.000000	
HEX 26 : 71BCE40	2E169E0	CDA4A60	
DEC 26 : 119262784.000000	48327136.000000	215632480.000000	
HEX 27 : 3D71DF	5A23168	EC56A60	
DEC 27 : 4026847.000000	94515560.000000	247818848.000000	
HEX 28 : ED8A41	1802E000	D0ED3C0	
DEC 28 : 15567425.000000	402841600.000000	219075520.000000	
HEX 29 : 16E403A0	412FE98	8136B50	
DEC 29 : 384041888.000000	68353688.000000	135490384.000000	
HEX 30 : CC42C60	7C3D620	DC2BD30	
DEC 30 : 214183008.000000	130274848.000000	230866224.000000	
HEX 31 : 18ABF960	12C38CC0	81935A0	
DEC 31 : 413923680.000000	314805440.000000	135869856.000000	
HEX 32 : 57EA8B0	282F168	1432A1E0	
DEC 32 : 92186800.000000	42135912.000000	338862560.000000	
HEX 33 : 186B19E	16CED1E0	199FD960	
DEC 33 : 25604510.000000	382652896.000000	429906272.000000	
HEX 34 : 19188520	B424970	8884970	
DEC 34 : 421037344.000000	188893552.000000	143149424.000000	
HEX 35 : 1FD9C440	FBB1F10	1EA0AB40	
DEC 35 : 534365248.000000	263921424.000000	513846080.000000	
HEX 36 : 123F01C0	1E517780	70AC000	
DEC 36 : 306119104.000000	508655488.000000	118145024.000000	
HEX 37 : 1F7A1700	C3CD8F0	112633C0	
DEC 37 : 528094976.000000	205314288.000000	287716288.000000	
HEX 38 : 41EBB48	11C8B1E0	A4762D0	
DEC 38 : 69122888.000000	298365408.000000	172450512.000000	
HEX 39 : 10A267A0	DB61CB0	1A97A780	
DEC 39 : 279078816.000000	230038704.000000	446146432.000000	
HEX 40 : 11E030E0	1E7B7880	1698A6A0	
DEC 40 : 299905248.000000	511408256.000000	379102880.000000	
HEX 41 : 626A950	C3C55A0	2FBDB4C	
