Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 1A7FF520	B222880	20B34B4	
DEC 1 : 444593440.000000	186787968.000000	34288820.000000	
HEX 2 : 6AF12D	FF2CBC0	2D5B3C4	
DEC 2 : 7008557.000000	267570112.000000	47559620.000000	
HEX 3 : 674BF10	12C00260	1CA42C40	
DEC 3 : 108314384.000000	314573408.000000	480521280.000000	
HEX 4 : 59D90F0	58BCB4	15A7BD20	
DEC 4 : 94212336.000000	5815476.000000	363314464.000000	
HEX 5 : C1925A	89531E0	1C713B40	
DEC 5 : 12685914.000000	143995360.000000	477182784.000000	
HEX 6 : 12FFFAE0	9DAE1E0	110DC5A0	
DEC 6 : 318765792.000000	165339616.000000	286115232.000000	
HEX 7 : B5B48F0	1506D780	F2B8690	
DEC 7 : 190531824.000000	352769920.000000	254510736.000000	
HEX 8 : 174DC300	1D33B780	F4A0880	
DEC 8 : 390972160.000000	489928576.000000	256510080.000000	
HEX 9 : 311BC78	57200F0	10BC14C0	
DEC 9 : 51494008.000000	91357424.000000	280761536.000000	
HEX 10 : FC28CF0	1118E080	1DF64780	
DEC 10 : 264408304.000000	286843008.000000	502679424.000000	
HEX 11 : 98704F0	1953B1E0	9442B50	
DEC 11 : 159843568.000000	424915424.000000	155462480.000000	
HEX 12 : 138DA100	177BDAE0	9138D30	
DEC 12 : 328048896.000000	393992928.000000	152276272.000000	
HEX 13 : 174C3220	11B47620	49EF3C0	
DEC 13 : 390869536.000000	297039392.000000	77525952.000000	
HEX 14 : 13E9BBC0	BF541E0	81D8D30	
DEC 14 : 334085056.000000	200622560.000000	136154416.000000	
HEX 15 : 3F5674C	12B91E20	107E1C40	
DEC 15 : 66414412.000000	314121760.000000	276700224.000000	
HEX 16 : 4C47ED0	1A47DA6	56945A8	
DEC 16 : 79986384.000000	27557286.000000	90785192.000000	
HEX 17 : 7FE9748	8C37F10	1E81EF00	
DEC 17 : 134125384.000000	147029776.000000	511831808.000000	
HEX 18 : 15339000	1C67B880	B8E969	
DEC 18 : 355700736.000000	476559488.000000	12118377.000000	
HEX 19 : D2C4FC0	B2A0690	B606880	
DEC 19 : 221007808.000000	187303568.000000	190867584.000000	
HEX 20 : 19944260	D4EA530	127F4000	
DEC 20 : 429146720.000000	223257904.000000	310329344.000000	
HEX 21 : 13998E20	834C8F0	153B2D2	
DEC 21 : 328830496.000000	137677040.000000	22262482.000000	
HEX 22 : 1E770900	7EFE710	147E24C0	
DEC 22 : 511117568.000000	133162768.000000	343811264.000000	
HEX 23 : 1B87BDA0	3680BC4	8CDE1E	
DEC 23 : 461880736.000000	57150404.000000	9231902.000000	
HEX 24 : 1A2FA660	7DA4348	8D044B0	
DEC 24 : 439330400.000000	131744584.000000	147866800.000000	
HEX 25 : 13CFC2E0	FF1C440	168E4100	
DEC 25 : 332382944.000000	267502656.000000	378421504.000000	
HEX 26 : 8102D70	17BDD700	15663000	
DEC 26 : 135277936.000000	398317312.000000	359018496.000000	
HEX 27 : BAEC660	1DAA31E0	199F5000	
DEC 27 : 196003424.000000	497693152.000000	429871104.000000	
HEX 28 : 1B0092E	1797F160	1966DE20	
DEC 28 : 28313902.000000	395833696.000000	426171936.000000	
HEX 29 : 6AFBED0	10EFC880	9B4B3C0	
DEC 29 : 112180944.000000	284149888.000000	162837440.000000	
HEX 30 : 71D8258	1D1FC000	20475A4	
DEC 30 : 119374424.000000	488620032.000000	33846692.000000	
HEX 31 : B769B10	3D4E788	B4FED30	
DEC 31 : 192322320.000000	64284552.000000	189787440.000000	
HEX 32 : 177D16E0	16C084C0	182295A0	
DEC 32 : 394073824.000000	381715648.000000	404919712.000000	
