Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 1FDC3B40	CB243C0	145DEA60	
DEC 1 : 534526784.000000	213009344.000000	341699168.000000	
HEX 2 : 198DDD20	72A1CB8	19F326A0	
DEC 2 : 428727584.000000	120200376.000000	435365536.000000	
HEX 3 : 11AFA800	268FF88	1C1772E0	
DEC 3 : 296724480.000000	40435592.000000	471298784.000000	
HEX 4 : 5783788	123DEAE0	1A10B100	
DEC 4 : 91764616.000000	306047712.000000	437301504.000000	
HEX 5 : F118F80	ADD03C0	12B11A60	
DEC 5 : 252809088.000000	182256576.000000	313596512.000000	
HEX 6 : DC9DC40	197FA780	F1004B0	
DEC 6 : 231332928.000000	427796352.000000	252708016.000000	
HEX 7 : 1DCE2160	75421E0	F80CC40	
DEC 7 : 500048224.000000	122954208.000000	260099136.000000	
HEX 8 : 1B69AF80	12B70EA0	153224C0	
DEC 8 : 459911040.000000	313986720.000000	355607744.000000	
HEX 9 : 1C581F80	1D7A4880	AD783C0	
DEC 9 : 475537280.000000	494553216.000000	181896128.000000	
HEX 10 : 6035698	F6AD440	B8D25A0	
DEC 10 : 100882072.000000	258659392.000000	193799584.000000	
HEX 11 : 11246CC0	1D98DB40	9B5D4B0	
DEC 11 : 287599808.000000	496556864.000000	162911408.000000	
HEX 12 : 55745A8	1AC0BA60	1993D6A0	
DEC 12 : 89605544.000000	448838240.000000	429119136.000000	
HEX 13 : 4FD2078	1433E440	165C788	
DEC 13 : 83697784.000000	338945088.000000	23447432.000000	
HEX 14 : 883AAD0	1D6151E0	134671E0	
DEC 14 : 142846672.000000	492917216.000000	323383776.000000	
HEX 15 : FA5F970	7251E20	BEA8C40	
DEC 15 : 262535536.000000	119873056.000000	199920704.000000	
HEX 16 : 1759F440	522A8F0	5B305A8	
DEC 16 : 391771200.000000	86157552.000000	95618472.000000	
HEX 17 : 3D61078	ED904B0	12D37D20	
DEC 17 : 64360568.000000	249103536.000000	315850016.000000	
HEX 18 : 2C5F0F	13A07780	DC20E20	
DEC 18 : 2907919.000000	329283456.000000	230821408.000000	
HEX 19 : 124AE9E0	1C8B25A0	162FAB40	
DEC 19 : 306899424.000000	478881184.000000	372222784.000000	
HEX 20 : 18949DA0	AF79710	13864A60	
DEC 20 : 412392864.000000	183998224.000000	327567968.000000	
HEX 21 : 13C686A0	16137EA0	C09FC40	
DEC 21 : 331777696.000000	370376352.000000	201980992.000000	
HEX 22 : D19EE20	1D0E6C40	1BE374C0	
DEC 22 : 219803168.000000	487484480.000000	467891392.000000	
HEX 23 : 432F440	A52CB50	18DED1E0	
DEC 23 : 70448192.000000	173198160.000000	417255904.000000	
HEX 24 : 1D077900	1FAC2B40	120D64C0	
DEC 24 : 487028992.000000	531376960.000000	302867648.000000	
HEX 25 : 13A2E9E0	59C4BC0	158FBF00	
DEC 25 : 329443808.000000	94129088.000000	361742080.000000	
HEX 26 : 3C43C	A915A6	180BC780	
DEC 26 : 246844.000000	11081126.000000	403425152.000000	
HEX 27 : C6EF0F0	17D38000	168371E0	
DEC 27 : 208597232.000000	399736832.000000	377713120.000000	
HEX 28 : 1EFE4800	1D4B7C40	3A4E1E	
DEC 28 : 519981056.000000	491486272.000000	3821086.000000	
HEX 29 : A2FBAD0	277D3C4	E260C40	
DEC 29 : 170900176.000000	41407428.000000	237374528.000000	
HEX 30 : 8CA8F10	162B79E0	9B6B690	
DEC 30 : 147492624.000000	371948000.000000	162969232.000000	
HEX 31 : 163DAA60	1C7D0100	F237C40	
DEC 31 : 373140064.000000	477954304.000000	253983808.000000	
HEX 32 : 9891710	F53C3C0	4E5B968	
DEC 32 : 159979280.000000	257147840.000000	82164072.000000	
HEX 33 : 932A970	8A24690	85444B0	
DEC 33 : 154315120.000000	144852624.000000	139740336.000000	
HEX 34 : 16852B40	5A6B3C0	E9B43C0	
DEC 34 : 377826112.000000	94811072.000000	245056448.000000	
HEX 35 : 2F9FF10	1B71D780	F47A5A	
DEC 35 : 49938192.000000	460445568.000000	16022106.000000	
HEX 36 : 10951800	10C4F080	2AC0D2C	
