Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 1B1BCB4	65C4F88	17FF8960	
DEC 1 : 28425396.000000	106712968.000000	402622816.000000	
HEX 2 : 19775F00	1C225960	6E270F0	
DEC 2 : 427253504.000000	472013152.000000	115503344.000000	
HEX 3 : F18A4B0	1BD0CB40	184263C0	
DEC 3 : 253273264.000000	466668352.000000	407004096.000000	
HEX 4 : 135F5A60	134B5C40	154804C0	
DEC 4 : 325016160.000000	323705920.000000	357041344.000000	
HEX 5 : 133CB340	56518F0	C5B5C40	
DEC 5 : 322745152.000000	90511600.000000	207313984.000000	
HEX 6 : 1C2434C0	9607CB0	1954C5A0	
DEC 6 : 472134848.000000	157318320.000000	424986016.000000	
HEX 7 : FBCE880	DC6D800	965B0F0	
DEC 7 : 264038528.000000	231135232.000000	157659376.000000	
HEX 8 : F101CB0	6C918F0	5400F10	
DEC 8 : 252714160.000000	113842416.000000	88084240.000000	
HEX 9 : 1D7A3000	1036FBC0	CB1CB50	
DEC 9 : 494546944.000000	272038848.000000	212978512.000000	
HEX 10 : 16606440	8FF1880	3A5A5A	
DEC 10 : 375415872.000000	150935680.000000	3824218.000000	
HEX 11 : 17E94800	16AAAE20	EA155A0	
DEC 11 : 401164288.000000	380284448.000000	245454240.000000	
HEX 12 : 1A65D2E0	11499440	1B334B40	
DEC 12 : 442880736.000000	290034752.000000	456346432.000000	
HEX 13 : FF09C40	6577348	1C7FFD20	
DEC 13 : 267426880.000000	106394440.000000	478149920.000000	
HEX 14 : 2AD99E0	EE698F0	C85BF10	
DEC 14 : 44931552.000000	249993456.000000	210091792.000000	
HEX 15 : E0F4440	14AE8780	1A6ED780	
DEC 15 : 235881536.000000	346982272.000000	443471744.000000	
HEX 16 : 9A200F0	1953B100	C72B3C0	
DEC 16 : 161612016.000000	424915200.000000	208843712.000000	
HEX 17 : 9C84A60	1161AF80	C440A60	
DEC 17 : 164121184.000000	291614592.000000	205785696.000000	
HEX 18 : DE2FB50	9305A6	10C4B4C0	
DEC 18 : 232979280.000000	9635238.000000	281326784.000000	
HEX 19 : 35C9620	1CA9AD20	F4EC2D0	
DEC 19 : 56399392.000000	480881952.000000	256819920.000000	
HEX 20 : 1F473960	1A550E20	FB70E20	
DEC 20 : 524761440.000000	441781792.000000	263654944.000000	
HEX 21 : 13C5AF80	1805C3C0	1E4CD2E	
DEC 21 : 331722624.000000	403030976.000000	31771950.000000	
HEX 22 : 1E11B1E0	2E64F10	1CA6A5A0	
DEC 22 : 504476128.000000	48647952.000000	480683424.000000	
HEX 23 : 1FE5F3C0	178C8440	187F83C0	
DEC 23 : 535163840.000000	395084864.000000	411009984.000000	
HEX 24 : 1E481C40	16CD8CC0	9239E20	
DEC 24 : 508042304.000000	382569664.000000	153329184.000000	
HEX 25 : 12EC3960	19D262E0	9CDFD30	
DEC 25 : 317471072.000000	433218272.000000	164494640.000000	
HEX 26 : 1692CBC0	A3C28F0	7A6F1E0	
DEC 26 : 378719168.000000	171714800.000000	128381408.000000	
HEX 27 : 78190F0	19D9F3C0	1A76DD20	
DEC 27 : 125931760.000000	433714112.000000	443997472.000000	
HEX 28 : AE04710	4695A5	9DFA0F0	
DEC 28 : 182470416.000000	4625829.000000	165650672.000000	
HEX 29 : 1CE676A0	8CE94B0	B79EB50	
DEC 29 : 484865696.000000	147756208.000000	192539472.000000	
HEX 30 : 31C91E0	1633C5A0	137D23C0	
DEC 30 : 52204000.000000	372491680.000000	326968256.000000	
HEX 31 : 189F51E0	8120CB0	11D2B3C0	
DEC 31 : 413094368.000000	135400624.000000	299021248.000000	
HEX 32 : 184A0DA0	18EA76A0	163DEB40	
DEC 32 : 407506336.000000	418018976.000000	373156672.000000	
HEX 33 : 1610F5A0	FD0DA6	11C465A0	
DEC 33 : 370210208.000000	16584102.000000	298083744.000000	
HEX 34 : 16260100	EC60CB0	DA511E0	
DEC 34 : 371589376.000000	247860400.000000	228921824.000000	
HEX 35 : F801E2	1CF83A60	17DF2B40	
DEC 35 : 16253410.000000	486029920.000000	400501568.000000	
HEX 36 : D7931E0	15664EA0	713B698	
DEC 36 : 226046432.000000	359026336.000000	118732440.000000	
HEX 37 : 76D19E0	461B168	1C7623C0	
DEC 37 : 124590560.000000	73511272.000000	477504448.000000	
HEX 38 : 1320FE20	F671D30	27CB1E0	
DEC 38 : 320929312.000000	258415920.000000	41726432.000000	
HEX 39 : 233F1E0	1680EF80	B227880	
DEC 39 : 36958688.000000	377548672.000000	186808448.000000	
HEX 40 : 1E269B40	CA8AB50	1FCD8880	
DEC 40 : 505846592.000000	212380496.000000	533563520.000000	
HEX 41 : 4B971E0	10965260	1898D100	
DEC 41 : 79262176.000000	278286944.000000	412668160.000000	
HEX 42 : 39071E0	1CE7BD20	6E0D1E0	
DEC 42 : 59797984.000000	484949280.000000	115397088.000000	
HEX 43 : 15B9A620	1EFF05A0	19E1CB40	
DEC 43 : 364488224.000000	520029600.000000	434228032.000000	
HEX 44 : 7704168	17BC7960	2125968	
DEC 44 : 124797288.000000	398227808.000000	34756968.000000	
HEX 45 : 3BC5DA4	1FA34000	1EDBAC40	
DEC 45 : 62676388.000000	530792448.000000	517712960.000000	
HEX 46 : 7789F10	4273620	463F788	
DEC 46 : 125345552.000000	69678624.000000	73660296.000000	
HEX 47 : 50E1E	16D29F80	3EF8E20	
DEC 47 : 331294.000000	382902144.000000	66031136.000000	
HEX 48 : A04C350	1F783D20	118B04C0	
DEC 48 : 168084304.000000	527973664.000000	294323392.000000	
HEX 49 : B9B5690	F7A3880	2CF7D2C	
DEC 49 : 194729616.000000	259668096.000000	47152428.000000	
HEX 50 : 1E0E5F00	1E7DAD20	163D01E0	
DEC 50 : 504258304.000000	511552800.000000	373096928.000000	
HEX 51 : 1CABCA60	6F2D788	3FCCF10	
DEC 51 : 481020512.000000	116578184.000000	66899728.000000	
HEX 52 : 1B367780	B7C5A6	50F0F	
DEC 52 : 456554368.000000	12043686.000000	331535.000000	
HEX 53 : 15B28780	2DD5E20	4B395A8	
DEC 53 : 364021632.000000	48061984.000000	78878120.000000	
HEX 54 : 1FD93100	C624170	12BA43C0	
DEC 54 : 534327552.000000	207765872.000000	314196928.000000	
HEX 55 : 1713E440	3A8A3C4	193F05A0	
DEC 55 : 387179584.000000	61383620.000000	423560608.000000	
HEX 56 : 6198F10	1FD3F10	1336FF00	
DEC 56 : 102338320.000000	33373968.000000	322371328.000000	
HEX 57 : 1AAB95A0	EF81970	3782788	
DEC 57 : 447452576.000000	251140464.000000	58206088.000000	
HEX 58 : C735AD0	C9C9E2	18280A60	
DEC 58 : 208886480.000000	13224418.000000	405277280.000000	
HEX 59 : 164493C0	17822620	1D5B63C0	
DEC 59 : 373593024.000000	394405408.000000	492528576.000000	
HEX 60 : 1BB38880	15BBF080	542B4B	
DEC 60 : 464750720.000000	364638336.000000	5516107.000000	
HEX 61 : 104CB3C0	147AA000	E6A83C0	
DEC 61 : 273462208.000000	343580672.000000	241861568.000000	
HEX 62 : 263E96	161D7D20	1AE0BC40	
DEC 62 : 2506390.000000	371031328.000000	450935872.000000	
HEX 63 : 112BB3C0	5CA6800	1517A3C0	
DEC 63 : 288076736.000000	97150976.000000	353870784.000000	
HEX 64 : BFACB50	1CBF86A0	5EA0878	
DEC 64 : 200985424.000000	482313888.000000	99223672.000000	
HEX 65 : A703A60	17ED1620	13CD4D20	
DEC 65 : 175127136.000000	401413664.000000	332221728.000000	
HEX 66 : 2E8D078	9EEA0F0	2D05968	
DEC 66 : 48812152.000000	166633712.000000	47208808.000000	
HEX 67 : 9FF09E0	A0C2440	18387A60	
DEC 67 : 167709152.000000	168567872.000000	406354528.000000	
HEX 68 : 52A1698	11B99C40	5FE82D0	
DEC 68 : 86644376.000000	297376832.000000	100565712.000000	
HEX 69 : 1370E800	2D05A5	1F087960	
DEC 69 : 326166528.000000	2950565.000000	520649056.000000	
HEX 70 : 6D0000	1DE01E2	5BE2968	
DEC 70 : 7143424.000000	31326690.000000	96348520.000000	
HEX 71 : 16A55CC0	13926260	7DD2000	
DEC 71 : 379935936.000000	328360544.000000	131932160.000000	
HEX 72 : 19286C40	1EB066A0	F369B50	
DEC 72 : 422079552.000000	514877088.000000	255236944.000000	
HEX 73 : BAF8E20	BDF9A60	1F53C100	
DEC 73 : 196054560.000000	199203424.000000	525582592.000000	
HEX 74 : 1C2613C0	1D328000	1D6802E0	
DEC 74 : 472257472.000000	489848832.000000	493355744.000000	
HEX 75 : 1B731960	1283FDA0	13D88D20	
DEC 75 : 460527968.000000	310640032.000000	332959008.000000	
HEX 76 : AEF51E0	106EBEA0	1457BB40	
DEC 76 : 183456224.000000	275693216.000000	341293888.000000	
HEX 77 : 1768CA60	8B4DB50	1F5CF100	
DEC 77 : 392743520.000000	146070352.000000	526184704.000000	
HEX 78 : BEB0CB0	7018B48	D1595A0	
DEC 78 : 199953584.000000	117541704.000000	219518368.000000	
HEX 79 : 85921E0	129B9D20	1EE14780	
DEC 79 : 140059104.000000	312188192.000000	518080384.000000	
HEX 80 : 62A8AD0	9611CB0	11C5C880	
DEC 80 : 103451344.000000	157359280.000000	298174592.000000	
HEX 81 : 4F29788	4A81BC0	B782780	
DEC 81 : 83007368.000000	78126016.000000	192423808.000000	
HEX 82 : 13BBA5A0	DC8BF80	1B2EB4C0	
DEC 82 : 331064736.000000	231260032.000000	456045760.000000	
HEX 83 : 12A73800	1B6E8880	1127B780	
DEC 83 : 312948736.000000	460228736.000000	287815552.000000	
HEX 84 : 10000260	BFD5AD0	10FB7000	
DEC 84 : 268436064.000000	201153232.000000	284913664.000000	
HEX 85 : 3905878	B0BC710	1DA11780	
DEC 85 : 59791480.000000	185321232.000000	497096576.000000	
HEX 86 : 19D0C000	1F568F0	AF35780	
DEC 86 : 433111040.000000	32860400.000000	183719808.000000	
HEX 87 : 1DE31000	1D1EF10	14C67100	
DEC 87 : 501420032.000000	30535440.000000	348549376.000000	
HEX 88 : 8404BC0	B267E20	7FA7F10	
DEC 88 : 138431424.000000	187072032.000000	133857040.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
