Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : D6BE2D0	9926DA0	A984B5	
DEC 1 : 225174224.000000	160591264.000000	11109557.000000	
HEX 2 : 18E00D20	C67CB5	1A1404C0	
DEC 2 : 417336608.000000	13008053.000000	437519552.000000	
HEX 3 : A8EE880	11C44B4	ED3B970	
DEC 3 : 177137792.000000	18629812.000000	248756592.000000	
HEX 4 : 12115F00	1CCC2100	4BF787	
DEC 4 : 303128320.000000	483139840.000000	4978567.000000	
HEX 5 : B495E20	10AFEC40	E3913C0	
DEC 5 : 189357600.000000	279964736.000000	238621632.000000	
HEX 6 : FE14A60	17F24D20	C0DB0F0	
DEC 6 : 266422880.000000	401755424.000000	202223856.000000	
HEX 7 : 16BDEC40	70E4800	AD911E0	
DEC 7 : 381545536.000000	118376448.000000	181998048.000000	
HEX 8 : 378EE20	44B8A58	105F7000	
DEC 8 : 58256928.000000	72059480.000000	274690048.000000	
HEX 9 : 886CE20	B11AD3	796C968	
DEC 9 : 143052320.000000	11606739.000000	127322472.000000	
HEX 10 : 1E4185A0	17B3CAE0	289F4B4	
DEC 10 : 507610528.000000	397658848.000000	42595508.000000	
HEX 11 : E682A60	1975B880	186D2A60	
DEC 11 : 241707616.000000	427145344.000000	409807456.000000	
HEX 12 : 189292E0	12F61160	F325A60	
DEC 12 : 412259040.000000	318116192.000000	254958176.000000	
HEX 13 : 13A73880	1F847A60	160121E0	
DEC 13 : 329726080.000000	528775776.000000	369172960.000000	
HEX 14 : 80935A0	C8D0780	1BB23A60	
DEC 14 : 134821280.000000	210569088.000000	464665184.000000	
HEX 15 : 13BD8C40	7221CB8	1F5755A0	
DEC 15 : 331189312.000000	119676088.000000	525817248.000000	
HEX 16 : 6FB1D30	1B7E5E20	17FE74C0	
DEC 16 : 117120304.000000	461266464.000000	402552000.000000	
HEX 17 : 1A78E3C0	7DFAF10	1C0D01E0	
DEC 17 : 444130240.000000	132099856.000000	470614496.000000	
HEX 18 : 1CFBA6A0	66595A8	6B01D30	
DEC 18 : 486254240.000000	107320744.000000	112205104.000000	
HEX 19 : 181FE1E	FC223C0	19402960	
DEC 19 : 25296414.000000	264381376.000000	423635296.000000	
HEX 20 : D7E7F10	174E0F80	2AA13C4	
DEC 20 : 226393872.000000	390991744.000000	44700612.000000	
HEX 21 : 34C1788	1B6B7C40	1EF73780	
DEC 21 : 55318408.000000	460028992.000000	519518080.000000	
HEX 22 : 1B151E20	179E05A0	1D3BE3C0	
DEC 22 : 454368800.000000	396232096.000000	490464192.000000	
HEX 23 : 49A1788	11F77520	B00B2D0	
DEC 23 : 77207432.000000	301430048.000000	184595152.000000	
HEX 24 : 16B40C40	1A853100	1079E880	
DEC 24 : 380898368.000000	444936448.000000	276424832.000000	
HEX 25 : 35984B4	15253440	3D2BA5C	
DEC 25 : 56198324.000000	354759744.000000	64141916.000000	
HEX 26 : 1185F6A0	5379E20	FF5AD30	
DEC 26 : 293992096.000000	87531040.000000	267758896.000000	
HEX 27 : 1916DF00	127A5A	91E6970	
DEC 27 : 420929280.000000	1210970.000000	152988016.000000	
HEX 28 : 91C10F0	1792AF00	8C7C880	
DEC 28 : 152834288.000000	395489024.000000	147310720.000000	
HEX 29 : 1C9C76A0	F38EBC0	1C499F00	
DEC 29 : 480016032.000000	255388608.000000	474586880.000000	
HEX 30 : 129AD780	1FCE4960	C60AC40	
DEC 30 : 312137600.000000	533612896.000000	207662144.000000	
HEX 31 : C0E6C40	18A2CF00	1FB2C6A0	
DEC 31 : 202271808.000000	413323008.000000	531809952.000000	
HEX 32 : FFF03C0	2846F88	7C1DE20	
DEC 32 : 268370880.000000	42233736.000000	130145824.000000	
HEX 33 : B01AB50	62688F0	150A0E20	
