Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 68
HEX 1 : 7150000	1130F5A0	77B2F10	
DEC 1 : 118816768.000000	288421280.000000	125513488.000000	
HEX 2 : 10EB5A60	137A9E2	1CEAB4C0	
DEC 2 : 283859552.000000	20425186.000000	485143744.000000	
HEX 3 : 184B7B40	EE169	87051E0	
DEC 3 : 407599936.000000	975209.000000	141578720.000000	
HEX 4 : 1729D3C0	10BD3E20	FA665A0	
DEC 4 : 388617152.000000	280837664.000000	262563232.000000	
HEX 5 : 187E6F00	3717E98	1B7596A	
DEC 5 : 410939136.000000	57769624.000000	28793194.000000	
HEX 6 : 96C2E20	3884F88	1FE08780	
DEC 6 : 158084640.000000	59264904.000000	534808448.000000	
HEX 7 : 187E7000	5788000	E3543C0	
DEC 7 : 410939392.000000	91783168.000000	238371776.000000	
HEX 8 : CC9AE20	14B5078	167E8880	
DEC 8 : 214543904.000000	21713016.000000	377391232.000000	
HEX 9 : AE8B4B0	1E483880	1F103A60	
DEC 9 : 183022768.000000	508049536.000000	521157216.000000	
HEX 10 : 3A24878	1B678960	14EC5B40	
DEC 10 : 60967032.000000	459770208.000000	351034176.000000	
HEX 11 : 4A3B0F0	10693F00	1ED19B40	
DEC 11 : 77836528.000000	275332864.000000	517053248.000000	
HEX 12 : 10E176A0	3E38710	7A9B968	
DEC 12 : 283211424.000000	65242896.000000	128563560.000000	
HEX 13 : 1846AB40	FE033C0	7C22F10	
DEC 13 : 407284544.000000	266351552.000000	130166544.000000	
HEX 14 : BBE72D0	10F85700	128A7C40	
DEC 14 : 197030608.000000	284710656.000000	311065664.000000	
HEX 15 : 11E292E0	D986B50	154BC5A0	
DEC 15 : 300061408.000000	228092752.000000	357287328.000000	
HEX 16 : 2CCF968	B037710	7ED0E20	
DEC 16 : 46987624.000000	184776464.000000	132976160.000000	
HEX 17 : A47AB50	1AC1CB40	1171C100	
DEC 17 : 172469072.000000	448908096.000000	292667648.000000	
HEX 18 : 108681E0	9A1CF80	1CB46F00	
DEC 18 : 277250528.000000	161599360.000000	481586944.000000	
HEX 19 : 90E22D0	16ED0080	182B3A60	
DEC 19 : 151921360.000000	384630912.000000	405486176.000000	
HEX 20 : 1256F880	78D7E20	5391E2	
DEC 20 : 307689600.000000	126713376.000000	5476834.000000	
HEX 21 : 61A8878	17F6B100	1FDFC100	
DEC 21 : 102402168.000000	402043136.000000	534757632.000000	
HEX 22 : 179B54C0	8638710	752F3C0	
DEC 22 : 396055744.000000	140740368.000000	122876864.000000	
HEX 23 : 7313C4	142A1260	9724E20	
DEC 23 : 7541700.000000	338301536.000000	158486048.000000	
HEX 24 : 5BCCC40	ED63080	16F25D20	
DEC 24 : 96259136.000000	248918144.000000	384982304.000000	
HEX 25 : D489B50	1F2ED2E	8B42D3	
DEC 25 : 222862160.000000	32697646.000000	9126611.000000	
HEX 26 : 3B3C968	4F80CB8	3872E20	
DEC 26 : 62114152.000000	83365048.000000	59190816.000000	
HEX 27 : 5EB03C0	194E9880	4D0BB48	
DEC 27 : 99288000.000000	424581248.000000	80788296.000000	
HEX 28 : E511E2	1CE826A0	1C54CA60	
DEC 28 : 15012322.000000	484976288.000000	475318880.000000	
HEX 29 : 1171B000	147EBBC0	77C04B8	
DEC 29 : 292663296.000000	343849920.000000	125568184.000000	
HEX 30 : 187E71E0	16E29000	50462D0	
DEC 30 : 410939872.000000	383946752.000000	84173520.000000	
HEX 31 : 176F1C40	176BCD20	13F2EA60	
DEC 31 : 393157696.000000	392940832.000000	334686816.000000	
HEX 32 : 14846780	138CD1E0	1B14A2E0	
DEC 32 : 344221568.000000	327995872.000000	454337248.000000	
HEX 33 : 6A85B48	B4CEE90	FAF1690	
DEC 33 : 111696712.000000	189591184.000000	263132816.000000	
HEX 34 : 4E47878	13476BC0	10438880	
DEC 34 : 82081912.000000	323447744.000000	272861312.000000	
HEX 35 : 919C2D0	14BAB4C	8515880	
DEC 35 : 152683216.000000	21736268.000000	139548800.000000	
HEX 36 : 187E7000	CC8C780	18CFB100	
DEC 36 : 410939392.000000	214484864.000000	416264448.000000	
