Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 92
HEX 1 : 1D3B4D00	B6742D0	107F1960	
DEC 1 : 490425600.000000	191316688.000000	276765024.000000	
HEX 2 : 11DA0460	13245A6	F92C780	
DEC 2 : 299500640.000000	20071846.000000	261277568.000000	
HEX 3 : 141164A0	161BE5A0	3C78698	
DEC 3 : 336684192.000000	370927008.000000	63407768.000000	
HEX 4 : 1B0B66C0	18EE6100	38C2B4C	
DEC 4 : 453732032.000000	418275584.000000	59517772.000000	
HEX 5 : E455120	1ED13D20	578C788	
DEC 5 : 239423776.000000	517029152.000000	91801480.000000	
HEX 6 : 1DAFC400	179B56A0	1F4C72E0	
DEC 6 : 498058240.000000	396056224.000000	525103840.000000	
HEX 7 : 62D9800	17AFF1E0	1E5A5E20	
DEC 7 : 103651328.000000	397406688.000000	509238816.000000	
HEX 8 : 5F7F5	6AEF000	C29A5A	
DEC 8 : 391157.000000	112128000.000000	12753498.000000	
HEX 9 : 5F6BA	21434B4	19D0B880	
DEC 9 : 390842.000000	34878644.000000	433109120.000000	
HEX 10 : 1AE7B540	75A0F10	30FE968	
DEC 10 : 451392832.000000	123342608.000000	51374440.000000	
HEX 11 : 5A0DB30	E0231E0	161602E0	
DEC 11 : 94427952.000000	235024864.000000	370541280.000000	
HEX 12 : A9A7080	1E54ED20	C079780	
DEC 12 : 177893504.000000	508882208.000000	201824128.000000	
HEX 13 : 5F5BD	1BFFC6A0	1DE2CA60	
DEC 13 : 390589.000000	469747360.000000	501402208.000000	
HEX 14 : 5F8F2	1197A6A0	128F7880	
DEC 14 : 391410.000000	295151264.000000	311392384.000000	
HEX 15 : CDA33C0	4181C40	1BEDB1E0	
DEC 15 : 215626688.000000	68688960.000000	468562400.000000	
HEX 16 : 5F7B6	E53BC40	A5E4B5	
DEC 16 : 391094.000000	240368704.000000	10871989.000000	
HEX 17 : 5FBA9	EF4F970	1BF93100	
DEC 17 : 392105.000000	250935664.000000	469315840.000000	
HEX 18 : 6897870	8BEAF10	3ECB878	
DEC 18 : 109672560.000000	146714384.000000	65845368.000000	
HEX 19 : A4C9B90	23A4F10	3AB63C4	
DEC 19 : 172792720.000000	37375760.000000	61563844.000000	
HEX 20 : FF760D0	129296A0	902A4B0	
DEC 20 : 267870416.000000	311596704.000000	151168176.000000	
HEX 21 : 2483B74	804DB50	1DDA71E0	
DEC 21 : 38288244.000000	134536016.000000	500855264.000000	
HEX 22 : 9BB6BA0	16CB0000	8E340F0	
DEC 22 : 163277728.000000	382402560.000000	149111024.000000	
HEX 23 : 5F7B6	1BC174C0	165C36A0	
DEC 23 : 391094.000000	465663168.000000	375142048.000000	
HEX 24 : 1FAA8CC0	2C563C4	1C3D02E0	
DEC 24 : 531270848.000000	46490564.000000	473760480.000000	
HEX 25 : 75D59E8	1C9615A0	18C28100	
DEC 25 : 123558376.000000	479597984.000000	415400192.000000	
HEX 26 : 188EC4C0	3C08D2C	18E8A960	
DEC 26 : 412009664.000000	62950700.000000	417900896.000000	
HEX 27 : 1C9D2D00	70B4D30	A6373C0	
DEC 27 : 480062720.000000	118181168.000000	174289856.000000	
HEX 28 : 16A4A380	1F167960	BB48C40	
DEC 28 : 379888512.000000	521566560.000000	196381760.000000	
HEX 29 : 1BA36C00	870B970	1F247C40	
DEC 29 : 463694848.000000	141605232.000000	522484800.000000	
HEX 30 : 199D9C40	148A3E20	19C1AF00	
DEC 30 : 429759552.000000	344604192.000000	432123648.000000	
HEX 31 : C134830	7C65A5	AC6AC40	
DEC 31 : 202590256.000000	8152485.000000	180792384.000000	
HEX 32 : 1E5F0300	83FB2D0	173CC780	
DEC 32 : 509543168.000000	138392272.000000	389859200.000000	
HEX 33 : 17EE5880	17CD41E0	A4F33C0	
DEC 33 : 401496192.000000	399327712.000000	172962752.000000	
HEX 34 : FA5F0F0	81763C0	D802B50	
DEC 34 : 262533360.000000	135750592.000000	226503504.000000	
HEX 35 : 1118C640	5BC4C40	6726968	
DEC 35 : 286836288.000000	96226368.000000	108161384.000000	
HEX 36 : C65DDF0	158F31E0	19774B4	
DEC 36 : 208002544.000000	361705952.000000	26703028.000000	
HEX 37 : 15B79D80	19CEF000	1D7692E0	
DEC 37 : 364354944.000000	432992256.000000	494310112.000000	
HEX 38 : DA91B20	181BEA60	1DA09F00	
DEC 38 : 229186336.000000	404482656.000000	497065728.000000	
HEX 39 : 305435C	155DC4C0	4A604B8	
DEC 39 : 50676572.000000	358466752.000000	77989048.000000	
HEX 40 : 15CF9800	158D76A0	112CD100	
DEC 40 : 365926400.000000	361592480.000000	288149760.000000	
HEX 41 : 10E43C60	1A3CD880	B681B50	
DEC 41 : 283393120.000000	440195200.000000	191372112.000000	
HEX 42 : 1CE586C0	19DB0E20	14415100	
DEC 42 : 484804288.000000	433786400.000000	339824896.000000	
HEX 43 : 2695F8C	BC6DF10	E6ACA60	
DEC 43 : 40460172.000000	197582608.000000	241879648.000000	
HEX 44 : 14BCA2C0	44C1878	2A0F0	
DEC 44 : 347906752.000000	72095864.000000	172272.000000	
HEX 45 : 151CD1C0	1D79E880	2A0E968	
DEC 45 : 354210240.000000	494528640.000000	44099944.000000	
HEX 46 : 5F8F2	A1345A0	77B75A8	
DEC 46 : 391410.000000	169035168.000000	125531560.000000	
HEX 47 : B593680	133C45A0	17504880	
DEC 47 : 190396032.000000	322717088.000000	391137408.000000	
HEX 48 : 7081210	67ABE20	17CA74C0	
DEC 48 : 117969424.000000	108707360.000000	399144128.000000	
HEX 49 : 195F5C20	30D4878	10B86F00	
DEC 49 : 425679904.000000	51202168.000000	280522496.000000	
HEX 50 : 1C3C5DC0	E8C3D30	82EBC40	
DEC 50 : 473718208.000000	244071728.000000	137280576.000000	
HEX 51 : A3BF6E0	C7EFA60	10532E20	
DEC 51 : 171701984.000000	209648224.000000	273886752.000000	
HEX 52 : D46FA40	96E5880	9F0D2D	
DEC 52 : 222755392.000000	158226560.000000	10423597.000000	
HEX 53 : B3F9420	197A9960	131B3880	
DEC 53 : 188716064.000000	427465056.000000	320551040.000000	
HEX 54 : 6923A30	1F1C6E20	1FEB2E20	
DEC 54 : 110246448.000000	521956896.000000	535506464.000000	
HEX 55 : 11EDE840	16E662E0	177C0C40	
DEC 55 : 300804160.000000	384197344.000000	394005568.000000	
HEX 56 : 15EFAD00	A0A5A60	11C3FE20	
DEC 56 : 368028928.000000	168450656.000000	298057248.000000	
HEX 57 : 1E3FE5A0	1C96A6A0	D5EF2D0	
DEC 57 : 507504032.000000	479635104.000000	224326352.000000	
HEX 58 : 113BAB60	5F5E000	15FFDF00	
DEC 58 : 289123168.000000	99999744.000000	369090304.000000	
HEX 59 : 79A49C0	1BC51000	321C3C	
DEC 59 : 127551936.000000	465899520.000000	3284028.000000	
HEX 60 : 3061EF0	3236968	7A283C0	
DEC 60 : 50732784.000000	52652392.000000	128091072.000000	
HEX 61 : 76AEE00	FB900F0	6363C4	
DEC 61 : 124448256.000000	263782640.000000	6513604.000000	
HEX 62 : 11F004E0	1CDC06A0	12630880	
DEC 62 : 300942560.000000	484181664.000000	308480128.000000	
HEX 63 : 14AA46C0	C73A000	3947B4C	
DEC 63 : 346703552.000000	208904192.000000	60062540.000000	
HEX 64 : B0BAF50	403FF10	11D95780	
DEC 64 : 185315152.000000	67370768.000000	299456384.000000	
HEX 65 : 43117A0	1592B6A0	1767A880	
DEC 65 : 70326176.000000	361936544.000000	392669312.000000	
HEX 66 : 10D70020	106225A0	1C9DA960	
DEC 66 : 282525728.000000	274867616.000000	480094560.000000	
HEX 67 : CB73240	BE822D0	7B5B3C0	
DEC 67 : 213332544.000000	199762640.000000	129348544.000000	
HEX 68 : 1C8F3660	1269C780	132932E0	
DEC 68 : 479147616.000000	308922240.000000	321467104.000000	
HEX 69 : 5EB3A20	F100690	8711F10	
DEC 69 : 99301920.000000	252708496.000000	141631248.000000	
HEX 70 : 18F3F320	D033A60	19643E20	
DEC 70 : 418640672.000000	218315360.000000	425999904.000000	
HEX 71 : 19D84840	11B5F3C0	1C81D2E	
DEC 71 : 433604672.000000	297137088.000000	29891886.000000	
HEX 72 : 1FCD7C80	1569C100	B724B50	
DEC 72 : 533560448.000000	359252224.000000	192039760.000000	
HEX 73 : 13ED2500	868BE20	1C972D20	
DEC 73 : 334308608.000000	141082144.000000	479669536.000000	
HEX 74 : 1EE8CFC0	1FCACE20	1D614960	
DEC 74 : 518574016.000000	533384736.000000	492915040.000000	
HEX 75 : 5F53F	12E36100	B24B5A0	
DEC 75 : 390463.000000	316891392.000000	186955168.000000	
HEX 76 : 3977994	4E9C5A8	114761E0	
DEC 76 : 60258708.000000	82429352.000000	289890784.000000	
HEX 77 : 75811D8	105E2960	1D06FF00	
DEC 77 : 123212248.000000	274606432.000000	486997760.000000	
HEX 78 : 67EACA0	13FAE1E0	F8AC5A0	
DEC 78 : 108965024.000000	335208928.000000	260752800.000000	
HEX 79 : 3300EA0	19B85D20	B3032D0	
DEC 79 : 53481120.000000	431512864.000000	187708112.000000	
HEX 80 : 15D541C0	F046F10	C1DD4B0	
DEC 80 : 366297536.000000	251948816.000000	203281584.000000	
