Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 1BDE2520	7CC8698	103325A0	
DEC 1 : 467543328.000000	130844312.000000	271787424.000000	
HEX 2 : 17322900	198052E0	1A8ACD20	
DEC 2 : 389163264.000000	427840224.000000	445304096.000000	
HEX 3 : 14602B00	6BF5E20	18D7A5A0	
DEC 3 : 341846784.000000	113204768.000000	416785824.000000	
HEX 4 : 124DF4C	33B8A5C	1055A780	
DEC 4 : 19193676.000000	54233692.000000	274048896.000000	
HEX 5 : 1101D9E0	1CB396A	1E1A53C0	
DEC 5 : 285333984.000000	30095722.000000	505041856.000000	
HEX 6 : CE551E0	182CF000	78F6B48	
DEC 6 : 216355296.000000	405598208.000000	126839624.000000	
HEX 7 : 4824220	F977C40	1446F000	
DEC 7 : 75645472.000000	261585984.000000	340193280.000000	
HEX 8 : 13C28E60	BC2A0F0	6F35878	
DEC 8 : 331517536.000000	197304560.000000	116611192.000000	
HEX 9 : 1376FB80	3584F10	11583D20	
DEC 9 : 326564736.000000	56119056.000000	290995488.000000	
HEX 10 : C4B16D0	115FA5A0	12E7EC40	
DEC 10 : 206247632.000000	291480992.000000	317189184.000000	
HEX 11 : 1D5C1260	B72F880	1D730F00	
DEC 11 : 492573280.000000	192084096.000000	494079744.000000	
HEX 12 : 1EE77BC0	BF31B50	2D2EB4C	
DEC 12 : 518486976.000000	200481616.000000	47377228.000000	
HEX 13 : C3772D0	18A49000	F59BF10	
DEC 13 : 204960464.000000	413437952.000000	257539856.000000	
HEX 14 : A59FA90	17BE43C0	178062E0	
DEC 14 : 173669008.000000	398345152.000000	394289888.000000	
HEX 15 : 1FD4B880	F957880	17A99E20	
DEC 15 : 534034560.000000	261453952.000000	396992032.000000	
HEX 16 : 10248740	116DCA60	B9D7780	
DEC 16 : 270829376.000000	292407904.000000	194869120.000000	
HEX 17 : 103C9040	A99DC40	136DFA60	
DEC 17 : 272404544.000000	177855552.000000	325974624.000000	
HEX 18 : 12B2D800	1DD8C100	79A5000	
DEC 18 : 313710592.000000	500744448.000000	127553536.000000	
HEX 19 : 2EA7220	1C1AD960	182E0100	
DEC 19 : 48919072.000000	471521632.000000	405668096.000000	
HEX 20 : 1CEC7000	1582696	C783970	
DEC 20 : 485257216.000000	22554262.000000	209205616.000000	
HEX 21 : 179264C0	12346D20	AAAF780	
DEC 21 : 395470016.000000	305425696.000000	178976640.000000	
HEX 22 : 1F0E42E0	1443B100	A333B50	
DEC 22 : 521028320.000000	339980544.000000	171129680.000000	
HEX 23 : EEDF4B	2EB3878	3E66698	
DEC 23 : 15654731.000000	48969848.000000	65431192.000000	
HEX 24 : 16636DE0	CFDC780	B787	
DEC 24 : 375614944.000000	217958272.000000	46983.000000	
HEX 25 : 1050A520	11DC5D20	40F83C0	
DEC 25 : 273720608.000000	299654432.000000	68125632.000000	
HEX 26 : F352AD0	7130B48	BB821E0	
DEC 26 : 255142608.000000	118688584.000000	196616672.000000	
HEX 27 : E23E480	10080000	1FA9F5A0	
DEC 27 : 237233280.000000	268959744.000000	531232160.000000	
HEX 28 : A4A4750	CD1D1E0	CB534B0	
DEC 28 : 172640080.000000	215077344.000000	213202096.000000	
HEX 29 : 1208EDA0	FFA92D0	186216A0	
DEC 29 : 302575008.000000	268079824.000000	409081504.000000	
HEX 30 : 92C0B10	31EC4B4	F2A14B0	
DEC 30 : 153881360.000000	52348084.000000	254416048.000000	
HEX 31 : 1F951260	16600A60	1AE894C0	
DEC 31 : 529863264.000000	375392864.000000	451450048.000000	
HEX 32 : 1D1D2E20	6C59D30	178DD000	
DEC 32 : 488451616.000000	113614128.000000	395169792.000000	
HEX 33 : 15715780	1758FA60	4F8BD30	
DEC 33 : 359749504.000000	391707232.000000	83410224.000000	
HEX 34 : D7BE97	D4D5780	1C3E0000	
DEC 34 : 14139031.000000	223172480.000000	473825280.000000	
HEX 35 : 10580960	17AB5880	1D11AA60	
