Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 6A9F710	DE17F10	1F48EB40	
DEC 1 : 111802128.000000	232881936.000000	524872512.000000	
HEX 2 : BDDB4B0	1E9E51E0	12D525A0	
DEC 2 : 199079088.000000	513692128.000000	315958688.000000	
HEX 3 : 17930340	C8CF5A0	125465A0	
DEC 3 : 395510592.000000	210564512.000000	307520928.000000	
HEX 4 : 3BF84B4	9360780	1A25FB40	
DEC 4 : 62882996.000000	154535808.000000	438696768.000000	
HEX 5 : 3807B4C	11D3ED20	3D34C3C	
DEC 5 : 58751820.000000	299101472.000000	64179260.000000	
HEX 6 : B1FA800	63755A8	1D7A85A0	
DEC 6 : 186624000.000000	104289704.000000	494568864.000000	
HEX 7 : EB78BC0	8469B50	10FB62E0	
DEC 7 : 246909888.000000	138845008.000000	284910304.000000	
HEX 8 : 18FAC100	8BD43C0	19A574C0	
DEC 8 : 419086592.000000	146621376.000000	430273728.000000	
HEX 9 : 185EB700	1105F000	9D57000	
DEC 9 : 408860416.000000	285601792.000000	164982784.000000	
HEX 10 : 15325440	57C8A58	3CB61E0	
DEC 10 : 355619904.000000	92047960.000000	63660512.000000	
HEX 11 : 1C7D4800	3A995A4	35ED1E0	
DEC 11 : 477972480.000000	61445540.000000	56545760.000000	
HEX 12 : 7F43F88	50C0A58	11B5D2E0	
DEC 12 : 133447560.000000	84675160.000000	297128672.000000	
HEX 13 : D8EFF80	12034A60	16EFBC40	
DEC 13 : 227475328.000000	302205536.000000	384810048.000000	
HEX 14 : EC3AD30	1B606A60	1FD395A0	
DEC 14 : 247704880.000000	459303520.000000	533960096.000000	
HEX 15 : 1A03A340	173F5A60	194E1C40	
DEC 15 : 436446016.000000	390027872.000000	424549440.000000	
HEX 16 : 1231B2E0	15280C40	1D005B40	
DEC 16 : 305246944.000000	354946112.000000	486562624.000000	
HEX 17 : E25A4B0	1E303D20	2CB9968	
DEC 17 : 237348016.000000	506477856.000000	46897512.000000	
HEX 18 : 12825800	120CEC40	11437960	
DEC 18 : 310532096.000000	302836800.000000	289634656.000000	
HEX 19 : 305B4B4	1A1963C0	CD451E0	
