Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 144F1CC0	1E70A880	21D2F10	
DEC 1 : 340729024.000000	510699648.000000	35467024.000000	
HEX 2 : A664B50	185ABF00	11B4A100	
DEC 2 : 174476112.000000	408600320.000000	297050368.000000	
HEX 3 : 131ED6A0	13FC51E0	C3E4D30	
DEC 3 : 320788128.000000	335303136.000000	205409584.000000	
HEX 4 : 5E3BF88	187DEC40	44ABB48	
DEC 4 : 98811784.000000	410905664.000000	72006472.000000	
HEX 5 : 170AA800	1B374E20	1FC195A0	
DEC 5 : 386574336.000000	456609312.000000	532780448.000000	
HEX 6 : FEF01E0	5A0FD30	118563C0	
DEC 6 : 267321824.000000	94436656.000000	293954496.000000	
HEX 7 : FDE9A60	190AC1E0	4EA2968	
DEC 7 : 266246752.000000	420135392.000000	82454888.000000	
HEX 8 : 7429258	113C000	185CAC40	
DEC 8 : 121803352.000000	18071552.000000	408726592.000000	
HEX 9 : 99C4350	1C2913C0	187541E0	
DEC 9 : 161235792.000000	472454080.000000	410337760.000000	
HEX 10 : 1C0EF880	A133B50	3A5AA5C	
DEC 10 : 470743168.000000	169032528.000000	61188700.000000	
HEX 11 : 117DB1E0	662FA58	1EB13C40	
DEC 11 : 293450208.000000	107149912.000000	514931776.000000	
HEX 12 : 1B0FF3C0	1B39F4C0	13EE1E2	
DEC 12 : 454030272.000000	456783040.000000	20898274.000000	
HEX 13 : 1ED951E0	17AF2F00	124B0D20	
DEC 13 : 517558752.000000	397356800.000000	306908448.000000	
HEX 14 : 1016FB40	699878	C17FA60	
DEC 14 : 269941568.000000	6920312.000000	202898016.000000	
HEX 15 : 14205160	1FC3DA60	985FC40	
DEC 15 : 337662304.000000	532929120.000000	159775808.000000	
HEX 16 : 1E45D100	2E972D4	2F542D4	
DEC 16 : 507891968.000000	48853716.000000	49627860.000000	
HEX 17 : 87FDA6	12728960	155ABA60	
DEC 17 : 8912294.000000	309496160.000000	358267488.000000	
HEX 18 : 187F6F00	38D1968	7BF3698	
DEC 18 : 411004672.000000	59578728.000000	129971864.000000	
HEX 19 : 16ED06A0	5DD41E0	EBCD880	
DEC 19 : 384632480.000000	98386400.000000	247257216.000000	
HEX 20 : 28FB4B	1D40DA60	C67AD30	
