Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : 607D1E0	11406000	86D1880	
DEC 1 : 101175776.000000	289431552.000000	141367424.000000	
HEX 2 : 15F651E0	16729D20	569CF10	
DEC 2 : 368464352.000000	376610080.000000	90820368.000000	
HEX 3 : 1D09E100	13E03960	5630B48	
DEC 3 : 487186688.000000	333461856.000000	90377032.000000	
HEX 4 : 191BB2E0	1A0EC780	156633C0	
DEC 4 : 421245664.000000	437176192.000000	359019456.000000	
HEX 5 : 94C95A0	FA84B5	C830970	
DEC 5 : 156013984.000000	16417973.000000	209914224.000000	
HEX 6 : 18945F00	12935A60	B510690	
DEC 6 : 412376832.000000	311646816.000000	189859472.000000	
HEX 7 : 19AB0F0	1D0146A0	48581E0	
DEC 7 : 26915056.000000	486622880.000000	75858400.000000	
HEX 8 : 1F72DC40	8D293C0	1CBD82E0	
DEC 8 : 527621184.000000	148018112.000000	482181856.000000	
HEX 9 : 1C14E6A0	18C87000	DBEA000	
DEC 9 : 471131808.000000	415789056.000000	230596608.000000	
HEX 10 : 1F40A6A0	1FFD31E0	14BDA100	
DEC 10 : 524330656.000000	536687072.000000	347971840.000000	
HEX 11 : 8E1FA60	5D65A5	1FFC5B40	
DEC 11 : 149027424.000000	6120869.000000	536632128.000000	
HEX 12 : 1671A2E0	6C65C40	173495A0	
DEC 12 : 376546016.000000	113663040.000000	389322144.000000	
HEX 13 : D089970	72ECF10	938B1E0	
DEC 13 : 218667376.000000	120508176.000000	154710496.000000	
HEX 14 : 72FC3C0	3D172D4	3C3E0F0	
DEC 14 : 120570816.000000	64058068.000000	63168752.000000	
HEX 15 : 8CA5970	1EE694C0	8D92F10	
DEC 15 : 147478896.000000	518427840.000000	148451088.000000	
HEX 16 : B5BDE20	1D08DB40	1B73CA60	
DEC 16 : 190570016.000000	487119680.000000	460573280.000000	
HEX 17 : 11B50100	93692D0	28872D4	
DEC 17 : 297074944.000000	154571472.000000	42496724.000000	
HEX 18 : 18212C40	11714E20	38F787	
DEC 18 : 404827200.000000	292638240.000000	3733383.000000	
HEX 19 : 447E0F0	81BA5A	122A2780	
DEC 19 : 71819504.000000	8501850.000000	304752512.000000	
HEX 20 : 30DF788	83E5780	14F70D20	
DEC 20 : 51246984.000000	138303360.000000	351735072.000000	
HEX 21 : E615A6	10E9D780	14DF34C0	
DEC 21 : 15078822.000000	283760512.000000	350172352.000000	
HEX 22 : D85E780	1E001100	F094B5	
DEC 22 : 226879360.000000	503320832.000000	15766709.000000	
HEX 23 : 11D272E0	1812CC40	1470E4C0	
DEC 23 : 299004640.000000	403885120.000000	342942912.000000	
HEX 24 : 10373000	50C7788	114936A0	
DEC 24 : 272052224.000000	84703112.000000	290010784.000000	
HEX 25 : 30102D4	D4761E0	E9F7780	
DEC 25 : 50397908.000000	222781920.000000	245331840.000000	
HEX 26 : 1F38E880	6630000	103735A0	
DEC 26 : 523823232.000000	107151360.000000	272053664.000000	
HEX 27 : 1354FB40	FAE7C40	17FE8960	
DEC 27 : 324336448.000000	263093312.000000	402557280.000000	
HEX 28 : 1A93F880	CA9AD30	14FC0000	
DEC 28 : 445905024.000000	212446512.000000	352059392.000000	
HEX 29 : 18D53780	C647E20	1C5162E0	
DEC 29 : 416626560.000000	207912480.000000	475095776.000000	
