Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 67
HEX 1 : A4785A0	1BA6C1E0	E99D2D	
DEC 1 : 172459424.000000	463913440.000000	15310125.000000	
HEX 2 : F68B4B	103BD3C0	1B1381E0	
DEC 2 : 16157515.000000	272356288.000000	454263264.000000	
HEX 3 : 1859B6A0	177856A0	17E34A60	
DEC 3 : 408532640.000000	393762464.000000	400771680.000000	
HEX 4 : 69E7788	7BD01E0	FD36E20	
DEC 4 : 111048584.000000	129827296.000000	265514528.000000	
HEX 5 : 290D878	14B79880	B80F880	
DEC 5 : 43047032.000000	347576448.000000	193001600.000000	
HEX 6 : 2E462D4	19734880	1159AD20	
DEC 6 : 48521940.000000	426985600.000000	291089696.000000	
HEX 7 : 1680DE20	138496A	A6B7690	
DEC 7 : 377544224.000000	20466026.000000	174814864.000000	
HEX 8 : 7BE74B8	A0D0E20	1A1084C0	
DEC 8 : 129922232.000000	168627744.000000	437290176.000000	
HEX 9 : 58D55A8	2AD02D4	154BD6A0	
DEC 9 : 93148584.000000	44892884.000000	357291680.000000	
HEX 10 : 1133AE20	64B4B48	C1ABA60	
DEC 10 : 288599584.000000	105597768.000000	203078240.000000	
HEX 11 : 129F9E20	1CAEFE20	17A8D2E0	
DEC 11 : 312450592.000000	481230368.000000	396940000.000000	
HEX 12 : 187E9B40	1F8FAF00	1B64AF00	
DEC 12 : 410950464.000000	529510144.000000	459583232.000000	
HEX 13 : 7233000	1F50C880	1398A960	
DEC 13 : 119746560.000000	525387904.000000	328771936.000000	
HEX 14 : 69B43C0	147F3E20	1DA881E0	
DEC 14 : 110838720.000000	343883296.000000	497582560.000000	
HEX 15 : 157C9960	196F1F00	1E9255A0	
DEC 15 : 360487264.000000	426712832.000000	512906656.000000	
HEX 16 : 12036A60	184E83C0	21320F0	
DEC 16 : 302213728.000000	407798720.000000	34808048.000000	
HEX 17 : 4DBF968	3962000	1CBCF960	
DEC 17 : 81525096.000000	60170240.000000	482146656.000000	
HEX 18 : 67034B8	12ABEF00	11A0E1E0	
DEC 18 : 108016824.000000	313257728.000000	295756256.000000	
HEX 19 : 116C8C40	1BA96780	F343A60	
DEC 19 : 292326464.000000	464086912.000000	255081056.000000	
HEX 20 : EC763C0	12ECDB40	F4D43C0	
DEC 20 : 247948224.000000	317512512.000000	256721856.000000	
HEX 21 : F384880	93E9A60	19AC7960	
DEC 21 : 255346816.000000	155097696.000000	430733664.000000	
HEX 22 : E231C40	143205A0	70D12D0	
DEC 22 : 237182016.000000	338822560.000000	118297296.000000	
HEX 23 : 12DCC880	FD4B2D0	1976AA60	
DEC 23 : 316459136.000000	265597648.000000	427207264.000000	
HEX 24 : FCE1E20	15DD7780	162835A0	
DEC 24 : 265166368.000000	366835584.000000	371733920.000000	
HEX 25 : DA11780	4AB1F10	1287A000	
DEC 25 : 228661120.000000	78323472.000000	310878208.000000	
HEX 26 : 82A878	17262960	181CC2E0	
DEC 26 : 8562808.000000	388376928.000000	404538080.000000	
HEX 27 : 3E035A4	1D7701E0	1B26EB40	
DEC 27 : 65025444.000000	494338528.000000	455535424.000000	
HEX 28 : 154B5960	4DC4B48	12E623C0	
DEC 28 : 357259616.000000	81546056.000000	317072320.000000	
HEX 29 : 187E81E0	1298B000	1DA04960	
DEC 29 : 410943968.000000	311996416.000000	497043808.000000	
HEX 30 : C1B7E20	834000	B67B970	
DEC 30 : 203128352.000000	8601600.000000	191347056.000000	
HEX 31 : 1FCF5A6	B64E5A0	156663C0	
DEC 31 : 33355174.000000	191161760.000000	359031744.000000	
HEX 32 : 10FBAF00	2293D2C	1C92F100	
DEC 32 : 284929792.000000	36257068.000000	479392000.000000	
HEX 33 : A7CC690	18FAC4C0	E0773C0	
DEC 33 : 175949456.000000	419087552.000000	235369408.000000	
HEX 34 : 4775000	18954B4	C2392D0	
DEC 34 : 74928128.000000	25777332.000000	203657936.000000	
HEX 35 : 22D2698	D910880	E190970	
DEC 35 : 36513432.000000	227608704.000000	236521840.000000	
