Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 74
HEX 1 : 117D3220	13176D20	1BEB0F00	
DEC 1 : 293417504.000000	320302368.000000	468389632.000000	
HEX 2 : 13095E20	43E81E0	116983C0	
DEC 2 : 319381024.000000	71205344.000000	292127680.000000	
HEX 3 : 1C3B8320	DA21780	B5CD780	
DEC 3 : 473662240.000000	228726656.000000	190633856.000000	
HEX 4 : 1E919B00	73570F0	1EA213C0	
DEC 4 : 512858880.000000	120942832.000000	513938368.000000	
HEX 5 : 6BBC630	AABAA60	22BD0F0	
DEC 5 : 112969264.000000	179022432.000000	36425968.000000	
HEX 6 : ED4BD10	47D12D0	B132A60	
DEC 6 : 248823056.000000	75305680.000000	185805408.000000	
HEX 7 : 17071320	18721A60	1B8743C0	
DEC 7 : 386339616.000000	410131040.000000	461849536.000000	
HEX 8 : 14AD1940	40151E0	65A7878	
DEC 8 : 346888512.000000	67195360.000000	106592376.000000	
HEX 9 : 1101EA40	EDC9970	13E2DF00	
DEC 9 : 285338176.000000	249338224.000000	333635328.000000	
HEX 10 : 6767F70	6AE1698	142A8B40	
DEC 10 : 108429168.000000	112072344.000000	338332480.000000	
HEX 11 : 200311C	2401D2C	1A2F2C40	
DEC 11 : 33567004.000000	37756204.000000	439299136.000000	
HEX 12 : 5DE0D	D2A0000	1B508F00	
DEC 12 : 384525.000000	220856320.000000	458264320.000000	
HEX 13 : 1AB4C100	27C0000	20F70F0	
DEC 13 : 448053504.000000	41680896.000000	34566384.000000	
HEX 14 : B813210	B14B780	179DC6A0	
DEC 14 : 193016336.000000	185907072.000000	396215968.000000	
HEX 15 : 1E417440	144722E0	18080B40	
DEC 15 : 507606080.000000	340206304.000000	403180352.000000	
HEX 16 : C3A5730	1879EC40	1C0C16A0	
DEC 16 : 205150000.000000	410643520.000000	470554272.000000	
HEX 17 : E759020	79A62D0	4188C40	
DEC 17 : 242585632.000000	127558352.000000	68717632.000000	
HEX 18 : 1A367F00	1F5E788	11AE0960	
DEC 18 : 439779072.000000	32892808.000000	296618336.000000	
HEX 19 : 9913A	9882C40	B4D8780	
DEC 19 : 627002.000000	159919168.000000	189630336.000000	
HEX 20 : 513C548	95590F0	1F5FBF00	
DEC 20 : 85181768.000000	156602608.000000	526368512.000000	
HEX 21 : 1500EE60	1879E3C0	46C9D30	
DEC 21 : 352382560.000000	410641344.000000	74226992.000000	
HEX 22 : 833E120	105A92E0	8AE84B0	
DEC 22 : 137617696.000000	274371296.000000	145654960.000000	
HEX 23 : CB36760	9717880	105D7E20	
DEC 23 : 213084000.000000	158431360.000000	274562592.000000	
HEX 24 : 1CBB1B60	2F344B4	94C1F10	
DEC 24 : 482024288.000000	49497268.000000	155983632.000000	
HEX 25 : 15498DC0	F593B50	DB5EE20	
DEC 25 : 357141952.000000	257506128.000000	230026784.000000	
HEX 26 : 6EC8088	1BB4878	668A3C0	
DEC 26 : 116162696.000000	29051000.000000	107520960.000000	
HEX 27 : 5DDCE	10D25880	D2FF780	
DEC 27 : 384462.000000	282220672.000000	221247360.000000	
HEX 28 : F5D22F0	1421E100	6E082D0	
DEC 28 : 257762032.000000	337764608.000000	115376848.000000	
HEX 29 : 5FB2A	2CD8A5C	12F0B100	
DEC 29 : 391978.000000	47024732.000000	317763840.000000	
HEX 30 : 5EF45D8	13F771E0	10A15000	
DEC 30 : 99567064.000000	334983648.000000	279007232.000000	
HEX 31 : 182D8580	111381E0	147F81E0	
DEC 31 : 405636480.000000	286491104.000000	343900640.000000	
HEX 32 : 1EBCD660	DD60780	12B845A0	
DEC 32 : 515692128.000000	232130432.000000	314066336.000000	
HEX 33 : 5F6BA	6634F10	4761788	
DEC 33 : 390842.000000	107171600.000000	74848136.000000	
HEX 34 : 1D4CFC60	706FE20	1650A780	
DEC 34 : 491584608.000000	117898784.000000	374384512.000000	
HEX 35 : 1DBF75A0	17A712E0	4899C40	
DEC 35 : 499086752.000000	396825312.000000	76127296.000000	
HEX 36 : 17E47360	7971698	CBB0780	
DEC 36 : 400847712.000000	127342232.000000	213583744.000000	
HEX 37 : 10B225E0	5AFDE20	186BE880	
DEC 37 : 280110560.000000	95411744.000000	409725056.000000	
HEX 38 : B7E7460	129B5B40	17637B40	
DEC 38 : 192836704.000000	312171328.000000	392395584.000000	
HEX 39 : C3EA160	B9F8000	1F16F100	
DEC 39 : 205431136.000000	195002368.000000	521597184.000000	
HEX 40 : B6FECC0	108AA5A	13E7DC40	
DEC 40 : 191884480.000000	17345114.000000	333962304.000000	
HEX 41 : 17D340E0	49B3698	1AEDDF00	
DEC 41 : 399720672.000000	77280920.000000	451796736.000000	
HEX 42 : 18033420	11F192E0	6A70788	
DEC 42 : 402863136.000000	301044448.000000	111609736.000000	
HEX 43 : 3E6FA54	17D80100	8A20780	
DEC 43 : 65469012.000000	400032000.000000	144836480.000000	
HEX 44 : 59F0FC8	1879F6A0	1FA8AA60	
DEC 44 : 94310344.000000	410646176.000000	531147360.000000	
HEX 45 : 52513B8	ECA63C0	160A7D20	
DEC 45 : 86315960.000000	248144832.000000	369786144.000000	
HEX 46 : F723020	C8AB780	9E0A000	
DEC 46 : 259141664.000000	210417536.000000	165715968.000000	
HEX 47 : 1F762660	79E0F10	E8974B0	
DEC 47 : 527836768.000000	127799056.000000	243889328.000000	
HEX 48 : AF655E0	1879DB40	B2C1F10	
DEC 48 : 183916000.000000	410639168.000000	187440912.000000	
HEX 49 : 5F777	1879E3C0	11D2A2E0	
DEC 49 : 391031.000000	410641344.000000	299016928.000000	
HEX 50 : 7272568	13D4D5A0	1EF6788	
DEC 50 : 120005992.000000	332715424.000000	32466824.000000	
HEX 51 : 5EF92	A54A970	12CA2D20	
DEC 51 : 389010.000000	173320560.000000	315239712.000000	
HEX 52 : 8D4015	F7EB4B0	5CB6F10	
DEC 52 : 9256981.000000	259962032.000000	97218320.000000	
HEX 53 : 18BC8AA0	110D9C40	1C029F00	
DEC 53 : 415009440.000000	286104640.000000	469933824.000000	
HEX 54 : B9B6050	1879FB40	12AC92E0	
DEC 54 : 194732112.000000	410647360.000000	313299680.000000	
HEX 55 : 165AE180	9E17970	15C2CE20	
DEC 55 : 375054720.000000	165771632.000000	365088288.000000	
HEX 56 : CD88280	11F35C40	E6CAB50	
DEC 56 : 215515776.000000	301161536.000000	242002768.000000	
HEX 57 : 93CBF00	4419B48	1ABB9780	
DEC 57 : 154976000.000000	71408456.000000	448501632.000000	
HEX 58 : 135193E0	168F4000	CCE7780	
DEC 58 : 324113376.000000	378486784.000000	214857600.000000	
HEX 59 : 13596120	BD3C970	1C995100	
DEC 59 : 324624672.000000	198429040.000000	479809792.000000	
HEX 60 : 1A34B160	9138E20	5B8A5A8	
DEC 60 : 439660896.000000	152276512.000000	95987112.000000	
HEX 61 : D763C90	1879E4C0	1074696	
DEC 61 : 225852560.000000	410641600.000000	17254038.000000	
HEX 62 : 5F403	30FB4B	8FF5B50	
DEC 62 : 390147.000000	3210059.000000	150952784.000000	
HEX 63 : 5DE0D	149C1780	1C6F3D20	
DEC 63 : 384525.000000	345773952.000000	477052192.000000	
HEX 64 : 4D58A18	4144698	D4A5F10	
DEC 64 : 81103384.000000	68437656.000000	222977808.000000	
HEX 65 : 48EED28	1879E6A0	17D55100	
DEC 65 : 76475688.000000	410642080.000000	399855872.000000	
HEX 66 : 1979C640	1879FC40	140142E0	
DEC 66 : 427411008.000000	410647616.000000	335626976.000000	
HEX 67 : 12611EE0	162D3880	1506F000	
DEC 67 : 308354784.000000	372062336.000000	352776192.000000	
HEX 68 : 66EB3E8	111E45A0	1E489B40	
DEC 68 : 107918312.000000	287196576.000000	508074816.000000	
HEX 69 : 1EE2C5E0	14EAB960	102A06A0	
DEC 69 : 518178272.000000	350927200.000000	271189664.000000	
HEX 70 : 1A6E5A60	1879EC40	B3F40F0	
DEC 70 : 443439712.000000	410643520.000000	188694768.000000	
HEX 71 : 609EDC0	C9FDC40	EE2B0F0	
DEC 71 : 101313984.000000	211803200.000000	249737456.000000	
HEX 72 : D1137B0	EBDE780	225FE20	
DEC 72 : 219232176.000000	247326592.000000	36044320.000000	
HEX 73 : 8F79A10	8C88880	91C0970	
DEC 73 : 150444560.000000	147359872.000000	152832368.000000	
HEX 74 : 14387800	C422880	22E5A5C	
DEC 74 : 339245056.000000	205662336.000000	36592220.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
