Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 71
HEX 1 : 17CC9620	B8BA0F0	14D1B780	
DEC 1 : 399283744.000000	193700080.000000	349288320.000000	
HEX 2 : 4509FC0	9A9F780	15946C40	
DEC 2 : 72392640.000000	162133888.000000	362048576.000000	
HEX 3 : 10236100	B49AE20	1BA30A60	
DEC 3 : 270754048.000000	189378080.000000	463669856.000000	
HEX 4 : 19B80DA0	2B674B4	1DADB100	
DEC 4 : 431492512.000000	45511860.000000	497922304.000000	
HEX 5 : 17FDB8C0	173104C0	1DE933C0	
DEC 5 : 402503872.000000	389088448.000000	501822400.000000	
HEX 6 : A51EB10	75725A8	90B34B0	
DEC 6 : 173140752.000000	123151784.000000	151729328.000000	
HEX 7 : 1ADBDDE0	8054E20	EE93B50	
DEC 7 : 450616800.000000	134565408.000000	250166096.000000	
HEX 8 : 1A734F0	1D4CA5A	12D3D000	
DEC 8 : 27735280.000000	30722650.000000	315871232.000000	
HEX 9 : 1E987160	5FB12D0	2550C3C	
DEC 9 : 513306976.000000	100340432.000000	39128124.000000	
HEX 10 : 198F3960	1640A3C0	1405C780	
DEC 10 : 428816736.000000	373334976.000000	335923072.000000	
HEX 11 : 2262F4C	259C1E0	EE1878	
DEC 11 : 36056908.000000	39436768.000000	15603832.000000	
HEX 12 : 1FF3C880	16DF9C40	18D12A60	
DEC 12 : 536070272.000000	383753280.000000	416361056.000000	
HEX 13 : 4AACA98	1879E4C0	CE89000	
DEC 13 : 78301848.000000	410641600.000000	216567808.000000	
HEX 14 : 4B90D30	3F8E5A4	1AAD7960	
DEC 14 : 79236400.000000	66643364.000000	447576416.000000	
HEX 15 : 1CE4D100	185041E0	D487E20	
DEC 15 : 484757760.000000	407912928.000000	222854688.000000	
HEX 16 : 54A0168	120CF780	1E6B0960	
DEC 16 : 88736104.000000	302839680.000000	510331232.000000	
HEX 17 : 1F8764C0	8FC4880	1E1506A0	
DEC 17 : 528966848.000000	150751360.000000	504694432.000000	
HEX 18 : 10F7D9A0	1879A6A0	1B82C780	
DEC 18 : 284678560.000000	410625696.000000	461555584.000000	
HEX 19 : 424C530	2616E20	A987C40	
DEC 19 : 69518640.000000	39939616.000000	177765440.000000	
HEX 20 : E33D930	D9E10F0	B7785A0	
DEC 20 : 238278960.000000	228462832.000000	192382368.000000	
HEX 21 : F601F50	2B60F1	13631A60	
DEC 21 : 257957712.000000	2842865.000000	325261920.000000	
HEX 22 : 4738E58	DD0E880	DD0F780	
DEC 22 : 74681944.000000	231794816.000000	231798656.000000	
HEX 23 : 13061A6	12E43000	93F4970	
DEC 23 : 19947942.000000	316944384.000000	155142512.000000	
HEX 24 : 116CDD00	134E85A0	56D92D0	
DEC 24 : 292347136.000000	323913120.000000	91067088.000000	
HEX 25 : 8B1B880	12651A60	996D1E0	
DEC 25 : 145864832.000000	308615776.000000	160879072.000000	
HEX 26 : B0C51A0	15CE45A0	FE1DB50	
DEC 26 : 185356704.000000	365839776.000000	266459984.000000	
HEX 27 : 8322F10	6BE2000	1D84D2E	
DEC 27 : 137506576.000000	113123328.000000	30952750.000000	
HEX 28 : B680750	5B9F968	17AFFD20	
DEC 28 : 191366992.000000	96074088.000000	397409568.000000	
HEX 29 : FBF05A0	1879C880	AA39690	
DEC 29 : 264177056.000000	410634368.000000	178493072.000000	
HEX 30 : 1EA61B40	C675A60	642CA58	
DEC 30 : 514202432.000000	208099936.000000	105040472.000000	
HEX 31 : 127D7CC0	F97C4B0	11552000	
DEC 31 : 310213824.000000	261604528.000000	290791424.000000	
HEX 32 : 1D98D5A0	101AD780	1654E2E0	
DEC 32 : 496555424.000000	270194560.000000	374661856.000000	
HEX 33 : 17F39900	9A360F0	436CC40	
DEC 33 : 401840384.000000	161702128.000000	70700096.000000	
HEX 34 : F4B1000	ACC65A0	4922878	
DEC 34 : 256577536.000000	181167520.000000	76687480.000000	
HEX 35 : 177D4F80	9BBC4B0	1C1EE6A0	
DEC 35 : 394088320.000000	163300528.000000	471787168.000000	
HEX 36 : ECD9A60	3632F10	3559E20	
DEC 36 : 248355424.000000	56831760.000000	55942688.000000	
HEX 37 : 533C478	1844BF00	566A698	
DEC 37 : 87278712.000000	407158528.000000	90613400.000000	
HEX 38 : 181C5E2	1879E880	1D5E9A60	
DEC 38 : 25282018.000000	410642560.000000	492739168.000000	
HEX 39 : 27549E0	9283970	6C1D3C0	
DEC 39 : 41241056.000000	153631088.000000	113365952.000000	
HEX 40 : 13B0EEE0	185975A0	50E2D3	
DEC 40 : 330362592.000000	408516000.000000	5300947.000000	
HEX 41 : 14A3CF80	12400880	1952D2E0	
DEC 41 : 346279808.000000	306186368.000000	424858336.000000	
HEX 42 : 17C91700	86E5A6	15A54000	
DEC 42 : 399054592.000000	8840614.000000	363151360.000000	
HEX 43 : 117438C0	16AA9000	13BE8F00	
DEC 43 : 292829376.000000	380276736.000000	331255552.000000	
HEX 44 : 18418840	1879EA60	72D5B48	
DEC 44 : 406947904.000000	410643040.000000	120413000.000000	
HEX 45 : ADF19A0	1879E2E0	16EB9E20	
DEC 45 : 182393248.000000	410641120.000000	384540192.000000	
HEX 46 : 1C39CAE0	109B9000	1DB7E2E0	
DEC 46 : 473549536.000000	278630400.000000	498590432.000000	
HEX 47 : 1A0A5CC0	3E4D000	89C53C0	
DEC 47 : 436886720.000000	65327104.000000	144462784.000000	
HEX 48 : 15796100	E607E20	98410F0	
DEC 48 : 360276224.000000	241204768.000000	159650032.000000	
HEX 49 : F358ED0	7B18C40	10029A60	
DEC 49 : 255168208.000000	129076288.000000	268606048.000000	
HEX 50 : C68A5A0	1879E100	30B5B4C	
DEC 50 : 208184736.000000	410640640.000000	51075916.000000	
HEX 51 : 3A232D4	1879B6A0	14D87D20	
DEC 51 : 60961492.000000	410629792.000000	349732128.000000	
HEX 52 : 19D3B220	11C6BF00	41F2C40	
DEC 52 : 433304096.000000	298237696.000000	69151808.000000	
HEX 53 : D2A3D30	121B6000	1A376E20	
DEC 53 : 220871984.000000	303783936.000000	439840288.000000	
HEX 54 : 89FF080	E187C40	36885A4	
DEC 54 : 144699520.000000	236485696.000000	57181604.000000	
HEX 55 : C06A880	C878	BD9C000	
DEC 55 : 201762944.000000	51320.000000	198819840.000000	
HEX 56 : 15989E2	FA5BD30	23E05A4	
DEC 56 : 22645218.000000	262520112.000000	37619108.000000	
HEX 57 : 1C357B00	10AFB960	BF721E0	
DEC 57 : 473266944.000000	279951712.000000	200745440.000000	
HEX 58 : 12CF02A0	5F9A788	92941E0	
DEC 58 : 315556512.000000	100247432.000000	153698784.000000	
HEX 59 : 16770B80	28F7000	21EB5A4	
DEC 59 : 376900480.000000	42954752.000000	35567012.000000	
HEX 60 : 8AB9F10	C24B880	1B32E780	
DEC 60 : 145465104.000000	203733120.000000	456320896.000000	
HEX 61 : C4F8AD0	5CB7D30	1F8CF3C0	
DEC 61 : 206539472.000000	97221936.000000	529331136.000000	
HEX 62 : 14DBC380	A5DE1E	E3FE3C0	
DEC 62 : 349946752.000000	10870302.000000	239068096.000000	
HEX 63 : 1C8AB160	651D5A8	17B3DF00	
DEC 63 : 478851424.000000	106026408.000000	397664000.000000	
HEX 64 : 15DBB560	151C02E0	D787970	
DEC 64 : 366720352.000000	354157280.000000	225999216.000000	
HEX 65 : 12D1D120	621AC40	166F13C0	
DEC 65 : 315740448.000000	102870080.000000	376378304.000000	
HEX 66 : 9360350	1879E5A0	1E43B000	
DEC 66 : 154534736.000000	410641824.000000	507752448.000000	
HEX 67 : B2BB710	EC645A0	12E59000	
DEC 67 : 187414288.000000	247874976.000000	317034496.000000	
HEX 68 : 4E6BCF0	11321960	164A9A60	
DEC 68 : 82230512.000000	288495968.000000	373987936.000000	
HEX 69 : 25A787	DAA80F0	1B18D5A0	
DEC 69 : 2467719.000000	229277936.000000	454612384.000000	
HEX 70 : 7DEC530	602E2D0	1009D100	
DEC 70 : 132039984.000000	100852432.000000	269078784.000000	
HEX 71 : 1C5B0080	A45D2D	EFEAF10	
DEC 71 : 475725952.000000	10771757.000000	251571984.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
