Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 69
HEX 1 : 116C1A60	6F32000	1CA14B40	
DEC 1 : 292297312.000000	116596736.000000	480332608.000000	
HEX 2 : 3F7AAD4	AD59880	2CD4B4	
DEC 2 : 66562772.000000	181770368.000000	2938036.000000	
HEX 3 : 17AF4260	3C1E1	DF1A1E0	
DEC 3 : 397361760.000000	246241.000000	233939424.000000	
HEX 4 : D257B50	1879E5A0	9A4D0F0	
DEC 4 : 220560208.000000	410641824.000000	161796336.000000	
HEX 5 : 5422F10	23401E0	17EE12E0	
DEC 5 : 88223504.000000	36962784.000000	401478368.000000	
HEX 6 : B560E90	1ECCA5A	1C5DA5A0	
DEC 6 : 190189200.000000	32295514.000000	475899296.000000	
HEX 7 : 120C2160	10420960	656BA58	
DEC 7 : 302784864.000000	272763232.000000	106347096.000000	
HEX 8 : 1EA61340	9B2F000	1487DF00	
DEC 8 : 514200384.000000	162721792.000000	344448768.000000	
HEX 9 : D314D30	168C22E0	25DA2D4	
DEC 9 : 221334832.000000	378282720.000000	39690964.000000	
HEX 10 : D099F10	3C3EF10	D76A1E0	
DEC 10 : 218734352.000000	63172368.000000	225878496.000000	
HEX 11 : D8E7530	16269C40	14B2CA60	
DEC 11 : 227439920.000000	371629120.000000	347261536.000000	
HEX 12 : 80DA8F0	4243788	7D51968	
DEC 12 : 135112944.000000	69482376.000000	131406184.000000	
HEX 13 : 62DB1E0	C65B4B	E4D0D30	
DEC 13 : 103657952.000000	12999499.000000	239930672.000000	
HEX 14 : 19D08E20	136CAC40	11374000	
DEC 14 : 433098272.000000	325889088.000000	288833536.000000	
HEX 15 : 97751E0	97041E0	1C963C40	
DEC 15 : 158814688.000000	158351840.000000	479607872.000000	
HEX 16 : 13A4AA60	1603CB40	19B9FE20	
DEC 16 : 329558624.000000	369347392.000000	431619616.000000	
HEX 17 : 1792D960	B390F10	12743F00	
DEC 17 : 395499872.000000	188288784.000000	309608192.000000	
HEX 18 : 1B7DF1E0	1273E3C0	1BACF1E0	
DEC 18 : 461238752.000000	309584832.000000	464318944.000000	
HEX 19 : 8B43CB0	126D9780	192D24C0	
DEC 19 : 146029744.000000	309172096.000000	422388928.000000	
HEX 20 : 99AEB50	7BCDA58	1540DD20	
DEC 20 : 161147728.000000	129817176.000000	356572448.000000	
HEX 21 : 160085A0	9DAF690	60DC878	
DEC 21 : 369132960.000000	165344912.000000	101566584.000000	
HEX 22 : 13F34080	6BF20F0	D9A92D0	
DEC 22 : 334708864.000000	113189104.000000	228233936.000000	
HEX 23 : 358A3C4	1A55D2E	1F30E6A0	
DEC 23 : 56140740.000000	27614510.000000	523298464.000000	
HEX 24 : D8D3A60	178C5F00	1DE0BA60	
DEC 24 : 227359328.000000	395075328.000000	501267040.000000	
HEX 25 : 11D7078	6F2DA58	AD3C5A0	
DEC 25 : 18706552.000000	116578904.000000	181650848.000000	
HEX 26 : 1DB83160	151DD2E	1240C5A0	
DEC 26 : 498610528.000000	22142254.000000	306234784.000000	
HEX 27 : AB983C0	119324C0	77E9968	
DEC 27 : 179930048.000000	294855872.000000	125737320.000000	
HEX 28 : 167E4620	D07E000	1A2811E0	
DEC 28 : 377374240.000000	218619904.000000	438833632.000000	
HEX 29 : 17223F80	5B96A58	17E11E20	
DEC 29 : 388120448.000000	96037464.000000	400629280.000000	
HEX 30 : 1FC4C5A0	1879E780	1D21A2E0	
DEC 30 : 532989344.000000	410642304.000000	488743648.000000	
HEX 31 : 1DDBD520	5D490F0	1B438960	
DEC 31 : 500946208.000000	97816816.000000	457410912.000000	
HEX 32 : 173B7520	11AC3000	110CB4C	
DEC 32 : 389772576.000000	296497152.000000	17877836.000000	
HEX 33 : 1D05CC40	1672A5A0	1AA7A5A	
DEC 33 : 486919232.000000	376612256.000000	27949658.000000	
HEX 34 : 1570AA60	39AE3C4	D23C3	
DEC 34 : 359705184.000000	60482500.000000	861123.000000	
HEX 35 : 100E1A60	D2F7E20	D5BF0F0	
DEC 35 : 269359712.000000	221216288.000000	224129264.000000	
HEX 36 : 12938000	143FEE20	CB372D0	
DEC 36 : 311656448.000000	339734048.000000	213086928.000000	
HEX 37 : 1A69DD20	168BAD20	97EF0F0	
DEC 37 : 443145504.000000	378252576.000000	159314160.000000	
HEX 38 : 1E5ADA6	13E023C0	116F34C0	
DEC 38 : 31829414.000000	333456320.000000	292500672.000000	
HEX 39 : 1EA78CC0	DA11690	DAF7E20	
DEC 39 : 514297024.000000	228660880.000000	229604896.000000	
HEX 40 : 9303780	A332D30	E2675A0	
DEC 40 : 154154880.000000	171126064.000000	237401504.000000	
HEX 41 : 12A52260	1DF41E2	13387E20	
DEC 41 : 312812128.000000	31408610.000000	322469408.000000	
HEX 42 : 146B6780	1879E3C0	12A73D20	
DEC 42 : 342583168.000000	410641344.000000	312950048.000000	
HEX 43 : 3D8FAD4	CB044B0	18C564C0	
DEC 43 : 64551636.000000	212878512.000000	415589568.000000	
HEX 44 : 14930F00	181C5880	48485A8	
