Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 71
HEX 1 : 3589CB4	41E5B48	166695A0	
DEC 1 : 56138932.000000	69098312.000000	375821728.000000	
HEX 2 : 13C012E0	1676C5A0	12298000	
DEC 2 : 331354848.000000	376882592.000000	304709632.000000	
HEX 3 : 1930BB40	1879E780	1C540960	
DEC 3 : 422624064.000000	410642304.000000	475269472.000000	
HEX 4 : A3BD000	F78B1E0	A5EE1E0	
DEC 4 : 171692032.000000	259568096.000000	173990368.000000	
HEX 5 : 42BBE20	74BC788	35B7698	
DEC 5 : 69975584.000000	122406792.000000	56325784.000000	
HEX 6 : A0570F	1353696	603C0F0	
DEC 6 : 10508047.000000	20264598.000000	100909296.000000	
HEX 7 : F732970	4174A58	D897A60	
DEC 7 : 259205488.000000	68635224.000000	227113568.000000	
HEX 8 : 1EECD3C0	12C5B4C0	1BD93880	
DEC 8 : 518837184.000000	314946752.000000	467220608.000000	
HEX 9 : 3F6BC3	110DC960	14540B40	
DEC 9 : 4156355.000000	286116192.000000	341052224.000000	
HEX 10 : 1BBEA960	AA333C0	131582E0	
DEC 10 : 465480032.000000	178467776.000000	320176864.000000	
HEX 11 : A1C51E0	FBB60F0	1D8D1E20	
DEC 11 : 169628128.000000	263938288.000000	495787552.000000	
HEX 12 : 11A41900	1879E5A0	5092E20	
DEC 12 : 295966976.000000	410641824.000000	84487712.000000	
HEX 13 : E05B260	11DE75A0	106B6960	
DEC 13 : 235254368.000000	299791776.000000	275474784.000000	
HEX 14 : EE91D30	117613C0	4D0F3C0	
DEC 14 : 250158384.000000	292950976.000000	80802752.000000	
HEX 15 : 1B426C40	2D403C4	1554E4C0	
DEC 15 : 457337920.000000	47449028.000000	357885120.000000	
HEX 16 : 5BD12D0	DF332D0	10375E20	
DEC 16 : 96277200.000000	234042064.000000	272064032.000000	
HEX 17 : 18D435A0	18713A60	7470000	
DEC 17 : 416560544.000000	410073696.000000	122093568.000000	
HEX 18 : 124EF780	18795B40	194606A0	
DEC 18 : 307165056.000000	410606400.000000	424019616.000000	
HEX 19 : 5CC000	14F601E0	DD4B970	
DEC 19 : 6078464.000000	351666656.000000	232044912.000000	
HEX 20 : 16E9F10	1879C000	14C8F880	
DEC 20 : 24026896.000000	410632192.000000	348715136.000000	
HEX 21 : 7A8EDA8	146FE880	13854880	
DEC 21 : 128511400.000000	342878336.000000	327501952.000000	
HEX 22 : 952C880	8294880	BED6780	
DEC 22 : 156420224.000000	136923264.000000	200107904.000000	
HEX 23 : FB992D0	116A76A0	18D33960	
DEC 23 : 263819984.000000	292189856.000000	416495968.000000	
HEX 24 : 462B800	134C7000	1A345F00	
DEC 24 : 73578496.000000	323776512.000000	439639808.000000	
HEX 25 : 89A53C0	159AB4C	F0E11E0	
DEC 25 : 144331712.000000	22653772.000000	252580320.000000	
HEX 26 : 79929E0	164721E0	C384F10	
DEC 26 : 127478240.000000	373760480.000000	205016848.000000	
HEX 27 : 154B7100	5E884B8	11EBFF00	
DEC 27 : 357265664.000000	99124408.000000	300678912.000000	
HEX 28 : 12585620	C9E05A0	13A5F1E0	
DEC 28 : 307779104.000000	211682720.000000	329642464.000000	
HEX 29 : E58EDA0	15D5F10	1E59AA60	
DEC 29 : 240709024.000000	22896400.000000	509192800.000000	
HEX 30 : 1F0902E0	110C4000	2A05A5C	
DEC 30 : 520684256.000000	286015488.000000	44063324.000000	
HEX 31 : 378F698	D403780	7E97000	
DEC 31 : 58259096.000000	222312320.000000	132739072.000000	
HEX 32 : AEA2970	172255A0	19C065A0	
DEC 32 : 183118192.000000	388126112.000000	432039328.000000	
HEX 33 : 1BF184C0	ABF61E0	55A8F10	
DEC 33 : 468812992.000000	180314592.000000	89820944.000000	
HEX 34 : 79A3D30	1156A2E0	2FE6B4C	
DEC 34 : 127548720.000000	290890464.000000	50228044.000000	
HEX 35 : 14EBFAE0	D3BB780	6742B48	
DEC 35 : 351009504.000000	222017408.000000	108276552.000000	
HEX 36 : 180CD9E0	119B54C0	1F314C40	
DEC 36 : 403495392.000000	295392448.000000	523324480.000000	
HEX 37 : 1A827C40	2844968	DAE0000	
DEC 37 : 444759104.000000	42223976.000000	229507072.000000	
HEX 38 : 2916698	1DE82D2	1F9A3E20	
DEC 38 : 43083416.000000	31359698.000000	530202144.000000	
HEX 39 : 1424E160	B3DEA60	1E3B82E0	
DEC 39 : 337961312.000000	188607072.000000	507216608.000000	
HEX 40 : 12AF800	DB145A0	C1EA5A	
DEC 40 : 19593216.000000	229721504.000000	12708442.000000	
HEX 41 : DEBEC40	A3851E0	1A1E3A60	
DEC 41 : 233565248.000000	171463136.000000	438188640.000000	
HEX 42 : EC4C800	1879E100	CE312D0	
DEC 42 : 247777280.000000	410640640.000000	216208080.000000	
HEX 43 : E4C3440	2FC05A4	3396A5C	
DEC 43 : 239875136.000000	50070948.000000	54094428.000000	
HEX 44 : 109CFA60	B6FDE20	C5CB3C0	
DEC 44 : 278723168.000000	191880736.000000	207401920.000000	
HEX 45 : 2F7D34C	164771E0	6485788	
DEC 45 : 49795916.000000	373780960.000000	105404296.000000	
HEX 46 : 1ACC6D20	11F94B4	621D1E0	
DEC 46 : 449604896.000000	18846900.000000	102879712.000000	
HEX 47 : 1A397C40	7CE0B48	1B6BAA60	
DEC 47 : 439974976.000000	130943816.000000	460040800.000000	
HEX 48 : BA7AA60	938FF10	1301F2E0	
DEC 48 : 195537504.000000	154730256.000000	318894816.000000	
HEX 49 : 13801CC0	53CDD30	19341D20	
DEC 49 : 327163072.000000	87874864.000000	422845728.000000	
HEX 50 : 1AF12000	114A83C0	8F0F690	
DEC 50 : 452009984.000000	290096064.000000	150009488.000000	
HEX 51 : AA34CB0	3B63F10	183B9E20	
DEC 51 : 178474160.000000	62275344.000000	406560288.000000	
HEX 52 : 85B169	CDA12D0	1BCED5A0	
DEC 52 : 8761705.000000	215618256.000000	466539936.000000	
HEX 53 : 6BD3168	CA6BF10	1790A1E0	
DEC 53 : 113062248.000000	212254480.000000	395354592.000000	
HEX 54 : 1A517C40	1721BA60	E8A6970	
DEC 54 : 441547840.000000	388086368.000000	243951984.000000	
HEX 55 : 10D36340	BBA7970	50B878	
DEC 55 : 282288960.000000	196770160.000000	5290104.000000	
HEX 56 : 15041960	5D48788	5156698	
DEC 56 : 352590176.000000	97814408.000000	85288600.000000	
HEX 57 : 17C419E0	1015C1E0	FBD41E0	
DEC 57 : 398727648.000000	269861344.000000	264061408.000000	
HEX 58 : 17B5E960	12B691E0	21BAF10	
DEC 58 : 397797728.000000	313954784.000000	35368720.000000	
HEX 59 : 18532620	989C970	C0FF970	
DEC 59 : 408102432.000000	160024944.000000	202373488.000000	
HEX 60 : 1D48D4C0	184FAC40	1359000	
DEC 60 : 491312320.000000	407874624.000000	20287488.000000	
HEX 61 : A1FDDA0	1879EE20	579FA58	
DEC 61 : 169860512.000000	410644000.000000	91880024.000000	
HEX 62 : 1BE462E0	C8F3C4	1D92A6A0	
DEC 62 : 467952352.000000	13169604.000000	496150176.000000	
HEX 63 : 1A39D780	14F66D20	15C00C40	
DEC 63 : 439998336.000000	351694112.000000	364907584.000000	
HEX 64 : B09EB50	A5510F0	4ECE0F0	
DEC 64 : 185199440.000000	173347056.000000	82632944.000000	
HEX 65 : 13EA0800	139DC1E0	A5185A0	
DEC 65 : 334104576.000000	329105888.000000	173114784.000000	
HEX 66 : 1F6ECC40	C043970	BE76C40	
DEC 66 : 527354944.000000	201603440.000000	199715904.000000	
HEX 67 : 2CE143C	656F968	F3A13C0	
DEC 67 : 47060028.000000	106363240.000000	255464384.000000	
HEX 68 : 1F099C40	113AB780	11529880	
DEC 68 : 520723520.000000	289060736.000000	290625664.000000	
HEX 69 : 68A5F10	80F33C0	1DFE0C40	
DEC 69 : 109731600.000000	135214016.000000	503188544.000000	
HEX 70 : 17EA0CC0	E505D30	186C3B40	
DEC 70 : 401214656.000000	240147760.000000	409746240.000000	
HEX 71 : 811F620	2477F10	765A5A8	
DEC 71 : 135394848.000000	38240016.000000	124102056.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
