Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 68
HEX 1 : 154B6960	103BF2E0	10A46000	
DEC 1 : 357263712.000000	272364256.000000	279207936.000000	
HEX 2 : BB02B50	165ED3C0	9FEF880	
DEC 2 : 196094800.000000	375313344.000000	167704704.000000	
HEX 3 : 1BFC0100	8056D30	89EC1E0	
DEC 3 : 469500160.000000	134573360.000000	144622048.000000	
HEX 4 : 11FC96A	2053968	A1DE4B0	
DEC 4 : 18860394.000000	33896808.000000	169731248.000000	
HEX 5 : 180AB100	94275A0	1D0AA5A	
DEC 5 : 403353856.000000	155350432.000000	30452314.000000	
HEX 6 : 1E7FA960	BB5BA60	18C61A60	
DEC 6 : 511682912.000000	196459104.000000	415636064.000000	
HEX 7 : 5458C40	1879E6A0	D535880	
DEC 7 : 88443968.000000	410642080.000000	223565952.000000	
HEX 8 : 72BEA58	20A3C3C	C4F5A6	
DEC 8 : 120318552.000000	34225212.000000	12907942.000000	
HEX 9 : 1E1A696	6533000	3FC5F10	
DEC 9 : 31565462.000000	106115072.000000	66871056.000000	
HEX 10 : 1FC8B1E0	89A1970	15F0F10	
DEC 10 : 533246432.000000	144316784.000000	23006992.000000	
HEX 11 : 1226AF00	333F788	DB675A0	
DEC 11 : 304525056.000000	53737352.000000	230061472.000000	
HEX 12 : A3C44B0	3823878	F9F8880	
DEC 12 : 171721904.000000	58865784.000000	262113408.000000	
HEX 13 : 160BA4C0	3C7BC3C	19FDE3C0	
DEC 13 : 369861824.000000	63421500.000000	436069312.000000	
HEX 14 : D975000	13889E20	10B4B2E0	
DEC 14 : 228020224.000000	327720480.000000	280277728.000000	
HEX 15 : 160FF4C0	12D6D100	1801A2E0	
DEC 15 : 370144448.000000	316068096.000000	402760416.000000	
HEX 16 : EB2DA60	4486878	6794D30	
DEC 16 : 246602336.000000	71854200.000000	108612912.000000	
HEX 17 : 168563C0	B5E1000	1722A3C0	
DEC 17 : 377840576.000000	190713856.000000	388146112.000000	
HEX 18 : 183741E0	1C19878	12BA44C0	
DEC 18 : 406274528.000000	29464696.000000	314197184.000000	
HEX 19 : F7F0880	205CB4C	1F4A56A0	
DEC 19 : 259983488.000000	33934156.000000	524965536.000000	
HEX 20 : 1ED421E0	148EC880	A6723C0	
DEC 20 : 517218784.000000	344901760.000000	174531520.000000	
HEX 21 : 14389F00	A283970	9086B50	
DEC 21 : 339255040.000000	170408304.000000	151546704.000000	
HEX 22 : 102CDF00	B5F2780	2CC62D4	
DEC 22 : 271376128.000000	190785408.000000	46949076.000000	
HEX 23 : 1585AC40	17C0FD20	10F304C0	
DEC 23 : 361081920.000000	398523680.000000	284361920.000000	
HEX 24 : 1AC32000	1879E780	16537B40	
DEC 24 : 448995328.000000	410642304.000000	374569792.000000	
HEX 25 : 19C42C40	1879E780	6707C40	
DEC 25 : 432286784.000000	410642304.000000	108035136.000000	
HEX 26 : 10078A60	1064A4C0	88A7E20	
DEC 26 : 268929632.000000	275031232.000000	143293984.000000	
HEX 27 : 7E19A58	1224C1E0	1AB11000	
DEC 27 : 132225624.000000	304398816.000000	447811584.000000	
HEX 28 : 130A1960	17FC1E20	9C93970	
DEC 28 : 319428960.000000	402398752.000000	164182384.000000	
HEX 29 : 1D136B40	12D60100	1ABEB6A0	
DEC 29 : 487811904.000000	316014848.000000	448706208.000000	
HEX 30 : 102FE6A0	B2C00F0	12DF9B40	
DEC 30 : 271574688.000000	187433200.000000	316644160.000000	
HEX 31 : 6C9AE20	1879DF00	4AE7B48	
DEC 31 : 113880608.000000	410640128.000000	78543688.000000	
HEX 32 : 86B80F0	AA6F690	1B3961E0	
DEC 32 : 141263088.000000	178714256.000000	456745440.000000	
HEX 33 : 1C9FC780	198C696	CA02F10	
DEC 33 : 480233344.000000	26789526.000000	211824400.000000	
HEX 34 : 1E5AE2E0	73280F0	12BF8D20	
DEC 34 : 509272800.000000	120750320.000000	314543392.000000	
HEX 35 : 98A6D30	E5DFA60	14648A60	
DEC 35 : 160066864.000000	241039968.000000	342133344.000000	
HEX 36 : 28EC878	E191880	173224C0	
DEC 36 : 42911864.000000	236525696.000000	389162176.000000	
HEX 37 : 1FD392E0	1879F780	10C11780	
DEC 37 : 533959392.000000	410646400.000000	281089920.000000	
HEX 38 : 17C4F100	12050880	9C243C0	
DEC 38 : 398782720.000000	302319744.000000	163726272.000000	
HEX 39 : 162D01E0	3692C3C	651F3C0	
DEC 39 : 372048352.000000	57224252.000000	106034112.000000	
HEX 40 : 50854B8	128BC3C	15595780	
DEC 40 : 84432056.000000	19446844.000000	358176640.000000	
HEX 41 : F1BB0F0	15F45E20	1A435A6	
DEC 41 : 253473008.000000	368336416.000000	27538854.000000	
HEX 42 : B16DF10	40F2000	18C141E0	
DEC 42 : 186048272.000000	68100096.000000	415318496.000000	
HEX 43 : 44F4B4	1879E3C0	12F3FD20	
DEC 43 : 4519092.000000	410641344.000000	317979936.000000	
HEX 44 : 40F42D0	359DF10	1E2412E0	
DEC 44 : 68109008.000000	56221456.000000	505680608.000000	
HEX 45 : 44D85A8	D14E0F0	642E2D0	
DEC 45 : 72189352.000000	219472112.000000	105046736.000000	
HEX 46 : F522000	FA68F10	190B4A60	
DEC 46 : 257040384.000000	262573840.000000	420170336.000000	
HEX 47 : 7192968	157A4E20	13FC7B40	
DEC 47 : 119089512.000000	360336928.000000	335313728.000000	
HEX 48 : 38D2D2	16D7CB40	7FC15A8	
DEC 48 : 3723986.000000	383241024.000000	133961128.000000	
HEX 49 : 1CADE5A0	F1704B0	4A75000	
DEC 49 : 481158560.000000	253166768.000000	78073856.000000	
HEX 50 : 1DE57000	589A3C0	1D0B2000	
DEC 50 : 501575680.000000	92906432.000000	487268352.000000	
HEX 51 : 158403C0	10AE61E0	2B352D4	
DEC 51 : 360973248.000000	279863776.000000	45306580.000000	
HEX 52 : 11FAD3C0	156764C0	1DCA8960	
DEC 52 : 301650880.000000	359097536.000000	499812704.000000	
HEX 53 : 143B878	B1C4D30	1E91E3C0	
DEC 53 : 21215352.000000	186404144.000000	512877504.000000	
HEX 54 : 3945698	1879E3C0	1A44D5A0	
DEC 54 : 60053144.000000	410641344.000000	440718752.000000	
HEX 55 : 50B44B8	10FACC40	CA905A0	
DEC 55 : 84624568.000000	284871744.000000	212403616.000000	
HEX 56 : F21E4B0	17A9DC40	16CF5C40	
DEC 56 : 253879472.000000	397007936.000000	382688320.000000	
HEX 57 : D4B24B0	A4775A0	BFAD5A0	
DEC 57 : 223028400.000000	172455328.000000	200988064.000000	
HEX 58 : A7D1B50	104573C0	3638788	
DEC 58 : 175971152.000000	272987072.000000	56854408.000000	
HEX 59 : 101CC000	8D14780	1C1B13C0	
DEC 59 : 270319616.000000	147933056.000000	471536576.000000	
HEX 60 : F6A5A6	6CF5B48	18367F00	
DEC 60 : 16164262.000000	114252616.000000	406224640.000000	
HEX 61 : B22FA60	1879E4C0	1D23C5A0	
DEC 61 : 186841696.000000	410641600.000000	488883616.000000	
HEX 62 : 7CBA5A8	65C91E0	8A54D30	
DEC 62 : 130786728.000000	106729952.000000	145050928.000000	
HEX 63 : 1C7982E0	FF37D30	12E41C40	
DEC 63 : 477725408.000000	267615536.000000	316939328.000000	
HEX 64 : 67224B8	9FEFD30	F19BC40	
DEC 64 : 108143800.000000	167705904.000000	253344832.000000	
HEX 65 : 18DA95A0	1879E3C0	1DC45B40	
DEC 65 : 416978336.000000	410641344.000000	499407680.000000	
HEX 66 : B30A5A	57141E0	10D03D20	
DEC 66 : 11733594.000000	91308512.000000	282082592.000000	
HEX 67 : 17B17960	9205970	FA24B50	
DEC 67 : 397506912.000000	153114992.000000	262294352.000000	
HEX 68 : 1788F1E0	A6B5D30	1F2FF780	
DEC 68 : 394850784.000000	174808368.000000	523237248.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
