Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 60
HEX 1 : 1853AB40	CA4B880	1E21C4C0	
DEC 1 : 408136512.000000	212121728.000000	505529536.000000	
HEX 2 : 1173A2E0	15DBF6A0	1C28C000	
DEC 2 : 292791008.000000	366737056.000000	472432640.000000	
HEX 3 : 187EAC40	66045A8	183114C0	
DEC 3 : 410954816.000000	106972584.000000	405869760.000000	
HEX 4 : 12D2B1E0	78CDD30	1D00A5A0	
DEC 4 : 315797984.000000	126672176.000000	486581664.000000	
HEX 5 : 6D672D0	52BF698	BEA878	
DEC 5 : 114717392.000000	86767256.000000	12494968.000000	
HEX 6 : 187E71E0	666F5A8	E19E690	
DEC 6 : 410939872.000000	107410856.000000	236578448.000000	
HEX 7 : 187E73C0	136F9B40	3779878	
DEC 7 : 410940352.000000	326081344.000000	58169464.000000	
HEX 8 : C3ACB50	10AE0F0	E536780	
DEC 8 : 205179728.000000	17490160.000000	240347008.000000	
HEX 9 : 9258F10	1879E3C0	39FD4B4	
DEC 9 : 153456400.000000	410641344.000000	60806324.000000	
HEX 10 : 1209FA60	7AA5788	25A4B4	
DEC 10 : 302643808.000000	128604040.000000	2466996.000000	
HEX 11 : 101472E0	151ABD20	8983C4	
DEC 11 : 269775584.000000	354073888.000000	9012164.000000	
HEX 12 : 38E4788	11F56960	114DD4C0	
DEC 12 : 59656072.000000	301295968.000000	290313408.000000	
HEX 13 : AC673C0	104926A0	36872D4	
DEC 13 : 180777920.000000	273229472.000000	57176788.000000	
HEX 14 : C93BA60	E891F10	138ED780	
DEC 14 : 211008096.000000	243867408.000000	328128384.000000	
HEX 15 : 45A0B48	9EB0D30	1D2884C0	
DEC 15 : 73009992.000000	166399280.000000	489194688.000000	
HEX 16 : 91A4E20	F4241E0	1F862B40	
DEC 16 : 152718880.000000	256000480.000000	528886592.000000	
HEX 17 : 186F3000	1871AC40	DF363C0	
DEC 17 : 409939968.000000	410102848.000000	234054592.000000	
HEX 18 : 187E9780	1879F4C0	1CA69B40	
DEC 18 : 410949504.000000	410645696.000000	480680768.000000	
HEX 19 : 8830690	2CD85A4	804FA60	
DEC 19 : 142804624.000000	47023524.000000	134543968.000000	
HEX 20 : D67A3C0	91B70F0	5E75000	
DEC 20 : 224895936.000000	152793328.000000	99045376.000000	
HEX 21 : 149E2F00	25CED2C	1322E960	
DEC 21 : 345911040.000000	39644460.000000	321055072.000000	
HEX 22 : 1915A5	D68F780	C668000	
DEC 22 : 1643941.000000	224982912.000000	208044032.000000	
HEX 23 : DE48970	1F9EE1E	2D16B4C	
DEC 23 : 233081200.000000	33156638.000000	47278924.000000	
HEX 24 : 12EAF6A0	1281AC40	12B5DB40	
DEC 24 : 317388448.000000	310488128.000000	313908032.000000	
HEX 25 : 3B73D2C	1237EB40	52CB1E0	
DEC 25 : 62340396.000000	305654592.000000	86815200.000000	
HEX 26 : A0E14B0	152A52E0	1AEF65A0	
DEC 26 : 168694960.000000	355095264.000000	451896736.000000	
HEX 27 : 5CCDE20	1879F4C0	15565E20	
DEC 27 : 97312288.000000	410645696.000000	357981728.000000	
HEX 28 : 10D18C40	187B4780	EA365A0	
DEC 28 : 282168384.000000	410732416.000000	245589408.000000	
HEX 29 : F8483C0	CED1880	C09FB50	
DEC 29 : 260342720.000000	216864896.000000	201980752.000000	
HEX 30 : 1F304B4	1879EB40	1BCEB2E0	
DEC 30 : 32703668.000000	410643264.000000	466531040.000000	
HEX 31 : 13B1B1E0	1879F100	656CC40	
DEC 31 : 330412512.000000	410644736.000000	106351680.000000	
HEX 32 : FCF6B50	7FA8878	11B50960	
DEC 32 : 265251664.000000	133859448.000000	297077088.000000	
HEX 33 : A605C40	1507FE20	107355A0	
DEC 33 : 174087232.000000	352845344.000000	275994016.000000	
HEX 34 : DD983C0	285A2D4	1682C1E0	
DEC 34 : 232358848.000000	42312404.000000	377668064.000000	
HEX 35 : 187CDC40	11FCF000	18D4B2E0	
DEC 35 : 410836032.000000	301789184.000000	416592608.000000	
HEX 36 : 16ACBB40	1879E3C0	15583A60	
DEC 36 : 380418880.000000	410641344.000000	358103648.000000	
HEX 37 : 28E6A5C	64B1B48	C5B8970	
DEC 37 : 42887772.000000	105585480.000000	207325552.000000	
HEX 38 : 9CF3880	8257C40	D29AB50	
DEC 38 : 164575360.000000	136674368.000000	220834640.000000	
HEX 39 : 5A44878	AD783C0	687AD30	
DEC 39 : 94652536.000000	181896128.000000	109554992.000000	
HEX 40 : 57623C0	ACF5B50	12B3ED20	
DEC 40 : 91628480.000000	181361488.000000	313781536.000000	
HEX 41 : BAF8E20	93415A0	19399F00	
DEC 41 : 196054560.000000	154408352.000000	423206656.000000	
HEX 42 : 17C2AF00	61C0A58	62D6698	
DEC 42 : 398634752.000000	102500952.000000	103638680.000000	
HEX 43 : 13E15F00	C168E20	1686F3C0	
DEC 43 : 333537024.000000	202804768.000000	377942976.000000	
HEX 44 : E6E0000	1879E2E0	15C756A0	
DEC 44 : 242089984.000000	410641120.000000	365385376.000000	
HEX 45 : 5ED0A58	17C9CE20	B0A03C0	
DEC 45 : 99420760.000000	399101472.000000	185205696.000000	
HEX 46 : 16011E2	23202D4	5B282D0	
DEC 46 : 23073250.000000	36831956.000000	95584976.000000	
HEX 47 : 4207878	5137C40	176593C0	
DEC 47 : 69236856.000000	85163072.000000	392532928.000000	
HEX 48 : 187EC100	B7CD3C0	C76788	
DEC 48 : 410960128.000000	192730048.000000	13068168.000000	
HEX 49 : 4B0B2D0	106E95A0	1896D780	
DEC 49 : 78688976.000000	275682720.000000	412538752.000000	
HEX 50 : 1534B4C	1879EB40	1BCA696	
DEC 50 : 22235980.000000	410643264.000000	29140630.000000	
HEX 51 : FF24690	E7D2880	1C7B34C0	
DEC 51 : 267536016.000000	243083392.000000	477836480.000000	
HEX 52 : 121DAF00	408E1E0	AB535A0	
DEC 52 : 303935232.000000	67690976.000000	179647904.000000	
HEX 53 : 7EC44B8	2EB0A5C	1E676780	
DEC 53 : 132924600.000000	48958044.000000	510093184.000000	
HEX 54 : D32B970	15033D20	9056F10	
DEC 54 : 221428080.000000	352533792.000000	151351056.000000	
HEX 55 : 143BAF00	12BB83C0	B2D6970	
DEC 55 : 339455744.000000	314278848.000000	187525488.000000	
HEX 56 : 118F1C40	3B8F0F	1E3F06A0	
DEC 56 : 294591552.000000	3903247.000000	507446944.000000	
HEX 57 : 187F16A0	D5BFE20	8126B50	
DEC 57 : 410982048.000000	224132640.000000	135424848.000000	
HEX 58 : 85C0880	F6B02D0	BDAF5A0	
DEC 58 : 140249216.000000	258671312.000000	198899104.000000	
HEX 59 : 17D78C40	DC27880	F8FE970	
DEC 59 : 400002112.000000	230848640.000000	261089648.000000	
HEX 60 : 121F5960	EF9B780	4678000	
DEC 60 : 304044384.000000	251246464.000000	73891840.000000	
61 : 0.000000	0.000000	0.000000	
62 : 0.000000	0.000000	0.000000	
63 : 0.000000	0.000000	0.000000	
64 : 0.000000	0.000000	0.000000	
65 : 0.000000	0.000000	0.000000	
66 : 0.000000	0.000000	0.000000	
67 : 0.000000	0.000000	0.000000	
68 : 0.000000	0.000000	0.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
