Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 13E73980	16A30	196D42E0	
DEC 1 : 333920640.000000	92720.000000	426590944.000000	
HEX 2 : 1D20E720	12E357E0	ED21690	
DEC 2 : 488695584.000000	316889056.000000	248649360.000000	
HEX 3 : A6E0CA0	135C5C80	5237E20	
DEC 3 : 174984352.000000	324820096.000000	86212128.000000	
HEX 4 : 1D58E4A0	1910ADC0	13AE52E0	
DEC 4 : 492364960.000000	420523456.000000	330191584.000000	
HEX 5 : FD324F0	E894620	ABB30F0	
DEC 5 : 265495792.000000	243877408.000000	180039920.000000	
HEX 6 : 56E2318	164C3	8C1B2D0	
DEC 6 : 91104024.000000	91331.000000	146911952.000000	
HEX 7 : 15D551E0	19ED59A0	16B16A60	
DEC 7 : 366301664.000000	434985376.000000	380725856.000000	
HEX 8 : 7806CB0	1145E0C0	13AF5960	
DEC 8 : 125856944.000000	289792192.000000	330258784.000000	
HEX 9 : 985B5F0	C36D880	75412D0	
DEC 9 : 159757808.000000	204920960.000000	122950352.000000	
HEX 10 : 22B8BF8	C402AE0	43863C0	
DEC 10 : 36408312.000000	205531872.000000	70804416.000000	
HEX 11 : 5F7B6	1E0C7D40	B677F10	
DEC 11 : 391094.000000	504134976.000000	191332112.000000	
HEX 12 : 5F874	16C2A	16824E20	
DEC 12 : 391284.000000	93226.000000	377638432.000000	
HEX 13 : 50468C0	53614E	1C228780	
DEC 13 : 84175040.000000	5464398.000000	472024960.000000	
HEX 14 : 12174D00	2DD2B64	12B37000	
DEC 14 : 303516928.000000	48048996.000000	313749504.000000	
HEX 15 : 17971360	125C3260	3DEF968	
DEC 15 : 395776864.000000	308032096.000000	64944488.000000	
HEX 16 : 1A639E60	3202968	17355960	
DEC 16 : 442736224.000000	52439400.000000	389372256.000000	
HEX 17 : 66A6DF0	608AB08	45AC2D0	
DEC 17 : 107638256.000000	101231368.000000	73056976.000000	
HEX 18 : C796460	25886	1B2462E0	
DEC 18 : 209282144.000000	153734.000000	455369440.000000	
HEX 19 : 41349F0	16AEE	1029C100	
DEC 19 : 68372976.000000	92910.000000	271171840.000000	
HEX 20 : A108E80	20FDD9	14D5E1E	
DEC 20 : 168857216.000000	2162137.000000	21847582.000000	
HEX 21 : 1A0BEC00	1F77B960	117D25A0	
DEC 21 : 436988928.000000	527939936.000000	293414304.000000	
HEX 22 : 19861680	AF4E840	4505968	
DEC 22 : 428217984.000000	183822400.000000	72374632.000000	
HEX 23 : 9FD9D20	12D82A80	CC13970	
DEC 23 : 167615776.000000	316156544.000000	213989744.000000	
HEX 24 : 11CB6900	159370A0	8ED60F0	
DEC 24 : 298543360.000000	361984160.000000	149774576.000000	
HEX 25 : 1BE4D2A0	176D4A00	8F04780	
DEC 25 : 467980960.000000	393038336.000000	149964672.000000	
HEX 26 : 5F738	1065F480	13B74000	
DEC 26 : 390968.000000	275117184.000000	330776576.000000	
HEX 27 : 2DB1970	E78C8A0	D02C780	
DEC 27 : 47913328.000000	242796704.000000	218285952.000000	
HEX 28 : A72DC10	1084D440	1A929100	
DEC 28 : 175299600.000000	277140544.000000	445812992.000000	
HEX 29 : D55BC80	19C6FB00	F2D8B50	
DEC 29 : 223722624.000000	432470784.000000	254643024.000000	
HEX 30 : F66FC2	16B6C	21CC4B4	
DEC 30 : 16150466.000000	93036.000000	35439796.000000	
HEX 31 : 127EC160	16AEE	BBF3780	
DEC 31 : 310296928.000000	92910.000000	197080960.000000	
HEX 32 : E128190	1F245BC0	93281E0	
DEC 32 : 236093840.000000	522476480.000000	154304992.000000	
HEX 33 : B789A50	101FB0	EC062D0	
DEC 33 : 192453200.000000	1056688.000000	247489232.000000	
HEX 34 : 8A7AFF0	1722ADA0	1EEFB880	
DEC 34 : 145207280.000000	388148640.000000	519026816.000000	
HEX 35 : 1BBE7F00	18B489C0	C7F878	
DEC 35 : 465469184.000000	414484928.000000	13105272.000000	
HEX 36 : 3D73724	C660A60	1D0885A0	
DEC 36 : 64436004.000000	208013920.000000	487097760.000000	
HEX 37 : 19CCD720	D950DD0	1ABCC4C0	
DEC 37 : 432854816.000000	227872208.000000	448578752.000000	
HEX 38 : 32642EC	13246840	71CC3C0	
DEC 38 : 52839148.000000	321153088.000000	119325632.000000	
HEX 39 : 1641BE00	91AA1F0	153D71E0	
DEC 39 : 373407232.000000	152740336.000000	356348384.000000	
HEX 40 : 4896338	1ED37480	181F5B40	
DEC 40 : 76112696.000000	517174400.000000	404708160.000000	
HEX 41 : 60A37	19312C20	15FB3C40	
DEC 41 : 395831.000000	422652960.000000	368786496.000000	
HEX 42 : 18F334C0	396E05	FD874B0	
DEC 42 : 418591936.000000	3763717.000000	265843888.000000	
HEX 43 : 1DD6DFC0	1E875500	A82D1E0	
DEC 43 : 500621248.000000	512185600.000000	176345568.000000	
HEX 44 : 84B797	1AA78DA0	1E492F00	
DEC 44 : 8697751.000000	447188384.000000	508112640.000000	
HEX 45 : 8AAAA20	189ABD80	1728E4C0	
DEC 45 : 145402400.000000	412794240.000000	388555968.000000	
HEX 46 : 1CA30E80	D321980	13C60780	
DEC 46 : 480448128.000000	221387136.000000	331745152.000000	
HEX 47 : 69D04	1645F7E0	DA56F10	
DEC 47 : 433412.000000	373684192.000000	228945680.000000	
HEX 48 : 58E8A38	1F79AEE0	5F9EF10	
DEC 48 : 93227576.000000	528068320.000000	100265744.000000	
HEX 49 : DF64950	7509BF8	E3F5E20	
DEC 49 : 234244432.000000	122723320.000000	239033888.000000	
HEX 50 : 13B077E0	71231A8	1C051A60	
DEC 50 : 330332128.000000	118632872.000000	470096480.000000	
HEX 51 : 1E1074A0	16837	4BA02D0	
DEC 51 : 504394912.000000	92215.000000	79299280.000000	
HEX 52 : 1B187D00	1597AF60	19FA5960	
DEC 52 : 454589696.000000	362262368.000000	435837280.000000	
HEX 53 : 61A41	723B1E8	957CF10	
DEC 53 : 399937.000000	119779816.000000	156749584.000000	
HEX 54 : 11B8C300	E2C0070	120236A0	
DEC 54 : 297321216.000000	237764720.000000	302134944.000000	
HEX 55 : 19295700	8C42D60	CC150F0	
DEC 55 : 422139648.000000	147074400.000000	213995760.000000	
HEX 56 : D3BF2F0	83F8410	20C8968	
DEC 56 : 222032624.000000	138380304.000000	34376040.000000	
HEX 57 : 10369E20	F1DC550	2DA33C4	
DEC 57 : 272014880.000000	253609296.000000	47854532.000000	
HEX 58 : 3012B48	13C01B20	1A3F31E0	
DEC 58 : 50408264.000000	331356960.000000	440349152.000000	
HEX 59 : 6A6CCC0	63C8740	CCDA0F0	
DEC 59 : 111594688.000000	104630080.000000	214802672.000000	
HEX 60 : 1BE4A000	77CF3C0	1EA206A0	
DEC 60 : 467968000.000000	125629376.000000	513935008.000000	
HEX 61 : 1C7F5820	1D3BA440	1A2DCA60	
DEC 61 : 478107680.000000	490447936.000000	439208544.000000	
HEX 62 : 8874B60	372FD5C	1529D100	
DEC 62 : 143084384.000000	57867612.000000	355062016.000000	
HEX 63 : 1EA53CC0	6880168	104196A	
DEC 63 : 514145472.000000	109576552.000000	17045866.000000	
HEX 64 : 17616EE0	12AB2DE0	141E25A0	
DEC 64 : 392261344.000000	313208288.000000	337520032.000000	
HEX 65 : E4BF260	146FE160	1465E000	
DEC 65 : 239858272.000000	342876512.000000	342220800.000000	
HEX 66 : 80B0190	1980C720	9D432D0	
DEC 66 : 134939024.000000	427869984.000000	164901584.000000	
HEX 67 : 1EAF9740	3EA35D4	B21A5A0	
DEC 67 : 514824000.000000	65680852.000000	186754464.000000	
HEX 68 : E23DC60	19BDA780	39C5B4C	
DEC 68 : 237231200.000000	431859584.000000	60578636.000000	
HEX 69 : 5F7F5	6CEA878	19BD05A0	
DEC 69 : 391157.000000	114206840.000000	431818144.000000	
HEX 70 : 12DCEFA0	8BA5FB0	706D3C0	
DEC 70 : 316469152.000000	146431920.000000	117887936.000000	
HEX 71 : DDF25F0	1DEF6440	1A6D0780	
DEC 71 : 232728048.000000	502228032.000000	443352960.000000	
HEX 72 : 16BEC400	1AE1AD80	1EF52100	
DEC 72 : 381600768.000000	450997632.000000	519381248.000000	
HEX 73 : C962910	348D8A0	809C3C0	
DEC 73 : 211167504.000000	55105696.000000	134857664.000000	
HEX 74 : 11432400	1FD1FF00	13165A60	
DEC 74 : 289612800.000000	533856000.000000	320232032.000000	
HEX 75 : 6FDDDC0	19CBA000	13F1A5A	
DEC 75 : 117300672.000000	432775168.000000	20912730.000000	
HEX 76 : 15314E60	1FF07CC0	BC094B0	
DEC 76 : 355552864.000000	535854272.000000	197170352.000000	
HEX 77 : C3AE900	A7E3BE0	159D43C0	
DEC 77 : 205187328.000000	176045024.000000	362628032.000000	
HEX 78 : 17FCDAC0	34297A0	7C16B48	
DEC 78 : 402447040.000000	54695840.000000	130116424.000000	
HEX 79 : 1256D220	EAD6CF0	1A5BD960	
DEC 79 : 307679776.000000	246246640.000000	442227040.000000	
HEX 80 : FFD85A0	16912AE0	1B6B1C40	
DEC 80 : 268273056.000000	378612448.000000	460004416.000000	
HEX 81 : 15D715E0	1B0882E0	5AE2788	
DEC 81 : 366417376.000000	453542624.000000	95299464.000000	
HEX 82 : 875BD	19BC2F80	53BA4B8	
DEC 82 : 554429.000000	431763328.000000	87794872.000000	
HEX 83 : 4CAB9D8	1B52B260	108EC960	
DEC 83 : 80394712.000000	458404448.000000	277793120.000000	
HEX 84 : A2DA290	72EFC08	1C0EFF00	
DEC 84 : 170762896.000000	120519688.000000	470744832.000000	
HEX 85 : 12306F40	16B2D	4394788	
DEC 85 : 305164096.000000	92973.000000	70862728.000000	
HEX 86 : 17350060	FEE33C0	B3B50F0	
DEC 86 : 389349472.000000	267269056.000000	188436720.000000	
HEX 87 : 1B3E02C0	18DF7	1E0201E0	
DEC 87 : 457048768.000000	101879.000000	503448032.000000	
HEX 88 : 15DFD320	183C4940	ECAE4B0	
DEC 88 : 366990112.000000	406604096.000000	248177840.000000	
HEX 89 : 1E9EB120	107D76C0	6D6E788	
DEC 89 : 513716512.000000	276657856.000000	114747272.000000	
HEX 90 : 352DB58	9A30C40	136CE780	
DEC 90 : 55761752.000000	161680448.000000	325904256.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
