Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
HEX 1 : 535696	16934	115AA000	
DEC 1 : 5461654.000000	92468.000000	291151872.000000	
HEX 2 : F820B50	1A578A20	88F9880	
DEC 2 : 260180816.000000	441944608.000000	143628416.000000	
HEX 3 : 10FC58C0	16D26	C00A5A	
DEC 3 : 284973248.000000	93478.000000	12585562.000000	
HEX 4 : 15AB6260	163645C0	9DA8E20	
DEC 4 : 363553376.000000	372655552.000000	165318176.000000	
HEX 5 : 12BB56A	10591440	18E89B40	
DEC 5 : 19641706.000000	274273344.000000	417897280.000000	
HEX 6 : 10AA94C0	169B2	B589000	
DEC 6 : 279614656.000000	92594.000000	190353408.000000	
HEX 7 : 94AA8F0	16A6F	18B12B40	
DEC 7 : 155887856.000000	92783.000000	414264128.000000	
HEX 8 : 9286130	1B1F3D80	12583000	
DEC 8 : 153641264.000000	455032192.000000	307769344.000000	
HEX 9 : 16210A20	741C278	4BA15A8	
DEC 9 : 371264032.000000	121750136.000000	79304104.000000	
HEX 10 : C313290	16B6C	11BE6780	
DEC 10 : 204550800.000000	93036.000000	297691008.000000	
HEX 11 : 28D94B4	1937C440	D71DE20	
DEC 11 : 42833076.000000	423085120.000000	225566240.000000	
HEX 12 : 427BC00	16DFD360	160914C0	
DEC 12 : 69712896.000000	383767392.000000	369693888.000000	
HEX 13 : 10EE0F00	482D4C0	157A6D20	
DEC 13 : 284036864.000000	75683008.000000	360344864.000000	
HEX 14 : EDBE130	4FA5AF0	5FD1B48	
DEC 14 : 249291056.000000	83516144.000000	100473672.000000	
HEX 15 : 195D61E	16F1426	18A375A0	
DEC 15 : 26596894.000000	24056870.000000	413365664.000000	
HEX 16 : 7C4E388	1B430EE0	1AF92100	
DEC 16 : 130343816.000000	457379552.000000	452534528.000000	
HEX 17 : 2DBDF10	1EBAE1A0	167081E0	
DEC 17 : 47963920.000000	515563936.000000	376472032.000000	
HEX 18 : 1D2DF080	1454A100	54F8F10	
DEC 18 : 489549952.000000	341090560.000000	89100048.000000	
HEX 19 : 848EDE0	116DB0A0	F222D3	
DEC 19 : 138997216.000000	292401312.000000	15868627.000000	
HEX 20 : 17776080	7406618	1A2FBA60	
