Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : 5020878	16F37360	1D9AD2E0	
DEC 1 : 84019320.000000	385053536.000000	496685792.000000	
HEX 2 : C812530	16BAB	6BF0F10	
DEC 2 : 209790256.000000	93099.000000	113184528.000000	
HEX 3 : 1EC6D4C0	1BB59100	34CA0F0	
DEC 3 : 516347072.000000	464883968.000000	55353584.000000	
HEX 4 : D462080	32D33	19BB0A60	
DEC 4 : 222699648.000000	208179.000000	431688288.000000	
HEX 5 : 15764F80	109F8480	11AEB780	
DEC 5 : 360075136.000000	278889600.000000	296662912.000000	
HEX 6 : 19074520	144E25E0	17329100	
DEC 6 : 419906848.000000	340665824.000000	389189888.000000	
HEX 7 : 12D90D20	2689D20	12D9B5A0	
DEC 7 : 316214560.000000	40410400.000000	316257696.000000	
HEX 8 : F0959E0	71F89C8	17FE0100	
DEC 8 : 252271072.000000	119507400.000000	402522368.000000	
HEX 9 : 300634C	1128A8E0	950AA60	
DEC 9 : 50357068.000000	287877344.000000	156281440.000000	
HEX 10 : 1FDF3160	121B3700	1A9F22E0	
DEC 10 : 534720864.000000	303773440.000000	446636768.000000	
HEX 11 : 18631440	1485E3A0	6E721E0	
DEC 11 : 409146432.000000	344318880.000000	115810784.000000	
HEX 12 : 16A95E20	1C6D8CE0	1661C2E0	
DEC 12 : 380198432.000000	476941536.000000	375505632.000000	
HEX 13 : 969CB50	EC2E8F0	13FBC000	
DEC 13 : 157928272.000000	247654640.000000	335265792.000000	
HEX 14 : 9C37710	B7530A0	1B2B8B40	
DEC 14 : 163804944.000000	192229536.000000	455838528.000000	
HEX 15 : 3CC58F0	C8E5620	2292C3C	
DEC 15 : 63723760.000000	210654752.000000	36252732.000000	
HEX 16 : 5B11258	147C0900	31E65A4	
DEC 16 : 95490648.000000	343673088.000000	52323748.000000	
HEX 17 : 117F01E0	C018290	1E3822E0	
DEC 17 : 293536224.000000	201425552.000000	506995424.000000	
HEX 18 : 1C49AD2	19E12980	7832000	
DEC 18 : 29661906.000000	434186624.000000	126033920.000000	
HEX 19 : 5F9E8F0	1A08FF	2FEFE20	
DEC 19 : 100264176.000000	1706239.000000	50265632.000000	
HEX 20 : 127485A0	489B4E0	1E2EC000	
DEC 20 : 309626272.000000	76133600.000000	506380288.000000	
HEX 21 : 1E3BD9E0	8AB6F80	D514F10	
DEC 21 : 507238880.000000	145452928.000000	223432464.000000	
HEX 22 : 161AB2E0	11ACC700	510F0F	
DEC 22 : 370848480.000000	296535808.000000	5312271.000000	
HEX 23 : 162CD6A0	9464C10	10348000	
DEC 23 : 372037280.000000	155601936.000000	271876096.000000	
HEX 24 : 97C74B0	115624C0	1FDDCF00	
DEC 24 : 159151280.000000	290858176.000000	534630144.000000	
HEX 25 : 190AB000	E218550	1C799B40	
DEC 25 : 420130816.000000	237077840.000000	477731648.000000	
HEX 26 : 1272D340	11C2FAC0	AE08690	
DEC 26 : 309515072.000000	297990848.000000	182486672.000000	
HEX 27 : A7CB620	1A11E4C0	576A0F0	
DEC 27 : 175945248.000000	437380288.000000	91660528.000000	
HEX 28 : 1AFFDBC0	6EE4E68	1D8115A0	
DEC 28 : 452975552.000000	116280936.000000	494998944.000000	
HEX 29 : 9416CB0	9BB5D50	AE324B0	
DEC 29 : 155282608.000000	163274064.000000	182658224.000000	
HEX 30 : 6B31D30	494B830	1B49A3C0	
DEC 30 : 112401712.000000	76855344.000000	457810880.000000	
HEX 31 : 4AC2E98	1CA750C0	9CDA5A	
DEC 31 : 78392984.000000	480727232.000000	10279514.000000	
HEX 32 : 2ACD788	159ACFC0	11CAFD20	
DEC 32 : 44881800.000000	362467264.000000	298515744.000000	
HEX 33 : 6A6E968	1BC5DEE0	1665ED20	
DEC 33 : 111602024.000000	465952480.000000	375778592.000000	
HEX 34 : 111D0440	159B6DA0	19683780	
DEC 34 : 287114304.000000	362507680.000000	426260352.000000	
HEX 35 : B003E20	455ABC	128EA100	
DEC 35 : 184565280.000000	4545212.000000	311337216.000000	
HEX 36 : 1D718000	1A4D2C60	18DE0E20	
DEC 36 : 493977600.000000	441265248.000000	417205792.000000	
HEX 37 : C49A000	184591C0	1F00B000	
DEC 37 : 206151680.000000	407212480.000000	520138752.000000	
HEX 38 : DA33BC0	1D4D2AC0	140A7880	
DEC 38 : 228801472.000000	491596480.000000	336230528.000000	
HEX 39 : 183BCF80	1BE20320	8A3C1E0	
DEC 39 : 406572928.000000	467796768.000000	144949728.000000	
HEX 40 : 1674B700	85D8D40	17AC92E0	
DEC 40 : 376747776.000000	140348736.000000	397185760.000000	
HEX 41 : 1880FCC0	16C0DBE0	E2524B0	
DEC 41 : 411106496.000000	381737952.000000	237315248.000000	
HEX 42 : 14290B40	AFCA6	BD21B50	
DEC 42 : 338234176.000000	720038.000000	198318928.000000	
HEX 43 : 108A02E0	A9A4390	93061E0	
DEC 43 : 277480160.000000	177882000.000000	154165728.000000	
HEX 44 : 1A994B4	59FFCA8	1189C2E0	
DEC 44 : 27890868.000000	94370984.000000	294240992.000000	
