Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : EE10BC0	ACBA1C0	10B34B4	
DEC 1 : 249629632.000000	181117376.000000	17511604.000000	
HEX 2 : 1CC2F880	1DBDCE00	10320D20	
DEC 2 : 482539648.000000	498978304.000000	271715616.000000	
HEX 3 : 1DC82000	166FB	1BE55C40	
DEC 3 : 499654656.000000	91899.000000	468016192.000000	
HEX 4 : 332C0F0	F35C970	2089A5C	
DEC 4 : 53657840.000000	255183216.000000	34118236.000000	
HEX 5 : 177AD900	86C1C40	B71BE20	
DEC 5 : 393926912.000000	141302848.000000	192003616.000000	
HEX 6 : 129D2BC0	12B85E80	1C392D2	
DEC 6 : 312290240.000000	314072704.000000	29594322.000000	
HEX 7 : 6EB5258	16BEA	90D2D3	
DEC 7 : 116085336.000000	93162.000000	9491155.000000	
HEX 8 : 18FD9D20	102D80E0	CAC8780	
DEC 8 : 419274016.000000	271417568.000000	212633472.000000	
HEX 9 : AD635A0	DFF6410	F2123C0	
DEC 9 : 181810592.000000	234841104.000000	253830080.000000	
HEX 10 : 1DA84D20	1606D180	102B4B40	
DEC 10 : 497569056.000000	369545600.000000	271272768.000000	
HEX 11 : 195F8880	18720BC0	16F326A0	
DEC 11 : 425691264.000000	410127296.000000	385033888.000000	
HEX 12 : 1422BE20	16BAB	202A2D4	
DEC 12 : 337821216.000000	93099.000000	33727188.000000	
HEX 13 : 1DC43960	111DE5A0	1B223D20	
DEC 13 : 499399008.000000	287172000.000000	455228704.000000	
HEX 14 : D9F5970	162FEAE0	1C8EA2E0	
DEC 14 : 228546928.000000	372239072.000000	479109856.000000	
HEX 15 : 1E0391E0	6D36B90	18B6F6A0	
DEC 15 : 503550432.000000	114518928.000000	414643872.000000	
HEX 16 : BFEF780	1B1B8F80	D6FD690	
DEC 16 : 201258880.000000	454791040.000000	225433232.000000	
HEX 17 : 17F8B440	1FC965A0	16096100	
DEC 17 : 402175040.000000	533292448.000000	369713408.000000	
HEX 18 : 16A615A0	1A7417A0	18FE000	
DEC 18 : 379983264.000000	443815840.000000	26206208.000000	
HEX 19 : 9848800	9684310	15D6D6A0	
DEC 19 : 159680512.000000	157827856.000000	366401184.000000	
HEX 20 : 64CF5A8	15CA2DC0	E5D4B50	
DEC 20 : 105706920.000000	365571520.000000	240995152.000000	
HEX 21 : A4764B0	1813448	12E704C0	
DEC 21 : 172450992.000000	25244744.000000	317129920.000000	
HEX 22 : 17BC1D20	11BED2E0	13EE32E0	
DEC 22 : 398204192.000000	297718496.000000	334377696.000000	
HEX 23 : 111C4E20	1012FA40	9B9F2D0	
DEC 23 : 287067680.000000	269679168.000000	163181264.000000	
HEX 24 : 12D96700	CA6E6A0	10A0B4C0	
DEC 24 : 316237568.000000	212264608.000000	278967488.000000	
HEX 25 : 1EB143C	773C960	143145A0	
DEC 25 : 32183356.000000	125028704.000000	338773408.000000	
HEX 26 : 102516A0	89C2C60	9827E20	
DEC 26 : 270866080.000000	144452704.000000	159546912.000000	
HEX 27 : 18768000	1C72FE20	8A421E0	
DEC 27 : 410419200.000000	477298208.000000	144974304.000000	
HEX 28 : 8C4A530	1EF3EC80	130C5B40	
DEC 28 : 147105072.000000	519302272.000000	319576896.000000	
HEX 29 : 1C268780	188280E0	1E3F2880	
DEC 29 : 472287104.000000	411205856.000000	507455616.000000	
HEX 30 : 6A5B078	16BAB	8171780	
DEC 30 : 111521912.000000	93099.000000	135731072.000000	
HEX 31 : 1314C080	1B345420	1DDEAB40	
DEC 31 : 320127104.000000	456414240.000000	501132096.000000	
HEX 32 : 1187CE20	5178F30	10F3BC40	
DEC 32 : 294112800.000000	85430064.000000	284408896.000000	
HEX 33 : 115DA960	188A7260	15C742E0	
DEC 33 : 291350880.000000	411726432.000000	365380320.000000	
HEX 34 : E06B780	3ED403C	40205A8	
DEC 34 : 235321216.000000	65880124.000000	67241384.000000	
HEX 35 : 1DB87000	DB84C40	65A70F0	
DEC 35 : 498626560.000000	230181952.000000	106590448.000000	
HEX 36 : 1E132E20	16C2A	145F4B40	
DEC 36 : 504573472.000000	93226.000000	341789504.000000	
HEX 37 : 15E8B800	2ACB5A0	1807DE20	
DEC 37 : 367572992.000000	44873120.000000	403168800.000000	
HEX 38 : 18D384C0	151CBAA0	6FD3E20	
DEC 38 : 416515264.000000	354204320.000000	117259808.000000	
HEX 39 : 100994C0	1EFD0620	16C9788	
DEC 39 : 269063360.000000	519898656.000000	23893896.000000	
HEX 40 : 13F90D20	C0FDB2	9BF12D0	
DEC 40 : 335088928.000000	12647858.000000	163517136.000000	
HEX 41 : 1854D960	5F767B8	3E55A5C	
DEC 41 : 408213856.000000	100100024.000000	65362524.000000	
HEX 42 : 161F4B4	1D511B0	D275A60	
DEC 42 : 23196852.000000	30740912.000000	220682848.000000	
HEX 43 : AAD49E0	1D0D03C0	1A143880	
DEC 43 : 179128800.000000	487392192.000000	437532800.000000	
HEX 44 : 164FB5A0	D1BDAD0	528F878	
DEC 44 : 374322592.000000	219929296.000000	86571128.000000	
