Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : 3B3F698	BA83AA0	19B51960	
DEC 1 : 62125720.000000	195574432.000000	431298912.000000	
HEX 2 : 17C99000	102ADCE0	169F96A	
DEC 2 : 399085568.000000	271244512.000000	23722346.000000	
HEX 3 : FF0AA60	169B2	1035DC40	
DEC 3 : 267430496.000000	92594.000000	271965248.000000	
HEX 4 : 1086D000	16D3C020	19F44D20	
DEC 4 : 277270528.000000	382976032.000000	435440928.000000	
HEX 5 : E941D30	F1AC4B0	5E7CE20	
DEC 5 : 244587824.000000	253412528.000000	99077664.000000	
HEX 6 : F3440F0	1D6DBA80	B22CC40	
DEC 6 : 255082736.000000	493730432.000000	186829888.000000	
HEX 7 : 1E4BC780	15E59	15855A60	
DEC 7 : 508282752.000000	89689.000000	361060960.000000	
HEX 8 : 1F847C40	3C394E0	531D878	
DEC 8 : 528776256.000000	63149280.000000	87152760.000000	
HEX 9 : 10391780	5940708	191CAF00	
DEC 9 : 272177024.000000	93587208.000000	421310208.000000	
HEX 10 : 9EA8F10	D3C0930	4BFC3C	
DEC 10 : 166366992.000000	222038320.000000	4979772.000000	
HEX 11 : 5C85878	1DBC8DC0	1D531880	
DEC 11 : 97015928.000000	498896320.000000	491985024.000000	
HEX 12 : 26C5A5C	5DB34D0	12773C40	
DEC 12 : 40655452.000000	98251984.000000	309804096.000000	
HEX 13 : D31A5A0	D57AD30	1D0432E0	
DEC 13 : 221357472.000000	223849776.000000	486814432.000000	
HEX 14 : 12BCB780	1D3C7BA0	339E5A4	
DEC 14 : 314357632.000000	490503072.000000	54125988.000000	
HEX 15 : D08EC40	6C09E38	28575A4	
DEC 15 : 218688576.000000	113286712.000000	42300836.000000	
HEX 16 : 90D3D30	191C45E0	185D46A0	
DEC 16 : 151862576.000000	421283296.000000	408766112.000000	
HEX 17 : 1FCF0E20	1544B520	156FAC40	
DEC 17 : 533663264.000000	356824352.000000	359640128.000000	
HEX 18 : 1974EB40	1592AD00	DCE95A0	
DEC 18 : 427092800.000000	361934080.000000	231642528.000000	
HEX 19 : 14254B40	15A55380	57CC878	
DEC 19 : 337988416.000000	363156352.000000	92063864.000000	
HEX 20 : D9B1880	1DDA5680	1CE29780	
DEC 20 : 228268160.000000	500848256.000000	484611968.000000	
HEX 21 : 16883960	FABD3E0	9662970	
DEC 21 : 378026336.000000	262919136.000000	157690224.000000	
HEX 22 : 25BBB4C	10FE0480	BEE8C40	
DEC 22 : 39566156.000000	285082752.000000	200182848.000000	
HEX 23 : 61640F0	AC2A120	8054690	
DEC 23 : 102121712.000000	180527392.000000	134563472.000000	
