Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
HEX 1 : 145C9C40	1A833100	8DA13C0	
DEC 1 : 341613632.000000	444805376.000000	148509632.000000	
HEX 2 : 187E75A0	6BC97A8	D9FE000	
DEC 2 : 410940832.000000	113022888.000000	228581376.000000	
HEX 3 : 127AD880	196074E0	1102D1E0	
DEC 3 : 310040704.000000	425751776.000000	285397472.000000	
HEX 4 : 187DE6A0	ADB4170	174EB1E0	
DEC 4 : 410904224.000000	182141296.000000	391033312.000000	
HEX 5 : 5B8EA58	16AEE	F23F970	
DEC 5 : 96004696.000000	92910.000000	254015856.000000	
HEX 6 : CDE8970	60648A8	60FAA58	
DEC 6 : 215910768.000000	101075112.000000	101689944.000000	
HEX 7 : 187E7100	4656BC0	1B2CBB40	
DEC 7 : 410939648.000000	73755584.000000	455916352.000000	
HEX 8 : 187E7000	1D51C260	1DF665A0	
DEC 8 : 410939392.000000	491897440.000000	502687136.000000	
HEX 9 : 187E7000	ED4BD50	1F1CAC40	
DEC 9 : 410939392.000000	248823120.000000	521972800.000000	
HEX 10 : 8442F10	2C418	170B2B40	
DEC 10 : 138686224.000000	181272.000000	386607936.000000	
HEX 11 : 6C71A58	5D36F80	A7B72D0	
DEC 11 : 113711704.000000	97742720.000000	175862480.000000	
HEX 12 : D97DC40	149F5980	1434C780	
DEC 12 : 228056128.000000	345987456.000000	339003264.000000	
HEX 13 : 15C19780	1343C120	7539A58	
DEC 13 : 365008768.000000	323207456.000000	122919512.000000	
HEX 14 : 5ED2A58	1FD66BC0	650A2D0	
DEC 14 : 99428952.000000	534145984.000000	105947856.000000	
HEX 15 : E04E5A0	764A360	D72A4B0	
DEC 15 : 235201952.000000	124035936.000000	225617072.000000	
HEX 16 : 127573C0	11E6FFC0	DFA5B50	
DEC 16 : 309687232.000000	300351424.000000	234511184.000000	
HEX 17 : 266C000	1C9E9320	7DE787	
DEC 17 : 40288256.000000	480154400.000000	8251271.000000	
HEX 18 : 187E7D20	16636D00	D9B4780	
DEC 18 : 410942752.000000	375614720.000000	228280192.000000	
HEX 19 : CC675A0	D79F100	166E93C0	
DEC 19 : 214332832.000000	226095360.000000	376345536.000000	
HEX 20 : B4BAE20	1671B680	D456E20	
DEC 20 : 189509152.000000	376551040.000000	222653984.000000	
HEX 21 : BC75880	E923ED0	CFE1A60	
DEC 21 : 197613696.000000	244465360.000000	217979488.000000	
HEX 22 : 12813880	16934	1CBA7780	
DEC 22 : 310458496.000000	92468.000000	481982336.000000	
HEX 23 : E5B1880	1F815380	1277F4C0	
DEC 23 : 240851072.000000	528569216.000000	309851328.000000	
HEX 24 : 11B7C100	F9107C0	17D7696	
DEC 24 : 297255168.000000	261162944.000000	24999574.000000	
HEX 25 : 30FB3C4	E4D6D80	2DF0E20	
DEC 25 : 51360708.000000	239955328.000000	48172576.000000	
HEX 26 : C19E970	C5A6E20	1DD8B6A0	
DEC 26 : 203024752.000000	207253024.000000	500741792.000000	
HEX 27 : 187E74C0	1915F7C0	15885F00	
DEC 27 : 410940608.000000	420870080.000000	361258752.000000	
HEX 28 : CA61970	19B03D00	19D4D2E0	
DEC 28 : 212212080.000000	430980352.000000	433378016.000000	
HEX 29 : 187E74C0	1DAAE840	F8ED1E0	
DEC 29 : 410940608.000000	497739840.000000	261018080.000000	
HEX 30 : 13A2B4C	12588940	1CE98880	
DEC 30 : 20589388.000000	307792192.000000	485066880.000000	
HEX 31 : 187E7000	7F9CF1	11DEC4C0	
