Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 1FB00E60	10B164C0	F77CB50	
DEC 1 : 531631712.000000	280061120.000000	259509072.000000	
HEX 2 : 5F4FF	721E258	E4F82D0	
DEC 2 : 390399.000000	119661144.000000	240091856.000000	
HEX 3 : 1F2794C0	15B69800	4A58878	
DEC 3 : 522687680.000000	364288000.000000	77957240.000000	
HEX 4 : BA707F0	708CF10	1CC14A60	
DEC 4 : 195495920.000000	118017808.000000	482429536.000000	
HEX 5 : C802690	1E92CE20	B7514B0	
DEC 5 : 209725072.000000	512937504.000000	192222384.000000	
HEX 6 : 1EB415E0	8AFB930	1F0186A0	
DEC 6 : 515118560.000000	145733936.000000	520193696.000000	
HEX 7 : 5F6F9	B4B44F0	1F663F00	
DEC 7 : 390905.000000	189482224.000000	526794496.000000	
HEX 8 : 13CAC560	10D497C0	86CE2D0	
DEC 8 : 332055904.000000	282367936.000000	141353680.000000	
HEX 9 : B62FC40	5A241E0	67D23C0	
DEC 9 : 191036480.000000	94519776.000000	108864448.000000	
HEX 10 : 5EE56	1D014960	87E9780	
DEC 10 : 388694.000000	486623584.000000	142514048.000000	
HEX 11 : 10AD920	17636F40	129A85A0	
DEC 11 : 17488160.000000	392392512.000000	312116640.000000	
HEX 12 : D5F8A80	12455480	C168880	
DEC 12 : 224365184.000000	306533504.000000	202803328.000000	
HEX 13 : BCD9A90	1F2945A0	1CF9D880	
DEC 13 : 198023824.000000	522798496.000000	486135936.000000	
HEX 14 : 6A0E980	1C588620	138E3C40	
DEC 14 : 111208832.000000	475563552.000000	328088640.000000	
HEX 15 : 118E0960	7750B4	1E40878	
DEC 15 : 294521184.000000	7819444.000000	31721592.000000	
HEX 16 : 6F1DD10	F0FD000	14E6C880	
DEC 16 : 116514064.000000	252694528.000000	350668928.000000	
HEX 17 : 185C68E0	18FA7900	3D245A4	
DEC 17 : 408709344.000000	419068160.000000	64112036.000000	
HEX 18 : 77C64A8	E5DCD30	473BF10	
DEC 18 : 125592744.000000	241028400.000000	74694416.000000	
HEX 19 : 712C1C0	1D40000	CF74F10	
DEC 19 : 118669760.000000	30670848.000000	217534224.000000	
HEX 20 : 5F7F5	B792480	1EAD878	
DEC 20 : 391157.000000	192488576.000000	32168056.000000	
HEX 21 : 55EC7C8	1B6534C0	1BE9FD20	
DEC 21 : 90097608.000000	459617472.000000	468319520.000000	
HEX 22 : 1C5B6D60	B7E34F0	79EAE20	
DEC 22 : 475753824.000000	192820464.000000	127839776.000000	
HEX 23 : D6B71C0	B324F10	14972A60	
DEC 23 : 225145280.000000	187846416.000000	345451104.000000	
HEX 24 : 513FF40	8E10C40	902CF10	
DEC 24 : 85196608.000000	148966464.000000	151179024.000000	
HEX 25 : 5FA6D	D64FC4	1270F3C0	
DEC 25 : 391789.000000	14045124.000000	309392320.000000	
HEX 26 : B0713B0	319D25C	15BE84C0	
DEC 26 : 185013168.000000	52023900.000000	364807360.000000	
HEX 27 : 16439440	A4654F0	1CD43C4	
DEC 27 : 373527616.000000	172381424.000000	30229444.000000	
HEX 28 : 1C331BC0	471D168	16B67000	
DEC 28 : 473111488.000000	74568040.000000	381054976.000000	
HEX 29 : 5F2C7	48EABC0	57B2C40	
DEC 29 : 389831.000000	76458944.000000	91958336.000000	
HEX 30 : 196A28A0	10FFD5A0	3697F10	
DEC 30 : 426387616.000000	285201824.000000	57245456.000000	
HEX 31 : 8EFAAC0	1607B0C0	16F185A0	
DEC 31 : 149924544.000000	369602752.000000	384927136.000000	
HEX 32 : 15C430E0	9B68F1	1A2AAB40	
DEC 32 : 365179104.000000	10184945.000000	439003968.000000	
HEX 33 : F82EC40	16E3F120	68A1788	
DEC 33 : 260238400.000000	384037152.000000	109713288.000000	
HEX 34 : 5F08F	1D687B40	17028C40	
DEC 34 : 389263.000000	493386560.000000	386042944.000000	
HEX 35 : 191EEEA0	20DD92C	53CA0F0	
DEC 35 : 421457568.000000	34461996.000000	87859440.000000	
HEX 36 : E010FE0	159811A0	1CE5E4C0	
DEC 36 : 234950624.000000	362287520.000000	484828352.000000	
HEX 37 : 12C95540	6278710	7C75E20	
DEC 37 : 315184448.000000	103253776.000000	130506272.000000	
HEX 38 : 1D6D58A0	12C05B40	16593D20	
DEC 38 : 493705376.000000	314596160.000000	374947104.000000	
HEX 39 : 5F7F5	16733A20	1A011A60	
DEC 39 : 391157.000000	376650272.000000	436279904.000000	
HEX 40 : 61E7D98	1AA77340	C3C8780	
DEC 40 : 102661528.000000	447181632.000000	205293440.000000	
HEX 41 : B9EE270	E801B80	1DBAB1E0	
DEC 41 : 194962032.000000	243276672.000000	498774496.000000	
HEX 42 : F1902B0	12BDADA0	13EE9B40	
DEC 42 : 253297328.000000	314420640.000000	334404416.000000	
HEX 43 : 11D1B5E0	B891310	DAA8880	
DEC 43 : 298956256.000000	193532688.000000	229279872.000000	
HEX 44 : 1CE0AD80	1B6A1560	C9FD970	
DEC 44 : 484486528.000000	459937120.000000	211802480.000000	
HEX 45 : 17493460	1887B8C0	156C55A0	
DEC 45 : 390673504.000000	411547840.000000	359421344.000000	
HEX 46 : A3928B0	AA2BC4	3034B4	
DEC 46 : 171518128.000000	11152324.000000	3159220.000000	
HEX 47 : 182D0300	12D2D500	1BBE6E20	
DEC 47 : 405603072.000000	315806976.000000	465464864.000000	
HEX 48 : EABF870	C1E5080	486AA58	
DEC 48 : 246151280.000000	203313280.000000	75934296.000000	
HEX 49 : C86938	126EAFC0	4B08000	
DEC 49 : 13134136.000000	309243840.000000	78675968.000000	
HEX 50 : DC16610	53CCDA8	E620780	
