Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 8494F10	1497FD00	813C690	
DEC 1 : 139022096.000000	345505024.000000	135513744.000000	
HEX 2 : 14E0E0C0	1F060620	44B73C0	
DEC 2 : 350281920.000000	520488480.000000	72053696.000000	
HEX 3 : 4276840	1528DC40	18B94E20	
DEC 3 : 69691456.000000	354999360.000000	414797344.000000	
HEX 4 : 18CD9920	3F399E0	1F68C4C0	
DEC 4 : 416127264.000000	66296288.000000	526959808.000000	
HEX 5 : F86D170	131930C0	980ED30	
DEC 5 : 260493680.000000	320417984.000000	159444272.000000	
HEX 6 : 1F93D3C0	14919780	13AEB3C0	
DEC 6 : 529781696.000000	345085824.000000	330216384.000000	
HEX 7 : 113A8080	1029D7C0	1B5DDD20	
DEC 7 : 289046656.000000	271177664.000000	459136288.000000	
HEX 8 : 1A44C000	6E63348	15B28B40	
DEC 8 : 440713216.000000	115749704.000000	364022592.000000	
HEX 9 : 5245C40	5D403C	A5B6780	
DEC 9 : 86268992.000000	6111292.000000	173762432.000000	
HEX 10 : 378F078	86114B0	173BC3C0	
DEC 10 : 58257528.000000	140580016.000000	389792704.000000	
HEX 11 : 168D3E20	9DFC310	28421E0	
DEC 11 : 378355232.000000	165659408.000000	42213856.000000	
HEX 12 : 8CF6DE0	C0ABCF0	1B1411E0	
DEC 12 : 147811808.000000	202030320.000000	454300128.000000	
HEX 13 : A0AB310	1B1089A0	C85CD30	
DEC 13 : 168473360.000000	454068640.000000	210095408.000000	
HEX 14 : 108C53C0	1E649800	E6E7000	
DEC 14 : 277631936.000000	509908992.000000	242118656.000000	
HEX 15 : 1836D740	1390A4C0	1278A2E0	
DEC 15 : 406247232.000000	328246464.000000	309895904.000000	
HEX 16 : 98E56D0	9CEA2D0	114102E0	
DEC 16 : 160323280.000000	164537040.000000	289473248.000000	
HEX 17 : FCDA350	A6E400	13BFB4C0	
DEC 17 : 265134928.000000	10937344.000000	331330752.000000	
HEX 18 : 7E4BDA8	28B6788	12576A60	
DEC 18 : 132431272.000000	42690440.000000	307718752.000000	
HEX 19 : 9117A60	CEFF690	6DBB968	
DEC 19 : 152140384.000000	217052816.000000	115063144.000000	
HEX 20 : E181290	7EEA0F0	1E8691E0	
DEC 20 : 236458640.000000	133079280.000000	512135648.000000	
HEX 21 : F1CCE20	9517F10	38E1000	
DEC 21 : 253546016.000000	156335888.000000	59641856.000000	
HEX 22 : F7838B0	CE1C710	DC061E0	
DEC 22 : 259537072.000000	216123152.000000	230711776.000000	
HEX 23 : 27FDA5	5025C78	72780F0	
DEC 23 : 2620837.000000	84040824.000000	120029424.000000	
HEX 24 : 13E2C300	36AACF0	19BB8100	
DEC 24 : 333628160.000000	57322736.000000	431718656.000000	
HEX 25 : D7D0570	15C082A0	2C230F0	
