Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 12E1B3C0	374A8F0	17F242E0	
DEC 1 : 316781504.000000	57977072.000000	401752800.000000	
HEX 2 : 1B0D3160	1CFF3080	19023B40	
DEC 2 : 453849440.000000	486486144.000000	419576640.000000	
HEX 3 : 1ECB3160	1AE7ED60	5AC3788	
DEC 3 : 516632928.000000	451407200.000000	95172488.000000	
HEX 4 : 399C43C	9DF7C00	15D37100	
DEC 4 : 60408892.000000	165641216.000000	366178560.000000	
HEX 5 : 1FB58260	F074970	1D8C24C0	
DEC 5 : 531989088.000000	252135792.000000	495723712.000000	
HEX 6 : 172B5B40	38AF65C	44654B8	
DEC 6 : 388717376.000000	59438684.000000	71718072.000000	
HEX 7 : 35A7620	90897C0	7AD22D0	
DEC 7 : 56260128.000000	151558080.000000	128787152.000000	
HEX 8 : 16625AE0	AC0ACF0	143E7880	
DEC 8 : 375544544.000000	180399344.000000	339638400.000000	
HEX 9 : 2AD000	6F962D0	F007C40	
DEC 9 : 2805760.000000	117007056.000000	251690048.000000	
HEX 10 : 1A8B3260	1F93AC40	9F651E0	
DEC 10 : 445330016.000000	529771584.000000	167137760.000000	
HEX 11 : 6C1C3C0	FB0FA90	6CAB968	
DEC 11 : 113361856.000000	263256720.000000	113949032.000000	
HEX 12 : 6CF4168	3896DE0	1201B5A0	
DEC 12 : 114245992.000000	59338208.000000	302101920.000000	
HEX 13 : 9E464B0	9ABF6D0	38831E0	
DEC 13 : 165962928.000000	162264784.000000	59257312.000000	
HEX 14 : 17A18620	18CCF700	4B211E0	
DEC 14 : 396461600.000000	416085760.000000	78778848.000000	
HEX 15 : E5F90F0	1C137040	26D5A5C	
DEC 15 : 241144048.000000	471035968.000000	40720988.000000	
HEX 16 : 7480CB8	82D7660	1D06C2E0	
DEC 16 : 122162360.000000	137197152.000000	486982368.000000	
HEX 17 : 1579AC40	97FC1E0	1B9CE100	
DEC 17 : 360295488.000000	159367648.000000	463266048.000000	
HEX 18 : 148F5CC0	1B95FAA0	C3DAE20	
DEC 18 : 344939712.000000	462813856.000000	205368864.000000	
HEX 19 : 95A697	10143840	1A4D33C0	
DEC 19 : 9807511.000000	269760576.000000	441267136.000000	
HEX 20 : 18D44800	3AFADE0	1355BD20	
DEC 20 : 416565248.000000	61844960.000000	324386080.000000	
HEX 21 : 9C2F3C0	71CED30	B361D30	
DEC 21 : 163771328.000000	119336240.000000	188095792.000000	
HEX 22 : 1D2969	23A85E0	1FEF2880	
DEC 22 : 1911145.000000	37389792.000000	535767168.000000	
HEX 23 : 10CFBF80	10264FC0	1429BE20	
DEC 23 : 282050432.000000	270946240.000000	338279968.000000	
HEX 24 : 140B52E0	145A6FC0	E4504B0	
DEC 24 : 336286432.000000	341471168.000000	239404208.000000	
HEX 25 : 9ECC710	17877DA0	1FB8C880	
DEC 25 : 166512400.000000	394755488.000000	532203648.000000	
HEX 26 : 1E8BEBC0	5D5FBC0	1E3EB4C	
DEC 26 : 512486336.000000	97909696.000000	31714124.000000	
HEX 27 : 1D6F3880	15E61CC0	1836A3C0	
DEC 27 : 493828224.000000	367402176.000000	406234048.000000	
HEX 28 : B7C6440	123CB660	F445780	
DEC 28 : 192701504.000000	305968736.000000	256137088.000000	
HEX 29 : 707F5A8	16290700	AA291E0	
DEC 29 : 117962152.000000	371787520.000000	178426336.000000	
HEX 30 : 1C76A000	1431B6E0	82D44B0	
DEC 30 : 477536256.000000	338802400.000000	137184432.000000	
HEX 31 : 15100900	A9770F0	6D09878	
DEC 31 : 353372416.000000	177697008.000000	114333816.000000	
HEX 32 : AE902D0	213C710	4ADA1E0	
DEC 32 : 183042768.000000	34850576.000000	78488032.000000	
HEX 33 : 3C21800	190B0F0	88B70F0	
DEC 33 : 63051776.000000	26259696.000000	143356144.000000	
HEX 34 : 149CF340	121AA6E0	659E000	
DEC 34 : 345830208.000000	303736544.000000	106553344.000000	
HEX 35 : 1161B000	10DC52E0	1C019880	
DEC 35 : 291614720.000000	282874592.000000	469866624.000000	
HEX 36 : 18ADB620	10482800	19CD35A0	
DEC 36 : 414037536.000000	273164288.000000	432879008.000000	
HEX 37 : DD4E8F0	1DD7F780	9B9EB50	
DEC 37 : 232057072.000000	500692864.000000	163179344.000000	
HEX 38 : 6572E20	1DA7EAE0	A75F0F0	
DEC 38 : 106376736.000000	497543904.000000	175501552.000000	
HEX 39 : 43C6348	E05FDE0	E854690	
DEC 39 : 71066440.000000	235273696.000000	243615376.000000	
HEX 40 : 1A06A780	1229DB40	12A282E0	
DEC 40 : 436643712.000000	304732992.000000	312640224.000000	
HEX 41 : C9CC970	15E99740	183B64C0	
DEC 41 : 211601776.000000	367630144.000000	406545600.000000	
HEX 42 : EAA6A60	4433748	11555780	
DEC 42 : 246049376.000000	71513928.000000	290805632.000000	
HEX 43 : AEF79E0	26B13C4	18DBD100	
DEC 43 : 183466464.000000	40571844.000000	417059072.000000	
HEX 44 : 485E4B8	4BA9220	FED788	
DEC 44 : 75883704.000000	79335968.000000	16701320.000000	
HEX 45 : A17A080	1CFF55A0	17DA1D20	
DEC 45 : 169320576.000000	486495648.000000	400170272.000000	
HEX 46 : 1D5DF440	16D6FC4	7FD8E20	
DEC 46 : 492696640.000000	23949252.000000	134057504.000000	
HEX 47 : 75CD3C0	17F3AEE0	11F0D000	
DEC 47 : 123524032.000000	401845984.000000	300994560.000000	
HEX 48 : 11872520	18A8D480	1E29BF00	
DEC 48 : 294069536.000000	413717632.000000	506052352.000000	
HEX 49 : 1F669C40	1ED37880	13092000	
DEC 49 : 526818368.000000	517175424.000000	319365120.000000	
HEX 50 : E0D9B50	E6CD930	90A12D0	
DEC 50 : 235772752.000000	242014512.000000	151655120.000000	
HEX 51 : 10A6ED20	6A854F0	2265878	
DEC 51 : 279375136.000000	111695088.000000	36067448.000000	
HEX 52 : 1CE7B900	CABAB50	50954B8	
DEC 52 : 484948224.000000	212577104.000000	84497592.000000	
HEX 53 : 1FAC6F00	18D5AD2	15A2B000	
DEC 53 : 531394304.000000	26041042.000000	362983424.000000	
HEX 54 : 13165900	1F075000	19F7AC40	
DEC 54 : 320231680.000000	520572928.000000	435661888.000000	
HEX 55 : 1A354100	D313C4	1B9DFE20	
DEC 55 : 439697664.000000	13833156.000000	463339040.000000	
HEX 56 : ACF4E90	B101D70	1217D6A0	
DEC 56 : 181358224.000000	185605488.000000	303552160.000000	
HEX 57 : 14477260	1F743160	5C982D0	
DEC 57 : 340226656.000000	527708512.000000	97092304.000000	
HEX 58 : 8F0C970	107FDB80	1CCCE960	
DEC 58 : 149997936.000000	276814720.000000	483191136.000000	
HEX 59 : 5E11A58	1DBDC5A0	1E67B1E0	
DEC 59 : 98638424.000000	498976160.000000	510112224.000000	
HEX 60 : 2BBCB4C	2432BC4	18E012E0	
DEC 60 : 45861708.000000	37956548.000000	417338080.000000	
HEX 61 : 188AF800	65F3620	C4E7E20	
DEC 61 : 411760640.000000	106903072.000000	206470688.000000	
HEX 62 : 1DAD7F80	AAB7C40	12604000	
DEC 62 : 497909632.000000	179010624.000000	308297728.000000	
HEX 63 : E9A8F10	19ECF5A0	1156D1E0	
DEC 63 : 245010192.000000	434959776.000000	290902496.000000	
HEX 64 : 2C4D4B4	163A3100	41D8C40	
DEC 64 : 46453940.000000	372912384.000000	69045312.000000	
HEX 65 : 18DC5DA0	E34B570	C3800F0	
DEC 65 : 417095072.000000	238335344.000000	204996848.000000	
HEX 66 : 1A2BB700	12841780	3FA696	
DEC 66 : 439072512.000000	310646656.000000	4171414.000000	
HEX 67 : 6D36D30	114467C0	15708B40	
DEC 67 : 114519344.000000	289695680.000000	359697216.000000	
HEX 68 : 14887800	170FC040	164A0960	
DEC 68 : 344487936.000000	386908224.000000	373950816.000000	
HEX 69 : 3E2A698	175C8EE0	1A0615A0	
DEC 69 : 65185432.000000	391941856.000000	436606368.000000	
HEX 70 : E5D42D0	9C088B0	1923AF00	
DEC 70 : 240992976.000000	163612848.000000	421768960.000000	
HEX 71 : D3199E0	1F5E7BC0	1F240000	
DEC 71 : 221354464.000000	526285760.000000	522452992.000000	
HEX 72 : 11314A60	3FC6078	9904690	
DEC 72 : 288442976.000000	66871416.000000	160450192.000000	
HEX 73 : 11E02C40	A84CF10	E37DB50	
DEC 73 : 299904064.000000	176475920.000000	238541648.000000	
HEX 74 : 9EB6440	15EB9AA0	1BF93C4	
DEC 74 : 166421568.000000	367762080.000000	29332420.000000	
HEX 75 : 1CB516A	1C392D60	14AB1100	
DEC 75 : 30101866.000000	473509216.000000	346755328.000000	
HEX 76 : E9F02D0	100A1840	1B4F5A6	
DEC 76 : 245301968.000000	269097024.000000	28636582.000000	
HEX 77 : E87B880	16331920	86EC2D0	
DEC 77 : 243775616.000000	372447520.000000	141476560.000000	
HEX 78 : 685AAD0	1D0F1620	25F61E0	
DEC 78 : 109423312.000000	487527968.000000	39805408.000000	
HEX 79 : 1CA73100	7D1E258	1A145000	
DEC 79 : 480719104.000000	131195480.000000	437538816.000000	
HEX 80 : 1B80D780	196B0560	E2F9C40	
DEC 80 : 461428608.000000	426444128.000000	238001216.000000	
HEX 81 : 358AE20	CE84840	AF0697	
DEC 81 : 56143392.000000	216549440.000000	11470487.000000	
HEX 82 : 16CCFBC0	1E3E2080	12EB92E0	
DEC 82 : 382532544.000000	507388032.000000	317428448.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
