Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 76
HEX 1 : 188684C0	6292BC0	1A018780	
DEC 1 : 411468992.000000	103361472.000000	436307840.000000	
HEX 2 : 9ECE1E0	1937C160	557F698	
DEC 2 : 166519264.000000	423084384.000000	89650840.000000	
HEX 3 : C5EE97	14590100	FFA5D30	
DEC 3 : 12971671.000000	341377280.000000	268066096.000000	
HEX 4 : 5A00E20	5C58DA8	139C8100	
DEC 4 : 94375456.000000	96832936.000000	329023744.000000	
HEX 5 : 12541700	1EB2296	1A8BD1E0	
DEC 5 : 307500800.000000	32187030.000000	445370848.000000	
HEX 6 : 438D440	15F07380	91782D0	
DEC 6 : 70833216.000000	368079744.000000	152535760.000000	
HEX 7 : 1F1185A0	8414CF0	1D166100	
DEC 7 : 521242016.000000	138497264.000000	488005888.000000	
HEX 8 : C04CD30	4A7F168	176DAB40	
DEC 8 : 201641264.000000	78115176.000000	393063232.000000	
HEX 9 : 1B962B40	1502F040	16D3E5A0	
DEC 9 : 462826304.000000	352514112.000000	382985632.000000	
HEX 10 : F5CB8F0	142E4560	10E01E20	
DEC 10 : 257734896.000000	338576736.000000	283123232.000000	
HEX 11 : 1FC513C0	1C3CA700	16661960	
DEC 11 : 533009344.000000	473736960.000000	375789920.000000	
HEX 12 : 68C65A8	B67A880	EB395A0	
DEC 12 : 109864360.000000	191342720.000000	246650272.000000	
HEX 13 : 17164700	15680A60	FACF000	
DEC 13 : 387335936.000000	359139936.000000	262991872.000000	
HEX 14 : 18EAAC40	1F3EE3C0	1BE0CE20	
DEC 14 : 418032704.000000	524215232.000000	467717664.000000	
HEX 15 : 1B049C40	41A61E0	AE105A0	
DEC 15 : 453286976.000000	68837856.000000	182519200.000000	
HEX 16 : 5FDC530	89B4570	1C4D696	
DEC 16 : 100517168.000000	144393584.000000	29677206.000000	
HEX 17 : 1743CCC0	E29D290	54D7F10	
DEC 17 : 390319296.000000	237621904.000000	88964880.000000	
HEX 18 : 12395D20	1B1EFC00	104C26A0	
DEC 18 : 305749280.000000	455015424.000000	273426080.000000	
HEX 19 : D2E20F0	15F99900	1D0A0D20	
DEC 19 : 221126896.000000	368679168.000000	487197984.000000	
HEX 20 : 4CA5E98	1667D6A	4B152D0	
DEC 20 : 80371352.000000	23493994.000000	78729936.000000	
HEX 21 : 15BF8780	14978EA0	1EF62D20	
DEC 21 : 364873600.000000	345476768.000000	519449888.000000	
HEX 22 : AEFC710	19A06040	CFD3E20	
DEC 22 : 183486224.000000	429940800.000000	217923104.000000	
HEX 23 : 1922CD20	14454520	150DD2E	
DEC 23 : 421711136.000000	340084000.000000	22076718.000000	
HEX 24 : 10822F00	1D7E6440	1E16F100	
DEC 24 : 276967168.000000	494822464.000000	504819968.000000	
HEX 25 : 81BF000	12BB19A0	F77A5A0	
DEC 25 : 136048640.000000	314251680.000000	259499424.000000	
HEX 26 : DC0B710	7A0F8B8	10BAA6A0	
DEC 26 : 230733584.000000	127989944.000000	280667808.000000	
HEX 27 : BBE3350	486C800	5386000	
DEC 27 : 197014352.000000	75941888.000000	87580672.000000	
HEX 28 : 13032BC0	11052DE0	B18BA60	
DEC 28 : 318974912.000000	285552096.000000	186169952.000000	
HEX 29 : 33EECB4	1BED10C0	18E155A0	
DEC 29 : 54455476.000000	468521152.000000	417420704.000000	
HEX 30 : 1306B260	AB126D0	1792C1E0	
DEC 30 : 319205984.000000	179381968.000000	395493856.000000	
HEX 31 : 99764B0	8499A90	1DB45C40	
DEC 31 : 160916656.000000	139041424.000000	498359360.000000	
HEX 32 : 15AEBDA0	32B57C4	4E49E20	
DEC 32 : 363773344.000000	53172164.000000	82091552.000000	
HEX 33 : FDC01E0	BFF8570	1F9F71E0	
DEC 33 : 266076640.000000	201295216.000000	530543072.000000	
HEX 34 : 3C3C52C	A42B1E0	195CEA60	
DEC 34 : 63161644.000000	172143072.000000	425519712.000000	
HEX 35 : 1965D780	1C0990C0	126482E0	
DEC 35 : 426104704.000000	470388928.000000	308576992.000000	
HEX 36 : 9650350	15BFCF40	163E96A0	
DEC 36 : 157614928.000000	364891968.000000	373200544.000000	
HEX 37 : A0A25A	38BEE5C	E702000	
DEC 37 : 10527322.000000	59502172.000000	242229248.000000	
HEX 38 : 15CED700	2A7BC3	EA07B50	
DEC 38 : 365876992.000000	2784195.000000	245398352.000000	
HEX 39 : 113F3A60	1AC6EC80	43BAB48	
DEC 39 : 289356384.000000	449244288.000000	71019336.000000	
HEX 40 : 8719780	F894E90	1C007F00	
DEC 40 : 141662080.000000	260656784.000000	469794560.000000	
HEX 41 : 1D0C85A0	10938880	106384C0	
DEC 41 : 487359904.000000	278104192.000000	274957504.000000	
HEX 42 : 37871E0	111A2260	1636AD20	
DEC 42 : 58225120.000000	286925408.000000	372682016.000000	
HEX 43 : E20B3C0	1B982500	1698E960	
DEC 43 : 237024192.000000	462955776.000000	379119968.000000	
HEX 44 : 62DE788	EFCA4F0	66A1A58	
DEC 44 : 103671688.000000	251438320.000000	107616856.000000	
HEX 45 : 1FE8B880	7535788	625CF10	
DEC 45 : 535345280.000000	122902408.000000	103141136.000000	
HEX 46 : 1746DF80	6EDFFC0	129EE880	
DEC 46 : 390520704.000000	116260800.000000	312404096.000000	
HEX 47 : 132F5EA0	6BE3800	B975000	
DEC 47 : 321871520.000000	113129472.000000	194465792.000000	
HEX 48 : C0BD080	13051960	90E4880	
DEC 48 : 202100864.000000	319101280.000000	151931008.000000	
HEX 49 : 1C5B2E20	1B8D0A60	B7C60F0	
DEC 49 : 475737632.000000	462228064.000000	192700656.000000	
HEX 50 : 154C0B40	1DA2C340	9E675A0	
DEC 50 : 357305152.000000	497206080.000000	166098336.000000	
HEX 51 : 15218B40	199DD340	189C7100	
DEC 51 : 354519872.000000	429773632.000000	412905728.000000	
HEX 52 : BF7A530	E83B480	14D155A0	
DEC 52 : 200779056.000000	243512448.000000	349263264.000000	
HEX 53 : CC10530	BA75480	A71D1E0	
DEC 53 : 213976368.000000	195515520.000000	175231456.000000	
HEX 54 : 114FD260	9940E90	4D27B48	
DEC 54 : 290443872.000000	160698000.000000	80902984.000000	
HEX 55 : 11904620	13C54560	17E85A6	
DEC 55 : 294667808.000000	331695456.000000	25068966.000000	
HEX 56 : 1F836C40	F861710	61C3878	
DEC 56 : 528706624.000000	260445968.000000	102512760.000000	
HEX 57 : 2F77878	7D5B620	8A152D0	
DEC 57 : 49772664.000000	131446304.000000	144790224.000000	
HEX 58 : 8B39970	381ACB4	C32D000	
DEC 58 : 145987952.000000	58830004.000000	204656640.000000	
HEX 59 : 1D77000	14455960	210D1E0	
DEC 59 : 30896128.000000	340089184.000000	34656736.000000	
HEX 60 : 19E1DB40	B7C15E0	BD5AB50	
DEC 60 : 434232128.000000	192681440.000000	198552400.000000	
HEX 61 : 5172440	1F002260	5251C40	
DEC 61 : 85402688.000000	520102496.000000	86318144.000000	
HEX 62 : 1E23CC40	1C9CDCC0	30931E0	
DEC 62 : 505662528.000000	480042176.000000	50934240.000000	
HEX 63 : 5BAE1E	E498F50	B8775A0	
DEC 63 : 6008350.000000	239701840.000000	193426848.000000	
HEX 64 : BF7ADA0	1FBB72E0	22AF968	
DEC 64 : 200781216.000000	532378336.000000	36370792.000000	
HEX 65 : 121D92E0	12BAC880	18330C40	
DEC 65 : 303928032.000000	314230912.000000	405998656.000000	
HEX 66 : 4668D30	15D62920	1D27C3C0	
DEC 66 : 73829680.000000	366356768.000000	489145280.000000	
HEX 67 : 172FDDA0	CA89310	1D9126A0	
DEC 67 : 389012896.000000	212374288.000000	496051872.000000	
HEX 68 : 1C0B66A0	18A446A0	1DB43780	
DEC 68 : 470509216.000000	413419168.000000	498349952.000000	
HEX 69 : 1B2DD2E0	CFF5C80	16FCD4C0	
DEC 69 : 455987936.000000	218061952.000000	385668288.000000	
HEX 70 : 2BB48F0	1EA199E0	C492B50	
DEC 70 : 45828336.000000	513907168.000000	206121808.000000	
HEX 71 : 5305800	1A291080	11D2CE20	
DEC 71 : 87054336.000000	438898816.000000	299028000.000000	
HEX 72 : 15C66000	E399CF0	1184DE20	
DEC 72 : 365322240.000000	238656752.000000	293920288.000000	
HEX 73 : 1F6232E0	4E93D30	13AEA1E0	
DEC 73 : 526529248.000000	82394416.000000	330211808.000000	
HEX 74 : 19C27780	87ABC80	10A8878	
DEC 74 : 432174976.000000	142261376.000000	17467512.000000	
HEX 75 : 173DA100	168DF840	83C5E20	
DEC 75 : 389914880.000000	378402880.000000	138173984.000000	
HEX 76 : 9E430F0	1360F560	970D2D	
DEC 76 : 165949680.000000	325121376.000000	9899309.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
