Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 76
HEX 1 : 6A2E1E	15F2DE20	5EB969	
DEC 1 : 6958622.000000	368238112.000000	6207849.000000	
HEX 2 : 2ACC0F0	1D34D9E0	1D46FB40	
DEC 2 : 44876016.000000	490002912.000000	491191104.000000	
HEX 3 : 6D45788	195015A0	152F4E20	
DEC 3 : 114579336.000000	424678816.000000	355421728.000000	
HEX 4 : 9813970	1FBD6BC0	125105A0	
DEC 4 : 159463792.000000	532507584.000000	307299744.000000	
HEX 5 : 9E44D30	5F2BFC0	1B2FC000	
DEC 5 : 165956912.000000	99794880.000000	456114176.000000	
HEX 6 : 1B8833C0	4C3D4B8	818E000	
DEC 6 : 461910976.000000	79942840.000000	135847936.000000	
HEX 7 : CEB9880	197ADD20	1FE73C40	
DEC 7 : 216766592.000000	427482400.000000	535247936.000000	
HEX 8 : AA79F10	DF30750	1A2382E0	
DEC 8 : 178757392.000000	234030928.000000	438534880.000000	
HEX 9 : EA5DA60	8B33E60	14FCD780	
DEC 9 : 245750368.000000	145964640.000000	352114560.000000	
HEX 10 : 1A9AD2E0	F4C0C00	1CD5CC40	
DEC 10 : 446354144.000000	256642048.000000	483773504.000000	
HEX 11 : F6381E0	10B24C40	14F77880	
DEC 11 : 258179552.000000	280120384.000000	351762560.000000	
HEX 12 : 1C9C4C40	1AF56300	B3F41E0	
DEC 12 : 480005184.000000	452289280.000000	188695008.000000	
HEX 13 : 1142696	A326F50	DA2CD30	
DEC 13 : 18097814.000000	171077456.000000	228773168.000000	
HEX 14 : 1022D960	1838A160	3F482D4	
DEC 14 : 270719328.000000	406364512.000000	66355924.000000	
HEX 15 : 40E4788	11F8CCC0	C0C6E20	
DEC 15 : 68044680.000000	301518016.000000	202141216.000000	
HEX 16 : 104C2C40	1E1F76A0	EC78970	
DEC 16 : 273427520.000000	505378464.000000	247957872.000000	
HEX 17 : EF6C3C0	C003000	7695C40	
DEC 17 : 251052992.000000	201338880.000000	124345408.000000	
HEX 18 : 58622D0	4064298	FEA5A6	
DEC 18 : 92676816.000000	67519128.000000	16688550.000000	
HEX 19 : F70ED30	13487900	1C72C5A0	
DEC 19 : 259058992.000000	323516672.000000	477283744.000000	
HEX 20 : DA5F970	1162EC00	1B04C3C	
DEC 20 : 228981104.000000	291695616.000000	28331068.000000	
HEX 21 : 1D9A8100	163A7D00	19BE6E20	
DEC 21 : 496664832.000000	372931840.000000	431910432.000000	
HEX 22 : 210AE20	20D3698	C8F05A0	
DEC 22 : 34647584.000000	34420376.000000	210699680.000000	
HEX 23 : 1DB675A0	CA948B0	D2B6690	
DEC 23 : 498496928.000000	212420784.000000	220948112.000000	
HEX 24 : 19707D20	37284F0	1ABC1E20	
DEC 24 : 426802464.000000	57836784.000000	448536096.000000	
HEX 25 : 470B1E0	A2DE3C0	182CBC40	
DEC 25 : 74494432.000000	170779584.000000	405584960.000000	
HEX 26 : 17A4C3C	1796DAA0	7A49788	
DEC 26 : 24792124.000000	395762336.000000	128227208.000000	
HEX 27 : 1859A5A	118C9040	1B3DBB40	
DEC 27 : 25533018.000000	294424640.000000	457030464.000000	
HEX 28 : 19FA9100	1F6C23C0	27805A4	
DEC 28 : 435851520.000000	527180736.000000	41420196.000000	
HEX 29 : DD962D0	15B21D60	AAB6970	
DEC 29 : 232350416.000000	363994464.000000	179005808.000000	
HEX 30 : 1FAA91E0	602DA5	1F9246A0	
DEC 30 : 531272160.000000	6303141.000000	529680032.000000	
HEX 31 : D298B50	1DE06440	7F033C0	
DEC 31 : 220826448.000000	501244992.000000	133182400.000000	
HEX 32 : 1726AC40	BA96380	8D69880	
DEC 32 : 388410432.000000	195650432.000000	148281472.000000	
HEX 33 : 19862000	EC9A5	1978000	
DEC 33 : 428220416.000000	969125.000000	26705920.000000	
HEX 34 : 72845A8	75285E0	97BCF10	
DEC 34 : 120079784.000000	122848736.000000	159108880.000000	
HEX 35 : 1588AE20	165F2AE0	189AAC40	
DEC 35 : 361279008.000000	375335648.000000	412789824.000000	
HEX 36 : CF744B0	5112CF0	53DC000	
DEC 36 : 217531568.000000	85011696.000000	87932928.000000	
HEX 37 : F0710F0	1ADC6480	1825A000	
DEC 37 : 252121328.000000	450651264.000000	405118976.000000	
HEX 38 : F0E83C0	6A9D258	D1A9780	
DEC 38 : 252609472.000000	111792728.000000	219846528.000000	
HEX 39 : 140BFC40	12472480	66B84B8	
DEC 39 : 336329792.000000	306652288.000000	107709624.000000	
HEX 40 : 173A0880	104179A0	13A3CC40	
DEC 40 : 389679232.000000	272726432.000000	329501760.000000	
HEX 41 : 1DABB2E0	1D967700	152A6960	
DEC 41 : 497791712.000000	496400128.000000	355101024.000000	
HEX 42 : 1F770F0	1E89C620	F9225A0	
DEC 42 : 32993520.000000	512345632.000000	261236128.000000	
HEX 43 : 14E2FB40	1A251D00	9791E20	
DEC 43 : 350419776.000000	438639872.000000	158932512.000000	
HEX 44 : 115516A0	94F9310	CA3788	
DEC 44 : 290789024.000000	156209936.000000	13252488.000000	
HEX 45 : 147535A0	461E4F0	58C23C0	
DEC 45 : 343225760.000000	73524464.000000	93070272.000000	
HEX 46 : 1B6B4780	A24E400	168463C0	
DEC 46 : 460015488.000000	170189824.000000	377775040.000000	
HEX 47 : 1AC82D20	16F1E7C0	4973C40	
DEC 47 : 449326368.000000	384952256.000000	77020224.000000	
HEX 48 : 41EDB48	FE597C0	134942E0	
DEC 48 : 69131080.000000	266704832.000000	323568352.000000	
HEX 49 : 16943780	1E796CC0	18F4B880	
DEC 49 : 378812288.000000	511274176.000000	418691200.000000	
HEX 50 : 194A8A60	E876B10	2369968	
DEC 50 : 424315488.000000	243755792.000000	37132648.000000	
HEX 51 : 977A3C0	E5C65A	E903D30	
DEC 51 : 158835648.000000	15058522.000000	244333872.000000	
HEX 52 : 60B3C40	EAF03C	1615EF00	
DEC 52 : 101399616.000000	15396924.000000	370536192.000000	
HEX 53 : 1FBDF2E0	AB53A20	62FD2D0	
DEC 53 : 532542176.000000	179649056.000000	103797456.000000	
HEX 54 : 58C1788	1DD953C0	6AAE698	
DEC 54 : 93067144.000000	500782016.000000	111863448.000000	
HEX 55 : 8BE8880	16D67300	453B878	
DEC 55 : 146704512.000000	383152896.000000	72595576.000000	
HEX 56 : 7A8DE20	E9A85E0	5B5C5A8	
DEC 56 : 128507424.000000	245007840.000000	95798696.000000	
HEX 57 : 751CF10	7880800	11BDC6A0	
DEC 57 : 122801936.000000	126355456.000000	297649824.000000	
HEX 58 : 178C8A60	1E304960	10CE2A60	
DEC 58 : 395086432.000000	506480992.000000	281946720.000000	
HEX 59 : A773880	D466660	D8340F0	
DEC 59 : 175585408.000000	222717536.000000	226705648.000000	
HEX 60 : E286C40	8E7169	15345D20	
DEC 60 : 237530176.000000	9335145.000000	355753248.000000	
HEX 61 : 8377B50	14FE8EA0	1B31D1E0	
DEC 61 : 137853776.000000	352226976.000000	456249824.000000	
HEX 62 : 9F9B1E0	13FBFA60	10E521E0	
DEC 62 : 167358944.000000	335280736.000000	283451872.000000	
HEX 63 : 99FCD30	1F2D4440	1B26FE20	
DEC 63 : 161467696.000000	523060288.000000	455540256.000000	
HEX 64 : 11BC43C0	4B55DE0	1B5B95A0	
DEC 64 : 297550784.000000	78994912.000000	458986912.000000	
HEX 65 : 13534B40	CB37570	1A855A60	
DEC 65 : 324225856.000000	213087600.000000	444947040.000000	
HEX 66 : 12123B40	FC268B0	D3C30F0	
DEC 66 : 303184704.000000	264399024.000000	222048496.000000	
HEX 67 : 1947BD20	1333B920	BC0F780	
DEC 67 : 424131872.000000	322156832.000000	197195648.000000	
HEX 68 : 12B8F1E0	1707F660	10DF4B40	
DEC 68 : 314110432.000000	386397792.000000	283069248.000000	
HEX 69 : BA20F10	1FA7C3C0	53DA5A	
DEC 69 : 195170064.000000	531088320.000000	5495386.000000	
HEX 70 : 1BD6FC40	5645530	FC48880	
DEC 70 : 467074112.000000	90461488.000000	264538240.000000	
HEX 71 : 104B96A	16F15120	110651E0	
DEC 71 : 17086826.000000	384913696.000000	285626848.000000	
HEX 72 : 1A662A60	175BEB00	12316E20	
DEC 72 : 442903136.000000	391899904.000000	305229344.000000	
