Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 69
HEX 1 : 9F01780	605E0B8	4C8EE20	
DEC 1 : 166729600.000000	101048504.000000	80277024.000000	
HEX 2 : 10325100	3FCC7C4	A200E20	
DEC 2 : 271732992.000000	66897860.000000	169872928.000000	
HEX 3 : 51113C0	161AC560	1BAC7C40	
DEC 3 : 85005248.000000	370853216.000000	464288832.000000	
HEX 4 : FAF1000	1FFD5000	B6241E0	
DEC 4 : 263131136.000000	536694784.000000	190988768.000000	
HEX 5 : EC91A60	2E2BAD4	1B528880	
DEC 5 : 248060512.000000	48413396.000000	458393728.000000	
HEX 6 : 48FB788	1A3D5EE0	8E1B4B0	
DEC 6 : 76527496.000000	440229600.000000	149009584.000000	
HEX 7 : F9E03C0	1A190960	1136EC40	
DEC 7 : 262013888.000000	437848416.000000	288812096.000000	
HEX 8 : E3AD780	10CA7A60	B3613C0	
DEC 8 : 238737280.000000	281705056.000000	188093376.000000	
HEX 9 : 13ED56A0	12886880	55B3878	
DEC 9 : 334321312.000000	310929536.000000	89864312.000000	
HEX 10 : 187E76A0	9B89690	15544000	
DEC 10 : 410941088.000000	163092112.000000	357842944.000000	
HEX 11 : FEF2880	16D9E96	30C8878	
DEC 11 : 267331712.000000	23961238.000000	51153016.000000	
HEX 12 : 7CA1698	112F68C0	6009E20	
DEC 12 : 130684568.000000	288319680.000000	100703776.000000	
HEX 13 : 947FC40	A291480	19B882E0	
DEC 13 : 155712576.000000	170464384.000000	431522528.000000	
HEX 14 : 11EAEE20	1071A1A0	19450960	
DEC 14 : 300609056.000000	275882400.000000	423954784.000000	
HEX 15 : 72E1000	B06AD3	1CFE2D20	
DEC 15 : 120459264.000000	11561683.000000	486419744.000000	
HEX 16 : D7324B0	17DE3FC0	8C33690	
DEC 16 : 225649840.000000	400441280.000000	147011216.000000	
HEX 17 : 6F34B4	1B8E3CC0	2B91968	
DEC 17 : 7287988.000000	462306496.000000	45685096.000000	
HEX 18 : 18722C40	B4AF8B0	1CB144C0	
DEC 18 : 410135616.000000	189462704.000000	481379520.000000	
HEX 19 : 187E72E0	7F3BB10	59253C0	
DEC 19 : 410940128.000000	133413648.000000	93475776.000000	
HEX 20 : 158C2780	1B26E800	C44E4B0	
DEC 20 : 361506688.000000	455534592.000000	205841584.000000	
HEX 21 : 11752880	90CD290	17EC71E0	
DEC 21 : 292890752.000000	151835280.000000	401371616.000000	
HEX 22 : 12A36D20	B0B2800	927E5A0	
DEC 22 : 312700192.000000	185280512.000000	153609632.000000	
HEX 23 : 16EB5A6	478EF10	1C1ED2E	
DEC 23 : 24032678.000000	75034384.000000	29486382.000000	
HEX 24 : 43B0788	7D44000	B80A3C0	
