Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
HEX 1 : 1FE02C80	31F043C	17F32000	
DEC 1 : 534785152.000000	52364348.000000	401809408.000000	
HEX 2 : 15C1AFE0	D501D30	1365D000	
DEC 2 : 365015008.000000	223354160.000000	325439488.000000	
HEX 3 : 1D21A6E0	567C5A8	11521C40	
DEC 3 : 488744672.000000	90686888.000000	290593856.000000	
HEX 4 : C8D5D80	844788	159B0E20	
DEC 4 : 210591104.000000	8669064.000000	362483232.000000	
HEX 5 : FF67CD0	18B46F00	1A92AF00	
DEC 5 : 267812048.000000	414478080.000000	445820672.000000	
HEX 6 : 17601B00	13C79F80	8795000	
DEC 6 : 392174336.000000	331849600.000000	142168064.000000	
HEX 7 : D6A4440	1341EB40	AD3A1E0	
DEC 7 : 225068096.000000	323087168.000000	181641696.000000	
HEX 8 : 7AB9D58	7AFAE98	46A83C0	
DEC 8 : 128687448.000000	128954008.000000	74089408.000000	
HEX 9 : 1E049480	14B45520	367BC3C	
DEC 9 : 503616640.000000	347362592.000000	57130044.000000	
HEX 10 : 1538FD00	BF46970	1F8DC5A0	
DEC 10 : 356056320.000000	200567152.000000	529384864.000000	
HEX 11 : BBB0E90	CFDD000	155D0E20	
DEC 11 : 196808336.000000	217960448.000000	358420000.000000	
HEX 12 : 6F7B668	16259160	834F970	
DEC 12 : 116897384.000000	371560800.000000	137689456.000000	
HEX 13 : B14BA80	CC69DA0	DDD6F10	
DEC 13 : 185907840.000000	214343072.000000	232615696.000000	
HEX 14 : E222380	B406C40	704F878	
DEC 14 : 237118336.000000	188771392.000000	117766264.000000	
HEX 15 : 4E82D00	2BD7A5C	191C2960	
DEC 15 : 82324736.000000	45972060.000000	421276000.000000	
HEX 16 : 1C1596E0	E318170	6A7A000	
DEC 16 : 471176928.000000	238125424.000000	111648768.000000	
HEX 17 : 17E53E40	6CF8710	168BB6A0	
DEC 17 : 400899648.000000	114263824.000000	378255008.000000	
HEX 18 : 27428E0	1BDFED20	1AD0D000	
DEC 18 : 41167072.000000	467660064.000000	449892352.000000	
HEX 19 : 14064FC0	2415F88	331AB4C	
DEC 19 : 335957952.000000	37838728.000000	53586764.000000	
HEX 20 : 161A5C	2DD9F10	1FD80D20	
DEC 20 : 1448540.000000	48078608.000000	534252832.000000	
HEX 21 : 18DEC000	F62DA60	19EE6F00	
DEC 21 : 417251328.000000	258136672.000000	435056384.000000	
HEX 22 : E0158F0	1171E780	1AFDFB40	
DEC 22 : 234969328.000000	292677504.000000	452852544.000000	
HEX 23 : 11BB3B00	136FAD2	102F72E0	
DEC 23 : 297483008.000000	20380370.000000	271545056.000000	
HEX 24 : 457AB40	96B2BC0	DF98B50	
DEC 24 : 72854336.000000	158018496.000000	234457936.000000	
HEX 25 : 9D40BF0	19793260	1EDED780	
DEC 25 : 164891632.000000	427373152.000000	517920640.000000	
HEX 26 : 1EE2A120	1C7255A0	1F4B5100	
DEC 26 : 518168864.000000	477255072.000000	525029632.000000	
HEX 27 : 1BB78EC0	19057C40	BB185A0	
DEC 27 : 465014464.000000	419789888.000000	196183456.000000	
HEX 28 : 5AF6C	14C5FF00	1A3915A0	
DEC 28 : 372588.000000	348520192.000000	439948704.000000	
HEX 29 : D220880	4096440	BCC5A6	
DEC 29 : 220334208.000000	67724352.000000	12371366.000000	
HEX 30 : 5F777	1B0E8800	17860F0	
DEC 30 : 391031.000000	453937152.000000	24666352.000000	
HEX 31 : 1C69EE60	13A02F80	13D4F4C0	
DEC 31 : 476704352.000000	329265024.000000	332723392.000000	
HEX 32 : FB8A220	1FF54CC0	16CB7A60	
DEC 32 : 263758368.000000	536169664.000000	382433888.000000	
HEX 33 : 165B6220	159549E0	FB67780	
DEC 33 : 375087648.000000	362105312.000000	263616384.000000	
HEX 34 : 1A63E3A0	F7CEE90	DE03880	
DEC 34 : 442753952.000000	259845776.000000	232798336.000000	
HEX 35 : 1253E100	2E8F710	19CD7780	
DEC 35 : 307486976.000000	48822032.000000	432895872.000000	
HEX 36 : 1D2358A0	C2C42D0	149EEE20	
DEC 36 : 488855712.000000	204227280.000000	345959968.000000	
HEX 37 : 8A1CC80	174D6900	17C2C780	
DEC 37 : 144821376.000000	390949120.000000	398641024.000000	
HEX 38 : 1379C060	1345F800	1FD4F1E0	
DEC 38 : 326746208.000000	323352576.000000	534049248.000000	
HEX 39 : 8A37710	13E53D20	109CA1E0	
DEC 39 : 144930576.000000	333790496.000000	278700512.000000	
HEX 40 : E540C50	1942F1E0	133E8880	
DEC 40 : 240389200.000000	423817696.000000	322865280.000000	
HEX 41 : 1946CD80	1C1C6F80	19F58780	
DEC 41 : 424070528.000000	471625600.000000	435521408.000000	
HEX 42 : 1611E440	15D56C40	173BCC40	
DEC 42 : 370271296.000000	366308416.000000	389794880.000000	
HEX 43 : B99AB60	63C82D0	1A689000	
DEC 43 : 194620256.000000	104628944.000000	443060224.000000	
HEX 44 : 1BCB0B40	8577880	1CCD9D20	
DEC 44 : 466291520.000000	139950208.000000	483237152.000000	
HEX 45 : 19C7AA80	1BB3AF00	12752B40	
DEC 45 : 432515712.000000	464760576.000000	309668672.000000	
HEX 46 : 131D00C0	10282880	36F1698	
DEC 46 : 320667840.000000	271067264.000000	57611928.000000	
HEX 47 : 5EDD8	4189078	26BB1E0	
DEC 47 : 388568.000000	68718712.000000	40612320.000000	
HEX 48 : 11D6EBE0	1C435AE0	D4C65A0	
DEC 48 : 299297760.000000	474176224.000000	223110560.000000	
HEX 49 : 1012E6C0	11F86620	11C0A100	
DEC 49 : 269674176.000000	301491744.000000	297836800.000000	
HEX 50 : B630A	695F000	13981960	
DEC 50 : 746250.000000	110489600.000000	328735072.000000	
HEX 51 : 1336F300	E5B0DA0	BA12C40	
DEC 51 : 322368256.000000	240848288.000000	195112000.000000	
HEX 52 : 758C6	E396800	1FDEC100	
DEC 52 : 481478.000000	238643200.000000	534692096.000000	
HEX 53 : B381C00	1C54E520	79AAE20	
DEC 53 : 188226560.000000	475325728.000000	127577632.000000	
HEX 54 : C6709B0	13920C40	35F4B4C	
DEC 54 : 208079280.000000	328338496.000000	56576844.000000	
HEX 55 : 1CAD5BA	176CA260	12ED2A60	
DEC 55 : 30070202.000000	392995424.000000	317532768.000000	
HEX 56 : 59C08D0	133C7AE0	1F07C1E0	
DEC 56 : 94111952.000000	322730720.000000	520602080.000000	
HEX 57 : 1F490520	17973080	198D6A60	
DEC 57 : 524879136.000000	395784320.000000	428698208.000000	
HEX 58 : 1712E0A0	84F7530	DEBF5A0	
DEC 58 : 387113120.000000	139425072.000000	233567648.000000	
HEX 59 : 1F835AE0	A448CB0	C16A1E0	
DEC 59 : 528702176.000000	172264624.000000	202809824.000000	
HEX 60 : 181635C0	1957A3C0	3731A5C	
DEC 60 : 404108736.000000	425173952.000000	57875036.000000	
HEX 61 : 11ADAB60	51F1788	9BFBE20	
DEC 61 : 296594272.000000	85923720.000000	163560992.000000	
HEX 62 : 76FBAF0	EB09080	72BBB48	
DEC 62 : 124762864.000000	246452352.000000	120306504.000000	
HEX 63 : 868B360	678E348	13965F00	
DEC 63 : 141079392.000000	108585800.000000	328621824.000000	
HEX 64 : 1E31216	1F697780	12F50780	
DEC 64 : 31658518.000000	527005568.000000	318048128.000000	
HEX 65 : 3A092A4	1E6E11E0	727DF10	
DEC 65 : 60854948.000000	510530016.000000	120053520.000000	
HEX 66 : 1CC0C300	602F3C0	186596A	
DEC 66 : 482394880.000000	100856768.000000	25581930.000000	
HEX 67 : 54B5E48	109EC6A0	16CFD3C0	
DEC 67 : 88825416.000000	278840992.000000	382718912.000000	
HEX 68 : 5F7B6	B583E90	81D53C0	
DEC 68 : 391094.000000	190332560.000000	136139712.000000	
