Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 7099C00	1ED05800	8E254B0	
DEC 1 : 118070272.000000	516970496.000000	149050544.000000	
HEX 2 : 1555AA60	888AAD0	1435DA60	
DEC 2 : 357935712.000000	143174352.000000	339073632.000000	
HEX 3 : 1DB63BC0	177ED9E0	F5261E0	
DEC 3 : 498482112.000000	394189280.000000	257057248.000000	
HEX 4 : 1BAC0560	1188DEA0	1371D5A0	
DEC 4 : 464258400.000000	294182560.000000	326227360.000000	
HEX 5 : 15572A20	1056A620	813B970	
DEC 5 : 358033952.000000	274114080.000000	135510384.000000	
HEX 6 : 1017F120	1554F1E0	A220A60	
DEC 6 : 270004512.000000	357888480.000000	170003040.000000	
HEX 7 : E165310	198D1AE0	10099780	
DEC 7 : 236344080.000000	428677856.000000	269064064.000000	
HEX 8 : 5D46B48	14DF1440	1C186D20	
DEC 8 : 97807176.000000	350164032.000000	471362848.000000	
HEX 9 : 1B104BC0	1CAF5620	1B5B0E20	
DEC 9 : 454052800.000000	481252896.000000	458952224.000000	
HEX 10 : BB26F50	30E4B4C	1C767F00	
DEC 10 : 196243280.000000	51268428.000000	477527808.000000	
HEX 11 : 107DA400	89D8000	1AC9C3C0	
DEC 11 : 276669440.000000	144539648.000000	449430464.000000	
HEX 12 : 184B16A0	E9E0F80	15E40F0	
DEC 12 : 407574176.000000	245239680.000000	22954224.000000	
HEX 13 : 14297480	1DD21BC0	6F594B8	
DEC 13 : 338261120.000000	500308928.000000	116757688.000000	
HEX 14 : 159D4500	1CEFEF80	F4B40F0	
DEC 14 : 362628352.000000	485486464.000000	256590064.000000	
HEX 15 : A58F7C0	1D6B5000	17046A60	
DEC 15 : 173602752.000000	493572096.000000	386165344.000000	
HEX 16 : 1B2D41A0	1C896DA0	48B2C40	
DEC 16 : 455950752.000000	478768544.000000	76229696.000000	
HEX 17 : 1E9D15A0	14DBD260	853D0F0	
DEC 17 : 513611168.000000	349950560.000000	139710704.000000	
HEX 18 : 15B40900	3E11AD4	E4DB0F0	
DEC 18 : 364120320.000000	65084116.000000	239972592.000000	
HEX 19 : 1E1052E0	1DE42340	B5D4A60	
DEC 19 : 504386272.000000	501490496.000000	190663264.000000	
HEX 20 : 1D4051E0	D8C3BC0	19FCF880	
DEC 20 : 490754528.000000	227294144.000000	436009088.000000	
HEX 21 : FA578F0	8433710	D5D6690	
DEC 21 : 262502640.000000	138622736.000000	224224912.000000	
HEX 22 : 14773340	158E8F80	10426B40	
DEC 22 : 343356224.000000	361664384.000000	272788288.000000	
HEX 23 : 650D2D	D90E690	8361E2	
DEC 23 : 6622509.000000	227600016.000000	8610274.000000	
HEX 24 : FB44290	E42BBC0	146AE1E	
DEC 24 : 263471760.000000	239254464.000000	21409310.000000	
HEX 25 : 11C47040	1A150340	1695C1E0	
DEC 25 : 298086464.000000	437584704.000000	378913248.000000	
HEX 26 : 318B568	1C71A620	153D16A0	
DEC 26 : 51950952.000000	477210144.000000	356325024.000000	
HEX 27 : A1E1C40	82EF0F0	69B9878	
DEC 27 : 169745472.000000	137294064.000000	110860408.000000	
HEX 28 : 8330170	E0E03C0	20F969	
DEC 28 : 137560432.000000	235799488.000000	2161001.000000	
HEX 29 : 1D09DAE0	AE48DA0	65452D0	
DEC 29 : 487185120.000000	182750624.000000	106189520.000000	
HEX 30 : 27BB52C	FE53000	10D80A60	
DEC 30 : 41661740.000000	266678272.000000	282593888.000000	
HEX 31 : F77EC80	124AB900	16CFAB40	
DEC 31 : 259517568.000000	306886912.000000	382708544.000000	
HEX 32 : 1AE2E2A0	15AF94C0	16F04B4	
DEC 32 : 451076768.000000	363828416.000000	24052916.000000	
HEX 33 : 1D9865A0	154F5CC0	19AB35A0	
DEC 33 : 496526752.000000	357522624.000000	430650784.000000	
HEX 34 : 82B8DE0	17494160	BF824B0	
DEC 34 : 137072096.000000	390676832.000000	200811696.000000	
HEX 35 : F961970	1E6E4900	1C5484C0	
DEC 35 : 261495152.000000	510544128.000000	475301056.000000	
HEX 36 : 1BFED100	64BDDA8	17E6BF00	
DEC 36 : 469684480.000000	105635240.000000	400998144.000000	
HEX 37 : 80A6FC0	16E7D800	13FC0E20	
DEC 37 : 134901696.000000	384292864.000000	335285792.000000	
HEX 38 : C3BBBC0	123EEAE0	FD03690	
DEC 38 : 205241280.000000	306113248.000000	265303696.000000	
HEX 39 : 53DF968	EBCE1E	395E1E	
DEC 39 : 87947624.000000	15453726.000000	3759646.000000	
HEX 40 : 1405FA60	E1F5F80	F26D3C0	
DEC 40 : 335936096.000000	236937088.000000	254202816.000000	
HEX 41 : 177CDE20	9E2E080	1D42F1E0	
DEC 41 : 394059296.000000	165863552.000000	490926560.000000	
HEX 42 : 6D30A98	1BEB55A0	1CA1D2E	
DEC 42 : 114494104.000000	468407712.000000	30022958.000000	
HEX 43 : 1610F6A0	15DB9620	1B1931E0	
DEC 43 : 370210464.000000	366712352.000000	454636000.000000	
HEX 44 : A7B99E0	2CAD878	DB0D3C0	
DEC 44 : 175872480.000000	46848120.000000	229692352.000000	
HEX 45 : FB0D660	340143C	7BF15A8	
DEC 45 : 263247456.000000	54531132.000000	129963432.000000	
HEX 46 : 1126A260	F1FE170	1E83B1E0	
DEC 46 : 287744608.000000	253747568.000000	511947232.000000	
HEX 47 : 19123800	19227EA0	150594C0	
DEC 47 : 420624384.000000	421691040.000000	352687296.000000	
HEX 48 : 3BA4D68	9E54F80	1776BB40	
DEC 48 : 62541160.000000	166023040.000000	393657152.000000	
HEX 49 : D236930	1B2A6900	666CA58	
DEC 49 : 220424496.000000	455764224.000000	107399768.000000	
HEX 50 : 8575C40	F9634B0	15B9E960	
