Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 1ACA8DA0	18DD7700	39CC0F0	
DEC 1 : 449482144.000000	417167104.000000	60604656.000000	
HEX 2 : 132DBD20	1AFA4260	1BD0E880	
DEC 2 : 321764640.000000	452608608.000000	466675840.000000	
HEX 3 : 1AC4E260	122052E	25BE000	
DEC 3 : 449110624.000000	19006766.000000	39575552.000000	
HEX 4 : 386CF88	96662D0	19A962E0	
DEC 4 : 59166600.000000	157704912.000000	430531296.000000	
HEX 5 : 11F8D5A0	DD03F10	117F2C40	
DEC 5 : 301520288.000000	231751440.000000	293547072.000000	
HEX 6 : E258B50	73CDB48	E1ABE20	
DEC 6 : 237341520.000000	121428808.000000	236633632.000000	
HEX 7 : 181C5080	DE38530	72562D0	
DEC 7 : 404508800.000000	233014576.000000	119890640.000000	
HEX 8 : F101BC0	8AAFF10	162925A0	
DEC 8 : 252713920.000000	145424144.000000	371795360.000000	
HEX 9 : 1EF733C0	103405A0	FCAEF10	
DEC 9 : 519517120.000000	271844768.000000	264957712.000000	
HEX 10 : 107CF440	5CBD800	1CFC73C0	
DEC 10 : 276624448.000000	97245184.000000	486306752.000000	
HEX 11 : 217234C	D99BDA0	13948A60	
DEC 11 : 35070796.000000	228179360.000000	328501856.000000	
HEX 12 : 90555A0	472DE98	17B44C40	
DEC 12 : 151344544.000000	74636952.000000	397691968.000000	
HEX 13 : 3FA5878	55201E0	1FF9E5A0	
DEC 13 : 66738296.000000	89260512.000000	536470944.000000	
HEX 14 : 3CB9710	14D50DA0	14CCCA60	
DEC 14 : 63674128.000000	349506976.000000	348965472.000000	
HEX 15 : 1F730AE0	1022DCC0	1FA1A960	
DEC 15 : 527633120.000000	270720192.000000	530688352.000000	
HEX 16 : 18A86520	660E878	7549E20	
DEC 16 : 413689120.000000	107014264.000000	122986016.000000	
HEX 17 : 5BD03C0	15DA62E0	1C009B40	
DEC 17 : 96273344.000000	366633696.000000	469801792.000000	
HEX 18 : DD9E000	13CF9DA0	136E2F00	
DEC 18 : 232382464.000000	332373408.000000	325988096.000000	
HEX 19 : 14512EA0	D1489E0	525000	
DEC 19 : 340864672.000000	219449824.000000	5394432.000000	
HEX 20 : 25DE800	1C7B73C0	1D2D1F00	
DEC 20 : 39708672.000000	477852608.000000	489496320.000000	
HEX 21 : 18B36BC0	12CACCC0	1311F5A0	
DEC 21 : 414411712.000000	315280576.000000	319944096.000000	
HEX 22 : DB1FBC0	B8A9350	38ECD2C	
DEC 22 : 229768128.000000	193631056.000000	59690284.000000	
HEX 23 : 1DF4A440	1783AB40	1F70B3C0	
