Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : BA03350	1DC59520	137BF100	
DEC 1 : 195048272.000000	499488032.000000	326889728.000000	
HEX 2 : EB264B0	191ABE20	D645C40	
DEC 2 : 246572208.000000	421183008.000000	224681024.000000	
HEX 3 : 1D8C3E20	88DAB50	D0696	
DEC 3 : 495730208.000000	143502160.000000	853654.000000	
HEX 4 : 12DCFEA0	1E159DA0	113443C0	
DEC 4 : 316472992.000000	504733088.000000	288637888.000000	
HEX 5 : 78F43C	4C03258	6A97878	
DEC 5 : 7926844.000000	79704664.000000	111769720.000000	
HEX 6 : 9065A6	1FAC0F80	1F9636A0	
DEC 6 : 9463206.000000	531369856.000000	529938080.000000	
HEX 7 : 1E141000	1701C260	1A33C880	
DEC 7 : 504631296.000000	385991264.000000	439601280.000000	
HEX 8 : 13D634C0	9144000	FF551E0	
DEC 8 : 332805312.000000	152322048.000000	267735520.000000	
HEX 9 : 133F9780	19D43C4	1CBD96A	
DEC 9 : 322934656.000000	27083716.000000	30136682.000000	
HEX 10 : A6F02D0	6E4EA58	D947E20	
DEC 10 : 175047376.000000	115665496.000000	227835424.000000	
HEX 11 : 1D43AA60	185F6BC0	FAA4B50	
DEC 11 : 490973792.000000	408906688.000000	262818640.000000	
HEX 12 : 1679E1E	1ABA1620	19919A60	
DEC 12 : 23567902.000000	448402976.000000	428972640.000000	
HEX 13 : D053AD0	D037780	8E05780	
DEC 13 : 218446544.000000	218331008.000000	148920192.000000	
HEX 14 : 222E25C	15B8E900	EBEF0F	
DEC 14 : 35840604.000000	364439808.000000	15462159.000000	
HEX 15 : 134E0C40	F1752D0	15E63C40	
DEC 15 : 323882048.000000	253186768.000000	367410240.000000	
HEX 16 : FDDFAD0	94E89E0	1C88696	
DEC 16 : 266205904.000000	156142048.000000	29918870.000000	
HEX 17 : 18DDA4C0	1C0F6800	16C303C0	
DEC 17 : 417178816.000000	470771712.000000	381879232.000000	
HEX 18 : 1CD09B40	1ED9F800	1DA4EE20	
DEC 18 : 483433280.000000	517601280.000000	497348128.000000	
HEX 19 : 19C2ED20	A85FE90	14604A60	
DEC 19 : 432205088.000000	176553616.000000	341854816.000000	
HEX 20 : 110E1080	1C363F00	4F92698	
DEC 20 : 286134400.000000	473317120.000000	83437208.000000	
HEX 21 : 1B06E3C0	F097170	2EEA4B4	
DEC 21 : 453436352.000000	252277104.000000	49194164.000000	
HEX 22 : 1A97F1E0	20AA4B4	6DCD2D0	
DEC 22 : 446165472.000000	34251956.000000	115135184.000000	
HEX 23 : 17E11A60	2D7DF10	EAFB0F0	
DEC 23 : 400628320.000000	47701776.000000	246395120.000000	
HEX 24 : 197C4F00	12555D20	BDF9C40	
DEC 24 : 427577088.000000	307584288.000000	199203904.000000	
HEX 25 : 3449620	1392000	1E3B4000	
DEC 25 : 54826528.000000	20520960.000000	507199488.000000	
HEX 26 : 9BB8620	14598340	5744698	
DEC 26 : 163284512.000000	341410624.000000	91506328.000000	
HEX 27 : 84CD170	751C168	1CD696A0	
DEC 27 : 139252080.000000	122798440.000000	483825312.000000	
HEX 28 : 18D362E0	933D710	1BBABE20	
