Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
HEX 1 : 9A7AC40	7FDE8F0	17C995A0	
DEC 1 : 161983552.000000	134080752.000000	399087008.000000	
HEX 2 : 14DF96A0	1331CAE0	13CEBC40	
DEC 2 : 350197408.000000	322030304.000000	332315712.000000	
HEX 3 : A35C0F0	99A6080	D8475A0	
DEC 3 : 171294960.000000	161112192.000000	226784672.000000	
HEX 4 : C2B25A0	1AC3AF00	9983000	
DEC 4 : 204154272.000000	449031936.000000	160968704.000000	
HEX 5 : 2C5EB4C	106792E0	18550F00	
DEC 5 : 46525260.000000	275223264.000000	408227584.000000	
HEX 6 : 101F8780	1E8F42E0	1C6E9F00	
DEC 6 : 270501760.000000	512705248.000000	477011712.000000	
HEX 7 : 76785A8	3858F10	10F542E0	
DEC 7 : 124224936.000000	59084560.000000	284508896.000000	
HEX 8 : FA21D30	1764DD20	F7631E0	
DEC 8 : 262282544.000000	392486176.000000	259404256.000000	
HEX 9 : 9E51E20	1D54FF00	15D9DF00	
DEC 9 : 166010400.000000	492109568.000000	366599936.000000	
HEX 10 : 32EC4B4	2589E98	1714A960	
DEC 10 : 53396660.000000	39362200.000000	387230048.000000	
HEX 11 : 187E7100	1D67E620	1A72BD20	
DEC 11 : 410939648.000000	493348384.000000	443727136.000000	
HEX 12 : 11A07780	1F00B4C0	69AF2D0	
DEC 12 : 295729024.000000	520139968.000000	110818000.000000	
HEX 13 : 132C04C0	29D82D4	1FE584C0	
DEC 13 : 321651904.000000	43877076.000000	535135424.000000	
HEX 14 : C792E20	A9634B	15BC1A60	
DEC 14 : 209268256.000000	11101003.000000	364649056.000000	
HEX 15 : 187E71E0	1BEBEAE0	6671A58	
DEC 15 : 410939872.000000	468445920.000000	107420248.000000	
HEX 16 : 14DAB960	16E5D4C0	1B7E1A60	
DEC 16 : 349878624.000000	384160960.000000	461249120.000000	
HEX 17 : 8A57780	15293C4	1C367F00	
DEC 17 : 145061760.000000	22188996.000000	473333504.000000	
HEX 18 : 12890000	1DA43CC0	155BDD20	
DEC 18 : 310968320.000000	497302720.000000	358341920.000000	
HEX 19 : 187BC3C0	92363C0	1EB60D20	
DEC 19 : 410764224.000000	153314240.000000	515247392.000000	
HEX 20 : 5EC9F10	F7454B0	B7EF780	
DEC 20 : 99393296.000000	259282096.000000	192870272.000000	
HEX 21 : 8FF788	D800440	5C9B968	
DEC 21 : 9435016.000000	226493504.000000	97106280.000000	
HEX 22 : 179256A0	1DA6696	F0AC690	
DEC 22 : 395466400.000000	31090326.000000	252364432.000000	
HEX 23 : 1EBBB4C	17710D20	15CB1A60	
DEC 23 : 32226124.000000	393284896.000000	365632096.000000	
HEX 24 : 103DBF00	3F6DDA4	5036E20	
DEC 24 : 272482048.000000	66510244.000000	84110880.000000	
