Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 119FE0C0	123BEB40	18CEDE20	
DEC 1 : 295690432.000000	305916736.000000	416210464.000000	
HEX 2 : 1C5CEFC0	D9443C0	10E1F5A0	
DEC 2 : 475852736.000000	227820480.000000	283243936.000000	
HEX 3 : 84361B0	8033080	1EAF9E20	
DEC 3 : 138633648.000000	134426752.000000	514825760.000000	
HEX 4 : 132A1B00	1719CC40	1345ED20	
DEC 4 : 321526528.000000	387566656.000000	323349792.000000	
HEX 5 : DB6E9B0	1D012100	6198788	
DEC 5 : 230091184.000000	486613248.000000	102336392.000000	
HEX 6 : CABAB70	175B0100	E23C2D0	
DEC 6 : 212577136.000000	391840000.000000	237224656.000000	
HEX 7 : 1B7A47C0	18DD62E0	3F0DE20	
DEC 7 : 460998592.000000	417161952.000000	66117152.000000	
HEX 8 : 6AA6BB0	D007170	112181E0	
DEC 8 : 111831984.000000	218132848.000000	287408608.000000	
HEX 9 : 103B09C0	1F2FC2E0	1E1C23C0	
DEC 9 : 272304576.000000	523223776.000000	505160640.000000	
HEX 10 : 5F8F2	9D944B0	12C09F00	
DEC 10 : 391410.000000	165233840.000000	314613504.000000	
HEX 11 : 1FBED900	D413E20	9E374B0	
DEC 11 : 532601088.000000	222379552.000000	165901488.000000	
HEX 12 : 5F835	302734C	2634D2C	
DEC 12 : 391221.000000	50492236.000000	40062252.000000	
HEX 13 : 62C6598	1B8EA6A0	9990F1	
DEC 13 : 103572888.000000	462333600.000000	10064113.000000	
HEX 14 : 1B3CD6C0	1017B780	4913D30	
DEC 14 : 456971968.000000	269989760.000000	76627248.000000	
HEX 15 : 17A1F560	CC57CB0	16AF12E0	
DEC 15 : 396490080.000000	214269104.000000	380572384.000000	
HEX 16 : 138BF840	7F94168	1ACDE2E0	
DEC 16 : 327940160.000000	133775720.000000	449700576.000000	
HEX 17 : 9640CA0	37065A4	9498E20	
DEC 17 : 157551776.000000	57697700.000000	155815456.000000	
HEX 18 : A8A7360	62BA8F0	16F0EB40	
DEC 18 : 176845664.000000	103524592.000000	384887616.000000	
HEX 19 : 501F61	1DC7D960	8BC30F0	
DEC 19 : 5250913.000000	499636576.000000	146551024.000000	
HEX 20 : 14734D80	12F90AE0	617EE20	
DEC 20 : 343100800.000000	318311136.000000	102231584.000000	
HEX 21 : 74C8718	F8B2690	A1280F0	
DEC 21 : 122455832.000000	260777616.000000	168984816.000000	
HEX 22 : BA8D220	755969	105B1880	
DEC 22 : 195613216.000000	7690601.000000	274405504.000000	
HEX 23 : 5F63B	19CA12E0	1A5A16A0	
DEC 23 : 390715.000000	432673504.000000	442111648.000000	
HEX 24 : 1F6EB3C0	892D2	93E12D0	
DEC 24 : 527348672.000000	561874.000000	155062992.000000	
HEX 25 : 1DA0ACE0	1B798E20	1F7B8000	
DEC 25 : 497069280.000000	460951072.000000	528187392.000000	
HEX 26 : 143CFB20	19A0F100	2059C3C	
DEC 26 : 339540768.000000	429977856.000000	33922108.000000	
HEX 27 : 5F7E800	15B2C520	5594968	
DEC 27 : 100132864.000000	364037408.000000	89737576.000000	
HEX 28 : 5F0CE	15FD4B40	9F5B880	
DEC 28 : 389326.000000	368921408.000000	167098496.000000	
HEX 29 : 1C6DA2E0	6CF8F10	7D32A58	
DEC 29 : 476947168.000000	114265872.000000	131279448.000000	
HEX 30 : 1FC8C440	16DB000	10AB75A0	
DEC 30 : 533251136.000000	23965696.000000	279672224.000000	
HEX 31 : D4E4E80	152F6DA0	6F53878	
DEC 31 : 223235712.000000	355429792.000000	116734072.000000	
HEX 32 : 5F08F	1D098100	10529000	
DEC 32 : 389263.000000	487162112.000000	273846272.000000	
HEX 33 : 7435F78	8D64B5	1EE111E0	
DEC 33 : 121855864.000000	9266357.000000	518066656.000000	
HEX 34 : 1F37ECC0	14B60000	8FC2B50	
DEC 34 : 523758784.000000	347471872.000000	150743888.000000	
HEX 35 : 2780308	13783520	109ECA60	
DEC 35 : 41419528.000000	326645024.000000	278841952.000000	
HEX 36 : 12DE9DC0	19113E20	A395780	
DEC 36 : 316579264.000000	420560416.000000	171530112.000000	
HEX 37 : 1A467400	19E57F00	B4D3970	
DEC 37 : 440824832.000000	434470656.000000	189610352.000000	
HEX 38 : 54318B	10A89F00	4A69E20	
