Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : 33ED568	11E2D000	EAF6D30	
DEC 1 : 54449512.000000	300077056.000000	246377776.000000	
HEX 2 : 1F78BA60	2A28620	3838A5C	
DEC 2 : 528005728.000000	44205600.000000	58952284.000000	
HEX 3 : 100CEB00	118CE080	AB2E4B0	
DEC 3 : 269282048.000000	294445184.000000	179496112.000000	
HEX 4 : 1BE7D160	A59BC4	12D0C100	
DEC 4 : 468177248.000000	10853316.000000	315670784.000000	
HEX 5 : 15616220	14DC2800	4856A58	
DEC 5 : 358703648.000000	349972480.000000	75852376.000000	
HEX 6 : 1FC9C2E0	E868260	F9BB5A0	
DEC 6 : 533316320.000000	243696224.000000	261862816.000000	
HEX 7 : 1E7DA100	1A85C1E0	9DAF690	
DEC 7 : 511549696.000000	444973536.000000	165344912.000000	
HEX 8 : 731C348	E3E1620	9691C40	
DEC 8 : 120701768.000000	238949920.000000	157883456.000000	
HEX 9 : 11E13520	DF28970	15683C40	
DEC 9 : 299971872.000000	233998704.000000	359152704.000000	
HEX 10 : D405840	2DAF5A4	AB10F10	
DEC 10 : 222320704.000000	47904164.000000	179375888.000000	
HEX 11 : 1E8AACC0	1C18C780	1A3861E0	
DEC 11 : 512404672.000000	471385984.000000	439902688.000000	
HEX 12 : 7A94620	1BA093C0	12C233C0	
DEC 12 : 128534048.000000	463508416.000000	314717120.000000	
HEX 13 : 9317880	89243C0	DF12880	
DEC 13 : 154237056.000000	143803328.000000	233908352.000000	
HEX 14 : 19AE8700	175DD9E0	16DFF5A0	
DEC 14 : 430868224.000000	392026592.000000	383776160.000000	
HEX 15 : 923FA90	1D9DCD20	39D65A4	
DEC 15 : 153352848.000000	496880928.000000	60646820.000000	
HEX 16 : B6E3ED0	1C7596A0	AB18A60	
DEC 16 : 191774416.000000	477468320.000000	179407456.000000	
HEX 17 : 1BEBB120	496BD30	193B0000	
DEC 17 : 468431136.000000	76987696.000000	423297024.000000	
HEX 18 : 1F4DD520	1E6B16A0	376C3C4	
DEC 18 : 525194528.000000	510334624.000000	58115012.000000	
HEX 19 : 13E3C160	1B5B93C0	142E8C40	
DEC 19 : 333693280.000000	458986432.000000	338594880.000000	
HEX 20 : 1A84F3C0	F6981E0	3BE8F10	
DEC 20 : 444920768.000000	258572768.000000	62820112.000000	
HEX 21 : 183361E0	1DC306A0	5DFA1E0	
DEC 21 : 406020576.000000	499320480.000000	98542048.000000	
HEX 22 : 133162E0	189D7E20	AC8B5A0	
DEC 22 : 322003680.000000	412974624.000000	180925856.000000	
HEX 23 : 1E4A7B40	23A42D4	1FF9C5A0	
DEC 23 : 508197696.000000	37372628.000000	536462752.000000	
HEX 24 : 12608C80	D413620	3E2B968	
DEC 24 : 308317312.000000	222377504.000000	65190248.000000	
HEX 25 : 1FC96E20	131D0960	15B9EE20	
DEC 25 : 533294624.000000	320670048.000000	364506656.000000	
HEX 26 : 17EA1120	1DDDBF00	D6594B0	
DEC 26 : 401215776.000000	501071616.000000	224761008.000000	
HEX 27 : 1905F740	1072F440	19E331E0	
DEC 27 : 419821376.000000	275969088.000000	434319840.000000	
HEX 28 : 836C130	15ACA960	A0EEB50	
DEC 28 : 137806128.000000	363637088.000000	168749904.000000	
HEX 29 : ADDBC00	FB7BB50	FD7AB50	
DEC 29 : 182303744.000000	263699280.000000	265792336.000000	
HEX 30 : 12361740	F1D5E90	1CD68B40	
DEC 30 : 305534784.000000	253582992.000000	483822400.000000	
HEX 31 : 12B4E080	5267B48	6098A58	
DEC 31 : 313843840.000000	86408008.000000	101288536.000000	
HEX 32 : 23C3568	1D64C5A0	69B95A8	
DEC 32 : 37500264.000000	493143456.000000	110859688.000000	
