Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 1EBDB880	18433080	19DBC5A0	
DEC 1 : 515750016.000000	407056512.000000	433833376.000000	
HEX 2 : F8DE1E	BCAA2D0	7AE41E0	
DEC 2 : 16309790.000000	197829328.000000	128860640.000000	
HEX 3 : 6BA99E0	15017880	18317D20	
DEC 3 : 112892384.000000	352417920.000000	405896480.000000	
HEX 4 : 3C1A43C	1793D4C0	37D787	
DEC 4 : 63022140.000000	395564224.000000	3659655.000000	
HEX 5 : EEC15A0	E51BC4	599F968	
DEC 5 : 250353056.000000	15014852.000000	93976936.000000	
HEX 6 : 1AA39F80	BB9ADA0	1D031880	
DEC 6 : 446930816.000000	196717984.000000	486742144.000000	
HEX 7 : 5EF9BC0	1FD8BF00	6D38D30	
DEC 7 : 99589056.000000	534298368.000000	114527536.000000	
HEX 8 : 720DB48	866D5A0	CB745A0	
DEC 8 : 119593800.000000	140957088.000000	213337504.000000	
HEX 9 : 986D1E0	81F4E20	1E556B40	
DEC 9 : 159830496.000000	136269344.000000	508914496.000000	
HEX 10 : 18072F00	1A5205A0	39593C4	
DEC 10 : 403123968.000000	441583008.000000	60134340.000000	
HEX 11 : BE244B0	1ADE5D20	3EAD3C4	
DEC 11 : 199378096.000000	450780448.000000	65721284.000000	
HEX 12 : 939DE90	C18CB5	A8C4880	
DEC 12 : 154787472.000000	12684469.000000	176965760.000000	
HEX 13 : A29B5A0	26B5A5C	11DB5780	
DEC 13 : 170505632.000000	40589916.000000	299587456.000000	
HEX 14 : 1AC25260	6E0CB4	18872B40	
DEC 14 : 448942688.000000	7212212.000000	411511616.000000	
HEX 15 : 1F129000	6696530	1A0BA780	
DEC 15 : 521310208.000000	107570480.000000	436971392.000000	
HEX 16 : 188D788	9C67620	1385A5	
DEC 16 : 25745288.000000	164001312.000000	1279397.000000	
HEX 17 : 12501EA0	9FEDB50	518F2D0	
DEC 17 : 307240608.000000	167697232.000000	85521104.000000	
HEX 18 : BCC78F0	F30D800	185A8000	
DEC 18 : 197949680.000000	254859264.000000	408584192.000000	
HEX 19 : 4C28E98	E3E6710	1ADB1B40	
DEC 19 : 79859352.000000	238970640.000000	450566976.000000	
HEX 20 : CF789E0	1EC3E3C0	B0652D0	
DEC 20 : 217549280.000000	516154304.000000	184963792.000000	
HEX 21 : 14E1BE20	F8B81E0	B464B5	
DEC 21 : 350338592.000000	260800992.000000	11822261.000000	
HEX 22 : A2C7F80	162F5960	CF97F10	
DEC 22 : 170688384.000000	372201824.000000	217677584.000000	
HEX 23 : 6A064B8	FB5E2D0	ABD81E0	
DEC 23 : 111174840.000000	263578320.000000	180191712.000000	
HEX 24 : 1FECF1E0	B66D2D	130EEA60	
DEC 24 : 535622112.000000	11955501.000000	319744608.000000	
HEX 25 : 110B5D20	576DF10	119A1780	
DEC 25 : 285957408.000000	91676432.000000	295311232.000000	
HEX 26 : E1E7CB0	16205880	167B5F00	
DEC 26 : 236879024.000000	371218560.000000	377184000.000000	
HEX 27 : 142E19E0	1D7EC100	939B3C0	
DEC 27 : 338565600.000000	494846208.000000	154776512.000000	
HEX 28 : 1DA386A0	9FB75A0	13921880	
DEC 28 : 497256096.000000	167474592.000000	328341632.000000	
HEX 29 : 6910BC0	5BC8348	4E08B48	
DEC 29 : 110169024.000000	96240456.000000	81824584.000000	
HEX 30 : 84C9000	BA3969	1F0A81E0	
DEC 30 : 139235328.000000	12204393.000000	520782304.000000	
HEX 31 : 1727B6A0	1B4003C0	1084AC40	
DEC 31 : 388478624.000000	457180096.000000	277130304.000000	
HEX 32 : 509F0F0	178A7100	7A32F10	
DEC 32 : 84537584.000000	394948864.000000	128134928.000000	
HEX 33 : 4F5B078	10891700	36790F0	
DEC 33 : 83210360.000000	277419776.000000	57118960.000000	
HEX 34 : 1585EF00	38B0F88	8128A60	
DEC 34 : 361099008.000000	59445128.000000	135432800.000000	
HEX 35 : 1B628160	1AB4C5A0	A501F10	
DEC 35 : 459440480.000000	448054688.000000	173022992.000000	
HEX 36 : 638C258	1F498D20	E545690	
DEC 36 : 104383064.000000	524913952.000000	240408208.000000	
HEX 37 : 12972800	1A9A25A0	1A906000	
DEC 37 : 311896064.000000	446309792.000000	445669376.000000	
HEX 38 : 1E672160	DD46710	9BBD4B0	
DEC 38 : 510075232.000000	232023824.000000	163304624.000000	
HEX 39 : 8E372D0	1D496F00	1BCFE3C0	
DEC 39 : 149123792.000000	491351808.000000	466609088.000000	
HEX 40 : 14A8E3C0	9A94A60	C809000	
DEC 40 : 346612672.000000	162089568.000000	209752064.000000	
HEX 41 : D5285A0	66B12D0	BD75A6	
DEC 41 : 223511968.000000	107680464.000000	12416422.000000	
HEX 42 : E1BEAD0	67CBCB8	A93B880	
DEC 42 : 236710608.000000	108838072.000000	177453184.000000	
HEX 43 : AA6F260	F6C4C40	1FCA93C0	
DEC 43 : 178713184.000000	258755648.000000	533369792.000000	
HEX 44 : D1811E0	BA8B350	FF482D0	
DEC 44 : 219681248.000000	195605328.000000	267682512.000000	
HEX 45 : 11EE6A60	BB385A0	15B9C780	
DEC 45 : 300837472.000000	196314528.000000	364496768.000000	
HEX 46 : D89800	4D7F2D0	A945A60	
DEC 46 : 14194688.000000	81261264.000000	177494624.000000	
HEX 47 : 827E350	10F5B100	12018A60	
DEC 47 : 136831824.000000	284537088.000000	302090848.000000	
HEX 48 : 4288D30	1A947E20	13D54B40	
DEC 48 : 69766448.000000	445939232.000000	332745536.000000	
HEX 49 : 18A6B9E0	147BC080	D8D0880	
DEC 49 : 413579744.000000	343654528.000000	227346560.000000	
HEX 50 : 1B275340	6108F1	3ED72D4	
DEC 50 : 455562048.000000	6359281.000000	65893076.000000	
HEX 51 : D430E20	6460078	181023C0	
DEC 51 : 222498336.000000	105250936.000000	403710912.000000	
